date,open,high,low,close,vol
18/12/2009,5.03,5.03,4.95,4.98,40160595.00
21/12/2009,5.02,5.03,4.74,4.85,79036772.00
22/12/2009,4.89,5.04,4.89,5.04,29230816.00
23/12/2009,5.02,5.02,4.95,4.99,31824444.00
28/12/2009,5.01,5.02,5.00,5.02,55487491.00
29/12/2009,5.02,5.18,5.00,5.18,30551617.00
30/12/2009,5.15,5.17,5.10,5.17,48062621.00
04/01/2010,5.17,5.28,5.13,5.26,41641592.00
05/01/2010,5.26,5.27,5.20,5.24,38619195.00
06/01/2010,5.21,5.29,5.21,5.26,25615059.00
07/01/2010,5.22,5.26,5.14,5.25,34159948.00
08/01/2010,5.23,5.30,5.20,5.26,37796273.00
11/01/2010,5.30,5.30,5.21,5.24,39840043.00
12/01/2010,5.21,5.30,5.18,5.30,27136258.00
13/01/2010,5.31,5.39,5.27,5.39,39125327.00
14/01/2010,5.35,5.55,5.33,5.52,66424541.00
15/01/2010,5.54,5.54,5.36,5.37,68231694.00
18/01/2010,5.42,5.48,5.35,5.36,15877682.00
19/01/2010,5.32,5.51,5.32,5.42,35038831.00
20/01/2010,5.34,5.44,5.27,5.27,58226417.00
21/01/2010,5.27,5.41,5.17,5.26,55740865.00
22/01/2010,5.29,5.33,5.21,5.30,70734315.00
26/01/2010,5.26,5.29,5.19,5.20,45263280.00
27/01/2010,5.20,5.27,5.16,5.18,33801492.00
28/01/2010,5.21,5.30,5.20,5.21,51103020.00
29/01/2010,5.27,5.33,5.13,5.13,51604684.00
01/02/2010,5.13,5.19,5.12,5.13,46734748.00
02/02/2010,5.16,5.25,5.16,5.25,61483304.00
03/02/2010,5.22,5.32,5.22,5.32,69041080.00
04/02/2010,5.26,5.28,5.11,5.13,47941264.00
05/02/2010,5.10,5.14,4.89,4.95,78752930.00
08/02/2010,4.97,5.02,4.91,4.91,37001227.00
09/02/2010,4.91,5.04,4.91,4.93,68151110.00
10/02/2010,4.93,5.01,4.92,4.98,37214111.00
11/02/2010,5.00,5.09,4.93,5.09,32953603.00
12/02/2010,5.07,5.09,4.97,5.01,17207016.00
17/02/2010,5.18,5.31,5.16,5.30,52060135.00
18/02/2010,5.28,5.32,5.26,5.30,34726582.00
19/02/2010,5.27,5.33,5.24,5.30,29109741.00
22/02/2010,5.33,5.33,5.24,5.26,30947794.00
23/02/2010,5.22,5.26,5.14,5.18,34222617.00
24/02/2010,5.18,5.26,5.14,5.18,23099155.00
25/02/2010,5.11,5.23,5.07,5.20,28891530.00
26/02/2010,5.20,5.24,5.12,5.16,53466188.00
01/03/2010,5.21,5.23,5.16,5.17,22124296.00
02/03/2010,5.17,5.25,5.17,5.24,26316016.00
03/03/2010,5.26,5.34,5.24,5.26,70026344.00
04/03/2010,5.28,5.29,5.14,5.19,42608627.00
05/03/2010,5.21,5.23,5.09,5.10,82549671.00
08/03/2010,5.13,5.13,5.07,5.08,61498121.00
09/03/2010,5.05,5.12,5.05,5.05,83865907.00
10/03/2010,5.09,5.10,5.02,5.07,60861020.00
11/03/2010,5.06,5.08,5.02,5.02,29752197.00
12/03/2010,5.07,5.08,5.00,5.02,46284428.00
15/03/2010,5.02,5.03,4.96,4.97,21684657.00
16/03/2010,4.97,5.05,4.95,5.02,46255991.00
17/03/2010,5.05,5.07,5.02,5.07,26606323.00
18/03/2010,5.07,5.09,5.03,5.07,24047222.00
19/03/2010,5.06,5.10,4.99,4.99,45559782.00
22/03/2010,4.99,5.03,4.97,4.97,43326400.00
23/03/2010,5.02,5.03,4.88,4.96,28915662.00
24/03/2010,4.96,4.96,4.90,4.90,35634636.00
25/03/2010,4.91,4.98,4.91,4.93,17861255.00
26/03/2010,4.97,4.98,4.94,4.98,28276012.00
29/03/2010,4.98,5.02,4.93,4.94,51603419.00
30/03/2010,4.97,5.00,4.94,4.96,34481374.00
31/03/2010,4.98,4.99,4.87,4.88,61038290.00
01/04/2010,4.96,4.96,4.84,4.86,58696333.00
05/04/2010,4.87,4.93,4.86,4.92,39327424.00
06/04/2010,4.92,4.95,4.90,4.94,54273897.00
07/04/2010,4.94,4.94,4.89,4.93,59186215.00
08/04/2010,4.93,4.96,4.90,4.93,67195009.00
09/04/2010,4.96,5.01,4.93,5.01,58407518.00
12/04/2010,5.01,5.06,4.97,5.00,90437691.00
13/04/2010,5.03,5.08,5.00,5.05,50461493.00
14/04/2010,5.04,5.14,5.02,5.12,62338922.00
15/04/2010,5.11,5.19,5.07,5.17,73615151.00
16/04/2010,5.12,5.17,5.10,5.12,46932694.00
19/04/2010,5.06,5.11,5.05,5.09,39460754.00
20/04/2010,5.05,5.14,5.05,5.12,37060348.00
22/04/2010,5.09,5.18,5.03,5.14,63644000.00
23/04/2010,5.17,5.24,5.12,5.24,44399042.00
26/04/2010,5.21,5.24,5.18,5.24,29761019.00
27/04/2010,5.21,5.24,5.08,5.08,52602461.00
28/04/2010,5.11,5.13,4.97,4.97,116484405.00
29/04/2010,5.03,5.08,5.01,5.06,39063185.00
30/04/2010,5.03,5.11,5.00,5.07,97346459.00
03/05/2010,5.05,5.17,5.05,5.09,33255674.00
04/05/2010,5.09,5.15,5.03,5.13,72968883.00
05/05/2010,5.11,5.21,5.08,5.09,88566980.00
06/05/2010,5.08,5.21,5.03,5.11,103707727.00
07/05/2010,5.11,5.20,5.07,5.15,109022535.00
10/05/2010,5.23,5.27,5.18,5.20,50826415.00
11/05/2010,5.17,5.31,5.17,5.25,102819784.00
12/05/2010,5.25,5.33,5.25,5.31,79674714.00
13/05/2010,5.31,5.34,5.28,5.30,54608595.00
14/05/2010,5.28,5.31,5.24,5.25,64182845.00
17/05/2010,5.24,5.31,5.23,5.31,71670310.00
18/05/2010,5.33,5.34,5.24,5.29,51972915.00
19/05/2010,5.26,5.29,5.18,5.21,122771850.00
20/05/2010,5.18,5.21,5.05,5.05,103387305.00
21/05/2010,5.03,5.21,5.03,5.20,78897423.00
24/05/2010,5.17,5.26,5.15,5.21,44819411.00
25/05/2010,5.13,5.26,5.12,5.22,126024554.00
26/05/2010,5.22,5.28,5.09,5.09,134625246.00
27/05/2010,5.19,5.23,5.18,5.22,87020109.00
28/05/2010,5.22,5.22,5.16,5.19,51991075.00
31/05/2010,5.21,5.22,5.15,5.19,75587342.00
01/06/2010,5.17,5.22,5.13,5.18,66826235.00
02/06/2010,5.18,5.24,5.14,5.23,36159281.00
04/06/2010,5.22,5.27,5.06,5.24,121966255.00
07/06/2010,5.24,5.31,5.24,5.31,76747298.00
08/06/2010,5.30,5.37,5.28,5.30,99872401.00
09/06/2010,5.33,5.36,5.29,5.31,54743328.00
10/06/2010,5.31,5.39,5.29,5.36,65987297.00
11/06/2010,5.32,5.39,5.32,5.36,31336780.00
14/06/2010,5.37,5.42,5.34,5.39,50322083.00
15/06/2010,5.41,5.49,5.35,5.45,40171030.00
16/06/2010,5.41,5.52,5.40,5.50,81475831.00
17/06/2010,5.48,5.52,5.45,5.52,53120417.00
18/06/2010,5.49,5.54,5.47,5.52,45129970.00
21/06/2010,5.54,5.63,5.54,5.63,50410342.00
22/06/2010,5.62,5.69,5.60,5.64,71456917.00
23/06/2010,5.62,5.68,5.59,5.68,60000518.00
24/06/2010,5.63,5.68,5.52,5.54,87906533.00
25/06/2010,5.51,5.59,5.49,5.59,43151805.00
28/06/2010,5.55,5.67,5.55,5.66,44994377.00
29/06/2010,5.60,5.64,5.54,5.58,81094069.00
30/06/2010,5.54,5.55,5.37,5.38,76906782.00
01/07/2010,5.37,5.41,5.25,5.36,85503836.00
02/07/2010,5.31,5.43,5.31,5.39,56065242.00
05/07/2010,5.42,5.42,5.28,5.33,27570062.00
06/07/2010,5.36,5.50,5.30,5.48,90487720.00
07/07/2010,5.48,5.52,5.42,5.51,62368947.00
08/07/2010,5.47,5.49,5.44,5.49,74908335.00
12/07/2010,5.51,5.51,5.39,5.44,55165901.00
13/07/2010,5.39,5.49,5.39,5.46,65941911.00
