date,open,high,low,close,vol
18/12/2009,2.39,2.44,2.35,2.44,5739881.00
21/12/2009,2.44,2.46,2.40,2.46,167345.00
22/12/2009,2.46,2.48,2.44,2.48,1271201.00
23/12/2009,2.48,2.49,2.48,2.48,205550.00
28/12/2009,2.50,2.50,2.50,2.50,91986.00
29/12/2009,2.50,2.50,2.50,2.50,229990.00
30/12/2009,2.50,2.50,2.50,2.50,206907.00
04/01/2010,2.50,2.50,2.48,2.50,446579.00
05/01/2010,2.47,2.51,2.47,2.51,436442.00
06/01/2010,2.48,2.53,2.48,2.50,276906.00
07/01/2010,2.50,2.53,2.49,2.53,335035.00
08/01/2010,2.53,2.56,2.52,2.56,2634758.00
11/01/2010,2.56,2.56,2.56,2.56,23510.00
12/01/2010,2.56,2.57,2.56,2.56,2340345.00
13/01/2010,2.57,2.59,2.56,2.59,237383.00
14/01/2010,2.59,2.59,2.59,2.59,606899.00
15/01/2010,2.60,2.60,2.60,2.60,1888097.00
18/01/2010,2.62,2.63,2.61,2.63,2349635.00
19/01/2010,2.64,2.64,2.64,2.64,449543.00
20/01/2010,2.64,2.64,2.62,2.63,690332.00
21/01/2010,2.63,2.63,2.61,2.63,277274.00
22/01/2010,2.63,2.64,2.62,2.64,398324.00
26/01/2010,2.64,2.64,2.64,2.64,800783.00
27/01/2010,2.64,2.64,2.61,2.64,655398.00
28/01/2010,2.65,2.65,2.61,2.64,109215.00
29/01/2010,2.64,2.65,2.63,2.65,1346131.00
01/02/2010,2.65,2.65,2.63,2.64,84947.00
02/02/2010,2.66,2.66,2.66,2.66,489600.00
03/02/2010,2.68,2.68,2.65,2.65,85500.00
04/02/2010,2.63,2.63,2.57,2.61,2057921.00
05/02/2010,2.57,2.59,2.52,2.59,1327878.00
08/02/2010,2.59,2.68,2.55,2.68,1838168.00
09/02/2010,2.68,2.70,2.68,2.70,545721.00
10/02/2010,2.74,2.74,2.74,2.74,453597.00
11/02/2010,2.72,2.76,2.72,2.76,278196.00
12/02/2010,2.76,2.76,2.76,2.76,50800.00
17/02/2010,2.74,2.81,2.74,2.77,114973.00
18/02/2010,2.77,2.81,2.77,2.81,696343.00
19/02/2010,2.81,2.85,2.81,2.85,3801476.00
22/02/2010,2.88,2.88,2.85,2.85,2689548.00
23/02/2010,2.88,2.89,2.83,2.85,3234267.00
24/02/2010,2.88,2.91,2.83,2.83,3745415.00
25/02/2010,2.83,2.87,2.70,2.77,1695026.00
26/02/2010,2.85,2.87,2.81,2.82,1073875.00
01/03/2010,2.85,2.98,2.81,2.88,9716196.00
02/03/2010,2.86,2.87,2.82,2.82,940271.00
03/03/2010,2.85,2.87,2.82,2.83,686497.00
04/03/2010,2.82,2.85,2.82,2.85,320585.00
