date,open,high,low,close,vol
06/08/2019,34.64,36.15,34.40,35.00,36946583.00
07/08/2019,35.39,37.58,34.21,36.82,117515245.00
08/08/2019,38.08,38.08,36.43,36.85,42492861.90
09/08/2019,36.98,37.55,36.53,37.09,41580929.00
12/08/2019,37.35,37.35,36.33,36.50,17147993.00
13/08/2019,36.43,36.92,36.12,36.90,24542781.00
14/08/2019,37.15,37.15,36.21,36.50,17876800.00
15/08/2019,36.50,36.51,35.35,35.99,21272150.00
16/08/2019,35.99,36.57,35.45,36.50,24842235.00
19/08/2019,36.50,37.34,35.51,36.39,48811283.99
20/08/2019,36.03,37.11,35.20,36.89,15627275.00
21/08/2019,36.50,37.23,36.31,36.95,30400353.00
22/08/2019,36.51,37.13,36.12,36.40,19276164.01
23/08/2019,35.85,36.18,34.83,35.79,20398472.00
26/08/2019,36.47,36.47,34.60,35.50,16424300.00
27/08/2019,36.15,36.29,34.96,35.99,16486888.10
28/08/2019,35.95,36.09,35.41,35.99,17499281.00
29/08/2019,36.17,36.27,35.34,36.20,19867976.00
30/08/2019,36.39,38.10,36.10,37.59,81524398.00
02/09/2019,37.09,37.56,36.40,37.04,38375275.00
03/09/2019,37.42,37.42,36.21,36.50,29026099.00
04/09/2019,36.57,36.69,35.84,36.50,15796881.00
05/09/2019,36.50,36.93,36.33,36.65,16231602.00
06/09/2019,36.33,36.78,36.01,36.45,20658206.00
09/09/2019,36.45,36.45,34.59,35.80,21884721.00
10/09/2019,35.28,35.49,34.76,35.49,18810613.14
11/09/2019,35.31,36.42,35.21,36.24,18308854.10
12/09/2019,36.24,36.45,35.70,36.20,14293242.00
13/09/2019,36.00,36.14,35.07,35.53,15624177.00
16/09/2019,35.05,35.09,34.36,34.80,29652353.00
17/09/2019,35.13,35.25,34.38,34.87,28220693.00
18/09/2019,34.92,35.95,34.54,35.95,46640020.01
19/09/2019,35.99,38.48,35.99,37.90,58841931.10
20/09/2019,37.31,38.50,37.31,38.50,53049685.10
23/09/2019,38.51,38.58,37.61,38.58,35785952.01
24/09/2019,38.41,38.99,38.00,38.89,38553508.00
25/09/2019,38.85,38.89,38.07,38.89,33274782.00
26/09/2019,38.89,39.10,38.53,39.00,22710543.00
27/09/2019,39.00,39.48,38.61,39.48,35339206.00
30/09/2019,39.48,39.49,38.85,39.49,45304867.04
01/10/2019,39.76,39.76,38.59,39.37,41996660.00
02/10/2019,39.28,39.32,38.52,39.10,39314795.00
03/10/2019,39.10,39.35,38.29,39.35,24983877.90
04/10/2019,39.36,39.36,38.91,38.98,30655134.00
07/10/2019,38.53,38.78,37.90,38.62,37010069.00
08/10/2019,38.70,38.76,38.08,38.45,23777234.00
09/10/2019,38.75,38.76,38.15,38.73,21238931.00
10/10/2019,38.40,38.60,38.08,38.32,34296962.00
11/10/2019,38.54,38.78,38.09,38.74,14053303.10
14/10/2019,38.70,38.83,38.12,38.83,16981508.14
15/10/2019,38.79,38.79,37.57,38.15,102848317.09
16/10/2019,38.10,39.00,37.65,38.85,23261808.00
17/10/2019,38.56,39.00,38.41,39.00,18222026.00
18/10/2019,39.00,39.50,38.64,39.50,73198792.00
21/10/2019,40.00,40.65,39.18,40.00,118568691.10
22/10/2019,39.95,40.19,39.11,39.32,56891712.00
23/10/2019,39.65,40.87,38.88,40.87,54262260.00
24/10/2019,41.00,41.00,39.67,40.49,47127083.01
25/10/2019,40.54,40.95,39.75,40.79,20401204.00
28/10/2019,40.99,41.88,40.61,41.75,28073141.00
29/10/2019,41.78,41.85,40.91,40.91,35505041.00
30/10/2019,40.90,41.85,40.64,41.70,45785870.00
31/10/2019,41.69,42.80,41.25,42.55,60321262.00
01/11/2019,42.72,42.72,42.25,42.54,22446087.00
04/11/2019,42.54,42.60,42.18,42.40,18320434.00
05/11/2019,42.43,42.47,41.61,41.83,35987117.00
06/11/2019,42.22,42.34,41.61,42.19,17516284.90
07/11/2019,42.07,42.33,41.79,42.09,22312208.00
08/11/2019,42.09,42.09,41.33,41.82,15286758.00
11/11/2019,41.72,42.00,41.49,42.00,12010415.00
12/11/2019,42.19,42.19,41.01,41.01,38127304.00
13/11/2019,41.07,41.62,39.84,40.49,33078341.30
14/11/2019,40.14,43.35,40.14,42.35,101663046.90
18/11/2019,42.15,42.82,41.84,42.50,36464308.00
19/11/2019,42.50,43.37,41.68,42.70,23720390.00
21/11/2019,42.94,43.89,42.41,43.89,13973492.00
22/11/2019,43.50,43.86,43.20,43.75,24708400.00
25/11/2019,43.80,43.80,43.02,43.75,21068041.00
26/11/2019,43.56,43.56,42.25,43.00,32507303.00
27/11/2019,43.20,43.24,42.11,43.04,17837196.00
28/11/2019,43.03,44.00,42.71,44.00,16569538.00
29/11/2019,44.15,44.81,43.32,44.48,35747482.00
02/12/2019,44.40,44.50,43.61,44.45,29213778.00
03/12/2019,44.41,44.43,43.75,44.43,41424650.00
04/12/2019,44.11,44.40,43.87,44.40,24651586.00
05/12/2019,44.35,44.98,43.94,44.35,33077894.00
06/12/2019,44.31,44.71,42.84,44.40,112011194.10
09/12/2019,44.60,44.82,43.54,43.96,107665202.00
10/12/2019,44.05,44.23,43.68,44.00,69145592.00
11/12/2019,44.09,44.35,43.65,43.94,104928315.00
12/12/2019,44.01,44.15,43.15,44.00,111846764.90
13/12/2019,44.01,44.25,43.14,43.66,78031929.00
16/12/2019,44.05,45.18,43.92,44.90,133832731.00
