date,open,high,low,close,vol
24/04/2013,12.22,12.22,11.61,11.71,97371031.00
25/04/2013,11.79,12.07,11.74,11.85,14286765.00
26/04/2013,11.85,11.97,11.77,11.81,31363430.00
29/04/2013,11.91,12.04,11.69,11.98,16566054.00
30/04/2013,11.98,12.15,11.96,12.11,8988736.00
02/05/2013,12.08,12.38,11.71,12.32,10768529.00
03/05/2013,12.25,12.34,12.22,12.28,3996114.00
06/05/2013,12.18,12.30,12.16,12.17,2780476.00
07/05/2013,12.18,12.43,12.08,12.36,11063430.00
08/05/2013,12.36,12.45,12.18,12.45,6122580.00
09/05/2013,12.50,12.50,12.36,12.46,1601555.00
10/05/2013,12.44,12.46,12.32,12.35,396082.00
13/05/2013,12.32,12.43,12.18,12.40,5780169.00
14/05/2013,12.38,12.48,12.32,12.48,4005106.00
15/05/2013,12.36,12.43,12.32,12.38,2088619.00
16/05/2013,12.38,12.40,12.05,12.32,1114426.00
17/05/2013,12.38,12.41,12.25,12.38,432642.00
20/05/2013,12.36,12.38,12.23,12.38,547661.00
21/05/2013,12.25,12.45,12.25,12.45,1297415.00
22/05/2013,12.41,12.54,12.30,12.52,1638465.00
23/05/2013,12.54,12.54,12.38,12.51,339300.00
24/05/2013,12.45,12.52,12.42,12.51,108168.00
27/05/2013,12.51,12.57,12.46,12.51,1574264.00
28/05/2013,12.52,12.52,12.34,12.38,3588548.00
29/05/2013,12.42,12.42,11.91,12.28,5074966.00
31/05/2013,12.20,12.48,12.20,12.45,2973470.00
03/06/2013,12.47,12.47,12.32,12.45,3564952.00
04/06/2013,12.50,12.51,12.36,12.44,2846249.00
05/06/2013,12.50,12.50,12.14,12.37,5887147.00
06/06/2013,12.38,12.45,12.28,12.38,2337160.00
07/06/2013,12.44,12.48,12.09,12.09,5058793.00
10/06/2013,12.19,12.48,12.18,12.24,4361872.00
11/06/2013,12.38,12.38,12.13,12.18,4676301.00
12/06/2013,12.30,12.48,12.26,12.40,5085913.00
13/06/2013,12.28,12.50,12.26,12.50,3207251.00
14/06/2013,12.49,12.49,12.32,12.36,1770003.00
17/06/2013,12.36,12.72,12.36,12.72,19167777.00
18/06/2013,12.78,12.97,12.72,12.89,7879953.00
19/06/2013,12.89,13.35,12.81,12.95,7041308.00
20/06/2013,12.95,13.05,12.52,12.52,12172652.00
21/06/2013,12.59,12.66,12.16,12.25,18854051.00
24/06/2013,12.14,12.30,11.80,12.25,4277065.00
25/06/2013,12.56,12.56,11.96,12.08,2626339.00
26/06/2013,12.23,12.28,11.88,12.12,2712666.00
27/06/2013,12.24,12.51,12.06,12.51,2827278.00
28/06/2013,12.50,12.86,12.26,12.64,5707101.00
01/07/2013,12.64,12.86,12.64,12.72,5622361.00
02/07/2013,12.71,12.76,12.15,12.19,2388434.00
03/07/2013,12.40,12.46,12.22,12.38,2907003.00
04/07/2013,12.52,12.52,12.40,12.45,1932488.00
05/07/2013,12.45,12.45,12.16,12.40,1325768.00
08/07/2013,12.34,12.52,12.24,12.38,3010122.00
10/07/2013,12.39,12.40,12.05,12.12,2119467.00
11/07/2013,12.22,12.30,11.99,12.26,3140602.00
12/07/2013,12.26,12.28,11.95,11.95,7238716.00
15/07/2013,12.05,12.10,11.90,12.05,3023759.00
16/07/2013,12.11,12.11,11.91,12.04,1469485.00
17/07/2013,12.04,12.15,11.95,12.15,898541.00
18/07/2013,12.14,12.14,11.90,11.91,2191024.00
19/07/2013,11.98,11.98,11.53,11.65,9340147.00
22/07/2013,11.75,11.98,11.69,11.91,2776412.00
23/07/2013,11.91,12.12,11.79,11.97,4638228.00
24/07/2013,12.04,12.04,11.71,11.72,1261360.00
25/07/2013,11.73,11.85,11.65,11.72,1228189.00
26/07/2013,11.81,11.85,11.68,11.78,1518371.00
29/07/2013,11.78,11.94,11.71,11.71,3022954.00
30/07/2013,11.82,11.82,11.65,11.78,1575128.00
31/07/2013,11.78,11.90,11.68,11.71,4028847.00
01/08/2013,11.71,11.80,11.65,11.71,3743988.00
02/08/2013,11.75,11.77,11.65,11.71,986712.00
05/08/2013,11.71,11.77,11.65,11.71,1167029.00
06/08/2013,11.65,11.71,11.27,11.29,3885936.00
07/08/2013,11.37,11.43,11.32,11.38,6664251.00
08/08/2013,11.47,11.47,11.23,11.41,1522282.00
09/08/2013,11.38,11.45,11.21,11.21,2479850.00
12/08/2013,11.31,11.31,11.12,11.18,2176028.00
13/08/2013,11.27,11.27,10.94,11.02,3652817.00
14/08/2013,11.09,11.58,11.09,11.42,3937141.00
15/08/2013,11.37,11.48,11.02,11.32,10899234.00
16/08/2013,11.25,11.44,11.25,11.40,2468464.00
19/08/2013,11.44,11.44,11.29,11.41,729127.00
20/08/2013,11.44,11.44,11.22,11.22,1794265.00
21/08/2013,11.36,11.36,11.01,11.18,2992009.00
22/08/2013,11.11,11.50,11.11,11.50,2804675.00
23/08/2013,11.34,11.70,11.34,11.51,1761040.00
26/08/2013,11.45,11.65,11.43,11.43,918765.00
27/08/2013,11.43,11.51,11.10,11.12,3623193.00
28/08/2013,11.12,11.44,11.05,11.16,1523548.00
29/08/2013,11.27,11.43,11.12,11.35,2836380.00
30/08/2013,11.41,11.45,11.29,11.43,1983001.00
02/09/2013,11.32,11.58,11.32,11.55,3384331.00
03/09/2013,11.39,11.65,11.39,11.61,4194417.00
04/09/2013,11.61,11.65,11.49,11.64,880926.00
05/09/2013,11.63,11.87,11.50,11.61,1446566.00
06/09/2013,11.60,11.74,11.50,11.60,8980722.00
09/09/2013,11.60,11.81,11.44,11.69,2272282.00
10/09/2013,11.77,11.81,11.59,11.79,3022640.00
11/09/2013,11.87,11.87,11.57,11.59,1778575.00
