date,open,high,low,close,vol
18/12/2009,8.48,8.69,8.44,8.65,1975227.00
21/12/2009,8.59,8.73,8.59,8.65,6406097.00
22/12/2009,8.69,8.77,8.57,8.77,4926303.00
23/12/2009,8.62,8.81,8.62,8.80,14699316.00
28/12/2009,8.69,8.85,8.69,8.72,1233697.00
29/12/2009,8.67,8.81,8.67,8.77,1923044.00
30/12/2009,8.82,9.15,8.81,9.15,2381169.00
04/01/2010,8.81,9.72,8.81,9.60,654153.00
05/01/2010,9.51,9.98,9.51,9.98,2643811.00
06/01/2010,10.02,10.27,9.74,9.97,1526731.00
07/01/2010,9.90,10.21,9.85,10.21,962479.00
08/01/2010,10.10,10.73,10.03,10.71,981110.00
11/01/2010,10.73,10.93,10.64,10.88,771584.00
12/01/2010,10.81,11.16,10.77,10.96,2102981.00
13/01/2010,11.06,11.22,11.05,11.11,773440.00
14/01/2010,11.14,11.38,10.97,11.27,1229031.00
15/01/2010,10.97,11.09,10.97,11.06,409016.00
18/01/2010,11.06,11.47,11.06,11.33,173030.00
19/01/2010,11.31,11.31,11.02,11.12,216991.00
20/01/2010,11.12,11.12,10.64,10.81,1888350.00
21/01/2010,10.73,10.81,10.39,10.41,800362.00
22/01/2010,10.39,10.80,10.39,10.73,1214853.00
26/01/2010,10.81,10.81,10.21,10.37,1098260.00
27/01/2010,10.06,10.31,10.02,10.18,862382.00
28/01/2010,10.03,10.31,10.03,10.31,1513758.00
29/01/2010,10.38,10.39,10.20,10.39,463450.00
01/02/2010,10.21,10.97,10.21,10.83,363006.00
02/02/2010,10.97,11.45,10.81,11.22,2208690.00
03/02/2010,11.22,11.23,10.83,11.02,1457449.00
04/02/2010,11.39,11.39,10.67,11.18,6139136.00
05/02/2010,10.93,11.43,10.14,10.81,8896992.00
08/02/2010,11.14,11.29,10.90,11.10,1919091.00
09/02/2010,11.22,12.26,11.22,12.08,7583691.00
10/02/2010,12.17,12.35,11.65,11.85,4508179.00
11/02/2010,12.01,12.01,11.67,11.91,1609333.00
12/02/2010,12.20,12.20,11.73,11.97,701512.00
17/02/2010,12.14,12.14,11.81,11.81,348925.00
18/02/2010,11.81,12.05,11.75,11.81,1122055.00
19/02/2010,11.81,11.89,11.76,11.81,523913.00
22/02/2010,11.74,11.81,11.57,11.68,647918.00
23/02/2010,11.64,11.64,11.33,11.43,2264573.00
24/02/2010,11.34,11.81,11.33,11.80,1592679.00
25/02/2010,11.81,11.97,11.36,11.89,6418967.00
26/02/2010,11.89,12.04,11.72,11.89,1558100.00
01/03/2010,11.87,12.68,11.87,12.21,2193638.00
