date,open,high,low,close,vol
28/10/2013,18.16,18.16,17.75,17.89,81554278.00
29/10/2013,17.88,17.92,17.55,17.63,11370994.00
30/10/2013,17.51,17.51,17.24,17.24,9499433.00
31/10/2013,17.04,17.98,17.04,17.86,18572765.00
01/11/2013,17.63,18.59,17.59,18.53,3502657.00
04/11/2013,18.89,19.81,18.73,19.54,10941681.00
05/11/2013,19.53,20.10,19.37,20.02,4012124.00
06/11/2013,20.03,20.38,19.41,19.44,1496351.00
07/11/2013,19.44,20.02,19.44,20.02,2258035.00
08/11/2013,20.02,20.21,19.72,20.06,1955942.00
11/11/2013,19.93,20.05,19.91,20.05,185021.00
12/11/2013,19.93,20.05,19.71,19.97,4975469.00
13/11/2013,19.97,20.16,19.88,20.16,995816.00
14/11/2013,20.16,20.48,19.97,20.48,2418735.00
18/11/2013,20.49,20.57,20.23,20.34,5010760.00
19/11/2013,20.35,20.35,19.57,20.25,3013464.00
21/11/2013,20.01,20.16,19.57,19.57,4188722.00
22/11/2013,19.68,19.82,18.92,19.20,3690595.00
25/11/2013,19.11,19.60,19.03,19.27,1126665.00
26/11/2013,19.59,20.15,18.82,20.15,1828405.00
27/11/2013,19.97,20.15,19.76,20.11,1021001.00
28/11/2013,20.11,20.16,19.88,20.07,1118352.00
29/11/2013,19.88,20.25,19.80,20.07,1202495.00
02/12/2013,19.65,19.95,19.56,19.95,972823.00
03/12/2013,19.61,19.82,19.14,19.54,2736774.00
04/12/2013,19.10,19.54,19.09,19.32,2292189.00
05/12/2013,18.85,19.55,18.73,19.27,3862470.00
06/12/2013,19.18,19.18,18.70,19.18,2087395.00
09/12/2013,19.04,19.04,18.79,18.90,3624951.00
10/12/2013,18.86,18.91,18.29,18.71,10853098.00
11/12/2013,18.67,18.77,18.57,18.73,6518400.00
12/12/2013,18.63,18.82,18.44,18.67,4464788.00
13/12/2013,18.63,19.14,18.63,19.14,7634409.00
16/12/2013,19.13,19.35,18.96,19.35,5473202.00
17/12/2013,19.27,19.55,19.27,19.55,7195156.00
18/12/2013,19.66,19.92,19.26,19.92,7018907.00
19/12/2013,19.78,20.39,19.77,20.39,4681609.00
20/12/2013,20.38,20.48,19.58,20.19,11224872.00
23/12/2013,20.18,20.39,20.00,20.39,2995643.00
26/12/2013,20.38,20.39,20.02,20.02,1649455.00
27/12/2013,20.19,20.19,19.58,19.74,4098637.00
30/12/2013,19.89,19.89,19.38,19.74,10015278.00
02/01/2014,19.78,19.78,19.00,19.32,2810377.00
03/01/2014,19.39,19.54,19.14,19.27,3894646.00
06/01/2014,19.18,19.39,19.00,19.09,7382450.00
07/01/2014,19.18,19.31,18.76,18.76,1674068.00
08/01/2014,18.73,18.93,18.58,18.87,2277408.00
09/01/2014,18.79,19.14,18.17,18.44,2501825.00
10/01/2014,18.44,18.52,17.92,18.20,3229353.00
13/01/2014,18.19,18.20,17.93,18.06,2820670.00
14/01/2014,18.05,18.25,17.98,18.16,1783811.00
15/01/2014,18.14,18.53,18.14,18.48,2966361.00
16/01/2014,18.61,18.76,18.57,18.75,532713.00
17/01/2014,18.88,19.08,18.61,19.08,454718.00
20/01/2014,19.09,19.09,18.16,18.58,4260646.00
21/01/2014,18.53,18.62,18.03,18.16,1753945.00
22/01/2014,18.13,18.13,17.75,17.83,4332996.00
23/01/2014,17.78,17.83,17.41,17.41,1455128.00
24/01/2014,17.54,17.87,17.30,17.87,722618.00
27/01/2014,17.76,18.02,17.36,17.60,865871.00
28/01/2014,17.69,18.13,17.52,17.55,1022956.00
29/01/2014,17.60,17.60,16.99,17.23,1446677.00
30/01/2014,17.34,17.64,17.05,17.05,837350.00
31/01/2014,16.99,17.60,16.64,17.12,6864231.00
03/02/2014,17.23,17.23,16.56,16.67,1310138.00
04/02/2014,16.68,16.85,16.43,16.66,1589576.00
05/02/2014,16.59,17.04,16.59,16.95,474123.00
06/02/2014,16.86,17.50,16.86,17.50,6105364.00
07/02/2014,17.41,18.16,17.34,17.92,1634768.00
10/02/2014,17.92,17.92,17.39,17.88,2517875.00
11/02/2014,17.90,17.97,17.73,17.83,3718317.00
12/02/2014,17.86,17.86,17.53,17.69,2810593.00
13/02/2014,17.51,17.85,17.11,17.69,2810059.00
14/02/2014,17.75,17.75,17.34,17.36,4261272.00
17/02/2014,17.43,17.66,17.25,17.60,965916.00
18/02/2014,17.57,17.60,17.29,17.54,1818978.00
19/02/2014,17.18,17.31,16.67,16.99,6521474.00
20/02/2014,16.83,17.04,16.70,16.85,1694977.00
21/02/2014,16.91,17.21,16.81,16.99,1383446.00
24/02/2014,16.82,17.13,16.82,17.10,3198318.00
25/02/2014,16.92,18.16,16.92,17.74,5116068.00
26/02/2014,17.65,18.24,17.65,17.88,3042855.00
27/02/2014,17.95,18.06,17.61,17.88,2120166.00
28/02/2014,17.90,18.62,17.65,18.62,8909624.00
05/03/2014,18.23,18.32,18.05,18.20,1808827.00
06/03/2014,18.10,18.48,17.88,17.97,4906975.00
07/03/2014,17.90,18.16,17.51,17.88,5090616.00
10/03/2014,17.68,17.71,17.31,17.31,2318663.00
11/03/2014,17.45,17.69,17.35,17.51,2095484.00
12/03/2014,17.38,17.70,17.24,17.56,1527560.00
13/03/2014,17.68,17.75,17.28,17.56,1652740.00
14/03/2014,17.69,17.83,17.33,17.43,910071.00
17/03/2014,17.62,17.83,17.24,17.83,2854066.00
18/03/2014,17.69,17.83,17.52,17.83,6103834.00
19/03/2014,18.14,18.25,17.66,17.84,3027362.00
20/03/2014,17.71,18.34,17.58,18.19,8266702.00
21/03/2014,18.20,18.20,17.69,18.04,3763543.00
24/03/2014,18.40,18.40,17.72,18.05,5866705.00
25/03/2014,18.05,18.16,17.86,18.16,14915675.00
26/03/2014,18.32,18.98,17.98,18.86,7795419.00
27/03/2014,18.72,19.24,18.72,19.24,3916957.00
28/03/2014,19.37,19.90,19.26,19.87,7941944.00
31/03/2014,19.87,20.23,19.87,20.01,20888155.00
01/04/2014,19.96,20.35,19.84,19.84,10017744.00
02/04/2014,19.76,20.21,19.74,20.02,5497513.00
03/04/2014,20.19,20.19,19.66,19.74,1522365.00
04/04/2014,19.83,20.11,19.48,19.68,1746357.00
07/04/2014,19.89,19.89,19.60,19.68,1756893.00
08/04/2014,20.00,20.00,19.44,19.52,595994.00
09/04/2014,19.41,19.47,19.15,19.37,2545201.00
10/04/2014,19.36,19.49,19.19,19.19,3035626.00
11/04/2014,19.93,21.75,19.93,21.28,49116400.00
14/04/2014,21.29,22.16,21.29,21.94,5819686.00
15/04/2014,21.80,22.13,21.60,22.07,3601883.00
16/04/2014,22.34,22.81,22.14,22.77,6452621.00
17/04/2014,22.82,23.28,22.59,23.28,12929244.00
22/04/2014,23.15,23.88,23.11,23.19,3712895.00
23/04/2014,23.00,23.41,22.96,23.37,8495360.00
24/04/2014,23.43,23.58,22.63,22.63,7075248.00
25/04/2014,22.72,22.79,22.36,22.53,8198446.00
28/04/2014,22.27,23.07,22.25,22.61,8393277.00
29/04/2014,22.85,23.48,22.82,23.28,5494014.00
30/04/2014,23.36,23.60,22.97,23.42,7866656.00
02/05/2014,23.40,24.69,23.40,24.51,18889221.00
05/05/2014,24.51,24.96,24.32,24.89,10768115.00
06/05/2014,24.91,25.18,24.79,25.10,5050591.00
07/05/2014,25.10,26.73,24.82,25.73,12986525.00
08/05/2014,25.59,26.04,24.65,24.73,25405591.00
09/05/2014,24.32,25.12,24.28,25.03,135520064.00
12/05/2014,25.11,25.98,25.10,25.61,6316546.00
13/05/2014,25.74,26.48,25.74,26.20,15683713.00
14/05/2014,26.29,26.57,26.05,26.34,7271910.00
15/05/2014,26.20,26.47,26.06,26.19,2388931.00
16/05/2014,26.10,26.34,25.91,26.34,5978420.00
19/05/2014,26.16,26.79,26.16,26.38,9157048.00
20/05/2014,26.39,26.76,26.33,26.57,4148917.00
21/05/2014,26.64,26.90,26.20,26.37,2637386.00
22/05/2014,26.48,26.70,26.34,26.63,3860424.00
23/05/2014,26.71,27.32,26.48,26.66,3697928.00
26/05/2014,26.75,27.54,26.62,27.18,2701535.00
27/05/2014,27.60,27.62,26.34,26.34,3847528.00
28/05/2014,26.45,26.86,26.40,26.86,9234286.00
29/05/2014,26.93,26.99,26.54,26.63,3344255.00
30/05/2014,26.59,27.60,26.54,27.59,20218847.00
02/06/2014,27.59,28.23,27.20,27.56,18430622.00
03/06/2014,27.36,27.88,27.36,27.82,14823741.00
04/06/2014,27.56,27.96,27.44,27.67,3730796.00
05/06/2014,27.72,27.97,27.63,27.69,4354619.00
06/06/2014,27.93,28.02,27.41,27.42,14760922.00
09/06/2014,27.53,27.69,27.42,27.53,2444236.00
10/06/2014,27.69,29.19,27.43,28.51,7974759.00
11/06/2014,28.76,29.24,28.58,28.96,10683932.00
13/06/2014,28.98,29.14,28.56,28.70,12008694.00
16/06/2014,28.70,28.77,28.44,28.72,6945600.00
17/06/2014,28.66,28.83,28.28,28.39,4153306.00
18/06/2014,28.51,28.64,27.50,27.69,9259444.00
20/06/2014,27.68,28.02,27.60,27.65,4937945.00
23/06/2014,27.86,28.24,27.24,27.27,3538943.00
