date,open,high,low,close,vol
02/02/2011,16.13,17.31,15.94,16.72,309359704.00
03/02/2011,16.61,16.61,16.23,16.57,36962554.00
04/02/2011,16.52,16.75,16.45,16.53,18295995.00
07/02/2011,16.53,16.87,16.45,16.53,8318216.00
08/02/2011,16.24,16.60,15.78,15.82,12163174.00
09/02/2011,15.94,16.36,15.27,15.27,24142565.00
10/02/2011,15.31,15.91,15.03,15.74,12451069.00
11/02/2011,15.43,16.21,15.43,16.01,6132985.00
14/02/2011,15.91,16.13,15.54,15.94,6969852.00
15/02/2011,15.90,16.32,15.90,16.29,2121093.00
16/02/2011,16.14,16.55,16.13,16.37,11353782.00
17/02/2011,16.02,16.36,15.76,16.05,2462141.00
18/02/2011,15.98,16.68,15.75,16.29,11966144.00
21/02/2011,16.29,16.61,16.13,16.13,801521.00
22/02/2011,16.13,16.30,15.85,16.13,6966613.00
23/02/2011,16.32,16.40,16.17,16.40,4713003.00
24/02/2011,16.27,16.56,16.16,16.21,6382632.00
25/02/2011,16.50,16.50,16.29,16.49,371379.00
28/02/2011,16.45,16.94,16.45,16.84,5120282.00
01/03/2011,16.54,16.84,16.37,16.53,1998281.00
02/03/2011,16.45,16.83,16.45,16.53,2640005.00
03/03/2011,16.77,16.80,16.61,16.72,1043071.00
04/03/2011,16.76,17.07,16.69,16.84,1091369.00
09/03/2011,16.84,18.10,16.84,17.71,2867280.00
10/03/2011,17.71,18.33,17.47,18.10,6123551.00
11/03/2011,18.09,18.49,18.01,18.09,2753622.00
14/03/2011,18.25,18.39,18.10,18.26,6081127.00
15/03/2011,18.49,18.49,17.61,17.79,4531614.00
16/03/2011,17.82,18.18,17.45,18.10,5808538.00
17/03/2011,17.90,18.18,17.79,18.18,1873467.00
18/03/2011,18.17,18.17,17.75,17.75,2259710.00
21/03/2011,17.89,18.18,17.89,18.08,445904.00
22/03/2011,18.15,18.29,18.02,18.18,4236310.00
23/03/2011,18.18,18.38,17.82,17.82,5112593.00
24/03/2011,18.12,18.49,17.94,18.30,651432.00
25/03/2011,18.49,18.89,18.12,18.69,1556211.00
28/03/2011,18.57,18.82,18.49,18.73,185260.00
29/03/2011,18.69,18.70,18.50,18.50,595033.00
30/03/2011,18.89,18.89,17.94,17.94,2757498.00
31/03/2011,17.91,18.10,17.79,17.90,3239439.00
01/04/2011,18.17,18.19,17.62,17.62,905939.00
04/04/2011,17.71,18.00,17.66,17.70,16159916.00
05/04/2011,18.08,18.08,17.71,17.71,1918929.00
06/04/2011,17.75,17.97,17.71,17.71,201011.00
07/04/2011,17.53,17.90,17.31,17.90,1165417.00
08/04/2011,17.90,18.41,17.90,18.10,571369.00
11/04/2011,18.10,18.45,18.10,18.10,334874.00
12/04/2011,18.10,18.37,18.10,18.11,190992.00
13/04/2011,18.19,18.73,18.19,18.61,11069696.00
14/04/2011,18.88,19.66,18.88,19.36,5478346.00
15/04/2011,19.67,20.23,19.37,19.64,1655872.00
18/04/2011,19.83,19.91,19.36,19.58,356625.00
19/04/2011,19.60,19.60,19.04,19.17,1891173.00
20/04/2011,19.60,19.66,19.16,19.16,2592187.00
25/04/2011,18.81,19.19,18.73,18.96,549784.00
26/04/2011,19.06,19.28,19.04,19.12,2746107.00
27/04/2011,19.18,19.24,19.04,19.12,1509431.00
28/04/2011,19.05,19.27,19.04,19.04,2030644.00
29/04/2011,19.08,19.19,19.04,19.19,1208474.00
