date,open,high,low,close,vol
11/04/2017,21.80,22.97,21.76,22.39,292446466.00
12/04/2017,22.44,22.98,22.29,22.95,39625615.00
13/04/2017,22.96,23.00,22.54,22.98,12543130.00
17/04/2017,22.99,22.99,22.61,22.84,5688519.00
18/04/2017,22.81,24.78,22.59,23.90,26881451.00
19/04/2017,23.99,24.33,23.89,23.91,10655407.00
20/04/2017,24.10,24.38,23.50,23.85,17782320.00
24/04/2017,24.09,24.41,23.69,24.19,9215122.00
25/04/2017,24.19,24.24,23.92,24.09,6875875.00
26/04/2017,24.01,24.38,23.70,23.93,10696070.00
27/04/2017,23.60,23.84,23.23,23.72,5233478.00
28/04/2017,23.72,24.08,23.70,23.95,3146957.00
02/05/2017,23.99,25.69,23.96,25.39,21448644.00
03/05/2017,25.42,25.90,25.00,25.49,5235758.00
04/05/2017,25.42,26.48,25.39,26.25,6078547.00
05/05/2017,26.98,26.98,26.19,26.59,3550375.00
08/05/2017,26.60,27.43,25.63,25.99,8231517.00
09/05/2017,26.46,26.49,25.60,25.79,5194891.00
10/05/2017,25.81,26.38,25.63,25.68,11514527.00
11/05/2017,25.59,25.67,24.87,25.24,5887840.00
12/05/2017,25.78,25.78,24.89,25.24,3924817.00
15/05/2017,26.68,26.68,25.35,25.67,31239197.00
16/05/2017,25.88,26.29,25.69,26.29,19985529.00
17/05/2017,26.33,26.89,25.99,26.49,28756872.00
18/05/2017,22.99,24.13,21.75,22.71,18924964.00
19/05/2017,23.60,23.94,22.99,22.99,12829885.00
22/05/2017,23.11,23.11,21.71,22.19,28799335.00
23/05/2017,22.22,22.61,21.79,22.03,13604214.00
24/05/2017,22.09,24.71,22.09,23.94,21322938.00
25/05/2017,24.11,25.63,24.11,25.10,27290023.00
26/05/2017,25.32,25.52,25.01,25.20,11613260.00
29/05/2017,25.21,25.21,24.80,24.80,1745127.00
30/05/2017,24.80,25.32,24.80,24.84,46203745.00
31/05/2017,24.99,25.12,23.58,23.58,6121803.00
01/06/2017,24.19,24.27,22.99,22.99,4490289.00
02/06/2017,23.39,23.66,22.72,23.15,3112834.00
05/06/2017,22.65,23.67,22.65,23.59,9567517.00
06/06/2017,24.29,24.29,23.00,23.46,8126339.00
07/06/2017,23.99,23.99,23.35,23.56,9819570.00
08/06/2017,23.56,23.56,22.79,22.89,4789540.00
09/06/2017,23.18,23.24,22.84,23.14,3417039.00
12/06/2017,23.23,23.30,22.69,22.69,5951848.00
13/06/2017,22.79,23.71,22.29,23.34,6084801.00
14/06/2017,23.34,23.55,22.70,22.89,4396940.00
16/06/2017,22.64,22.99,22.52,22.56,1687984.00
19/06/2017,22.41,22.69,22.36,22.59,5523118.00
20/06/2017,22.59,23.39,22.47,22.94,2839418.00
21/06/2017,22.97,23.28,22.77,22.99,10935790.00
22/06/2017,23.20,23.20,22.74,22.79,1396076.00
23/06/2017,22.85,23.62,22.82,23.30,3658122.00
26/06/2017,23.55,23.55,23.17,23.34,5891114.00
27/06/2017,23.26,23.51,23.20,23.24,7777091.00
28/06/2017,23.25,23.46,22.86,23.07,6142769.00
29/06/2017,23.06,23.34,22.79,23.12,13268165.00
30/06/2017,22.89,23.44,22.89,23.44,3676485.00
03/07/2017,23.44,23.75,23.37,23.75,7861069.00
04/07/2017,23.69,23.91,23.63,23.91,555767.00
05/07/2017,23.64,24.26,23.61,24.26,7631162.00
06/07/2017,24.04,24.40,23.79,24.16,6440993.00
07/07/2017,24.25,25.36,24.09,25.02,13594347.00
10/07/2017,25.03,25.65,24.99,25.29,3364153.00
11/07/2017,25.45,25.45,24.82,24.95,2584663.00
12/07/2017,25.46,25.46,24.80,24.95,2830696.00
13/07/2017,25.28,25.44,25.08,25.08,3134369.00
14/07/2017,25.10,25.41,24.99,25.20,3727737.00
17/07/2017,25.19,25.98,25.00,25.86,10164505.00
18/07/2017,25.97,26.36,25.79,26.07,9674345.00
19/07/2017,26.13,26.74,26.13,26.49,4723759.00
20/07/2017,26.53,26.53,25.69,25.99,6533158.00
21/07/2017,25.97,26.24,25.34,26.24,2453670.00
24/07/2017,26.26,26.44,26.05,26.32,16422420.00
25/07/2017,26.32,26.64,26.29,26.52,4252662.00
26/07/2017,26.52,26.73,26.24,26.69,7613003.00
27/07/2017,26.71,26.77,26.16,26.59,9290532.00
28/07/2017,26.44,26.74,25.61,26.60,5291597.00
31/07/2017,26.59,27.73,26.39,27.29,6416637.00
01/08/2017,27.29,27.71,26.69,27.19,6264544.00
02/08/2017,26.99,27.49,26.76,27.41,17883270.00
03/08/2017,27.22,28.03,27.15,28.03,14086851.00
04/08/2017,28.07,28.35,27.49,27.79,40420914.00
07/08/2017,27.89,28.07,27.52,27.61,2807132.00
08/08/2017,27.71,28.22,27.56,27.69,5571858.00
09/08/2017,27.60,28.14,26.99,27.99,8525049.00
10/08/2017,27.72,27.74,26.75,27.48,6104531.00
11/08/2017,27.48,27.48,26.14,26.99,12785494.00
14/08/2017,27.19,27.95,27.03,27.49,7516128.00
15/08/2017,27.69,27.89,27.10,27.20,4081654.00
16/08/2017,27.16,27.48,26.88,27.39,4169098.00
17/08/2017,27.20,27.20,26.37,26.59,4712478.00
18/08/2017,26.74,27.34,25.92,26.69,5154441.00
21/08/2017,26.69,26.74,26.16,26.19,3380320.00
22/08/2017,26.39,26.77,25.99,26.69,5016957.00
23/08/2017,26.50,26.78,25.87,25.99,7223779.00
24/08/2017,26.00,26.34,26.00,26.09,5154225.00
25/08/2017,26.34,26.39,26.10,26.39,5525514.00
28/08/2017,26.39,26.49,25.99,26.09,5651526.00
29/08/2017,26.14,26.49,26.04,26.29,2410873.00
30/08/2017,26.21,26.36,25.67,26.14,4641707.00
31/08/2017,26.14,26.59,25.49,26.54,5570058.00
01/09/2017,26.54,26.88,26.32,26.88,9907392.00
04/09/2017,26.99,27.35,26.89,27.17,6150918.00
05/09/2017,27.24,27.58,26.87,27.30,10797684.00
06/09/2017,27.26,27.85,27.14,27.83,15767025.00
08/09/2017,27.83,27.83,27.29,27.63,10042431.00
11/09/2017,27.68,27.98,27.43,27.89,16522364.00
12/09/2017,27.99,27.99,26.19,26.43,91974863.00
13/09/2017,26.69,27.90,26.21,27.90,29457112.00
14/09/2017,27.79,29.69,27.49,28.80,35994373.00
15/09/2017,28.29,30.24,28.20,29.99,186605442.00
18/09/2017,30.21,30.39,29.68,29.80,35952113.00
19/09/2017,29.84,30.03,28.49,30.03,57720760.00
20/09/2017,30.04,30.71,29.67,30.30,45149747.00
21/09/2017,30.23,30.88,29.74,30.38,31683446.00
22/09/2017,30.12,30.13,29.40,29.84,7853508.00
25/09/2017,29.92,30.14,27.89,29.39,13482711.00
26/09/2017,29.38,29.66,28.69,28.87,6438889.00
27/09/2017,28.90,29.15,27.55,28.76,40944087.00
28/09/2017,28.54,28.54,27.78,28.24,9932628.00
29/09/2017,28.31,29.19,28.29,29.19,22367574.00
02/10/2017,29.19,29.19,28.71,28.71,15563345.00
03/10/2017,28.59,30.39,28.59,29.89,11477920.00
04/10/2017,29.79,30.15,29.39,29.89,14226988.00
05/10/2017,30.09,30.59,30.05,30.11,9772277.00
06/10/2017,29.68,30.43,29.49,30.05,8136090.00
09/10/2017,30.14,30.34,29.71,29.99,10290486.00
10/10/2017,30.19,30.84,30.09,30.39,13524697.00
11/10/2017,30.50,30.51,29.54,29.84,17517688.00
13/10/2017,29.88,29.88,29.01,29.19,11993772.00
16/10/2017,29.10,29.26,27.75,28.70,24739013.00
17/10/2017,28.49,28.62,28.04,28.44,12599083.00
18/10/2017,28.58,29.24,28.46,28.90,11570167.00
19/10/2017,28.89,29.18,27.55,28.49,21368249.00
20/10/2017,28.70,29.34,28.49,29.29,9723247.00
23/10/2017,29.13,29.48,28.64,29.05,14007959.00
24/10/2017,28.86,29.98,28.53,29.96,20834292.00
25/10/2017,29.98,30.51,29.50,29.99,15713443.00
26/10/2017,29.73,29.98,29.33,29.59,55953042.00
27/10/2017,29.43,29.93,29.27,29.93,12411146.00
30/10/2017,29.69,29.69,28.20,28.49,11838677.00
31/10/2017,28.49,28.49,27.39,27.39,11793618.00
01/11/2017,27.49,27.94,26.99,27.35,26215813.00
03/11/2017,27.35,27.67,26.34,26.79,18213656.00
06/11/2017,27.58,27.58,26.56,26.83,5259327.00
07/11/2017,26.39,26.57,25.44,25.89,20565658.00
08/11/2017,26.14,27.29,26.10,26.99,23236804.00
09/11/2017,27.75,28.90,26.79,27.19,30229031.00
10/11/2017,27.44,27.69,26.54,27.08,17832349.00
13/11/2017,26.64,27.08,26.36,26.79,13200941.00
14/11/2017,26.84,26.99,26.10,26.43,17725955.00
16/11/2017,26.26,26.89,26.26,26.69,34716292.00
17/11/2017,26.91,26.91,26.54,26.72,11037215.00
21/11/2017,27.29,28.49,27.02,27.99,67695066.00
22/11/2017,28.04,28.09,27.29,27.87,19682303.00
23/11/2017,27.63,28.39,27.47,27.80,4243096.00
24/11/2017,28.03,28.19,27.75,28.08,8024038.00
27/11/2017,28.04,28.19,27.75,27.95,6424320.00
28/11/2017,27.76,28.33,27.76,28.14,11965820.00
29/11/2017,28.14,28.30,27.65,27.74,11578804.00
30/11/2017,27.32,27.43,25.98,26.86,34265093.00
01/12/2017,26.84,27.25,26.37,26.94,20398824.00
04/12/2017,26.98,27.65,26.98,27.24,43487407.00
05/12/2017,27.27,27.68,27.02,27.06,30620531.00
06/12/2017,26.99,27.28,26.84,26.99,16029855.00
07/12/2017,26.98,27.40,26.29,26.98,16519136.00
08/12/2017,27.05,27.77,26.84,26.89,137369333.00
11/12/2017,27.08,27.09,26.33,26.69,12592561.00
12/12/2017,26.42,27.03,26.15,26.82,11862940.00
13/12/2017,27.29,27.29,26.40,26.54,31761624.00
14/12/2017,26.25,26.54,25.86,26.27,34835332.00
15/12/2017,26.53,26.61,25.59,25.59,125197392.00
18/12/2017,26.00,26.00,25.70,25.79,16471805.00
19/12/2017,25.83,25.96,25.50,25.89,10538212.00
20/12/2017,26.06,26.34,25.90,26.16,10899796.00
21/12/2017,26.49,26.73,26.14,26.49,16994516.00
22/12/2017,26.30,26.68,26.23,26.49,9830696.00
26/12/2017,26.49,26.60,26.25,26.44,5573768.00
27/12/2017,26.64,26.65,26.00,26.33,11313165.00
28/12/2017,26.52,26.89,26.38,26.89,61330807.00
02/01/2018,26.99,27.36,26.88,27.14,18112471.00
03/01/2018,26.99,27.26,26.61,27.05,8099152.00
04/01/2018,26.83,27.46,26.83,27.22,24706944.00
05/01/2018,27.30,27.59,26.59,27.19,18897218.00
08/01/2018,27.19,27.19,26.75,26.90,6187150.00
09/01/2018,26.77,26.99,26.46,26.79,20751465.00
10/01/2018,26.68,27.15,26.36,26.44,25233024.00
11/01/2018,26.44,27.23,26.27,26.54,65047469.00
12/01/2018,26.54,26.72,25.64,26.39,23346453.00
15/01/2018,26.49,26.97,26.08,26.97,5504729.00
16/01/2018,26.83,27.49,26.60,27.14,13615731.00
17/01/2018,27.25,28.49,27.20,28.14,21704557.00
18/01/2018,27.80,28.86,27.79,28.86,26558850.00
19/01/2018,28.88,29.27,28.51,28.61,32503870.00
22/01/2018,28.59,28.99,27.95,28.99,17096457.00
23/01/2018,28.96,28.96,28.40,28.94,6725081.00
24/01/2018,28.98,29.67,28.95,29.49,34486639.00
26/01/2018,29.42,30.19,29.40,30.00,39919523.00
29/01/2018,29.88,30.65,29.34,30.27,18539708.00
30/01/2018,30.26,30.69,29.79,30.46,22433314.00
31/01/2018,30.54,31.69,30.54,31.04,23885882.00
01/02/2018,31.04,31.99,31.04,31.89,25423018.00
02/02/2018,31.88,31.88,30.57,31.19,15398525.00
05/02/2018,31.18,31.26,30.44,30.74,8483339.00
06/02/2018,30.74,31.43,29.99,31.39,18636736.00
07/02/2018,31.49,31.90,30.94,31.09,37780015.00
08/02/2018,31.36,31.36,29.97,30.19,30742611.00
09/02/2018,30.00,30.06,29.09,29.33,31019467.00
14/02/2018,29.89,29.95,29.61,29.78,27245983.00
15/02/2018,29.99,30.19,29.70,29.75,26725314.00
16/02/2018,29.84,29.96,29.35,29.40,68371137.00
19/02/2018,29.39,29.68,29.21,29.39,8025954.00
20/02/2018,29.59,30.59,29.49,30.39,108746001.00
21/02/2018,30.49,31.39,30.29,31.25,106594419.00
22/02/2018,31.30,32.49,31.30,32.48,60166648.06
23/02/2018,32.49,33.17,32.08,32.89,32117983.05
26/02/2018,33.51,34.08,33.19,33.75,29499573.98
27/02/2018,33.19,33.66,33.19,33.66,17337508.99
28/02/2018,33.69,33.71,33.20,33.62,20852165.00
01/03/2018,33.49,33.79,32.64,33.32,22604045.05
02/03/2018,33.26,33.26,32.14,32.89,17020983.01
05/03/2018,32.98,33.65,32.54,33.17,22800444.03
06/03/2018,33.22,34.37,32.71,33.69,66765714.98
07/03/2018,33.49,33.83,33.03,33.39,18836719.02
08/03/2018,33.89,34.99,33.80,34.99,125302667.94
09/03/2018,34.98,36.59,34.44,36.49,118282731.01
12/03/2018,36.29,37.73,36.29,37.16,51312713.98
13/03/2018,37.38,37.48,36.84,37.17,44982081.31
14/03/2018,37.21,37.28,36.45,36.99,31244045.00
15/03/2018,36.79,36.99,36.49,36.81,23771243.01
16/03/2018,36.78,37.27,36.03,36.40,24926623.02
19/03/2018,36.40,36.99,35.55,36.37,32154474.00
20/03/2018,36.68,37.04,36.49,36.67,48861979.10
21/03/2018,37.08,37.48,36.70,37.48,43168613.00
22/03/2018,37.38,37.98,37.01,37.53,36380086.10
23/03/2018,37.38,37.41,36.55,37.16,20915860.97
26/03/2018,37.59,37.97,37.31,37.97,22104650.01
27/03/2018,37.97,38.74,37.65,37.99,37575249.00
28/03/2018,37.98,38.29,37.20,37.68,22810214.00
29/03/2018,37.83,38.62,37.64,38.18,102550554.01
02/04/2018,38.17,38.53,37.07,37.35,23551508.00
03/04/2018,37.45,38.27,37.45,37.98,40320235.10
04/04/2018,37.67,37.67,36.18,36.69,50642310.00
05/04/2018,37.01,38.08,37.01,37.14,43740790.00
06/04/2018,37.35,38.87,37.29,38.67,105264041.98
09/04/2018,38.78,39.38,38.32,38.67,37577776.00
10/04/2018,39.00,39.36,37.14,37.37,47139954.00
11/04/2018,37.34,37.56,35.87,36.39,38490102.01
12/04/2018,36.20,37.28,36.05,37.19,50612312.90
13/04/2018,37.19,37.58,36.36,36.64,64361477.01
16/04/2018,36.64,36.89,35.56,35.88,62619405.00
17/04/2018,37.30,37.81,36.05,36.75,51216359.86
18/04/2018,36.86,37.34,36.65,37.00,70225844.87
19/04/2018,37.00,37.08,36.06,36.59,52821670.00
20/04/2018,36.64,37.15,36.11,36.79,33402279.00
23/04/2018,36.39,37.03,36.39,36.95,18733028.00
24/04/2018,36.93,37.48,35.64,35.84,40029855.99
25/04/2018,35.62,35.62,33.87,34.23,69137992.27
26/04/2018,34.29,34.62,34.00,34.34,52526925.00
27/04/2018,34.57,35.80,34.36,35.40,130003145.00
30/04/2018,35.40,36.39,34.71,36.39,29874484.01
02/05/2018,36.38,36.52,35.36,35.50,62591629.98
03/05/2018,35.10,35.79,33.59,33.77,90314520.99
04/05/2018,33.59,33.99,33.05,33.47,107281347.10
07/05/2018,33.50,33.71,32.59,32.99,34724271.88
08/05/2018,33.19,33.30,32.49,33.08,28424172.01
09/05/2018,33.35,33.39,30.10,30.99,111474556.98
10/05/2018,32.99,32.99,30.38,31.99,108556000.99
11/05/2018,31.69,32.25,30.06,30.55,54055784.00
14/05/2018,30.89,30.96,28.90,29.41,43736990.00
15/05/2018,28.49,28.64,27.14,27.89,137098117.00
16/05/2018,27.85,28.11,27.09,27.29,55725466.00
17/05/2018,27.45,27.52,25.53,25.53,67134237.00
18/05/2018,24.79,26.42,24.23,26.14,78980309.00
21/05/2018,27.09,27.41,26.47,27.39,62210738.00
22/05/2018,27.79,28.64,27.58,28.64,57364427.00
23/05/2018,28.15,28.19,27.20,27.63,46726885.00
24/05/2018,26.86,27.58,26.55,27.39,45735542.00
25/05/2018,27.59,28.87,27.42,28.04,82829331.00
28/05/2018,28.04,28.25,26.75,26.99,18571668.00
29/05/2018,27.79,27.93,26.91,27.07,31390593.00
30/05/2018,27.23,27.39,25.90,26.50,54600858.00
01/06/2018,26.47,26.99,26.09,26.49,34318848.00
04/06/2018,26.64,27.15,26.55,26.99,24505327.00
05/06/2018,26.94,26.99,25.17,25.39,54005256.00
06/06/2018,25.41,25.49,23.65,24.41,73981965.00
07/06/2018,23.74,23.97,22.48,23.50,89005579.00
08/06/2018,23.78,23.92,22.49,23.19,72738388.00
11/06/2018,23.49,24.42,23.49,24.29,32620453.00
12/06/2018,24.49,24.58,23.64,23.80,18545271.00
13/06/2018,23.78,24.14,23.32,23.83,22097129.00
14/06/2018,23.92,24.20,23.27,23.84,22005442.00
15/06/2018,23.42,23.48,22.50,22.82,77362018.00
18/06/2018,22.52,22.94,22.18,22.50,14354575.00
19/06/2018,22.17,23.29,22.09,23.09,36375490.00
20/06/2018,23.31,23.87,22.88,23.35,19000803.00
21/06/2018,23.49,23.49,22.08,22.15,47600309.00
22/06/2018,22.29,22.64,21.97,22.16,21257817.00
25/06/2018,22.10,22.19,21.38,21.86,25819864.00
26/06/2018,21.99,22.24,21.56,21.99,11870429.00
27/06/2018,21.98,21.98,21.09,21.39,57326802.00
28/06/2018,21.49,22.50,20.53,21.49,78663146.90
29/06/2018,21.80,21.88,20.97,21.32,54383117.00
02/07/2018,21.17,21.17,20.30,20.70,16127554.00
03/07/2018,20.59,21.06,20.18,20.72,28898265.00
04/07/2018,20.95,20.99,20.51,20.99,5119232.00
05/07/2018,21.09,21.18,20.42,20.42,26557137.00
06/07/2018,20.39,21.01,20.39,20.79,18936006.00
10/07/2018,20.99,21.33,20.20,20.68,70376888.00
11/07/2018,20.62,20.89,20.41,20.89,15452372.00
12/07/2018,20.98,21.88,20.84,21.72,18353845.00
13/07/2018,21.70,22.20,21.60,21.84,15376353.00
16/07/2018,22.28,23.04,22.28,22.78,37891243.00
17/07/2018,23.04,23.81,22.89,23.67,51461322.00
18/07/2018,23.79,24.41,23.54,23.90,45016617.00
19/07/2018,23.94,23.99,22.79,23.75,23797625.00
20/07/2018,24.49,25.36,23.97,24.17,68177965.00
23/07/2018,24.22,24.63,23.70,24.63,20582432.00
24/07/2018,24.98,25.31,24.74,24.74,27920369.00
25/07/2018,25.07,25.85,25.00,25.75,50885861.00
26/07/2018,25.99,25.99,24.96,25.46,27237498.00
27/07/2018,25.50,25.83,24.97,25.28,23708695.00
30/07/2018,25.47,25.49,24.26,24.31,25281091.00
31/07/2018,24.14,24.22,23.54,24.12,16244894.00
01/08/2018,24.12,24.21,23.33,23.88,28996917.00
02/08/2018,23.79,24.04,23.11,23.74,30462709.00
03/08/2018,24.14,25.09,23.74,24.56,44463323.00
06/08/2018,24.75,24.97,24.00,24.33,31487428.00
07/08/2018,24.51,24.86,23.93,24.42,24379880.00
08/08/2018,24.42,24.66,23.17,23.37,14837817.00
09/08/2018,23.49,24.68,22.99,24.01,69373313.00
10/08/2018,23.99,23.99,22.25,23.09,68469671.00
13/08/2018,22.74,23.61,22.45,23.35,38130150.00
14/08/2018,23.70,24.11,23.59,24.11,31020599.00
15/08/2018,23.85,24.35,23.43,24.30,17872414.00
16/08/2018,24.35,25.02,24.12,24.86,23698134.00
17/08/2018,24.69,24.93,24.18,24.38,49053948.00
20/08/2018,24.48,24.91,24.25,24.53,23931032.00
21/08/2018,24.47,24.50,23.54,23.70,73558085.00
22/08/2018,23.48,23.48,21.87,22.44,81820743.10
23/08/2018,22.50,22.73,21.77,22.04,47399861.00
24/08/2018,22.26,22.44,21.85,21.99,15573357.00
27/08/2018,22.09,22.73,21.95,22.49,19768120.00
28/08/2018,22.49,22.66,22.19,22.64,6578307.00
29/08/2018,22.74,23.05,22.43,22.64,21957469.00
30/08/2018,22.43,22.76,22.07,22.30,23316329.00
31/08/2018,22.39,22.99,22.21,22.99,51557152.00
03/09/2018,22.74,23.64,22.35,23.33,15626149.90
04/09/2018,23.30,23.31,22.14,22.28,19372396.01
05/09/2018,22.24,22.53,22.12,22.37,23443050.00
06/09/2018,22.51,22.88,22.20,22.69,13020440.00
10/09/2018,23.98,24.04,22.80,22.99,15507121.00
11/09/2018,22.92,22.98,21.85,21.99,34850050.00
12/09/2018,22.29,22.38,21.85,21.89,35886874.00
13/09/2018,21.83,22.14,21.59,21.97,35959846.00
14/09/2018,22.04,22.76,21.88,22.59,14874355.00
17/09/2018,22.44,23.81,22.44,23.48,19785406.00
18/09/2018,23.57,23.76,22.90,23.52,36164752.00
19/09/2018,23.54,23.99,23.09,23.84,28919232.00
20/09/2018,23.98,24.60,23.89,24.45,16107336.00
21/09/2018,24.63,25.29,24.36,25.29,25651936.00
24/09/2018,25.13,25.13,23.62,23.68,31578323.00
25/09/2018,23.14,23.85,23.05,23.74,21968907.00
26/09/2018,23.74,24.23,23.54,23.78,12554363.00
27/09/2018,23.73,24.55,23.73,24.52,36460537.00
28/09/2018,24.16,24.34,23.58,24.04,15267460.00
01/10/2018,24.04,24.19,22.63,22.91,24930300.00
02/10/2018,23.59,24.20,23.21,23.80,50422762.00
03/10/2018,24.60,25.55,24.25,24.50,89810733.00
04/10/2018,24.13,24.90,23.77,24.80,22173106.00
05/10/2018,25.06,25.47,24.30,24.99,49475650.00
08/10/2018,26.99,28.40,26.56,28.04,194145187.00
09/10/2018,27.81,29.05,27.49,28.45,97761016.00
10/10/2018,28.23,28.23,26.53,26.53,67402569.00
11/10/2018,26.85,27.43,25.98,26.35,33474184.00
15/10/2018,26.97,27.16,26.31,26.78,38195842.00
16/10/2018,27.03,28.14,26.80,27.74,78252537.00
17/10/2018,27.53,28.07,26.70,27.90,69123664.00
18/10/2018,28.25,29.00,27.84,28.34,84399391.00
19/10/2018,28.50,28.88,27.47,28.00,34308860.00
22/10/2018,29.80,29.80,27.93,28.50,115836920.00
23/10/2018,28.37,28.73,27.81,28.69,63754451.00
24/10/2018,28.70,29.00,27.54,27.70,50383268.00
25/10/2018,27.95,28.27,27.13,27.86,73825548.00
26/10/2018,28.10,29.20,27.50,29.20,92328868.00
29/10/2018,30.97,31.30,28.14,28.73,94478284.00
30/10/2018,29.06,30.96,28.68,30.96,102330290.00
31/10/2018,30.90,31.86,29.28,30.59,167211472.00
01/11/2018,30.80,31.64,29.70,31.64,202808353.00
05/11/2018,31.65,32.80,31.26,32.55,191731986.97
06/11/2018,31.78,32.45,31.45,31.65,131520416.99
07/11/2018,32.02,32.34,30.90,31.45,99253682.00
08/11/2018,31.65,31.97,29.91,30.45,70552419.00
09/11/2018,30.13,31.84,30.06,31.84,53127440.00
