date,open,high,low,close,vol
18/12/2009,15.78,15.96,15.62,15.77,73413118.00
21/12/2009,15.89,15.91,15.56,15.56,46740834.00
22/12/2009,15.78,15.82,15.43,15.53,84127498.00
23/12/2009,15.62,15.72,15.38,15.56,51502971.00
28/12/2009,15.72,15.72,15.50,15.56,27478840.00
29/12/2009,15.58,15.66,15.47,15.53,32738469.00
30/12/2009,15.48,15.93,15.48,15.93,61513697.00
04/01/2010,15.99,16.09,15.93,16.04,108398846.00
05/01/2010,16.15,16.15,15.66,15.88,91140814.00
06/01/2010,15.82,16.09,15.78,15.90,81343976.00
07/01/2010,15.79,15.94,15.78,15.91,45639230.00
08/01/2010,15.93,16.00,15.81,16.00,60537597.00
11/01/2010,16.08,16.13,15.89,16.12,72115125.00
12/01/2010,16.01,16.33,15.94,15.99,80346385.00
13/01/2010,16.09,16.24,15.82,16.19,73989314.00
14/01/2010,16.06,16.14,15.85,15.96,50464104.00
15/01/2010,15.91,16.07,15.60,15.69,64994535.00
18/01/2010,15.82,15.85,15.70,15.70,26010234.00
19/01/2010,15.63,16.02,15.57,15.96,48488532.00
20/01/2010,15.83,15.89,14.93,15.48,102579597.00
21/01/2010,15.56,15.57,14.94,15.23,91557628.00
22/01/2010,14.99,15.40,14.99,15.31,70873755.00
26/01/2010,15.02,15.13,14.76,14.90,105048113.00
27/01/2010,14.86,15.02,14.59,14.78,83139956.00
28/01/2010,14.97,15.01,14.55,14.81,134112370.00
29/01/2010,14.86,15.27,14.84,15.07,98669943.00
01/02/2010,15.21,16.10,15.21,16.09,232289341.00
02/02/2010,16.18,16.50,16.00,16.41,160894416.00
03/02/2010,16.21,16.36,15.91,16.01,79131611.00
04/02/2010,15.88,15.90,15.34,15.72,84821514.00
05/02/2010,15.48,15.66,14.64,14.97,178443087.00
08/02/2010,14.86,15.25,14.86,15.15,96863296.00
09/02/2010,15.34,16.41,15.32,15.91,153139899.00
10/02/2010,16.12,16.31,15.82,16.31,99712115.00
11/02/2010,16.18,16.72,16.09,16.64,117347457.00
12/02/2010,16.46,16.51,16.07,16.36,89088534.00
17/02/2010,16.58,16.70,16.30,16.30,74716573.00
18/02/2010,16.32,16.48,16.24,16.44,88341131.00
19/02/2010,16.30,16.62,16.17,16.47,154658541.00
22/02/2010,16.55,16.60,16.36,16.41,105271318.00
