date,open,high,low,close,vol
18/12/2009,8.01,8.01,7.88,7.96,2651609.00
21/12/2009,8.00,8.06,7.94,7.97,1792041.00
22/12/2009,7.97,8.07,7.97,8.03,106509721.00
23/12/2009,8.05,8.08,7.85,7.94,5527220.00
28/12/2009,8.06,8.06,7.90,7.94,2095220.00
29/12/2009,7.97,8.02,7.94,8.00,5244257.00
30/12/2009,8.05,8.13,7.95,8.13,3620906.00
04/01/2010,8.13,8.40,8.13,8.40,7941958.00
05/01/2010,8.38,8.41,8.19,8.29,4981795.00
06/01/2010,8.25,8.34,8.19,8.24,2214960.00
07/01/2010,8.19,8.23,8.11,8.22,4437788.00
08/01/2010,8.22,8.27,8.11,8.23,3320788.00
11/01/2010,8.22,8.30,8.10,8.21,4057779.00
12/01/2010,8.16,8.27,8.10,8.25,3053649.00
13/01/2010,8.25,8.30,8.16,8.30,8371215.00
14/01/2010,8.24,8.26,8.09,8.19,4961304.00
15/01/2010,8.16,8.18,7.96,8.01,4933704.00
18/01/2010,8.04,8.12,8.04,8.08,1269306.00
19/01/2010,8.06,8.27,8.01,8.22,45896815.00
20/01/2010,8.18,8.18,7.79,7.96,9609930.00
21/01/2010,8.00,8.01,7.63,7.79,3681294.00
22/01/2010,7.72,7.88,7.63,7.88,5967362.00
26/01/2010,7.76,7.91,7.61,7.88,3018526.00
27/01/2010,7.85,7.85,7.64,7.73,3093474.00
28/01/2010,7.88,7.88,7.63,7.79,103813680.00
29/01/2010,7.83,7.85,7.61,7.67,2976046.00
01/02/2010,7.67,7.79,7.66,7.76,2752359.00
02/02/2010,7.81,7.91,7.78,7.85,2421808.00
03/02/2010,7.85,7.91,7.75,7.88,1477750.00
04/02/2010,7.85,7.85,7.56,7.64,3514223.00
05/02/2010,7.61,7.61,7.20,7.44,2261188.00
08/02/2010,7.44,7.46,7.29,7.36,1662067.00
09/02/2010,7.42,7.67,7.42,7.56,2068025.00
10/02/2010,7.56,7.68,7.51,7.68,2986545.00
11/02/2010,7.68,7.80,7.53,7.79,2956433.00
12/02/2010,7.62,7.76,7.54,7.74,989084.00
17/02/2010,7.76,7.90,7.76,7.89,3342597.00
18/02/2010,7.88,7.88,7.77,7.86,542275.00
19/02/2010,7.83,7.83,7.74,7.81,891692.00
22/02/2010,7.81,7.83,7.66,7.67,3727303.00
23/02/2010,7.64,7.65,7.48,7.52,4269419.00
24/02/2010,7.52,7.53,7.44,7.47,3366294.00
25/02/2010,7.39,7.55,7.29,7.47,186557160.00
26/02/2010,7.46,7.64,7.44,7.64,2775314.00
01/03/2010,7.62,7.68,7.58,7.65,1381726.00
02/03/2010,7.66,7.73,7.66,7.72,6552198.00
03/03/2010,7.80,7.82,7.67,7.72,7380447.00
04/03/2010,7.69,7.78,7.69,7.73,2067555.00
05/03/2010,7.78,7.81,7.72,7.76,3670033.00
08/03/2010,7.76,7.78,7.70,7.70,8087692.00
09/03/2010,7.69,7.85,7.67,7.76,7443633.00
10/03/2010,7.76,7.85,7.76,7.78,2762102.00
11/03/2010,7.76,7.80,7.70,7.76,3114214.00
12/03/2010,7.79,7.84,7.69,7.75,1414154.00
15/03/2010,7.69,7.76,7.66,7.72,1678500.00
16/03/2010,7.72,7.79,7.72,7.78,2677078.00
17/03/2010,7.80,7.83,7.67,7.73,2971267.00
18/03/2010,7.75,7.75,7.64,7.75,2761770.00
19/03/2010,7.72,7.72,7.59,7.64,4814127.00
22/03/2010,7.59,7.71,7.59,7.64,2071021.00
23/03/2010,7.70,7.70,7.49,7.53,6166427.00
24/03/2010,7.51,7.56,7.45,7.47,5262598.00
25/03/2010,7.51,7.62,7.51,7.57,3293497.00
26/03/2010,7.53,7.63,7.48,7.62,1034829.00
29/03/2010,7.63,7.68,7.56,7.68,12835978.00
30/03/2010,7.69,7.73,7.66,7.71,8201121.00
31/03/2010,7.66,7.84,7.63,7.84,16247842.00
01/04/2010,7.84,7.97,7.84,7.93,6886911.00
05/04/2010,7.91,8.02,7.91,7.93,206467404.00
06/04/2010,7.88,8.00,7.81,7.81,6826911.00
07/04/2010,7.83,7.87,7.76,7.82,12053510.00
08/04/2010,7.79,8.04,7.77,8.03,13675225.00
09/04/2010,8.04,8.12,7.96,8.05,7201263.00
12/04/2010,8.04,8.06,7.92,7.92,1729489.00
13/04/2010,7.97,7.98,7.87,7.87,2536300.00
14/04/2010,7.89,7.92,7.81,7.89,4256296.00
15/04/2010,7.83,7.91,7.77,7.85,5586141.00
16/04/2010,7.82,7.82,7.58,7.58,11446470.00
19/04/2010,7.58,7.67,7.50,7.60,2273588.00
20/04/2010,7.65,7.67,7.55,7.67,7214672.00
22/04/2010,7.59,7.77,7.52,7.68,14683966.00
23/04/2010,7.67,7.67,7.58,7.63,1522379.00
26/04/2010,7.67,7.67,7.53,7.53,1810736.00
27/04/2010,7.52,7.54,7.38,7.43,16267508.00
28/04/2010,7.46,7.56,7.44,7.55,4062578.00
29/04/2010,7.60,7.72,7.55,7.65,3207681.00
30/04/2010,7.70,7.74,7.64,7.74,3549488.00
03/05/2010,7.64,7.75,7.59,7.69,2827525.00
04/05/2010,7.59,7.59,7.40,7.44,4394825.00
05/05/2010,7.42,7.59,7.31,7.47,5342747.00
06/05/2010,7.47,7.55,7.19,7.52,2514124.00
07/05/2010,7.45,7.46,7.20,7.44,4335969.00
10/05/2010,7.71,7.72,7.61,7.65,2304385.00
11/05/2010,7.58,7.67,7.51,7.55,2389586.00
12/05/2010,7.58,7.61,7.55,7.59,3457754.00
13/05/2010,7.64,7.64,7.49,7.53,3524717.00
14/05/2010,7.47,7.47,7.29,7.40,1831215.00
17/05/2010,7.40,7.49,7.23,7.40,6368562.00
18/05/2010,7.49,7.51,7.25,7.28,4756882.00
19/05/2010,7.25,7.25,7.00,7.05,5655503.00
20/05/2010,7.01,7.03,6.86,6.94,5724009.00
21/05/2010,6.92,7.28,6.89,7.28,3702689.00
24/05/2010,7.22,7.25,7.02,7.18,1473568.00
25/05/2010,7.04,7.04,6.75,6.88,4744946.00
26/05/2010,7.01,7.01,6.80,6.88,5874865.00
27/05/2010,6.96,7.16,6.96,7.16,3454355.00
28/05/2010,7.06,7.18,6.94,7.18,6405954.00
31/05/2010,7.18,7.37,7.13,7.37,2910759.00
01/06/2010,7.33,7.34,7.10,7.27,8694147.00
02/06/2010,7.29,7.43,7.21,7.36,5841067.00
04/06/2010,7.30,7.34,7.21,7.34,3319568.00
07/06/2010,7.34,7.34,7.12,7.19,10772895.00
08/06/2010,7.19,7.27,7.05,7.20,2835693.00
09/06/2010,7.23,7.26,7.09,7.15,9211362.00
10/06/2010,7.15,7.33,7.15,7.29,4853989.00
11/06/2010,7.20,7.34,7.14,7.31,2788972.00
14/06/2010,7.33,7.38,7.23,7.26,5298855.00
15/06/2010,7.26,7.42,7.26,7.42,1136456.00
16/06/2010,7.37,7.52,7.32,7.44,1051788.00
17/06/2010,7.44,7.50,7.32,7.38,1718593.00
18/06/2010,7.35,7.44,7.34,7.41,3662123.00
21/06/2010,7.50,7.53,7.43,7.47,3081999.00
22/06/2010,7.46,7.50,7.40,7.44,2645940.00
23/06/2010,7.43,7.43,7.32,7.39,375264761.00
24/06/2010,7.35,7.37,7.19,7.21,1964807.00
25/06/2010,7.23,7.34,7.15,7.34,2649033.00
28/06/2010,7.36,7.44,7.25,7.34,2576949.00
29/06/2010,7.20,7.20,6.96,7.00,6778815.00
30/06/2010,7.00,7.09,6.91,7.03,8563685.00
01/07/2010,7.03,7.24,6.92,7.24,5296689.00
02/07/2010,7.18,7.40,7.16,7.36,1523140.00
05/07/2010,7.28,7.30,7.19,7.25,1676911.00
06/07/2010,7.30,7.40,7.27,7.40,2962973.00
07/07/2010,7.40,7.73,7.38,7.73,13930725.00
08/07/2010,7.64,7.87,7.64,7.80,12359887.00
12/07/2010,7.80,8.00,7.73,7.82,9421186.00
13/07/2010,7.82,7.84,7.59,7.81,16390650.00
14/07/2010,7.87,7.87,7.74,7.84,6943971.00
15/07/2010,7.81,7.88,7.75,7.83,5206466.00
16/07/2010,7.88,7.91,7.67,7.67,3169902.00
19/07/2010,7.70,7.88,7.70,7.88,6657753.00
20/07/2010,7.85,8.00,7.78,8.00,2937158.00
21/07/2010,8.00,8.06,7.90,8.02,1958903.00
22/07/2010,8.03,8.20,8.02,8.11,4209695.00
23/07/2010,8.11,8.21,8.11,8.21,2409143.00
26/07/2010,8.13,8.28,8.12,8.19,5250185.00
27/07/2010,8.21,8.28,8.14,8.20,3782405.00
28/07/2010,8.20,8.54,8.17,8.51,17107510.00
29/07/2010,8.56,8.58,8.41,8.52,3086970.00
30/07/2010,8.36,8.58,8.33,8.58,11259339.00
02/08/2010,8.43,8.64,8.43,8.61,147750177.00
03/08/2010,8.53,8.53,8.40,8.48,4297022.00
04/08/2010,8.48,8.48,8.32,8.47,2863988.00
05/08/2010,8.38,8.50,8.33,8.48,1653074.00
06/08/2010,8.47,8.49,8.35,8.48,6715719.00
09/08/2010,8.53,8.54,8.48,8.53,2639660.00
10/08/2010,8.51,8.51,8.37,8.45,1867862.00
11/08/2010,8.37,8.37,8.19,8.25,6955301.00
12/08/2010,8.19,8.31,8.19,8.29,3843558.00
13/08/2010,8.30,8.38,8.28,8.33,5306171.00
16/08/2010,8.26,8.42,8.22,8.42,1538511.00
17/08/2010,8.42,8.44,8.33,8.44,3394439.00
18/08/2010,8.41,8.47,8.38,8.47,2354642.00
19/08/2010,8.42,8.48,8.30,8.38,2448158.00
20/08/2010,8.29,8.38,8.28,8.35,5275777.00
23/08/2010,8.35,8.39,8.31,8.35,3344277.00
24/08/2010,8.27,8.27,8.11,8.17,5404874.00
25/08/2010,8.17,8.17,7.99,8.09,7259892.00
26/08/2010,8.08,8.10,7.89,7.98,5525005.00
27/08/2010,7.99,8.15,7.91,8.15,5609597.00
30/08/2010,8.10,8.10,7.94,7.99,3210386.00
31/08/2010,7.99,8.21,7.99,8.21,5317041.00
01/09/2010,8.31,8.44,8.27,8.39,134031266.00
02/09/2010,8.28,8.31,8.21,8.27,140097375.00
03/09/2010,8.33,8.36,8.16,8.18,6293098.00
06/09/2010,8.14,8.16,8.07,8.12,1515433.00
08/09/2010,8.16,8.24,8.03,8.21,6488534.00
09/09/2010,8.11,8.23,8.11,8.23,127042058.00
10/09/2010,8.21,8.24,8.18,8.24,3143577.00
13/09/2010,8.24,8.50,8.24,8.49,18083366.00
14/09/2010,8.46,8.58,8.45,8.52,7628842.00
15/09/2010,8.49,8.64,8.39,8.64,10229201.00
16/09/2010,8.58,8.58,8.50,8.54,2781546.00
17/09/2010,8.53,8.56,8.42,8.46,2350825.00
20/09/2010,8.52,8.59,8.47,8.59,7495622.00
21/09/2010,8.59,8.59,8.39,8.49,133186205.00
22/09/2010,8.48,8.58,8.48,8.49,5403007.00
23/09/2010,8.48,8.63,8.48,8.59,17196722.00
24/09/2010,8.59,8.64,8.39,8.51,7878589.00
27/09/2010,8.44,8.54,8.42,8.50,6044348.00
28/09/2010,8.49,8.64,8.47,8.63,10543246.00
29/09/2010,8.56,8.81,8.56,8.81,13722376.00
30/09/2010,8.83,8.97,8.79,8.97,11509302.00
01/10/2010,8.97,9.05,8.86,8.99,19092084.00
04/10/2010,8.99,9.00,8.72,9.00,162396062.00
05/10/2010,9.00,9.25,9.00,9.25,17947170.00
06/10/2010,9.21,9.27,9.13,9.16,27194245.00
07/10/2010,9.16,9.20,9.07,9.18,30403247.00
08/10/2010,9.16,9.38,9.13,9.37,16058285.00
11/10/2010,9.37,9.37,9.26,9.36,3204110.00
13/10/2010,9.40,9.48,9.33,9.43,9891095.00
14/10/2010,9.47,9.47,9.27,9.30,15731042.00
15/10/2010,9.40,9.43,9.25,9.25,7211596.00
18/10/2010,9.19,9.21,9.01,9.16,26409283.00
19/10/2010,9.09,9.26,8.99,9.10,20922806.00
20/10/2010,9.13,9.31,9.06,9.15,12957421.00
21/10/2010,9.15,9.28,9.01,9.02,13622281.00
22/10/2010,9.13,9.28,9.09,9.23,4050740.00
25/10/2010,9.14,9.39,9.14,9.34,13689534.00
26/10/2010,9.30,9.49,9.24,9.49,17732208.00
27/10/2010,9.35,9.35,9.09,9.13,11670733.00
28/10/2010,9.25,9.25,9.00,9.02,6152745.00
29/10/2010,9.02,9.13,8.95,9.13,19612672.00
01/11/2010,9.13,9.33,9.10,9.33,5348791.00
03/11/2010,9.37,9.53,9.31,9.52,6826025.00
04/11/2010,9.46,9.60,9.44,9.60,10016918.00
05/11/2010,9.54,9.62,9.50,9.60,6049059.00
08/11/2010,9.60,9.67,9.50,9.63,158031259.00
09/11/2010,9.62,9.63,9.34,9.34,8074313.00
10/11/2010,9.38,9.48,9.30,9.48,4337281.00
11/11/2010,9.38,9.41,9.25,9.25,5703374.00
12/11/2010,9.24,9.24,9.05,9.21,5748193.00
16/11/2010,9.21,9.23,8.95,9.12,5890452.00
17/11/2010,9.07,9.11,8.98,9.06,6423522.00
18/11/2010,9.14,9.17,9.08,9.10,7989842.00
19/11/2010,9.08,9.16,9.00,9.14,12658666.00
22/11/2010,9.14,9.14,8.87,8.98,6202560.00
23/11/2010,8.90,8.92,8.74,8.74,5575427.00
24/11/2010,8.96,9.07,8.87,8.95,138753302.00
25/11/2010,8.93,9.00,8.92,8.97,3878315.00
26/11/2010,8.90,9.00,8.82,9.00,5148011.00
29/11/2010,8.84,8.93,8.74,8.93,4829857.00
30/11/2010,8.90,8.99,8.74,8.83,9454574.00
01/12/2010,8.85,8.95,8.84,8.89,17619853.00
02/12/2010,8.91,8.99,8.91,8.96,6713298.00
03/12/2010,8.90,8.91,8.71,8.77,11710735.00
06/12/2010,8.69,8.74,8.63,8.66,7613461.00
07/12/2010,8.82,8.82,8.71,8.74,161233624.00
08/12/2010,8.66,8.76,8.63,8.76,7618305.00
09/12/2010,8.78,8.78,8.54,8.68,8422308.00
10/12/2010,8.78,8.78,8.55,8.66,255958866.00
13/12/2010,8.65,8.73,8.58,8.72,7459910.00
14/12/2010,8.72,8.72,8.56,8.70,6264625.00
15/12/2010,8.67,8.67,8.57,8.58,7675624.00
16/12/2010,8.60,8.65,8.42,8.50,5926590.00
17/12/2010,8.49,8.56,8.43,8.56,3092540.00
20/12/2010,8.54,8.55,8.43,8.44,8222722.00
21/12/2010,8.50,8.59,8.45,8.59,4852085.00
22/12/2010,8.53,8.75,8.46,8.75,3611282.00
23/12/2010,8.69,8.75,8.63,8.73,2810852.00
27/12/2010,8.68,8.70,8.55,8.58,7725600.00
28/12/2010,8.60,8.60,8.49,8.54,3749954.00
29/12/2010,8.58,8.67,8.54,8.65,3805207.00
30/12/2010,8.64,8.75,8.64,8.75,17125805.00
03/01/2011,8.75,8.95,8.75,8.86,6988216.00
04/01/2011,8.92,8.98,8.76,8.89,17613384.00
05/01/2011,8.81,8.99,8.81,8.96,11878249.00
06/01/2011,8.96,8.98,8.66,8.74,5935139.00
07/01/2011,8.69,8.79,8.54,8.68,4521695.00
10/01/2011,8.57,8.64,8.48,8.64,9619689.00
11/01/2011,8.68,8.74,8.64,8.64,5963239.00
12/01/2011,8.67,8.74,8.67,8.74,13255736.00
13/01/2011,8.82,8.82,8.58,8.58,12125028.00
14/01/2011,8.63,8.75,8.55,8.64,17346054.00
17/01/2011,8.67,8.67,8.53,8.55,10374020.00
18/01/2011,8.59,8.61,8.49,8.61,10220153.00
19/01/2011,8.57,8.65,8.51,8.55,16616982.00
20/01/2011,8.49,8.50,8.34,8.44,13010557.00
21/01/2011,8.46,8.52,8.35,8.47,6324178.00
24/01/2011,8.41,8.55,8.35,8.55,6776480.00
26/01/2011,8.55,8.61,8.43,8.52,11795003.00
27/01/2011,8.52,8.55,8.35,8.52,14932220.00
28/01/2011,8.47,8.47,8.21,8.38,17006387.00
31/01/2011,8.54,8.55,8.21,8.31,7269104.00
01/02/2011,8.41,8.41,8.28,8.35,14952285.00
02/02/2011,8.35,8.40,8.23,8.27,21780717.00
03/02/2011,8.27,8.37,8.13,8.25,13784928.00
04/02/2011,8.27,8.27,7.98,7.98,28282986.00
07/02/2011,8.02,8.07,7.87,8.05,11391448.00
08/02/2011,7.98,8.32,7.98,8.25,13257498.00
09/02/2011,8.18,8.21,8.05,8.10,5802562.00
10/02/2011,8.10,8.18,8.06,8.17,7164039.00
11/02/2011,8.13,8.48,8.08,8.45,14904690.00
14/02/2011,8.45,8.55,8.35,8.51,14212029.00
15/02/2011,8.51,8.60,8.37,8.60,8951205.00
16/02/2011,8.59,8.77,8.59,8.76,14215736.00
17/02/2011,8.76,8.78,8.63,8.73,8866745.00
18/02/2011,8.70,8.74,8.64,8.66,6088874.00
21/02/2011,8.62,8.64,8.55,8.57,2924223.00
22/02/2011,8.57,8.57,8.31,8.41,4790863.00
23/02/2011,8.44,8.49,8.29,8.45,7957603.00
24/02/2011,8.46,8.57,8.35,8.52,6527053.00
25/02/2011,8.58,8.58,8.34,8.52,3707966.00
28/02/2011,8.52,8.73,8.52,8.69,6459794.00
01/03/2011,8.68,8.74,8.56,8.64,11967853.00
02/03/2011,8.57,8.66,8.49,8.62,13774856.00
03/03/2011,8.60,8.80,8.59,8.79,16380364.00
04/03/2011,8.79,8.83,8.65,8.83,9109974.00
09/03/2011,8.83,8.84,8.57,8.66,7656407.00
10/03/2011,8.55,8.55,8.28,8.37,11148231.00
11/03/2011,8.30,8.42,8.21,8.42,9118331.00
14/03/2011,8.32,8.42,8.27,8.42,7023926.00
15/03/2011,8.28,8.49,8.19,8.46,9562378.00
16/03/2011,8.46,8.46,8.22,8.31,6862429.00
17/03/2011,8.32,8.35,8.18,8.30,7978363.00
18/03/2011,8.35,8.44,8.31,8.39,152316613.00
21/03/2011,8.39,8.47,8.39,8.45,5748238.00
22/03/2011,8.43,8.72,8.40,8.72,11705417.00
23/03/2011,8.60,8.66,8.54,8.59,11683869.00
24/03/2011,8.60,8.63,8.50,8.62,3794596.00
25/03/2011,8.63,8.63,8.52,8.57,5845736.00
28/03/2011,8.58,9.03,8.58,8.97,236577794.00
29/03/2011,9.01,9.28,8.92,9.19,64292125.00
30/03/2011,9.26,9.41,9.12,9.37,25938807.00
