date,open,high,low,close,vol
29/04/2013,11.31,11.31,10.74,11.08,1430522489.00
30/04/2013,11.08,11.40,11.08,11.38,455333741.00
02/05/2013,11.34,11.68,11.33,11.68,275361343.00
03/05/2013,11.62,11.91,11.59,11.84,230442881.00
06/05/2013,11.84,12.00,11.77,11.96,356067666.00
07/05/2013,11.94,11.98,11.54,11.94,129407375.00
08/05/2013,11.88,11.93,11.56,11.68,189659047.00
09/05/2013,11.66,11.84,11.58,11.84,146632764.00
10/05/2013,11.81,11.98,11.71,11.95,141924559.00
13/05/2013,11.88,11.94,11.62,11.90,1001676282.00
14/05/2013,11.81,12.04,11.81,12.01,381531570.00
15/05/2013,12.00,12.38,11.98,12.28,286096062.00
16/05/2013,12.18,12.54,12.14,12.54,117196630.00
17/05/2013,12.46,12.61,12.41,12.57,125588326.00
20/05/2013,12.50,12.52,12.21,12.38,53449210.00
21/05/2013,12.34,12.34,12.11,12.34,72478512.00
22/05/2013,12.25,12.38,11.96,12.18,86548404.00
23/05/2013,12.01,12.07,11.82,11.90,165709990.00
24/05/2013,11.85,12.04,11.74,12.04,63346489.00
27/05/2013,11.95,12.14,11.93,12.04,41434710.00
28/05/2013,12.04,12.24,12.00,12.24,80022729.00
29/05/2013,12.08,12.13,11.82,12.07,87302023.00
31/05/2013,12.01,12.32,11.88,12.32,182338202.00
03/06/2013,12.25,12.30,11.96,12.14,137861383.00
04/06/2013,12.14,12.14,11.84,11.88,108984251.00
05/06/2013,11.88,12.08,11.74,11.84,157089096.00
06/06/2013,11.86,11.97,11.74,11.88,70091749.00
07/06/2013,11.78,12.00,11.69,11.94,96352418.00
10/06/2013,11.82,12.01,11.81,11.98,60798858.00
11/06/2013,11.91,11.97,11.01,11.65,85760269.00
12/06/2013,11.69,11.80,11.44,11.51,66048873.00
13/06/2013,11.46,11.94,11.34,11.94,63224837.00
14/06/2013,11.93,12.21,11.89,12.10,206597996.00
17/06/2013,12.08,12.14,11.98,12.08,88059421.00
18/06/2013,12.01,12.11,11.86,12.00,86824019.00
19/06/2013,11.98,12.01,11.55,11.62,136299936.00
20/06/2013,11.48,11.60,11.14,11.48,152130723.00
21/06/2013,11.38,11.64,11.22,11.64,84193707.00
24/06/2013,11.38,11.41,10.66,11.31,213120346.00
25/06/2013,11.24,11.44,10.98,11.14,106396903.00
26/06/2013,11.28,11.32,11.09,11.23,56960734.00
27/06/2013,11.16,11.68,11.16,11.54,108196702.00
28/06/2013,11.52,11.90,11.42,11.74,97867010.00
01/07/2013,11.66,11.96,11.52,11.68,74937613.00
02/07/2013,11.69,11.86,11.21,11.47,64343437.00
03/07/2013,11.44,11.71,11.28,11.51,79390154.00
04/07/2013,11.51,11.84,11.44,11.83,91052147.00
05/07/2013,11.74,11.90,11.58,11.74,129400986.00
08/07/2013,11.74,12.06,11.67,11.94,74203257.00
10/07/2013,12.01,12.01,11.74,11.84,73410894.00
11/07/2013,11.88,11.98,11.76,11.94,75567532.00
12/07/2013,11.82,11.91,11.76,11.82,60926870.00
15/07/2013,11.82,11.82,11.52,11.75,101395832.00
16/07/2013,11.68,11.74,11.44,11.62,53004275.00
17/07/2013,11.61,12.00,11.58,11.98,119332839.00
18/07/2013,11.88,12.26,11.86,12.04,61331927.00
19/07/2013,11.98,12.04,11.89,11.98,30381872.00
22/07/2013,11.97,12.08,11.94,12.01,43411933.00
23/07/2013,11.99,12.04,11.95,12.01,45667546.00
24/07/2013,11.98,12.04,11.86,12.04,35450219.00
25/07/2013,11.90,12.13,11.89,12.08,56928653.00
26/07/2013,12.01,12.21,11.91,12.15,39135059.00
29/07/2013,12.04,12.30,11.98,12.11,50950214.00
30/07/2013,12.08,12.27,12.03,12.27,54411030.00
31/07/2013,12.15,12.31,12.12,12.30,61448757.00
01/08/2013,12.30,12.52,12.19,12.46,67008997.00
02/08/2013,12.34,12.72,12.32,12.67,104422736.00
05/08/2013,12.62,13.01,12.56,12.94,123151552.00
06/08/2013,12.92,13.00,12.70,12.94,72302883.00
07/08/2013,12.82,13.24,12.64,13.08,132287230.00
08/08/2013,13.01,13.34,12.84,13.28,102996784.00
09/08/2013,13.21,13.34,12.95,13.30,65629954.00
12/08/2013,13.34,13.41,12.96,13.02,101966230.00
13/08/2013,13.08,13.20,12.98,13.12,65998230.00
14/08/2013,13.07,13.19,12.91,12.94,71703093.00
15/08/2013,12.91,13.10,12.69,12.94,172453569.00
16/08/2013,12.92,13.17,12.64,12.88,93294702.00
19/08/2013,12.82,12.88,12.42,12.46,92857261.00
20/08/2013,12.44,12.68,12.29,12.42,66874107.00
21/08/2013,12.34,12.70,12.19,12.61,73741631.00
22/08/2013,12.57,12.78,12.50,12.78,42920896.00
23/08/2013,12.66,13.28,12.66,13.18,78287975.00
26/08/2013,12.94,13.00,12.88,12.96,75890948.00
27/08/2013,12.77,12.94,12.70,12.94,65596091.00
28/08/2013,12.83,12.94,12.71,12.88,63878623.00
29/08/2013,12.81,12.98,12.75,12.97,87865914.00
30/08/2013,12.87,13.13,12.87,13.13,72590165.00
02/09/2013,13.00,13.14,13.00,13.11,56537208.00
03/09/2013,13.00,13.18,12.97,13.10,114915601.00
04/09/2013,13.04,13.18,13.00,13.09,36051805.00
05/09/2013,13.05,13.41,13.05,13.35,82238700.00
06/09/2013,13.31,13.64,13.29,13.59,157291963.00
09/09/2013,13.52,14.04,13.46,13.97,125180629.00
10/09/2013,13.89,14.14,13.83,14.14,107374091.00
11/09/2013,13.99,14.42,13.94,14.24,149403034.00
12/09/2013,14.16,14.34,14.09,14.34,95449181.00
13/09/2013,14.27,14.40,14.24,14.30,48396090.00
16/09/2013,14.30,14.37,14.05,14.25,193954207.00
17/09/2013,14.17,14.52,14.14,14.46,136463970.00
