date,open,high,low,close,vol
18/12/2009,5.28,5.40,4.96,5.17,2543910.00
21/12/2009,5.19,5.24,5.17,5.18,1185787.00
22/12/2009,5.23,5.24,5.07,5.07,1433221.00
23/12/2009,5.17,5.32,5.16,5.32,2166753.00
28/12/2009,5.32,5.36,5.10,5.14,3760985.00
29/12/2009,5.19,5.28,5.18,5.28,1922863.00
30/12/2009,5.23,5.35,5.17,5.35,1267942.00
04/01/2010,5.32,5.36,5.30,5.34,744098.00
05/01/2010,5.40,5.64,5.39,5.55,14902982.00
06/01/2010,5.63,5.86,5.63,5.83,11319534.00
07/01/2010,5.78,5.98,5.69,5.96,9845163.00
08/01/2010,5.99,6.38,5.99,6.33,16075506.00
11/01/2010,6.47,6.57,6.07,6.21,7126880.00
12/01/2010,6.08,6.47,5.91,6.41,6433068.00
13/01/2010,6.30,6.41,6.18,6.41,2961391.00
14/01/2010,6.33,6.41,6.23,6.34,4256402.00
15/01/2010,6.32,6.54,6.24,6.49,3552637.00
18/01/2010,6.47,6.92,6.42,6.88,8674348.00
19/01/2010,6.88,7.11,6.53,6.72,9526177.00
20/01/2010,6.73,6.73,6.35,6.46,5001998.00
21/01/2010,6.56,6.56,6.26,6.42,3249923.00
22/01/2010,6.37,6.37,6.15,6.19,5016800.00
26/01/2010,6.14,6.25,6.04,6.12,2228256.00
27/01/2010,6.10,6.29,5.92,6.29,1469002.00
28/01/2010,6.42,6.54,6.04,6.30,2182279.00
29/01/2010,6.33,6.40,6.20,6.32,1806747.00
01/02/2010,6.29,6.31,6.15,6.31,1062894.00
02/02/2010,6.33,6.42,6.28,6.32,1131394.00
03/02/2010,6.42,6.42,6.17,6.26,949549.00
04/02/2010,6.32,6.32,5.78,6.17,1994439.00
05/02/2010,6.11,6.19,5.74,6.06,5191893.00
08/02/2010,5.97,6.25,5.91,6.08,2440233.00
09/02/2010,6.14,6.28,6.05,6.05,1950731.00
10/02/2010,6.18,6.19,5.93,6.09,2895618.00
11/02/2010,6.13,6.40,6.05,6.28,3936094.00
12/02/2010,6.16,6.19,6.06,6.19,1034422.00
17/02/2010,6.30,6.38,6.24,6.33,487785.00
18/02/2010,6.29,6.37,6.16,6.29,3788532.00
19/02/2010,6.23,6.24,6.10,6.10,2368524.00
22/02/2010,6.13,6.33,6.13,6.27,4065114.00
23/02/2010,6.29,6.30,6.14,6.19,1260050.00
24/02/2010,6.18,6.37,5.99,6.09,9408078.00
25/02/2010,6.05,6.15,5.99,6.15,1594331.00
26/02/2010,6.09,6.18,5.88,6.06,3194807.00
01/03/2010,6.11,6.14,5.99,6.06,2798529.00
02/03/2010,6.10,6.18,6.06,6.10,5188753.00
03/03/2010,6.14,6.17,5.87,5.93,2961770.00
04/03/2010,5.92,6.07,5.80,5.87,2934796.00
05/03/2010,5.99,6.11,5.84,6.08,2485030.00
08/03/2010,6.00,6.06,5.94,5.95,1345027.00
09/03/2010,6.01,6.06,5.89,5.92,1763340.00
10/03/2010,6.01,6.01,5.86,5.97,2756090.00
11/03/2010,5.92,6.06,5.89,5.99,1699477.00
12/03/2010,6.05,6.07,5.93,5.97,1893575.00
15/03/2010,5.94,6.68,5.94,6.44,16029595.00
16/03/2010,6.33,6.48,6.06,6.46,7037018.00
17/03/2010,6.38,6.48,6.24,6.43,2126220.00
18/03/2010,6.44,6.56,6.42,6.49,2140476.00
19/03/2010,6.52,6.58,6.30,6.58,2242870.00
22/03/2010,6.58,6.82,6.42,6.71,4922056.00
23/03/2010,6.74,6.93,6.62,6.79,5763614.00
24/03/2010,6.79,7.01,6.67,7.01,4484627.00
25/03/2010,7.02,7.27,6.97,7.11,11132410.00
26/03/2010,7.09,7.09,6.78,6.95,2414618.00
29/03/2010,6.97,7.15,6.89,6.97,1022326.00
30/03/2010,7.04,7.04,6.92,6.94,5326294.00
31/03/2010,6.96,6.97,6.69,6.97,4210997.00
01/04/2010,7.05,7.05,6.84,6.88,1895095.00
05/04/2010,6.95,7.05,6.79,6.95,1586343.00
06/04/2010,6.88,6.97,6.76,6.94,2525576.00
07/04/2010,6.79,6.96,6.79,6.94,1596831.00
08/04/2010,6.87,6.95,6.80,6.84,1880687.00
09/04/2010,6.89,6.99,6.81,6.99,1815373.00
12/04/2010,6.97,7.15,6.86,7.08,2399432.00
13/04/2010,7.02,7.06,6.94,7.05,1787507.00
14/04/2010,7.01,7.16,7.00,7.10,1311824.00
15/04/2010,7.14,7.14,6.97,7.11,2517505.00
16/04/2010,7.07,7.14,6.78,6.97,3785140.00
19/04/2010,6.96,6.96,6.82,6.83,247083.00
20/04/2010,6.96,7.04,6.80,7.04,1695599.00
22/04/2010,6.97,6.97,6.75,6.84,1858856.00
23/04/2010,6.81,6.81,6.72,6.81,951593.00
26/04/2010,6.81,6.97,6.77,6.86,1412545.00
27/04/2010,6.86,6.87,6.64,6.66,2065975.00
28/04/2010,6.64,6.91,6.36,6.56,3630124.00
29/04/2010,6.70,6.78,6.46,6.56,1120666.00
30/04/2010,6.68,6.85,6.52,6.85,1517846.00
03/05/2010,6.70,6.79,6.63,6.68,807138.00
04/05/2010,6.67,6.70,6.48,6.56,4872301.00
05/05/2010,6.64,6.64,6.30,6.30,1418557.00
06/05/2010,6.30,6.36,5.83,5.83,3848222.00
07/05/2010,5.97,5.97,5.56,5.74,1938864.00
10/05/2010,6.15,6.15,5.83,6.14,1210482.00
11/05/2010,6.03,6.06,5.87,5.99,1243580.00
12/05/2010,5.97,6.02,5.72,5.72,3912254.00
13/05/2010,5.82,6.05,5.78,5.95,5787462.00
14/05/2010,5.87,5.92,5.70,5.75,1664250.00
17/05/2010,5.75,6.05,5.64,5.96,2859290.00
18/05/2010,6.08,6.13,5.56,5.75,3305025.00
19/05/2010,5.52,5.74,5.43,5.55,1476959.00
20/05/2010,5.51,5.63,5.15,5.49,3829056.00
21/05/2010,5.38,5.86,5.34,5.86,2899105.00
24/05/2010,5.93,5.93,5.63,5.77,865651.00
25/05/2010,5.51,5.64,5.48,5.51,1856393.00
26/05/2010,5.64,5.97,5.56,5.90,2103604.00
27/05/2010,6.13,6.13,5.90,6.12,5972070.00
28/05/2010,5.97,6.10,5.87,6.09,524849.00
31/05/2010,6.06,6.08,5.97,6.01,396519.00
01/06/2010,5.98,6.12,5.92,6.12,823133.00
02/06/2010,6.14,6.42,6.14,6.32,684697.00
04/06/2010,6.14,6.24,5.99,6.06,1636033.00
07/06/2010,6.17,6.17,5.84,5.92,1087913.00
08/06/2010,5.97,6.14,5.92,6.01,951027.00
09/06/2010,6.14,6.15,5.75,5.97,177106.00
10/06/2010,6.14,6.14,6.06,6.14,1221054.00
11/06/2010,6.14,6.29,5.98,6.17,810716.00
14/06/2010,6.18,6.31,6.15,6.24,822883.00
15/06/2010,6.28,6.32,6.24,6.29,736780.00
16/06/2010,6.29,6.42,6.25,6.42,1058396.00
17/06/2010,6.42,6.42,6.22,6.29,1187112.00
18/06/2010,6.29,6.40,6.18,6.40,1030502.00
21/06/2010,6.25,6.56,6.25,6.47,2145112.00
22/06/2010,6.42,6.52,6.29,6.38,1489420.00
23/06/2010,6.27,6.48,6.27,6.47,1966727.00
24/06/2010,6.38,6.42,6.31,6.42,867285.00
25/06/2010,6.42,6.51,6.36,6.51,706030.00
28/06/2010,6.47,6.52,6.42,6.52,369894.00
29/06/2010,6.36,6.42,6.24,6.42,1273564.00
30/06/2010,6.29,6.39,6.18,6.30,1969297.00
01/07/2010,6.16,6.42,6.09,6.29,2227859.00
02/07/2010,6.27,6.38,6.19,6.24,1474712.00
05/07/2010,6.23,6.24,6.13,6.19,242617.00
06/07/2010,6.24,6.33,6.10,6.33,964789.00
07/07/2010,6.33,6.50,6.26,6.29,2231176.00
08/07/2010,6.37,6.42,6.22,6.33,987128.00
12/07/2010,6.40,6.40,6.19,6.32,1734274.00
13/07/2010,6.41,6.41,6.26,6.29,2799798.00
14/07/2010,6.33,6.36,6.23,6.28,1438913.00
15/07/2010,6.22,6.29,6.19,6.29,2508178.00
16/07/2010,6.36,6.36,6.19,6.27,2840220.00
19/07/2010,6.24,6.33,6.20,6.27,122851.00
20/07/2010,6.21,6.33,6.18,6.33,1148821.00
21/07/2010,6.38,6.38,6.24,6.24,297667.00
22/07/2010,6.29,6.38,6.21,6.33,986804.00
23/07/2010,6.32,6.32,6.27,6.28,103481.00
26/07/2010,6.33,6.47,6.30,6.45,5890797.00
27/07/2010,6.45,6.50,6.29,6.39,3855557.00
28/07/2010,6.39,6.42,6.30,6.30,1062613.00
29/07/2010,6.38,6.42,6.28,6.40,1124467.00
30/07/2010,6.33,6.46,6.30,6.30,2147325.00
02/08/2010,6.39,6.60,6.33,6.42,4909396.00
03/08/2010,6.46,6.54,6.38,6.54,1742239.00
04/08/2010,6.53,6.56,6.40,6.55,1454046.00
05/08/2010,6.57,6.70,6.52,6.70,3590281.00
06/08/2010,6.67,6.77,6.61,6.76,1175886.00
09/08/2010,6.75,6.75,6.61,6.65,867102.00
10/08/2010,6.57,6.72,6.47,6.64,920117.00
11/08/2010,6.54,6.62,6.52,6.58,719133.00
12/08/2010,6.58,6.85,6.56,6.79,2015903.00
