date,open,high,low,close,vol
11/05/2018,3.07,3.07,2.96,3.01,10303277.91
14/05/2018,3.04,3.05,2.95,3.02,9291732.00
15/05/2018,3.01,3.05,2.96,2.99,7707407.00
16/05/2018,3.00,3.03,3.00,3.01,2360173.00
17/05/2018,3.01,3.02,3.00,3.01,1254853.00
18/05/2018,3.01,3.03,2.95,3.02,4119588.00
21/05/2018,3.02,3.02,2.95,2.96,48047006.00
22/05/2018,3.00,3.05,2.99,3.03,14363783.10
23/05/2018,3.03,3.11,3.00,3.11,4455147.00
24/05/2018,3.11,3.11,3.02,3.02,7727192.00
25/05/2018,3.03,3.06,2.92,3.01,6964197.00
28/05/2018,3.01,3.04,2.91,2.96,7388522.00
29/05/2018,2.97,3.02,2.94,3.00,6971338.99
30/05/2018,3.00,3.03,2.87,2.87,2959682.00
01/06/2018,2.88,2.98,2.67,2.82,4134680.00
04/06/2018,2.84,2.91,2.79,2.82,4922784.00
05/06/2018,2.83,2.88,2.64,2.67,14160871.99
06/06/2018,2.67,2.73,2.54,2.55,1488630.00
07/06/2018,2.54,2.54,2.24,2.37,3159023.00
08/06/2018,2.43,2.52,2.36,2.44,1902310.00
11/06/2018,2.51,2.62,2.44,2.54,2337333.00
12/06/2018,2.57,2.67,2.56,2.62,1795883.00
13/06/2018,2.62,2.66,2.47,2.57,1570680.00
14/06/2018,2.54,2.62,2.54,2.55,1319603.00
15/06/2018,2.57,2.59,2.49,2.51,5370288.00
18/06/2018,2.49,2.53,2.46,2.46,669931.00
19/06/2018,2.46,2.46,2.40,2.42,3778360.00
20/06/2018,2.46,2.46,2.35,2.35,2070933.00
21/06/2018,2.37,2.37,2.28,2.28,842753.00
22/06/2018,2.29,2.33,2.26,2.29,758037.00
25/06/2018,2.31,2.34,2.29,2.30,2280475.00
26/06/2018,2.32,2.33,2.28,2.32,1957017.00
27/06/2018,2.32,2.33,2.27,2.27,1183986.00
28/06/2018,2.29,2.37,2.26,2.32,2298630.00
29/06/2018,2.32,2.37,2.30,2.37,2986963.00
02/07/2018,2.39,2.39,2.26,2.26,3046815.00
03/07/2018,2.28,2.31,2.23,2.23,1824855.00
04/07/2018,2.26,2.28,2.25,2.28,457841.00
05/07/2018,2.28,2.36,2.28,2.31,19324418.00
06/07/2018,2.30,2.36,2.26,2.27,7325938.00
10/07/2018,2.28,2.33,2.27,2.27,2714980.00
11/07/2018,2.28,2.35,2.27,2.30,1623562.00
12/07/2018,2.31,2.38,2.30,2.35,2127924.00
13/07/2018,2.36,2.53,2.36,2.49,2614674.00
16/07/2018,2.50,2.71,2.50,2.70,2366602.00
17/07/2018,2.70,2.88,2.70,2.81,2974971.00
18/07/2018,2.81,2.95,2.81,2.85,2857204.00
19/07/2018,2.89,2.94,2.68,2.76,5047743.01
20/07/2018,2.81,2.89,2.77,2.79,2323264.00
23/07/2018,2.80,2.89,2.77,2.85,1872802.00
24/07/2018,2.86,2.89,2.84,2.89,1050131.00
25/07/2018,2.89,2.97,2.84,2.89,1935892.00
26/07/2018,2.92,2.94,2.84,2.84,768779.00
27/07/2018,2.90,2.91,2.84,2.84,608170.00
30/07/2018,2.85,2.90,2.81,2.83,709634.00
31/07/2018,2.87,2.87,2.75,2.81,1292519.00
01/08/2018,2.87,2.97,2.82,2.83,3851463.00
02/08/2018,2.85,2.90,2.84,2.87,4687706.90
03/08/2018,2.89,2.93,2.86,2.92,8815333.00
06/08/2018,2.94,3.14,2.94,3.14,8625842.00
07/08/2018,3.14,3.18,3.02,3.08,6559792.00
08/08/2018,3.11,3.30,3.10,3.27,6535212.00
09/08/2018,3.28,3.42,3.28,3.40,15202245.00
10/08/2018,3.40,3.40,3.28,3.39,3323898.00
13/08/2018,3.37,3.55,3.31,3.53,4871242.00
14/08/2018,3.54,3.62,3.50,3.59,8845076.00
15/08/2018,3.58,3.83,3.54,3.82,8663168.00
16/08/2018,3.87,4.00,3.87,3.95,15151825.00
17/08/2018,3.94,3.94,3.55,3.70,10806999.00
20/08/2018,3.70,3.77,3.49,3.67,8058853.00
21/08/2018,3.68,3.86,3.54,3.70,6146049.00
22/08/2018,3.69,3.77,3.56,3.64,13523269.00
23/08/2018,3.65,3.78,3.58,3.58,17957528.00
24/08/2018,3.60,3.67,3.50,3.58,3602942.00
27/08/2018,3.63,3.80,3.59,3.80,9559820.00
28/08/2018,3.82,4.04,3.82,4.04,10870443.00
29/08/2018,4.07,4.22,3.88,3.96,14358291.00
30/08/2018,3.99,4.18,3.99,4.17,24742195.00
31/08/2018,4.17,4.46,4.17,4.43,30413443.00
03/09/2018,4.48,4.69,4.45,4.62,30085828.00
04/09/2018,4.70,5.10,4.64,4.88,41867284.00
05/09/2018,4.93,5.30,4.93,5.12,39031457.01
06/09/2018,5.29,5.38,4.76,4.87,39156280.00
10/09/2018,4.91,5.12,4.53,4.60,19043223.00
11/09/2018,4.54,4.54,4.30,4.51,10486354.00
12/09/2018,4.43,4.89,4.30,4.89,35087668.00
13/09/2018,4.96,5.11,4.77,4.82,22183053.00
14/09/2018,4.83,5.03,4.83,4.95,11902993.00
17/09/2018,4.99,5.10,4.88,4.97,10399807.00
18/09/2018,4.97,5.02,4.70,4.78,10569028.00
19/09/2018,4.79,4.90,4.64,4.69,9639117.00
20/09/2018,4.69,4.83,4.57,4.61,5328063.00
21/09/2018,4.69,4.76,4.42,4.76,11795018.00
24/09/2018,4.86,4.95,4.78,4.89,11536392.00
25/09/2018,4.89,5.03,4.86,5.03,7459578.00
26/09/2018,5.09,5.28,5.09,5.25,11129722.00
27/09/2018,5.31,5.35,5.11,5.12,20287798.00
28/09/2018,5.13,5.21,4.96,5.02,35460060.00
01/10/2018,5.00,5.00,4.87,4.93,16388702.00
02/10/2018,5.04,5.09,4.95,4.99,11006997.00
03/10/2018,5.04,5.19,4.88,4.98,6484673.00
04/10/2018,5.08,5.15,4.92,4.97,5146535.00
05/10/2018,5.02,5.02,4.88,4.88,7752874.00
08/10/2018,4.97,5.22,4.97,5.08,15202617.00
09/10/2018,5.11,5.96,5.07,5.95,24386832.00
10/10/2018,5.70,5.98,5.56,5.79,24761961.02
11/10/2018,5.89,5.96,5.79,5.96,12535852.01
15/10/2018,6.10,6.71,6.06,6.46,31632197.00
16/10/2018,6.53,6.77,6.26,6.34,26325719.00
17/10/2018,6.41,6.60,6.26,6.33,14513323.01
18/10/2018,6.38,6.56,6.26,6.50,13133354.00
19/10/2018,6.55,7.30,6.46,7.16,27285272.00
22/10/2018,7.27,7.73,7.25,7.66,35580890.00
23/10/2018,7.72,7.77,7.41,7.50,33785644.00
24/10/2018,7.55,7.68,7.25,7.38,30491847.90
25/10/2018,7.49,7.58,7.16,7.25,19013147.00
26/10/2018,7.27,7.48,7.18,7.24,19026616.00
29/10/2018,7.48,7.48,6.85,6.96,15968394.00
30/10/2018,7.07,7.07,6.56,6.62,24174457.99
31/10/2018,6.71,7.12,6.43,6.92,42205637.99
01/11/2018,7.12,7.20,6.79,7.06,32271357.00
05/11/2018,7.12,7.23,6.81,6.92,18906549.00
06/11/2018,6.89,6.92,6.71,6.72,7374011.00
07/11/2018,6.75,6.97,6.52,6.87,15813406.00
08/11/2018,6.92,7.02,6.60,6.70,14460449.00
09/11/2018,6.62,6.77,6.57,6.62,8099510.00
12/11/2018,6.70,6.70,6.29,6.29,16756130.90
13/11/2018,6.29,6.29,5.66,5.78,39913348.01
14/11/2018,5.74,6.04,5.49,5.90,39084395.99
16/11/2018,6.04,6.09,5.76,5.82,19914738.00
19/11/2018,5.86,5.93,5.78,5.79,12386918.00
21/11/2018,5.79,5.79,5.56,5.67,13239707.00
22/11/2018,5.67,5.74,5.57,5.70,18147203.00
23/11/2018,5.68,5.83,5.63,5.70,19280491.00
26/11/2018,5.75,6.23,5.73,6.23,28132256.00
27/11/2018,6.25,6.44,6.02,6.21,42162080.00
28/11/2018,6.22,6.33,6.14,6.21,18155563.00
29/11/2018,6.25,6.51,6.21,6.49,34110631.00
30/11/2018,6.49,6.62,6.38,6.53,23202411.91
03/12/2018,6.62,6.70,6.46,6.46,19463166.88
04/12/2018,6.48,6.51,6.28,6.37,14512105.00
05/12/2018,6.37,6.55,6.37,6.46,12606235.00
06/12/2018,6.45,6.61,6.31,6.48,14738580.00
07/12/2018,6.49,6.62,6.48,6.56,13783396.00
