date,open,high,low,close,vol
18/12/2017,17.71,17.95,17.56,17.56,369823386.81
19/12/2017,17.48,17.51,16.93,17.09,92662483.92
20/12/2017,17.07,17.64,16.91,17.36,40923458.00
21/12/2017,17.50,17.50,16.92,17.21,30247648.00
22/12/2017,17.11,17.26,16.96,17.19,15970317.11
26/12/2017,17.11,17.20,16.92,17.07,34005345.00
27/12/2017,17.01,17.49,16.97,17.36,16464008.00
28/12/2017,17.46,17.46,17.12,17.41,12739929.00
02/01/2018,17.51,17.63,17.26,17.63,24510991.00
03/01/2018,17.62,17.81,17.47,17.81,48712379.80
04/01/2018,17.81,17.86,17.61,17.81,23310158.00
05/01/2018,17.76,17.84,17.66,17.71,18944250.00
08/01/2018,17.74,17.78,17.52,17.71,14177888.00
09/01/2018,17.76,17.76,17.51,17.51,20936764.00
10/01/2018,17.41,17.66,17.21,17.51,13713273.00
11/01/2018,17.56,17.84,17.56,17.76,9796743.10
12/01/2018,17.80,17.93,17.62,17.90,16048305.01
15/01/2018,17.90,17.92,17.63,17.66,3029872.99
16/01/2018,17.63,17.81,17.44,17.64,6042640.98
17/01/2018,17.52,17.66,17.48,17.56,20975347.00
18/01/2018,17.66,17.66,17.05,17.59,19794499.00
19/01/2018,17.58,17.58,17.35,17.41,1476620.00
22/01/2018,17.61,17.61,17.22,17.27,5211722.80
23/01/2018,17.11,17.37,17.00,17.07,9889004.10
24/01/2018,17.33,17.56,17.05,17.56,14077796.00
26/01/2018,17.56,17.81,17.03,17.07,21826783.00
29/01/2018,17.13,17.30,16.80,16.80,16730828.00
30/01/2018,16.82,16.97,16.54,16.71,17162044.99
31/01/2018,16.99,17.06,16.82,16.89,35676296.00
01/02/2018,16.89,17.40,16.81,17.16,33523875.00
02/02/2018,17.21,17.21,16.71,16.74,10260345.00
05/02/2018,16.71,16.96,16.58,16.71,2587569.99
06/02/2018,16.95,16.95,16.60,16.91,4070188.00
07/02/2018,17.01,17.06,16.82,16.87,1870215.00
08/02/2018,16.99,16.99,16.71,16.91,5499639.00
09/02/2018,16.91,16.91,16.70,16.71,1892973.00
14/02/2018,16.71,16.81,16.34,16.42,12451432.00
15/02/2018,16.41,16.71,16.16,16.16,49633419.00
16/02/2018,16.21,16.36,16.08,16.31,3562848.00
19/02/2018,16.41,16.68,16.24,16.61,9643353.10
20/02/2018,16.61,16.87,16.31,16.71,9005082.00
21/02/2018,16.71,16.81,16.42,16.66,2977567.00
22/02/2018,16.66,16.85,16.54,16.82,1810134.00
23/02/2018,16.61,17.01,16.61,16.97,3756633.00
26/02/2018,17.04,17.19,16.71,16.71,2544752.00
27/02/2018,16.90,17.01,16.73,16.85,4078033.00
28/02/2018,16.91,17.00,16.41,16.46,10559575.99
01/03/2018,16.48,16.96,16.48,16.71,6339193.00
02/03/2018,16.88,16.88,16.43,16.61,1690660.00
05/03/2018,16.85,16.85,16.41,16.71,2025943.00
06/03/2018,16.71,16.82,16.45,16.61,7525888.91
07/03/2018,16.51,16.68,16.38,16.41,4754382.00
08/03/2018,16.69,16.70,16.36,16.41,5460615.00
09/03/2018,16.64,17.11,16.16,16.40,34509754.00
12/03/2018,16.73,17.17,16.20,16.89,20746112.00
13/03/2018,17.04,17.11,16.71,16.96,7468688.00
14/03/2018,17.04,17.21,16.96,17.11,9747309.00
15/03/2018,17.09,17.56,17.09,17.52,9009345.00
