date,open,high,low,close,vol
16/02/2017,16.07,16.07,15.63,15.63,138550.00
17/02/2017,16.07,16.07,16.07,16.07,90000.00
24/02/2017,16.25,16.25,16.25,16.25,23660.00
01/03/2017,16.25,16.25,16.03,16.03,78110.00
03/03/2017,16.96,16.96,16.52,16.74,33575.00
06/03/2017,16.79,17.41,16.52,17.14,108354.00
07/03/2017,16.16,16.96,16.16,16.41,62155.00
08/03/2017,16.27,16.96,15.95,16.52,74921.00
09/03/2017,15.98,16.96,15.74,16.96,30789.00
10/03/2017,16.16,16.95,16.07,16.69,119076.00
13/03/2017,16.43,16.43,16.43,16.43,11040.00
14/03/2017,16.78,16.96,16.52,16.60,16826.00
15/03/2017,16.52,16.68,16.52,16.68,29818.00
16/03/2017,16.52,16.96,16.52,16.61,14909.00
17/03/2017,16.52,16.88,16.52,16.61,20500.00
20/03/2017,16.34,16.34,15.63,15.63,35930.00
21/03/2017,15.63,15.63,15.19,15.19,42770.00
22/03/2017,15.89,16.61,15.89,16.60,2791797.00
23/03/2017,16.23,16.58,15.98,15.98,54489.00
24/03/2017,16.00,16.33,15.93,15.95,209688.00
27/03/2017,15.98,15.98,15.89,15.89,7130.00
28/03/2017,16.03,16.70,16.03,16.70,283067.00
29/03/2017,16.77,16.96,16.63,16.78,399756.00
30/03/2017,16.74,17.01,16.52,16.88,1649872.00
31/03/2017,16.77,17.03,16.77,16.96,1842087.00
03/04/2017,16.88,17.19,16.70,17.19,494265.00
04/04/2017,16.88,17.76,16.88,17.76,115726.00
05/04/2017,17.17,17.71,17.17,17.48,87256.00
06/04/2017,17.02,17.11,16.52,16.52,354046.00
07/04/2017,16.86,17.01,16.83,17.01,43509.00
10/04/2017,16.71,17.19,16.69,16.96,92290.00
11/04/2017,16.96,16.96,16.54,16.71,54453.00
12/04/2017,16.52,17.04,16.52,17.04,130452.00
13/04/2017,16.62,16.62,16.16,16.44,182990077.00
17/04/2017,15.54,16.61,15.54,16.43,18153638.00
18/04/2017,16.43,16.43,15.98,16.07,13594792.00
19/04/2017,15.72,16.43,15.18,15.62,29765813.00
20/04/2017,15.25,16.03,15.25,15.63,11159462.00
24/04/2017,16.08,16.08,15.89,15.89,36027120.00
26/04/2017,16.07,16.07,16.07,16.07,1800.00
02/05/2017,16.07,16.34,15.80,16.34,234200.00
03/05/2017,16.61,16.96,16.29,16.96,28084400.00
04/05/2017,16.69,16.69,16.25,16.55,28251614.00
05/05/2017,16.52,16.61,16.34,16.61,51770.00
08/05/2017,16.07,16.61,16.07,16.61,7260.00
09/05/2017,16.61,16.74,16.36,16.74,98052.00
10/05/2017,16.74,17.28,16.74,16.74,29077560.00
11/05/2017,16.74,16.96,16.74,16.96,52548.00
12/05/2017,16.96,16.96,16.22,16.96,7517.00
16/05/2017,16.79,16.79,16.79,16.79,1880.00
17/05/2017,16.61,16.79,16.43,16.79,209265.00
18/05/2017,16.14,16.14,14.56,14.96,2186604.00
19/05/2017,15.68,15.68,15.36,15.49,62130.00
22/05/2017,14.55,15.00,14.55,15.00,123291.00
23/05/2017,15.00,15.27,14.58,14.58,72220.00
24/05/2017,15.00,15.40,14.06,14.06,29278064.00
25/05/2017,14.46,14.46,14.07,14.07,32314.00
26/05/2017,14.03,14.03,14.03,14.03,3142.00
29/05/2017,14.29,14.29,13.84,13.84,3150.00
30/05/2017,13.84,13.84,13.39,13.62,442076.00
31/05/2017,13.56,13.59,12.63,12.63,160283.00
01/06/2017,12.64,12.64,12.50,12.50,28460065.00
02/06/2017,12.50,12.50,12.50,12.50,14000000.00
05/06/2017,13.04,13.04,12.50,12.50,10160.00
06/06/2017,12.70,12.70,12.70,12.70,1422.00
08/06/2017,12.48,12.48,12.28,12.28,2773.00
13/06/2017,12.01,12.01,12.01,12.01,2690.00
14/06/2017,12.47,12.56,12.06,12.06,208442.00
20/06/2017,12.20,12.45,12.05,12.41,138663.00
21/06/2017,12.05,12.05,12.05,12.05,8100.00
22/06/2017,11.25,11.25,11.25,11.25,2520.00
23/06/2017,11.97,12.05,11.97,12.01,20155.00
26/06/2017,11.96,12.46,11.96,12.46,32920.00
27/06/2017,12.46,12.49,12.20,12.20,97589.00
28/06/2017,12.49,12.49,12.49,12.49,33576.00
29/06/2017,12.32,12.50,12.32,12.50,22380.00
30/06/2017,12.92,12.92,12.59,12.90,48978.00
04/07/2017,13.39,13.39,13.39,13.39,1500.00
05/07/2017,13.84,13.97,13.84,13.97,1211625.00
06/07/2017,14.01,14.01,13.56,13.56,45851.00
07/07/2017,13.64,13.64,13.64,13.64,1470.00
12/07/2017,14.18,14.18,14.18,14.18,1528.00
17/07/2017,14.69,14.69,14.20,14.20,3113.00
18/07/2017,15.31,15.31,14.70,14.75,786740.00
19/07/2017,14.71,14.94,14.48,14.48,2124455.00
20/07/2017,14.57,14.58,14.43,14.43,1038228.00
21/07/2017,14.41,14.41,14.15,14.38,3522498.00
24/07/2017,14.38,14.38,14.38,14.38,1550.00
25/07/2017,14.21,14.36,14.10,14.10,463134.00
27/07/2017,14.10,14.10,14.10,14.10,419520.00
28/07/2017,14.10,14.10,14.10,14.10,1520000.00
02/08/2017,13.92,14.06,13.59,13.93,1853067.00
03/08/2017,14.15,14.15,13.92,14.03,15246925.00
04/08/2017,14.15,14.29,14.10,14.11,25315402.00
07/08/2017,14.27,14.29,14.25,14.25,4058788.00
08/08/2017,14.35,14.36,14.28,14.36,7698093.00
09/08/2017,14.05,14.09,13.94,13.97,69310.00
10/08/2017,13.85,13.85,13.66,13.70,74073.00
11/08/2017,13.56,13.64,13.06,13.64,141470.00
14/08/2017,13.25,13.48,13.06,13.45,441055.00
15/08/2017,13.45,13.51,13.39,13.39,437556.00
16/08/2017,13.59,13.72,13.55,13.55,121605.00
17/08/2017,13.55,13.59,13.36,13.59,24547.00
18/08/2017,13.41,13.64,13.41,13.46,165301.00
21/08/2017,13.94,14.84,13.92,14.03,3010109.00
22/08/2017,13.50,14.85,13.50,14.20,35846023.00
23/08/2017,14.36,14.67,14.21,14.49,9710990.00
24/08/2017,14.02,14.89,14.02,14.62,14691397.00
25/08/2017,14.80,14.99,14.66,14.75,8413273.00
28/08/2017,14.62,15.47,14.62,14.90,3117570.00
29/08/2017,14.88,15.50,14.85,15.31,8875754.90
30/08/2017,14.95,15.56,14.95,15.24,53602733.00
31/08/2017,15.10,15.35,14.83,15.16,44373401.00
01/09/2017,15.78,16.68,15.13,16.42,10807408.01
04/09/2017,16.24,17.61,15.96,17.54,8904038.10
05/09/2017,17.82,17.82,17.23,17.54,19055362.00
06/09/2017,17.54,17.90,17.37,17.48,32091950.00
08/09/2017,17.91,17.91,17.16,17.72,18244176.00
11/09/2017,17.71,17.82,17.43,17.54,17086631.00
12/09/2017,17.53,17.53,17.15,17.15,6878485.00
