date,open,high,low,close,vol
05/08/2014,3.42,3.47,3.29,3.31,368663.00
06/08/2014,3.30,3.36,3.22,3.30,367260.00
07/08/2014,3.35,3.35,3.23,3.24,229015.00
08/08/2014,3.23,3.32,3.22,3.29,210103.00
11/08/2014,3.27,3.35,3.23,3.23,347999.00
12/08/2014,3.23,3.29,3.22,3.26,116408.00
13/08/2014,3.26,3.33,3.24,3.33,531747.00
14/08/2014,3.31,3.37,3.26,3.28,388312.00
15/08/2014,3.28,3.30,3.23,3.30,271854.00
18/08/2014,3.30,3.30,3.24,3.30,174435.00
19/08/2014,3.28,3.33,3.26,3.28,266815.00
20/08/2014,3.25,3.29,3.25,3.28,207430.00
21/08/2014,3.28,3.29,3.24,3.29,98747.00
22/08/2014,3.26,3.41,3.26,3.33,1423348.00
25/08/2014,3.40,3.40,3.23,3.23,368818.00
26/08/2014,3.29,3.33,3.23,3.28,354916.00
27/08/2014,3.30,3.37,3.25,3.37,2713632.00
28/08/2014,3.40,3.40,3.33,3.37,130222.00
29/08/2014,3.40,3.40,3.34,3.34,837765.00
01/09/2014,3.37,3.40,3.36,3.38,291082.00
02/09/2014,3.40,3.40,3.35,3.38,470249.00
03/09/2014,3.39,3.39,3.35,3.39,509152.00
04/09/2014,3.39,3.41,3.33,3.33,315405.00
05/09/2014,3.33,3.41,3.33,3.39,462855.00
08/09/2014,3.39,3.39,3.29,3.33,576122.00
09/09/2014,3.31,3.35,3.14,3.17,900966.00
10/09/2014,3.17,3.21,3.05,3.14,3723092.00
11/09/2014,3.16,3.19,3.11,3.13,4718983.00
12/09/2014,3.10,3.17,3.04,3.10,4255473.00
15/09/2014,3.14,3.14,3.07,3.07,483748.00
16/09/2014,3.10,3.18,3.01,3.06,1143996.00
17/09/2014,3.08,3.08,3.00,3.04,443390.00
18/09/2014,3.04,3.04,2.92,3.00,217750.00
19/09/2014,3.04,3.14,2.96,3.14,974036.00
22/09/2014,3.14,3.14,2.96,2.97,363772.00
23/09/2014,3.08,3.08,2.96,3.01,127177.00
24/09/2014,3.00,3.02,2.97,2.99,154250.00
25/09/2014,3.06,3.07,2.97,3.04,203871.00
26/09/2014,3.03,3.04,3.03,3.04,32959.00
29/09/2014,3.04,3.05,2.99,3.05,40615.00
30/09/2014,3.07,3.07,2.99,2.99,56799.00
01/10/2014,2.99,2.99,2.93,2.99,253604.00
02/10/2014,3.00,3.02,3.00,3.01,413127.00
03/10/2014,3.01,3.02,2.89,2.91,690714.00
06/10/2014,2.95,2.97,2.92,2.95,98971.00
07/10/2014,2.95,2.97,2.95,2.97,88524.00
08/10/2014,2.99,2.99,2.94,2.94,10295.00
09/10/2014,2.99,2.99,2.94,2.99,81494.00
10/10/2014,2.99,3.00,2.95,2.98,26362.00
13/10/2014,3.03,3.03,2.95,2.95,50782.00
14/10/2014,2.96,2.97,2.93,2.95,60972.00
15/10/2014,2.95,2.95,2.77,2.89,207384.00
16/10/2014,2.87,2.87,2.66,2.66,339230.00
17/10/2014,2.71,2.71,2.60,2.60,141970.00
20/10/2014,2.63,2.66,2.56,2.56,41031.00
21/10/2014,2.55,2.63,2.42,2.47,3522511.00
22/10/2014,2.45,2.57,2.45,2.57,102746.00
23/10/2014,2.57,2.57,2.40,2.47,85279.00
24/10/2014,2.47,2.58,2.42,2.58,211248.00
27/10/2014,2.57,2.57,2.40,2.54,81772.00
28/10/2014,2.57,2.58,2.47,2.52,180410.00
29/10/2014,2.52,2.61,2.45,2.61,78324.00
30/10/2014,2.59,2.71,2.59,2.70,105138.00
31/10/2014,2.71,2.80,2.66,2.74,394771.00
03/11/2014,2.74,2.74,2.34,2.34,10951665.00
04/11/2014,2.40,2.40,2.35,2.37,87647.00
05/11/2014,2.34,2.40,2.34,2.40,188946.00
06/11/2014,2.40,2.40,2.37,2.40,2583848.00
07/11/2014,2.42,2.42,2.36,2.40,2058983.00
10/11/2014,2.40,2.41,2.37,2.37,108172.00
11/11/2014,2.38,2.41,2.38,2.40,26872.00
12/11/2014,2.37,2.41,2.37,2.41,1580619.00
13/11/2014,2.41,2.41,2.38,2.40,31108.00
14/11/2014,2.40,2.41,2.38,2.41,8337.00
17/11/2014,2.43,2.43,2.39,2.43,2960976.00
18/11/2014,2.43,2.46,2.39,2.43,154566.00
19/11/2014,2.47,2.52,2.44,2.47,186973.00
21/11/2014,2.47,2.49,2.43,2.45,343748.00
24/11/2014,2.52,2.52,2.41,2.49,145735.00
25/11/2014,2.48,2.52,2.36,2.36,310999.00
26/11/2014,2.39,2.39,2.32,2.38,175217.00
27/11/2014,2.40,2.40,2.38,2.40,27955.00
28/11/2014,2.36,2.38,2.28,2.28,138938.00
01/12/2014,2.33,2.33,2.19,2.28,240864.00
02/12/2014,2.28,2.30,2.23,2.30,95413.00
03/12/2014,2.29,2.30,2.25,2.30,46108.00
04/12/2014,2.30,2.30,2.28,2.29,12011.00
05/12/2014,2.29,2.30,2.25,2.30,60164.00
08/12/2014,2.29,2.31,2.25,2.31,152523.00
09/12/2014,2.31,2.31,2.25,2.25,75192.00
10/12/2014,2.25,2.28,2.12,2.18,370243.00
11/12/2014,2.23,2.23,2.14,2.19,1183744.00
12/12/2014,2.16,2.19,2.11,2.11,474183.00
15/12/2014,2.10,2.12,1.95,2.00,576563.00
16/12/2014,2.00,2.06,1.95,1.97,231322.00
17/12/2014,2.02,2.04,1.92,2.00,828082.00
18/12/2014,2.05,2.05,2.00,2.00,368703.00
19/12/2014,1.98,2.00,1.92,1.92,510869.00
22/12/2014,1.91,1.97,1.90,1.91,126354.00
23/12/2014,1.93,2.04,1.93,2.04,206175.00
26/12/2014,2.03,2.18,2.00,2.18,112616.00
29/12/2014,2.19,2.19,2.11,2.14,139593.00
30/12/2014,2.14,2.23,2.10,2.23,133069.00
02/01/2015,2.22,2.23,2.14,2.19,77190.00
05/01/2015,2.18,2.19,2.04,2.05,584863.00
06/01/2015,2.05,2.06,1.99,2.04,94052.00
07/01/2015,2.04,2.12,1.98,2.03,186431.00
08/01/2015,2.06,2.09,2.04,2.09,45412.00
09/01/2015,2.11,2.11,2.06,2.11,63783.00
12/01/2015,2.10,2.11,2.06,2.11,87717.00
13/01/2015,2.10,2.10,2.06,2.06,27666.00
14/01/2015,2.07,2.07,2.04,2.07,27052.00
15/01/2015,2.07,2.09,2.03,2.07,78261.00
16/01/2015,2.07,2.07,2.00,2.00,71680.00
19/01/2015,2.01,2.02,2.00,2.00,55279.00
20/01/2015,2.01,2.07,2.00,2.07,57289.00
21/01/2015,2.07,2.09,2.03,2.09,101518.00
22/01/2015,2.09,2.09,2.04,2.08,30182.00
23/01/2015,2.09,2.09,2.03,2.03,40147.00
26/01/2015,2.04,2.04,2.01,2.01,18468.00
27/01/2015,2.01,2.01,1.93,1.93,123731.00
28/01/2015,1.94,1.94,1.88,1.92,76048.00
29/01/2015,1.93,1.93,1.81,1.81,149456.00
30/01/2015,1.82,1.83,1.63,1.63,296185.00
02/02/2015,1.65,1.65,1.62,1.62,39909.00
03/02/2015,1.63,1.71,1.63,1.69,97919.00
04/02/2015,1.68,1.76,1.66,1.67,128337.00
05/02/2015,1.69,1.75,1.61,1.62,151288.00
06/02/2015,1.63,1.65,1.63,1.65,15657.00
09/02/2015,1.69,1.82,1.63,1.71,343422.00
10/02/2015,1.80,1.86,1.68,1.68,193710.00
11/02/2015,1.66,1.69,1.65,1.69,69319.00
12/02/2015,1.72,1.72,1.63,1.63,51691.00
13/02/2015,1.68,1.68,1.62,1.62,120485.00
18/02/2015,1.63,1.66,1.62,1.62,24895.00
19/02/2015,1.66,1.68,1.61,1.62,4327706.00
20/02/2015,1.64,1.64,1.61,1.61,90877.00
23/02/2015,1.62,1.63,1.61,1.63,41638.00
24/02/2015,1.63,1.66,1.62,1.63,610527.00
25/02/2015,1.62,1.62,1.62,1.62,13933.00
26/02/2015,1.62,1.62,1.61,1.61,22359.00
27/02/2015,1.62,1.80,1.61,1.80,230611.00
02/03/2015,1.79,1.79,1.67,1.67,112232.00
03/03/2015,1.64,1.67,1.64,1.67,51378.00
04/03/2015,1.64,1.70,1.64,1.70,36513.00
05/03/2015,1.74,1.74,1.67,1.69,54137.00
06/03/2015,1.70,1.70,1.67,1.70,25960.00
09/03/2015,1.69,1.70,1.65,1.68,55812.00
10/03/2015,1.67,1.67,1.67,1.67,4200.00
11/03/2015,1.69,1.69,1.66,1.68,20218.00
