date,open,high,low,close,vol
18/12/2009,22.84,22.96,22.42,22.85,48560936.00
21/12/2009,22.92,23.14,22.77,22.77,23642628.00
22/12/2009,22.83,23.22,22.80,23.16,45463109.00
23/12/2009,23.17,23.53,23.04,23.45,35532013.00
28/12/2009,23.68,23.82,23.51,23.58,11196730.00
29/12/2009,23.63,23.83,23.47,23.58,12619308.00
30/12/2009,23.76,23.76,23.29,23.61,37425402.00
04/01/2010,23.90,24.02,23.56,24.02,27609978.00
05/01/2010,24.13,24.56,24.03,24.51,42437248.00
06/01/2010,24.21,25.01,24.21,24.85,84348939.00
07/01/2010,24.75,25.13,24.53,25.13,36902063.00
08/01/2010,25.13,25.52,24.94,25.49,17955400.00
11/01/2010,25.73,25.77,25.32,25.60,35587710.00
12/01/2010,25.13,25.61,25.00,25.61,26080445.00
13/01/2010,25.54,25.94,25.44,25.84,27920301.00
14/01/2010,25.84,25.99,25.45,25.70,18844804.00
15/01/2010,24.96,25.62,24.92,25.40,41887410.00
18/01/2010,25.52,25.97,25.25,25.41,15047418.00
19/01/2010,25.27,26.35,25.25,26.35,29151072.00
20/01/2010,25.80,25.95,25.18,25.59,51285879.00
21/01/2010,25.43,25.52,24.39,24.82,50491500.00
22/01/2010,24.51,24.69,23.88,24.18,39237977.00
26/01/2010,23.82,24.04,23.54,23.75,33460542.00
27/01/2010,23.88,23.88,23.04,23.58,34723923.00
28/01/2010,23.75,24.08,23.04,23.47,19801127.00
29/01/2010,23.71,24.18,23.59,23.79,20374947.00
01/02/2010,23.92,24.51,23.59,24.51,22000885.00
02/02/2010,24.61,24.76,24.29,24.45,22938927.00
03/02/2010,24.39,24.57,23.93,24.42,21768180.00
04/02/2010,24.15,24.25,23.10,23.10,26899100.00
05/02/2010,22.95,23.26,22.10,22.66,36034674.00
08/02/2010,22.66,23.44,22.66,22.85,67732574.00
09/02/2010,23.29,23.93,23.10,23.50,28380992.00
10/02/2010,23.59,23.67,23.15,23.35,19755369.00
11/02/2010,23.41,23.78,22.61,23.50,38786627.00
12/02/2010,23.18,23.65,23.07,23.28,49235870.00
17/02/2010,23.91,24.50,23.85,24.31,31607052.00
18/02/2010,24.18,24.82,24.02,24.70,50195679.00
19/02/2010,24.61,25.07,24.42,24.94,32553551.00
22/02/2010,25.19,25.24,24.61,24.74,37676216.00
23/02/2010,24.54,24.74,24.07,24.18,25824796.00
24/02/2010,24.27,24.51,24.10,24.33,22477573.00
25/02/2010,23.84,24.43,23.77,24.33,32987280.00
26/02/2010,24.22,24.45,23.97,24.16,33627368.00
01/03/2010,24.46,24.48,24.16,24.21,33127809.00
02/03/2010,24.31,24.78,24.24,24.51,41054923.00
03/03/2010,24.70,25.04,24.51,24.51,56946346.00
04/03/2010,24.70,24.97,24.27,24.88,51735325.00
05/03/2010,25.37,25.86,25.13,25.77,57505645.00
08/03/2010,25.98,26.24,25.65,25.92,78305876.00
09/03/2010,25.74,26.50,25.59,26.38,46906106.00
10/03/2010,26.51,26.54,25.62,25.68,45662219.00
11/03/2010,25.64,25.67,25.11,25.25,34138159.00
12/03/2010,25.58,25.65,24.97,24.97,21389421.00
15/03/2010,24.97,25.42,24.76,25.25,36332929.00
16/03/2010,25.56,26.16,25.27,26.16,45783449.00
17/03/2010,26.11,26.34,25.75,26.04,53164397.00
18/03/2010,25.86,26.23,25.68,26.09,27262997.00
19/03/2010,26.14,26.14,25.40,25.40,17161706.00
22/03/2010,25.13,26.06,24.88,26.05,22203348.00
23/03/2010,26.44,26.98,26.35,26.66,43644800.00
24/03/2010,26.34,26.68,26.06,26.35,42154772.00
25/03/2010,26.63,26.79,25.96,26.06,46661011.00
26/03/2010,26.07,26.34,25.96,26.05,22695610.00
29/03/2010,26.22,26.93,26.22,26.87,28895278.00
30/03/2010,27.02,27.20,26.79,27.20,23485761.00
31/03/2010,26.84,27.06,26.60,26.93,36362956.00
01/04/2010,27.24,27.39,27.05,27.38,31392177.00
05/04/2010,27.58,27.58,27.10,27.33,16483601.00
06/04/2010,27.15,27.54,27.10,27.33,28722944.00
07/04/2010,27.30,27.73,27.11,27.27,50626036.00
08/04/2010,27.08,27.71,27.08,27.61,38823572.00
09/04/2010,27.87,27.87,27.36,27.64,51276332.00
12/04/2010,27.52,27.82,27.31,27.38,78004661.00
13/04/2010,27.46,27.85,27.15,27.67,37968448.00
14/04/2010,27.67,27.88,27.44,27.61,42945127.00
15/04/2010,27.61,27.76,27.36,27.58,54237997.00
16/04/2010,27.31,27.63,26.97,27.11,42486329.00
19/04/2010,26.78,27.12,26.40,26.60,28889536.00
20/04/2010,26.69,26.95,26.02,26.05,36312316.00
22/04/2010,25.78,26.05,25.25,26.03,48957226.00
23/04/2010,25.81,26.07,25.57,25.98,30194818.00
26/04/2010,26.01,26.23,25.60,25.74,37085527.00
27/04/2010,25.61,25.62,24.37,24.56,53331042.00
28/04/2010,24.85,24.88,23.92,24.48,62748161.00
29/04/2010,24.89,25.15,24.65,24.96,30659086.00
30/04/2010,24.89,25.08,24.35,24.56,32764650.00
03/05/2010,24.56,24.84,23.90,24.15,30121137.00
04/05/2010,23.91,23.91,22.64,22.88,44865313.00
05/05/2010,22.63,23.53,22.38,23.12,46436985.00
06/05/2010,23.19,23.72,20.54,22.93,52221438.00
07/05/2010,22.83,23.19,22.15,22.65,60885651.00
10/05/2010,23.84,24.03,23.38,23.46,44460335.00
11/05/2010,23.22,23.57,23.14,23.23,42101638.00
12/05/2010,23.26,23.42,23.01,23.26,32982407.00
13/05/2010,23.26,23.26,22.57,22.70,49982547.00
14/05/2010,22.57,22.66,21.73,21.83,43857347.00
17/05/2010,21.80,21.86,21.00,21.52,30529065.00
18/05/2010,21.52,21.95,20.74,20.90,32364423.00
19/05/2010,20.74,20.74,19.84,20.32,38841779.00
20/05/2010,19.66,20.00,19.44,19.50,42823520.00
21/05/2010,19.51,20.80,19.44,20.77,22810560.00
24/05/2010,20.57,21.18,20.51,20.86,22500390.00
25/05/2010,19.78,20.84,19.77,20.56,35786236.00
26/05/2010,20.86,21.80,20.86,21.42,84581898.00
27/05/2010,21.42,22.48,21.42,22.47,46515107.00
28/05/2010,22.36,22.85,22.05,22.57,37528709.00
31/05/2010,22.37,22.98,22.37,22.98,16722928.00
01/06/2010,22.36,22.70,22.25,22.28,22138252.00
02/06/2010,22.18,23.04,22.18,22.73,18535370.00
04/06/2010,22.29,22.60,21.58,21.88,38991423.00
07/06/2010,21.85,22.16,20.70,21.16,39740730.00
08/06/2010,21.38,21.51,20.99,21.36,31440382.00
09/06/2010,21.48,22.16,21.48,21.55,41495523.00
10/06/2010,21.64,22.23,21.64,22.09,31447853.00
11/06/2010,21.91,22.29,21.78,21.98,27387026.00
14/06/2010,22.27,22.54,21.98,21.98,16437255.00
15/06/2010,22.16,22.66,21.99,22.42,16998564.00
16/06/2010,22.27,22.81,22.19,22.21,40877251.00
17/06/2010,22.29,22.54,21.75,22.06,46413511.00
18/06/2010,22.01,22.11,21.52,21.95,32666002.00
21/06/2010,22.48,22.75,22.39,22.55,29088824.00
22/06/2010,22.42,22.85,22.36,22.60,33984827.00
23/06/2010,22.63,22.85,22.21,22.85,19451930.00
24/06/2010,22.63,22.74,22.16,22.16,39443411.00
25/06/2010,22.16,22.52,22.11,22.47,16943433.00
28/06/2010,22.47,22.60,21.70,22.23,15947526.00
29/06/2010,21.55,21.55,20.65,20.77,38848485.00
30/06/2010,20.77,20.96,20.25,20.36,19102197.00
01/07/2010,20.35,20.55,19.95,20.13,51599377.00
02/07/2010,20.36,20.60,19.95,20.05,17683658.00
05/07/2010,20.13,20.18,19.60,19.67,20887044.00
06/07/2010,20.14,20.45,19.76,20.24,63132310.00
