date,open,high,low,close,vol
15/12/2017,13.14,13.74,13.00,13.64,766169448.04
18/12/2017,13.77,13.88,13.39,13.68,120099812.85
19/12/2017,13.68,13.86,13.39,13.60,75959976.91
20/12/2017,13.61,14.06,13.61,13.94,80309199.05
21/12/2017,13.91,14.69,13.91,14.15,256009409.08
22/12/2017,14.11,14.49,14.03,14.24,49422730.89
26/12/2017,14.26,14.41,13.85,14.26,18009186.99
27/12/2017,14.24,14.28,14.18,14.28,9246473.00
28/12/2017,14.28,14.58,14.21,14.58,31245065.01
02/01/2018,14.49,14.87,14.28,14.69,63660800.99
03/01/2018,14.61,14.88,14.54,14.75,125293801.91
04/01/2018,14.71,14.86,14.58,14.66,25121881.97
05/01/2018,14.65,14.92,14.56,14.92,56186358.03
08/01/2018,14.85,14.89,14.61,14.84,59054777.00
09/01/2018,14.84,14.84,14.63,14.84,53424543.00
10/01/2018,14.81,14.88,14.55,14.71,95720189.01
11/01/2018,14.75,14.82,14.57,14.62,18486040.10
12/01/2018,14.49,14.70,14.13,14.55,44527438.98
15/01/2018,14.73,14.98,14.59,14.98,10580933.00
16/01/2018,15.03,15.22,14.87,14.99,85047365.00
17/01/2018,14.99,15.13,14.76,15.13,62018318.02
18/01/2018,15.13,15.26,14.99,15.26,34253720.00
19/01/2018,15.18,15.26,15.04,15.26,27081042.01
22/01/2018,15.18,15.26,15.01,15.03,17346436.99
23/01/2018,15.35,15.51,15.23,15.37,89606936.95
24/01/2018,15.48,16.80,15.43,16.29,63766925.03
26/01/2018,16.46,16.88,16.31,16.75,117541444.01
29/01/2018,16.71,17.22,16.58,17.14,177651839.00
30/01/2018,17.19,17.39,17.02,17.14,69115862.00
31/01/2018,17.28,18.00,17.27,17.90,156820327.00
01/02/2018,18.16,18.76,18.16,18.46,62925153.01
02/02/2018,18.25,18.44,18.13,18.31,37605065.00
05/02/2018,18.27,18.27,17.61,17.61,49670732.02
06/02/2018,17.22,17.78,16.91,17.72,36553969.00
07/02/2018,17.74,18.12,17.33,17.67,48551710.00
08/02/2018,17.74,18.15,17.64,18.15,88372994.00
09/02/2018,18.14,18.14,17.57,17.65,87909000.00
14/02/2018,18.07,18.66,17.67,18.46,57035242.98
15/02/2018,18.50,19.07,18.50,18.88,104169069.00
16/02/2018,18.78,19.17,18.78,19.04,44703132.01
19/02/2018,19.14,19.18,18.86,19.10,13568057.00
20/02/2018,19.01,19.17,18.67,19.16,85697500.00
21/02/2018,19.04,19.18,18.97,19.10,50036206.00
22/02/2018,19.10,19.28,19.01,19.19,66828018.00
23/02/2018,19.29,19.45,18.84,19.07,30088111.00
26/02/2018,19.18,19.61,19.03,19.24,40970598.00
27/02/2018,19.18,19.71,19.04,19.65,41975079.98
28/02/2018,19.71,19.92,19.26,19.26,35882971.00
01/03/2018,19.36,19.71,19.05,19.71,51004965.00
02/03/2018,19.36,19.49,19.05,19.40,21438646.00
05/03/2018,19.40,19.66,19.36,19.62,19152431.00
06/03/2018,19.64,19.77,19.35,19.60,28553670.00
07/03/2018,19.62,19.79,18.92,19.45,57478087.00
08/03/2018,19.45,19.65,18.96,18.96,97678452.00
09/03/2018,18.96,19.22,18.69,19.14,100291599.00
12/03/2018,19.45,19.58,19.24,19.36,80363343.00
13/03/2018,19.45,19.66,19.38,19.58,87744681.00
14/03/2018,20.32,20.67,19.62,19.73,288953398.00
15/03/2018,19.79,20.19,19.41,19.97,87496484.99
16/03/2018,20.05,20.05,19.30,19.70,107058091.00
19/03/2018,19.61,19.65,19.40,19.65,40632618.00
20/03/2018,19.60,19.62,19.44,19.55,15553870.00
21/03/2018,19.49,20.19,19.36,20.19,95085241.00
22/03/2018,20.10,20.45,19.94,20.40,31659418.00
23/03/2018,20.20,20.47,19.82,20.23,22323553.00
26/03/2018,20.44,21.41,20.33,21.11,59186829.00
27/03/2018,21.27,21.30,20.09,20.67,58622259.00
28/03/2018,20.72,20.84,19.91,19.96,48198579.00
29/03/2018,20.18,20.37,19.89,20.13,107682239.00
02/04/2018,20.13,20.34,19.49,19.49,24247398.00
03/04/2018,19.69,19.79,19.39,19.58,28816918.90
04/04/2018,19.24,19.58,18.80,19.44,52672017.00
05/04/2018,20.05,20.27,19.62,19.77,98321639.00
06/04/2018,19.77,20.40,19.54,20.25,38626724.00
09/04/2018,20.49,20.84,20.24,20.40,61497176.00
10/04/2018,20.67,20.92,20.44,20.49,66080538.00
11/04/2018,20.40,20.56,20.18,20.42,58358901.00
12/04/2018,20.47,20.47,20.11,20.32,91703931.00
13/04/2018,20.35,20.47,19.99,20.23,59421323.00
16/04/2018,20.23,20.23,19.36,19.45,88295678.00
17/04/2018,19.61,19.61,19.02,19.22,76650939.01
18/04/2018,19.34,19.92,19.34,19.60,73325915.00
19/04/2018,19.74,20.28,19.55,20.06,95270441.00
20/04/2018,20.01,20.41,19.82,19.82,38542303.00
23/04/2018,19.79,20.11,19.62,19.84,19655518.00
24/04/2018,19.97,20.22,19.27,19.45,85161062.00
25/04/2018,19.45,19.60,18.93,19.09,68972624.01
26/04/2018,19.12,19.69,19.08,19.61,192693529.00
27/04/2018,19.69,20.23,19.57,20.13,128418847.00
30/04/2018,20.23,20.45,19.94,20.37,48459469.00
02/05/2018,20.30,20.80,20.17,20.49,71328447.00
03/05/2018,20.49,20.68,19.62,19.85,97995166.01
04/05/2018,19.95,19.96,19.01,19.40,154322128.29
07/05/2018,19.69,19.69,18.86,19.34,72955114.00
08/05/2018,19.43,19.52,18.35,18.59,170826754.89
09/05/2018,18.67,18.94,18.01,18.90,185737590.91
10/05/2018,18.95,19.47,18.83,18.91,202197572.01
11/05/2018,18.98,19.08,18.28,18.81,47824095.00
14/05/2018,18.90,19.15,18.21,18.54,77425834.99
15/05/2018,18.54,18.98,18.42,18.85,154954783.00
16/05/2018,19.07,19.14,18.47,18.90,59456291.01
17/05/2018,18.81,18.89,17.75,17.92,54037129.10
18/05/2018,17.74,17.74,17.02,17.41,103189712.00
21/05/2018,17.59,17.85,16.94,17.33,44184875.02
22/05/2018,17.39,17.65,17.13,17.59,97825211.00
23/05/2018,17.59,17.65,17.23,17.43,75927799.97
24/05/2018,15.97,17.08,15.84,16.78,85032742.99
25/05/2018,16.94,17.47,16.24,16.55,112007415.04
28/05/2018,16.13,16.14,14.64,14.64,90816299.90
29/05/2018,15.19,16.01,15.10,15.67,119826742.02
30/05/2018,15.84,16.81,15.34,16.15,748141402.42
01/06/2018,16.58,17.15,14.29,15.08,195518298.15
04/06/2018,15.65,16.23,15.41,16.15,117645391.75
05/06/2018,16.01,16.30,15.61,15.89,161962343.00
06/06/2018,15.82,16.89,15.82,16.70,107244668.00
07/06/2018,16.19,16.36,15.09,15.93,133574252.63
08/06/2018,15.92,16.27,15.10,15.42,47140965.00
11/06/2018,15.69,15.70,14.87,15.21,59579390.00
12/06/2018,15.43,15.47,15.15,15.31,27415923.10
13/06/2018,15.22,15.36,14.49,14.98,38322714.99
14/06/2018,15.16,15.16,14.67,14.82,34008228.00
15/06/2018,14.86,15.06,14.58,14.69,46278962.01
18/06/2018,14.88,15.17,14.21,14.91,31212106.01
19/06/2018,14.58,15.83,14.56,15.83,43233741.98
20/06/2018,15.96,16.15,15.10,15.41,47460664.04
21/06/2018,15.21,15.26,14.69,15.05,32901718.71
22/06/2018,14.94,15.56,14.75,15.56,28881789.30
25/06/2018,15.70,16.26,15.47,15.86,26931803.87
26/06/2018,15.89,16.25,15.74,16.25,33751611.00
27/06/2018,16.25,16.39,15.92,16.15,52409592.30
28/06/2018,16.15,16.41,15.99,16.22,51126318.10
29/06/2018,16.37,16.40,16.00,16.23,56994571.25
02/07/2018,16.23,16.25,15.85,16.11,15388863.99
03/07/2018,15.97,16.39,15.97,16.23,13425747.00
04/07/2018,16.11,16.27,16.01,16.19,12152752.00
05/07/2018,16.41,16.41,15.54,15.97,17031854.00
06/07/2018,16.14,16.77,16.00,16.52,30329444.01
10/07/2018,16.63,17.17,16.63,17.17,155521324.10
11/07/2018,17.16,17.58,16.96,17.26,34661717.99
12/07/2018,17.24,17.88,17.24,17.77,28135048.00
13/07/2018,17.88,18.17,17.65,17.92,39220532.00
16/07/2018,17.74,18.28,17.41,18.21,29904402.10
17/07/2018,17.99,18.16,17.31,17.57,63018990.89
18/07/2018,17.65,17.70,17.11,17.25,23172105.00
