date,open,high,low,close,vol
18/12/2009,18.70,19.10,18.63,18.97,64775262.00
21/12/2009,19.04,19.57,19.03,19.17,115364003.00
22/12/2009,19.40,19.63,19.15,19.50,68322701.00
23/12/2009,19.63,19.65,19.32,19.47,45518124.00
28/12/2009,19.61,20.00,19.59,19.93,46856158.00
29/12/2009,19.94,20.07,19.69,19.85,39782895.00
30/12/2009,19.72,20.33,19.36,20.33,63277417.00
04/01/2010,20.25,20.88,19.99,20.52,68755609.00
05/01/2010,20.49,20.82,20.40,20.73,65787421.00
06/01/2010,20.68,21.15,20.68,21.02,68686659.00
07/01/2010,20.83,21.11,20.55,20.89,53477273.00
08/01/2010,20.99,21.06,20.56,20.97,36811091.00
11/01/2010,21.04,21.20,20.68,20.90,38945405.00
12/01/2010,20.67,20.84,20.49,20.84,49584231.00
13/01/2010,20.79,21.05,20.55,21.02,43855131.00
14/01/2010,21.06,21.08,20.63,20.64,75182161.00
15/01/2010,20.61,20.95,20.32,20.79,68293862.00
18/01/2010,20.99,21.00,20.72,20.86,32474497.00
19/01/2010,20.58,21.09,20.58,21.06,70178475.00
20/01/2010,21.06,21.60,20.64,21.60,113251135.00
21/01/2010,21.50,21.55,20.64,21.19,92392726.00
22/01/2010,20.84,21.26,20.84,20.97,57949543.00
26/01/2010,20.64,20.70,20.08,20.25,79807558.00
27/01/2010,20.17,20.94,20.17,20.79,58657210.00
28/01/2010,21.00,21.06,20.22,20.43,53406526.00
29/01/2010,20.70,20.84,20.09,20.23,62561393.00
01/02/2010,20.12,20.38,20.02,20.12,54449543.00
02/02/2010,20.13,20.43,19.99,20.12,55746460.00
03/02/2010,20.08,20.88,20.08,20.73,55268434.00
04/02/2010,20.57,20.61,19.95,20.16,53215095.00
05/02/2010,20.01,20.39,19.49,19.72,69803705.00
08/02/2010,19.72,20.16,19.49,19.76,42620677.00
09/02/2010,20.06,20.50,19.99,20.25,76247309.00
10/02/2010,20.17,20.29,19.72,20.16,44761923.00
11/02/2010,20.16,20.20,19.72,20.12,57686045.00
12/02/2010,20.12,20.12,19.69,19.72,28030878.00
17/02/2010,20.16,20.70,20.07,20.66,51647366.00
18/02/2010,20.48,20.92,20.24,20.92,36083994.00
19/02/2010,20.68,20.93,20.51,20.72,30564755.00
22/02/2010,20.85,20.90,20.24,20.24,39746198.00
23/02/2010,20.17,20.39,19.79,20.07,21941665.00
24/02/2010,20.13,20.39,19.95,20.20,26985332.00
25/02/2010,19.85,20.29,19.72,20.07,35935358.00
26/02/2010,20.12,20.25,19.67,19.76,46635768.00
01/03/2010,19.63,20.03,19.49,19.98,72765162.00
02/03/2010,19.99,20.16,19.87,19.90,81030240.00
03/03/2010,20.02,20.59,19.85,20.08,109158472.00
04/03/2010,20.24,20.35,19.93,20.07,40562097.00
05/03/2010,20.38,20.43,19.95,20.07,39995371.00
08/03/2010,20.07,20.09,19.81,19.81,50697442.00
09/03/2010,19.83,20.23,19.77,19.98,59199926.00
10/03/2010,20.07,20.25,19.88,19.90,56342978.00
11/03/2010,19.88,20.05,19.78,19.79,41624812.00
12/03/2010,19.94,19.98,19.69,19.72,51977997.00
15/03/2010,19.69,19.78,19.54,19.57,49340964.00
16/03/2010,19.59,19.70,19.36,19.65,62173894.00
17/03/2010,19.84,19.96,19.77,19.90,54644574.00
18/03/2010,19.90,19.97,19.68,19.87,47971402.00
19/03/2010,19.78,19.99,19.77,19.83,42699596.00
22/03/2010,19.63,19.93,19.56,19.93,43763333.00
23/03/2010,19.99,20.13,19.81,20.03,36810929.00
24/03/2010,19.85,20.07,19.81,19.86,49126810.00
25/03/2010,20.07,20.09,19.76,19.77,36095552.00
26/03/2010,19.72,20.07,19.72,19.91,25637409.00
29/03/2010,19.94,20.64,19.92,20.60,68626339.00
30/03/2010,20.61,21.37,20.61,21.33,111896695.00
31/03/2010,21.15,21.72,21.15,21.46,99148862.00
01/04/2010,21.50,21.96,21.16,21.20,52656016.00
05/04/2010,21.51,21.51,20.84,20.97,53295509.00
