date,open,high,low,close,vol
18/12/2009,9.26,9.38,9.17,9.24,18440404.00
21/12/2009,9.33,9.66,9.28,9.59,31781287.00
22/12/2009,9.69,10.16,9.69,10.12,25154877.00
23/12/2009,10.13,10.14,9.84,10.00,21152362.00
28/12/2009,10.01,10.08,9.66,9.70,14843802.00
29/12/2009,9.80,9.90,9.66,9.79,8863165.00
30/12/2009,9.76,9.88,9.68,9.68,12581464.00
04/01/2010,9.86,9.99,9.76,9.79,11693521.00
05/01/2010,10.03,10.07,9.70,9.70,21254445.00
06/01/2010,9.82,10.00,9.72,9.94,13514709.00
07/01/2010,9.90,9.90,9.53,9.69,15732624.00
08/01/2010,9.70,9.72,9.53,9.55,11170564.00
11/01/2010,9.69,10.48,9.69,10.48,46800265.00
12/01/2010,10.36,10.47,10.14,10.38,24084053.00
13/01/2010,10.38,10.59,10.18,10.24,18311824.00
14/01/2010,10.37,10.37,10.17,10.24,15175610.00
15/01/2010,10.18,10.26,9.84,9.93,24675896.00
18/01/2010,10.07,10.10,9.76,9.83,6598788.00
19/01/2010,9.75,9.92,9.61,9.79,8725065.00
20/01/2010,9.74,9.75,9.48,9.66,14690669.00
21/01/2010,9.72,9.77,9.48,9.57,15088114.00
22/01/2010,9.52,10.00,9.28,9.35,28173117.00
26/01/2010,9.48,9.48,9.06,9.17,17895540.00
27/01/2010,9.11,9.35,9.00,9.12,18026244.00
28/01/2010,9.24,9.35,9.00,9.12,18170124.00
29/01/2010,9.21,9.22,9.02,9.11,28576349.00
01/02/2010,9.17,9.25,9.02,9.15,13850688.00
02/02/2010,9.29,9.32,9.13,9.19,18474422.00
03/02/2010,9.21,9.25,9.11,9.14,33812756.00
04/02/2010,9.09,9.11,8.77,8.91,29076015.00
05/02/2010,8.80,8.90,8.52,8.90,20761910.00
08/02/2010,8.93,9.17,8.76,9.05,21911893.00
09/02/2010,9.22,9.24,9.00,9.09,19649831.00
10/02/2010,9.06,9.14,8.88,9.00,21872171.00
11/02/2010,8.95,9.12,8.93,9.04,6626148.00
12/02/2010,9.12,9.12,8.80,8.90,17883418.00
17/02/2010,9.03,9.07,8.95,9.01,15873838.00
18/02/2010,9.04,9.11,8.93,8.94,22775689.00
19/02/2010,9.02,9.06,8.90,8.97,16736318.00
22/02/2010,9.03,9.44,9.03,9.26,56693511.00
23/02/2010,9.24,9.24,8.93,9.01,27581928.00
24/02/2010,9.11,9.11,8.60,8.87,35859729.00
25/02/2010,8.66,8.98,8.62,8.83,17656192.00
26/02/2010,8.90,8.98,8.71,8.78,17737317.00
01/03/2010,8.88,8.88,8.72,8.75,12789320.00
02/03/2010,8.80,8.95,8.78,8.84,20671400.00
03/03/2010,8.88,9.09,8.76,8.84,26471131.00
