date,open,high,low,close,vol
18/12/2009,6.07,6.12,6.03,6.03,13612113.00
21/12/2009,6.10,6.20,6.06,6.08,9954664.00
22/12/2009,6.16,6.24,6.01,6.09,18385847.00
23/12/2009,6.11,6.12,5.94,5.98,8492319.00
28/12/2009,6.10,6.10,5.87,5.87,8377293.00
29/12/2009,5.92,6.08,5.88,6.03,9669009.00
30/12/2009,6.06,6.06,5.97,6.01,11643011.00
04/01/2010,6.06,6.17,6.03,6.03,18760128.00
05/01/2010,6.07,6.16,6.05,6.15,20464819.00
06/01/2010,6.16,6.44,6.16,6.43,20437344.00
07/01/2010,6.41,6.46,6.29,6.34,10451633.00
08/01/2010,6.43,6.47,6.24,6.29,7459319.00
11/01/2010,6.40,6.42,6.12,6.18,15300229.00
12/01/2010,6.19,6.19,6.05,6.11,5319248.00
13/01/2010,6.13,6.22,6.05,6.10,27219278.00
14/01/2010,6.14,6.14,5.80,5.80,40657776.00
15/01/2010,5.87,5.92,5.81,5.87,37369305.00
18/01/2010,5.88,5.91,5.84,5.87,14072531.00
19/01/2010,6.02,6.13,5.87,5.90,48541393.00
20/01/2010,5.98,6.20,5.89,6.17,468294818.00
21/01/2010,6.19,6.28,5.88,5.98,46345000.00
22/01/2010,5.91,6.16,5.88,6.09,16070115.00
26/01/2010,6.04,6.15,5.97,5.99,20777982.00
27/01/2010,5.92,6.07,5.85,5.85,38133554.00
28/01/2010,5.86,5.94,5.71,5.75,33136734.00
29/01/2010,5.75,5.91,5.65,5.73,28266206.00
01/02/2010,5.71,5.78,5.65,5.69,29725498.00
02/02/2010,5.75,5.94,5.67,5.84,20896580.00
03/02/2010,5.87,6.09,5.84,6.06,27641795.00
04/02/2010,5.96,5.96,5.67,5.85,30767318.00
05/02/2010,5.73,5.85,5.53,5.79,10559517.00
08/02/2010,5.84,5.98,5.78,5.95,5782658.00
09/02/2010,6.00,6.15,5.92,6.15,24216300.00
10/02/2010,6.19,6.22,6.04,6.21,8607456.00
11/02/2010,6.14,6.32,6.14,6.32,3297037.00
12/02/2010,6.21,6.23,6.15,6.23,13812899.00
17/02/2010,6.29,6.36,6.29,6.36,17273209.00
18/02/2010,6.30,6.35,6.29,6.35,15230929.00
19/02/2010,6.27,6.38,6.24,6.35,19995052.00
22/02/2010,6.34,6.34,6.25,6.32,16404526.00
23/02/2010,6.32,6.32,6.10,6.27,7419218.00
24/02/2010,6.27,6.27,6.13,6.20,6787004.00
25/02/2010,6.12,6.34,6.05,6.34,13077382.00
26/02/2010,6.29,6.62,6.12,6.56,26056710.00
01/03/2010,6.50,6.51,6.43,6.48,9796825.00
02/03/2010,6.45,6.61,6.43,6.48,14220313.00
03/03/2010,6.46,6.56,6.36,6.38,13961836.00
04/03/2010,6.39,6.47,6.15,6.23,24039700.00
05/03/2010,6.30,6.32,6.08,6.10,34644376.00
08/03/2010,6.16,6.28,6.13,6.17,24342983.00
09/03/2010,6.17,6.35,6.17,6.35,25993012.00
10/03/2010,6.37,6.52,6.28,6.39,19360347.00
11/03/2010,6.43,6.54,6.41,6.47,18184800.00
12/03/2010,6.52,6.56,6.40,6.49,10375678.00
15/03/2010,6.49,6.53,6.43,6.47,7011073.00
16/03/2010,6.44,6.47,6.16,6.23,45536838.00
17/03/2010,6.27,6.33,6.08,6.10,12726397.00
18/03/2010,6.12,6.21,6.02,6.16,17727512.00
19/03/2010,6.21,6.26,6.04,6.11,10218262.00
22/03/2010,6.05,6.30,5.91,6.18,18301042.00
23/03/2010,6.21,6.26,6.13,6.21,13986463.00
24/03/2010,6.26,6.26,6.01,6.05,13513183.00
25/03/2010,6.09,6.12,5.92,5.98,13102789.00
26/03/2010,5.98,5.98,5.76,5.94,21130738.00
29/03/2010,5.90,6.06,5.90,6.01,24391599.00
30/03/2010,6.03,6.09,5.87,5.92,14405137.00
31/03/2010,5.85,6.00,5.79,5.87,24185657.00
01/04/2010,5.89,6.02,5.89,5.98,9280135.00
05/04/2010,5.98,6.08,5.98,6.01,6621640.00
06/04/2010,6.01,6.06,5.87,5.99,9650087.00
07/04/2010,5.98,5.98,5.88,5.95,7891272.00
08/04/2010,5.95,5.96,5.85,5.92,12697880.00
09/04/2010,5.94,5.98,5.79,5.79,20482377.00
12/04/2010,5.81,5.83,5.75,5.78,14386959.00
13/04/2010,5.79,5.96,5.78,5.96,19476306.00
14/04/2010,5.97,6.15,5.97,6.15,8661937.00
15/04/2010,6.15,6.20,6.06,6.12,14470426.00
16/04/2010,6.12,6.15,6.02,6.09,5681309.00
19/04/2010,6.10,6.15,6.03,6.10,9682910.00
20/04/2010,6.07,6.14,5.95,6.06,7410620.00
22/04/2010,5.95,6.20,5.95,6.20,10375857.00
23/04/2010,6.20,6.23,6.09,6.19,9155202.00
26/04/2010,6.19,6.20,6.06,6.12,10042554.00
27/04/2010,6.14,6.14,5.91,5.98,7613289.00
28/04/2010,5.96,6.06,5.84,6.01,17668361.00
29/04/2010,5.97,6.14,5.92,6.06,9240498.00
30/04/2010,6.09,6.19,5.99,6.18,19502819.00
03/05/2010,6.24,6.24,6.12,6.24,9637743.00
04/05/2010,6.26,6.26,5.99,6.09,13291643.00
05/05/2010,5.99,6.21,5.88,6.18,14539398.00
06/05/2010,6.16,6.17,5.93,6.13,18541694.00
07/05/2010,6.02,6.17,5.84,6.02,13470767.00
10/05/2010,6.17,6.30,6.05,6.24,12789532.00
11/05/2010,6.16,6.32,6.14,6.27,14474385.00
12/05/2010,6.30,6.45,6.17,6.45,27791008.00
13/05/2010,6.33,6.61,6.24,6.30,15841575.00
14/05/2010,6.26,6.28,6.05,6.20,10604497.00
17/05/2010,6.20,6.35,5.96,6.29,22106519.00
18/05/2010,6.35,6.39,5.95,6.15,15298655.00
19/05/2010,6.02,6.10,5.87,6.10,29983914.00
20/05/2010,5.90,6.13,5.81,6.01,12781161.00
21/05/2010,5.93,6.20,5.93,6.19,23720165.00
24/05/2010,6.11,6.32,6.03,6.21,10406075.00
25/05/2010,5.97,6.15,5.97,6.13,18341396.00
26/05/2010,6.22,6.34,6.08,6.33,52081115.00
27/05/2010,6.35,6.55,6.32,6.40,18002411.00
28/05/2010,6.42,6.52,6.35,6.51,9144765.00
31/05/2010,6.50,6.55,6.43,6.55,6206095.00
01/06/2010,6.41,6.55,6.30,6.30,18258430.00
02/06/2010,6.24,6.54,6.11,6.41,16440585.00
