date,open,high,low,close,vol
08/03/2010,6.66,6.66,6.44,6.52,45561052.00
09/03/2010,6.52,6.65,6.44,6.59,9907149.00
10/03/2010,6.60,6.69,6.55,6.66,35906135.00
11/03/2010,6.66,6.67,6.57,6.65,6444018.00
12/03/2010,6.67,6.69,6.63,6.66,6084684.00
15/03/2010,6.70,6.74,6.62,6.65,2044012.00
16/03/2010,6.63,6.67,6.60,6.65,1330675.00
17/03/2010,6.66,6.67,6.54,6.65,2067903.00
18/03/2010,6.66,6.69,6.59,6.66,7244633.00
19/03/2010,6.67,6.67,6.59,6.64,2326779.00
22/03/2010,6.66,6.66,6.55,6.64,11120554.00
23/03/2010,6.66,6.71,6.57,6.64,14928065.00
24/03/2010,6.58,6.66,6.55,6.64,8444120.00
25/03/2010,6.62,6.82,6.62,6.72,5977883.00
26/03/2010,6.78,6.85,6.67,6.67,7946569.00
29/03/2010,6.72,6.73,6.63,6.64,5413420.00
30/03/2010,6.67,6.69,6.64,6.66,5814994.00
31/03/2010,6.67,6.69,6.60,6.63,1907740.00
01/04/2010,6.67,6.68,6.49,6.64,25224172.00
05/04/2010,6.47,6.64,6.41,6.57,5246754.00
06/04/2010,6.64,6.66,6.57,6.64,14932917.00
07/04/2010,6.66,6.67,6.57,6.64,622603.00
08/04/2010,6.57,6.65,6.57,6.57,1190723.00
09/04/2010,6.47,6.66,6.47,6.66,1606798.00
12/04/2010,6.59,6.67,6.57,6.67,1405241.00
13/04/2010,6.67,6.67,6.52,6.56,3059795.00
14/04/2010,6.63,6.67,6.54,6.67,8773078.00
15/04/2010,6.58,6.61,6.45,6.56,2605995.00
16/04/2010,6.61,6.61,6.45,6.46,1874317.00
19/04/2010,6.31,6.56,6.31,6.55,1093462.00
20/04/2010,6.47,6.56,6.46,6.56,1138448.00
22/04/2010,6.59,6.59,6.52,6.52,4609038.00
23/04/2010,6.59,6.59,6.45,6.45,9726828.00
26/04/2010,6.44,6.58,6.44,6.53,820566.00
27/04/2010,6.63,6.63,6.39,6.53,318863.00
28/04/2010,6.63,6.63,6.28,6.53,655708.00
29/04/2010,6.43,6.52,6.28,6.47,962426.00
30/04/2010,6.48,6.48,6.29,6.40,3341429.00
03/05/2010,6.40,6.40,6.38,6.38,942663.00
04/05/2010,6.32,6.32,6.17,6.32,4260291.00
05/05/2010,6.32,6.32,6.08,6.25,1491516.00
06/05/2010,6.32,6.32,6.14,6.22,210313.00
07/05/2010,6.20,6.20,5.76,5.91,12607161.00
10/05/2010,6.17,6.32,6.03,6.17,716150.00
11/05/2010,6.17,6.25,6.02,6.12,661554.00
12/05/2010,6.09,6.12,6.09,6.11,858701.00
13/05/2010,6.17,6.17,6.02,6.14,359367.00
14/05/2010,6.17,6.17,6.07,6.14,171868.00
17/05/2010,6.13,6.13,6.04,6.12,1457097.00
18/05/2010,6.05,6.05,5.92,5.96,1447876.00
19/05/2010,5.96,5.96,5.66,5.80,2738741.00
20/05/2010,5.66,5.81,5.27,5.45,13111682.00
21/05/2010,5.37,5.66,5.37,5.46,1119688.00
24/05/2010,5.53,5.66,5.50,5.60,1759935.00
25/05/2010,5.39,5.60,5.20,5.59,2855693.00
26/05/2010,5.50,5.66,5.50,5.50,6999001.00
27/05/2010,5.35,6.02,5.35,6.02,6023865.00
28/05/2010,5.91,6.02,5.66,6.02,813253.00
31/05/2010,5.96,6.02,5.96,5.96,119880.00
01/06/2010,5.91,5.91,5.66,5.66,348788.00
02/06/2010,5.91,5.91,5.71,5.88,1565333.00
04/06/2010,5.91,6.08,5.66,5.84,213376.00
07/06/2010,5.86,5.99,5.76,5.86,461826.00
08/06/2010,5.84,5.96,5.71,5.85,4007468.00
09/06/2010,5.68,5.91,5.68,5.91,103707.00
10/06/2010,5.86,5.91,5.67,5.86,187344.00
11/06/2010,5.77,5.92,5.76,5.92,1316029.00
14/06/2010,5.91,5.99,5.86,5.96,8599830.00
15/06/2010,5.96,6.32,5.94,6.32,4702882.00
16/06/2010,6.30,6.45,6.24,6.38,4604146.00
17/06/2010,6.36,6.38,6.30,6.35,4670501.00
18/06/2010,6.48,6.56,6.38,6.56,14670053.00
21/06/2010,6.51,6.67,6.51,6.66,4063199.00
22/06/2010,6.68,6.68,6.61,6.66,1099167.00
23/06/2010,6.59,6.68,6.38,6.63,2627121.00
24/06/2010,6.58,6.58,6.48,6.54,115882.00
25/06/2010,6.54,6.68,6.47,6.63,770565.00
28/06/2010,6.68,6.68,6.42,6.63,922267.00
29/06/2010,6.60,6.60,6.53,6.58,66435.00
30/06/2010,6.48,6.61,6.42,6.61,1181619.00
01/07/2010,6.61,6.68,6.58,6.68,1989107.00
02/07/2010,6.67,6.67,6.35,6.63,1952966.00
05/07/2010,6.64,6.67,6.53,6.66,398881.00
06/07/2010,6.49,6.67,6.49,6.63,2980191.00
07/07/2010,6.67,6.67,6.53,6.63,5468562.00
08/07/2010,6.63,6.66,6.63,6.65,3622546.00
12/07/2010,6.65,6.65,6.58,6.63,396921.00
13/07/2010,6.61,6.63,6.56,6.58,3058464.00
14/07/2010,6.55,6.63,6.53,6.61,489172.00
15/07/2010,6.66,6.67,6.53,6.66,693960.00
16/07/2010,6.58,6.65,6.54,6.56,376165.00
19/07/2010,6.65,6.74,6.63,6.73,1912543.00
20/07/2010,6.73,6.76,6.64,6.68,1323434.00
21/07/2010,6.62,6.65,6.50,6.61,357266.00
22/07/2010,6.63,6.63,6.53,6.58,1030497.00
23/07/2010,6.58,6.89,6.56,6.89,1739536.00
26/07/2010,6.74,6.99,6.68,6.96,1000789.00
27/07/2010,6.84,7.14,6.84,7.07,643520.00
28/07/2010,7.04,7.20,6.97,7.17,9384792.00
29/07/2010,7.17,7.30,7.12,7.17,2805144.00
30/07/2010,7.09,7.29,7.09,7.20,1852868.00
02/08/2010,7.19,7.35,7.11,7.20,1801627.00
03/08/2010,7.25,7.25,6.97,7.04,535596.00
04/08/2010,7.04,7.05,6.97,7.04,1449278.00
05/08/2010,7.22,7.22,7.12,7.12,682936.00
06/08/2010,7.12,7.13,6.95,7.11,2768009.00
09/08/2010,7.24,7.24,6.97,7.09,2882405.00
10/08/2010,7.09,7.09,6.94,7.04,2857396.00
11/08/2010,7.01,7.07,7.01,7.04,1860322.00
12/08/2010,7.04,7.20,7.04,7.10,7452494.00
13/08/2010,7.28,7.35,7.10,7.17,1634904.00
16/08/2010,7.12,7.12,7.00,7.10,883423.00
17/08/2010,7.09,7.10,6.99,7.09,1789501.00
18/08/2010,7.10,7.10,6.90,7.02,7854366.00
19/08/2010,7.04,7.19,7.04,7.07,504478.00
20/08/2010,7.07,7.35,7.04,7.33,9395078.00
23/08/2010,7.33,7.33,7.12,7.33,430026.00
24/08/2010,7.30,7.30,7.25,7.30,269378.00
25/08/2010,7.29,7.30,7.25,7.30,6397184.00
26/08/2010,7.20,7.21,7.15,7.20,5136824.00
27/08/2010,7.20,7.31,7.17,7.20,1847722.00
30/08/2010,7.20,7.20,7.16,7.20,1391586.00
31/08/2010,7.20,7.27,7.04,7.27,1799936.00
01/09/2010,7.30,7.40,7.15,7.20,1777570.00
02/09/2010,7.20,7.20,7.07,7.19,3396785.00
03/09/2010,7.10,7.14,7.08,7.14,2821718.00
06/09/2010,7.13,7.25,6.94,7.17,640308.00
08/09/2010,7.19,7.25,7.12,7.25,1416858.00
09/09/2010,7.10,7.45,7.10,7.37,1428152.00
10/09/2010,7.39,7.39,7.13,7.22,4967993.00
13/09/2010,7.34,7.35,6.92,7.30,4645725.00
14/09/2010,7.45,7.45,7.20,7.27,6264300.00
15/09/2010,7.18,7.43,7.17,7.33,6021335.00
16/09/2010,7.23,7.35,7.04,7.23,48126548.00
17/09/2010,7.11,7.30,7.02,7.22,95397123.00
20/09/2010,7.33,7.43,7.20,7.35,8557307.00
21/09/2010,7.40,7.55,7.37,7.48,4815101.00
22/09/2010,7.48,7.63,7.46,7.63,8827644.00
23/09/2010,7.66,7.84,7.66,7.81,2422224.00
24/09/2010,7.83,7.89,7.76,7.89,5390837.00
27/09/2010,7.96,8.02,7.89,8.02,5538592.00
28/09/2010,8.07,8.18,7.95,8.15,2654675.00
29/09/2010,8.21,8.48,7.96,8.12,6117752.00
30/09/2010,8.12,8.38,8.07,8.38,24088885.00
01/10/2010,8.38,8.44,8.25,8.33,8345526.00
04/10/2010,8.50,8.70,8.34,8.43,5730537.00
05/10/2010,8.53,8.53,8.34,8.41,13321016.00
06/10/2010,8.42,8.48,8.22,8.45,5986666.00
07/10/2010,8.28,8.50,8.28,8.47,5304530.00
08/10/2010,8.64,8.64,8.31,8.48,5777397.00
11/10/2010,8.70,8.70,8.48,8.56,9845903.00
13/10/2010,8.72,8.95,8.63,8.82,9999943.00
14/10/2010,8.82,8.85,8.54,8.64,4978839.00
15/10/2010,8.84,8.84,8.33,8.69,8728048.00
18/10/2010,8.72,8.79,8.60,8.79,4709615.00
19/10/2010,8.70,8.74,8.48,8.48,15947822.00
20/10/2010,8.59,8.59,8.38,8.52,1517243.00
21/10/2010,8.54,8.54,8.23,8.46,31343047.00
22/10/2010,8.54,8.54,8.37,8.46,9065892.00
25/10/2010,8.61,8.61,8.29,8.38,4560129.00
26/10/2010,8.33,8.48,8.20,8.41,7221411.00
27/10/2010,8.41,8.43,8.24,8.43,7601751.00
28/10/2010,8.33,8.48,8.33,8.47,7019771.00
29/10/2010,8.47,8.47,8.37,8.43,5937496.00
01/11/2010,8.50,8.80,8.48,8.51,22702120.00
03/11/2010,8.69,8.77,8.48,8.73,18085784.00
04/11/2010,8.79,8.84,8.73,8.81,6863364.00
05/11/2010,8.82,8.87,8.72,8.74,32957740.00
08/11/2010,8.87,8.91,8.77,8.79,5514202.00
09/11/2010,8.94,8.99,8.77,8.92,19482329.00
10/11/2010,8.92,9.05,8.90,8.95,14778581.00
11/11/2010,9.10,9.15,8.82,9.00,48264889.00
12/11/2010,8.87,9.08,8.87,8.99,3281041.00
16/11/2010,9.10,9.10,8.79,8.90,2670411.00
17/11/2010,9.00,9.00,8.89,8.97,3296326.00
18/11/2010,9.17,9.18,8.94,8.95,15306278.00
19/11/2010,8.92,9.22,8.92,9.20,14460217.00
22/11/2010,9.25,9.55,9.25,9.41,8044819.00
23/11/2010,9.41,9.62,9.26,9.34,20381398.00
24/11/2010,9.51,9.51,9.36,9.41,13419303.00
25/11/2010,9.33,9.66,9.33,9.61,3544233.00
26/11/2010,9.62,9.77,9.44,9.67,11066781.00
29/11/2010,9.63,9.74,9.45,9.62,7931191.00
30/11/2010,9.43,10.03,9.43,10.03,37802865.00
01/12/2010,9.77,10.00,9.77,9.82,16562343.00
02/12/2010,9.82,9.87,9.59,9.67,6046839.00
03/12/2010,9.87,9.87,9.47,9.51,135913710.00
06/12/2010,9.66,9.66,9.31,9.46,4343512.00
07/12/2010,9.47,9.67,9.37,9.51,8967325.00
08/12/2010,9.51,9.54,9.24,9.26,24739071.00
09/12/2010,9.26,9.49,9.15,9.26,6780232.00
10/12/2010,9.40,9.40,9.05,9.39,4725136.00
13/12/2010,9.46,9.53,9.26,9.37,5950093.00
14/12/2010,9.37,9.38,9.18,9.38,8158323.00
15/12/2010,9.41,9.46,9.21,9.31,7599025.00
16/12/2010,9.39,9.46,8.94,8.94,5163276.00
17/12/2010,9.25,9.33,9.02,9.23,4800155.00
20/12/2010,9.46,9.46,9.18,9.26,9381122.00
21/12/2010,9.26,9.51,9.26,9.26,10985629.00
22/12/2010,9.40,9.41,8.90,9.00,7417784.00
23/12/2010,9.15,9.24,9.00,9.00,4842826.00
27/12/2010,9.25,9.25,8.67,8.99,1397449.00
28/12/2010,9.04,9.05,8.84,9.04,9044289.00
29/12/2010,9.11,9.20,9.04,9.10,1748405.00
30/12/2010,9.26,9.51,9.26,9.34,12806019.00
03/01/2011,9.36,9.73,9.36,9.56,7362796.00
04/01/2011,9.56,9.62,9.47,9.59,22988144.00
05/01/2011,9.59,9.59,9.38,9.48,4606350.00
06/01/2011,9.56,9.56,9.36,9.41,5987941.00
07/01/2011,9.47,9.56,9.31,9.56,26833956.00
10/01/2011,9.56,9.59,9.44,9.59,7014494.00
11/01/2011,9.60,9.64,9.46,9.63,12501734.00
12/01/2011,9.52,9.64,9.27,9.56,4698138.00
13/01/2011,9.59,9.59,9.38,9.41,3809940.00
14/01/2011,9.39,9.59,9.39,9.59,2615572.00
17/01/2011,9.64,9.64,9.37,9.51,1173272.00
18/01/2011,9.51,9.77,9.34,9.71,11660818.00
19/01/2011,9.59,9.75,9.44,9.61,5461165.00
20/01/2011,9.72,9.72,9.39,9.44,7953004.00
21/01/2011,9.56,9.56,9.37,9.38,6190028.00
24/01/2011,9.56,9.58,9.25,9.37,1859223.00
26/01/2011,9.51,9.51,8.79,8.85,13227501.00
27/01/2011,8.85,8.92,8.54,8.77,5981840.00
28/01/2011,8.76,8.76,8.49,8.69,4446685.00
31/01/2011,8.69,8.69,8.34,8.62,13657911.00
01/02/2011,8.84,8.87,8.48,8.74,6075796.00
02/02/2011,8.74,8.74,8.56,8.69,2536052.00
03/02/2011,8.74,8.74,8.51,8.54,11586584.00
04/02/2011,8.74,8.74,8.18,8.28,3722760.00
07/02/2011,8.51,8.51,7.97,8.23,2028525.00
08/02/2011,8.36,8.48,8.01,8.48,6644701.00
