date,open,high,low,close,vol
18/12/2009,7.34,7.44,7.28,7.36,7342813.00
21/12/2009,7.52,7.96,7.45,7.50,7136362.00
22/12/2009,7.54,8.02,7.53,7.73,6518728.00
23/12/2009,7.73,8.13,7.66,8.07,5858068.00
28/12/2009,8.07,8.22,7.99,8.08,4342259.00
29/12/2009,8.13,8.18,7.97,8.02,5708635.00
30/12/2009,8.02,8.42,8.02,8.42,6328475.00
04/01/2010,8.42,8.42,8.23,8.36,5767695.00
05/01/2010,8.36,8.43,8.07,8.19,11771463.00
06/01/2010,8.23,8.32,8.19,8.22,3631310.00
07/01/2010,8.19,8.28,7.97,8.08,7937483.00
08/01/2010,8.11,8.22,7.97,8.02,3026246.00
11/01/2010,8.14,8.41,8.03,8.16,4865799.00
12/01/2010,8.16,8.26,7.93,8.13,8958019.00
13/01/2010,8.15,8.43,7.95,8.43,9490500.00
14/01/2010,8.40,8.40,8.07,8.20,5715070.00
15/01/2010,8.19,8.30,8.06,8.13,19833224.00
18/01/2010,8.13,8.42,8.08,8.34,2702266.00
19/01/2010,8.34,8.67,8.18,8.58,7725695.00
20/01/2010,8.59,8.70,8.08,8.39,8465523.00
21/01/2010,8.43,8.59,8.12,8.19,6044816.00
22/01/2010,8.03,8.31,8.03,8.16,5008479.00
26/01/2010,8.16,8.16,7.85,8.02,6568057.00
27/01/2010,7.95,7.99,7.63,7.68,5934421.00
28/01/2010,7.76,8.01,7.40,7.55,11087027.00
29/01/2010,7.62,7.64,7.26,7.50,10131711.00
01/02/2010,7.48,7.64,7.42,7.57,8790782.00
02/02/2010,7.65,7.76,7.62,7.73,9090028.00
03/02/2010,7.79,7.89,7.60,7.73,8937908.00
04/02/2010,7.65,7.71,7.32,7.42,4122742.00
05/02/2010,7.49,7.49,6.95,7.32,8264258.00
08/02/2010,7.41,7.45,7.19,7.45,8716356.00
09/02/2010,7.46,7.96,7.46,7.90,10149223.00
10/02/2010,8.01,8.30,7.75,8.01,6387516.00
11/02/2010,7.96,8.11,7.75,8.11,5401429.00
12/02/2010,8.11,8.14,7.95,8.04,4354839.00
17/02/2010,8.10,8.40,8.07,8.20,10417470.00
18/02/2010,8.21,8.27,8.05,8.25,6783544.00
19/02/2010,8.21,8.42,8.19,8.35,10398013.00
22/02/2010,8.38,8.53,8.28,8.48,40045237.00
23/02/2010,8.45,8.53,8.16,8.25,12361370.00
24/02/2010,8.27,8.27,8.09,8.22,1498983.00
25/02/2010,8.16,8.36,7.99,8.34,4746498.00
26/02/2010,8.39,8.44,8.12,8.30,8087791.00
01/03/2010,8.40,8.85,8.36,8.54,4215505.00
02/03/2010,8.51,8.66,8.39,8.42,3826200.00
03/03/2010,8.48,8.56,8.31,8.48,7457418.00
04/03/2010,8.54,8.54,8.18,8.31,4966377.00
05/03/2010,8.42,8.44,8.19,8.24,4578794.00
08/03/2010,8.38,8.54,8.21,8.50,12463284.00
09/03/2010,8.56,8.70,8.54,8.70,11193877.00
10/03/2010,8.65,8.70,8.59,8.68,21217618.00
11/03/2010,8.61,8.64,8.46,8.64,8923829.00
12/03/2010,8.54,8.67,8.47,8.53,2145585.00
15/03/2010,8.57,8.58,8.38,8.58,12282953.00
16/03/2010,8.58,8.69,8.58,8.67,8765552.00
17/03/2010,8.69,8.83,8.52,8.62,16336190.00
18/03/2010,8.61,8.67,8.36,8.49,5661933.00
19/03/2010,8.56,8.56,8.29,8.41,14719487.00
22/03/2010,8.38,8.49,8.32,8.44,10423161.00
23/03/2010,8.44,8.67,8.38,8.67,9117088.00
24/03/2010,8.75,8.75,8.35,8.45,10835626.00
25/03/2010,8.57,8.60,8.35,8.45,12904801.00
26/03/2010,8.39,8.52,8.27,8.38,8838312.00
29/03/2010,8.46,8.58,8.41,8.44,18977471.00
30/03/2010,8.45,8.58,8.37,8.43,3939862.00
31/03/2010,8.50,8.61,8.39,8.61,9772364.00
01/04/2010,8.66,8.66,8.18,8.24,15858598.00
05/04/2010,8.30,8.30,8.04,8.21,6160964.00
06/04/2010,8.20,8.29,7.91,7.94,10010823.00
07/04/2010,7.95,8.24,7.81,8.24,9881933.00
08/04/2010,8.24,8.58,8.09,8.58,4041896.00
09/04/2010,8.56,8.98,8.52,8.96,21091854.00
12/04/2010,8.95,8.95,8.67,8.68,7025166.00
13/04/2010,8.67,8.67,8.30,8.32,5855135.00
14/04/2010,8.35,8.49,8.27,8.43,1551444.00
15/04/2010,8.49,8.63,8.37,8.63,1381832.00
16/04/2010,8.60,8.60,8.24,8.27,2736017.00
19/04/2010,8.27,8.33,8.04,8.18,4793349.00
20/04/2010,8.09,8.44,8.09,8.30,6258800.00
22/04/2010,8.30,8.49,8.22,8.42,10560772.00
23/04/2010,8.47,8.49,8.08,8.09,3861011.00
26/04/2010,8.18,8.26,8.09,8.10,8526532.00
27/04/2010,8.10,8.12,7.58,7.86,6780810.00
28/04/2010,7.86,7.86,7.57,7.74,5335110.00
29/04/2010,7.74,7.90,7.46,7.69,10049702.00
30/04/2010,7.74,7.90,7.63,7.75,8485679.00
03/05/2010,7.78,7.96,7.70,7.76,2491190.00
04/05/2010,7.76,7.76,7.40,7.47,24484177.00
05/05/2010,7.39,7.70,7.21,7.55,12166186.00
06/05/2010,7.50,7.72,7.23,7.38,9902443.00
07/05/2010,7.42,7.64,7.11,7.38,6406774.00
10/05/2010,7.61,7.82,7.55,7.68,4455519.00
11/05/2010,7.68,7.98,7.62,7.73,13131233.00
12/05/2010,7.93,7.96,7.63,7.89,10165496.00
13/05/2010,7.82,7.82,7.55,7.55,5756738.00
14/05/2010,7.54,7.54,7.01,7.12,10829349.00
17/05/2010,7.07,7.36,6.88,7.36,12068456.00
18/05/2010,7.33,7.39,7.00,7.06,4698038.00
19/05/2010,7.00,7.03,6.69,6.97,3000897.00
20/05/2010,6.76,6.80,6.49,6.80,8513451.00
21/05/2010,6.68,7.07,6.63,6.91,7151785.00
24/05/2010,6.83,6.97,6.66,6.66,8576262.00
25/05/2010,6.39,6.46,6.24,6.39,6300476.00
26/05/2010,6.48,6.73,6.41,6.63,14187047.00
27/05/2010,6.57,7.18,6.57,7.18,9096417.00
28/05/2010,7.13,7.32,6.99,7.26,4926000.00
31/05/2010,7.21,7.53,7.12,7.53,4584851.00
01/06/2010,7.30,7.55,7.23,7.30,9693525.00
02/06/2010,7.40,7.74,7.40,7.41,12790505.00
04/06/2010,7.39,7.61,7.31,7.50,11702905.00
07/06/2010,7.55,7.63,7.48,7.57,6726402.00
08/06/2010,7.62,7.69,7.62,7.69,7243489.00
09/06/2010,7.67,7.74,7.54,7.63,9915276.00
10/06/2010,7.68,7.81,7.67,7.73,6004268.00
11/06/2010,7.69,7.83,7.63,7.74,4614530.00
14/06/2010,7.75,7.88,7.72,7.72,5380888.00
15/06/2010,7.74,7.80,7.67,7.67,6427207.00
16/06/2010,7.67,8.07,7.67,7.81,7460502.00
17/06/2010,7.87,8.09,7.82,8.04,16618867.00
18/06/2010,8.04,8.28,7.84,7.84,24544642.00
21/06/2010,7.90,8.01,7.78,8.01,6398748.00
22/06/2010,7.78,8.11,7.78,7.95,3296831.00
23/06/2010,7.99,7.99,7.83,7.89,4663453.00
24/06/2010,7.85,7.88,7.60,7.75,3343931.00
25/06/2010,7.64,7.98,7.64,7.98,2185848.00
28/06/2010,8.04,8.07,7.85,8.01,2951611.00
29/06/2010,7.98,8.16,7.43,7.60,5987963.00
30/06/2010,7.72,7.72,7.49,7.71,11003633.00
01/07/2010,7.50,7.81,7.50,7.74,21419631.00
02/07/2010,7.81,7.87,7.66,7.85,3222450.00
05/07/2010,7.85,7.85,7.70,7.72,604541.00
06/07/2010,7.79,7.98,7.72,7.81,11131589.00
07/07/2010,7.87,7.92,7.63,7.63,13041376.00
08/07/2010,7.71,8.08,7.66,8.08,6298050.00
12/07/2010,8.08,8.22,7.95,8.07,5369530.00
13/07/2010,8.22,8.33,8.05,8.19,7948238.00
14/07/2010,8.25,8.54,8.16,8.38,15610986.00
15/07/2010,8.47,8.47,8.16,8.25,3737151.00
16/07/2010,8.54,8.54,8.22,8.36,9036785.00
19/07/2010,8.36,8.51,8.24,8.51,6021113.00
20/07/2010,8.51,8.53,8.29,8.45,3871867.00
21/07/2010,8.54,8.54,8.31,8.41,5204171.00
22/07/2010,8.53,8.93,8.46,8.77,14129964.00
23/07/2010,8.85,8.96,8.70,8.75,5097927.00
26/07/2010,8.69,8.77,8.41,8.51,4195349.00
27/07/2010,8.53,8.70,8.52,8.52,13553122.00
28/07/2010,8.52,8.69,8.52,8.62,4400859.00
29/07/2010,8.68,8.79,8.66,8.75,13094471.00
30/07/2010,8.75,8.97,8.74,8.92,10181586.00
02/08/2010,8.92,9.23,8.92,9.19,10627303.00
03/08/2010,9.15,9.19,8.89,9.16,4903493.00
04/08/2010,9.16,9.33,9.02,9.33,6221608.00
05/08/2010,9.22,9.22,9.04,9.10,4707090.00
06/08/2010,8.98,9.27,8.96,9.13,4367601.00
09/08/2010,9.26,9.29,8.80,9.19,5273130.00
10/08/2010,9.06,9.30,9.06,9.22,10513454.00
11/08/2010,9.21,9.25,9.02,9.10,27899213.00
12/08/2010,9.16,9.24,9.09,9.22,11605722.00
13/08/2010,9.19,9.33,9.16,9.33,7448984.00
16/08/2010,9.39,9.76,9.37,9.54,17974666.00
17/08/2010,9.64,9.79,9.64,9.74,17934003.00
18/08/2010,9.79,10.41,9.67,10.15,22456657.00
19/08/2010,10.20,11.12,10.04,10.34,28712881.00
20/08/2010,10.34,10.39,9.74,9.74,9424267.00
23/08/2010,9.97,10.15,9.70,9.86,16837873.00
24/08/2010,9.71,9.81,9.37,9.53,10379418.00
25/08/2010,9.33,9.47,9.15,9.22,4344368.00
26/08/2010,9.30,9.57,9.25,9.36,8981643.00
27/08/2010,9.39,10.04,9.37,9.58,12681885.00
30/08/2010,9.68,9.71,9.19,9.20,6223806.00
31/08/2010,9.15,9.45,8.99,9.09,6721264.00
01/09/2010,9.19,9.77,9.19,9.74,12247342.00
02/09/2010,9.82,10.01,9.59,9.70,7661000.00
03/09/2010,9.82,9.93,9.30,9.57,7771217.00
06/09/2010,9.30,9.82,9.30,9.82,675830.00
08/09/2010,9.86,9.86,9.56,9.79,8303992.00
09/09/2010,9.85,9.85,9.61,9.70,13607257.00
10/09/2010,9.75,9.87,9.68,9.82,3870114.00
13/09/2010,9.88,10.01,9.52,9.58,11156665.00
14/09/2010,9.61,9.69,9.48,9.64,21873427.00
15/09/2010,9.56,9.67,9.44,9.46,12042763.00
16/09/2010,9.51,9.80,9.32,9.73,11772899.00
17/09/2010,9.65,9.79,9.05,9.26,32249178.00
20/09/2010,9.34,9.54,9.13,9.54,5670303.00
21/09/2010,9.54,9.71,9.36,9.67,9996531.00
22/09/2010,9.59,9.73,9.48,9.58,7078256.00
23/09/2010,9.50,9.64,9.24,9.29,18755053.00
24/09/2010,9.44,9.56,9.35,9.41,21408642.00
27/09/2010,9.52,9.61,9.47,9.59,14081178.00
28/09/2010,9.59,9.94,9.58,9.87,10560613.00
29/09/2010,9.81,10.00,9.61,9.79,22459075.00
30/09/2010,9.87,10.08,9.74,10.08,16164367.00
01/10/2010,10.17,10.52,10.12,10.38,16307958.00
04/10/2010,10.39,10.56,10.00,10.00,20747030.00
05/10/2010,10.01,10.35,10.00,10.35,16580095.00
06/10/2010,10.40,10.46,10.19,10.35,13987344.00
07/10/2010,10.44,10.66,10.24,10.35,10494642.00
08/10/2010,10.44,10.85,10.40,10.77,23379380.00
11/10/2010,10.77,11.18,10.59,10.98,18108067.00
