date,open,high,low,close,vol
18/12/2009,38.91,39.36,38.24,38.24,66852779.00
21/12/2009,38.57,38.64,37.80,37.97,27012660.00
22/12/2009,38.10,38.32,37.22,37.29,57806302.00
23/12/2009,37.62,37.79,36.82,37.02,33139743.00
28/12/2009,37.30,38.05,37.29,38.05,20965164.00
29/12/2009,38.40,39.50,38.40,39.12,34365553.00
30/12/2009,39.24,40.79,38.62,40.79,39298866.00
04/01/2010,40.53,40.55,39.69,39.69,27843880.00
05/01/2010,40.11,40.19,38.42,38.74,38181415.00
06/01/2010,38.82,39.18,38.16,39.17,25916238.00
07/01/2010,38.83,40.08,38.24,39.61,36992961.00
08/01/2010,39.93,39.93,38.66,38.66,21204902.00
11/01/2010,39.15,39.15,38.25,38.31,15054351.00
12/01/2010,38.01,38.14,37.20,37.86,27184943.00
13/01/2010,37.97,38.77,37.59,38.23,31825153.00
14/01/2010,38.21,38.64,37.67,38.17,32798540.00
15/01/2010,37.67,38.08,37.12,37.12,37205471.00
18/01/2010,37.29,37.67,36.34,36.34,22433335.00
19/01/2010,36.34,36.35,35.43,35.54,46500996.00
20/01/2010,35.57,35.57,33.26,33.35,102655190.00
21/01/2010,33.49,34.47,32.94,34.13,59772631.00
22/01/2010,34.06,35.24,33.94,35.05,52419021.00
26/01/2010,34.36,34.47,32.52,33.77,27628883.00
27/01/2010,33.88,33.96,32.76,33.04,24080907.00
28/01/2010,33.37,33.62,31.81,32.17,32108614.00
29/01/2010,32.42,32.90,32.07,32.43,26131979.00
01/02/2010,32.83,33.62,32.37,33.62,16459628.00
02/02/2010,34.35,34.36,33.35,33.88,20319346.00
03/02/2010,33.99,34.05,33.14,33.81,25363100.00
04/02/2010,33.36,33.53,31.25,31.91,28875900.00
05/02/2010,31.40,31.88,29.91,30.72,34705275.00
08/02/2010,31.09,31.10,29.70,29.78,41390086.00
09/02/2010,30.38,31.40,30.00,31.06,30308161.00
10/02/2010,31.40,31.61,30.12,30.93,21951720.00
11/02/2010,31.08,31.89,30.73,31.89,23575100.00
12/02/2010,31.73,32.39,31.50,32.00,27605656.00
17/02/2010,32.53,33.65,32.45,33.13,27014609.00
18/02/2010,32.98,33.39,32.26,33.04,23261485.00
19/02/2010,32.94,34.00,32.68,33.88,38611106.00
22/02/2010,33.96,34.12,33.11,33.53,32752675.00
23/02/2010,33.27,33.48,32.12,32.31,28651336.00
24/02/2010,32.34,32.74,31.83,32.33,26326328.00
25/02/2010,31.76,32.51,31.27,32.31,16286530.00
26/02/2010,32.43,32.43,31.48,32.00,13381236.00
01/03/2010,32.52,32.88,32.24,32.88,25496584.00
02/03/2010,32.97,33.93,32.97,33.62,34158265.00
03/03/2010,33.80,34.47,33.28,33.54,40194568.00
04/03/2010,33.63,34.42,33.54,34.12,32003092.00
05/03/2010,34.56,34.77,34.25,34.59,27789360.00
08/03/2010,34.69,34.90,33.94,34.68,29029941.00
09/03/2010,34.36,34.52,34.06,34.28,25723502.00
10/03/2010,34.33,34.52,33.97,34.33,21321952.00
11/03/2010,34.13,35.40,34.04,34.87,48580712.00
12/03/2010,35.72,35.84,34.13,34.47,55397540.00
15/03/2010,34.24,34.30,32.69,32.69,32923269.00
16/03/2010,32.95,32.99,32.43,32.80,28748219.00
17/03/2010,33.11,33.29,32.29,32.43,23044083.00
18/03/2010,32.60,33.09,31.99,32.98,31435227.00
19/03/2010,33.07,33.11,32.26,32.45,13108926.00
22/03/2010,32.14,32.58,31.85,32.26,17848438.00
23/03/2010,32.53,32.69,32.20,32.53,16465763.00
24/03/2010,32.19,32.52,31.52,31.52,18534194.00
25/03/2010,31.78,31.87,30.89,31.42,19319077.00
26/03/2010,31.51,31.67,30.98,31.30,10802630.00
29/03/2010,31.32,31.96,31.27,31.96,11135254.00
30/03/2010,32.08,32.09,31.46,31.92,12962370.00
31/03/2010,31.92,32.86,31.59,32.86,29818834.00
01/04/2010,33.03,33.06,32.39,32.61,23492129.00
