date,open,high,low,close,vol
28/09/2017,8.48,8.48,8.16,8.47,179141094.02
29/09/2017,8.44,8.57,8.38,8.48,40931634.09
02/10/2017,8.56,8.56,8.44,8.48,16507261.94
03/10/2017,8.53,8.53,8.42,8.44,48688193.85
04/10/2017,8.25,8.28,8.02,8.16,52861268.76
05/10/2017,8.19,8.29,8.07,8.20,9979134.00
06/10/2017,8.14,8.24,8.11,8.24,13683654.99
09/10/2017,8.24,8.24,8.06,8.06,10390601.05
10/10/2017,8.18,8.23,7.96,8.11,19236919.11
11/10/2017,8.18,8.18,7.98,8.06,9584824.02
13/10/2017,8.11,8.13,8.01,8.11,6204376.04
16/10/2017,8.05,8.24,7.88,7.96,16882613.95
17/10/2017,7.98,7.99,7.54,7.87,59584256.01
18/10/2017,7.89,7.95,7.66,7.78,14562421.93
19/10/2017,7.68,7.86,7.63,7.86,7904024.98
20/10/2017,7.86,8.16,7.79,8.15,31270869.91
23/10/2017,8.20,8.20,8.01,8.11,9137063.16
24/10/2017,8.06,8.19,8.04,8.12,16240086.12
25/10/2017,8.12,8.14,8.03,8.11,10526647.15
26/10/2017,8.09,8.11,7.97,8.01,13042426.00
27/10/2017,7.97,8.00,7.78,7.92,17522708.90
30/10/2017,7.92,7.92,7.69,7.69,25742706.10
31/10/2017,7.73,7.73,7.46,7.60,15349282.20
01/11/2017,7.60,7.77,7.46,7.77,6370491.02
03/11/2017,7.65,7.77,7.49,7.54,10504386.00
06/11/2017,7.66,7.78,7.55,7.60,14988688.96
07/11/2017,7.69,7.79,7.50,7.54,62248563.03
08/11/2017,7.59,7.68,7.52,7.58,37079390.17
09/11/2017,7.61,7.67,7.57,7.59,6023570.04
10/11/2017,7.60,7.64,7.52,7.55,30437207.03
13/11/2017,7.55,7.63,7.49,7.54,19067580.00
14/11/2017,7.49,7.62,7.48,7.54,14690293.01
16/11/2017,7.62,7.66,7.52,7.54,5458725.05
17/11/2017,7.57,7.96,7.52,7.92,74503669.90
21/11/2017,7.96,8.38,7.94,8.34,42956712.13
22/11/2017,8.36,8.41,8.19,8.19,50509453.02
23/11/2017,8.19,8.24,8.01,8.17,11677825.98
24/11/2017,8.26,8.26,8.02,8.03,6359752.01
27/11/2017,7.99,8.03,7.82,7.87,17565115.10
28/11/2017,7.90,8.01,7.82,7.94,3130347.99
29/11/2017,7.94,7.98,7.64,7.64,6685388.00
30/11/2017,7.68,7.68,7.49,7.51,13890637.04
01/12/2017,7.54,7.81,7.54,7.81,13070823.03
04/12/2017,7.79,7.87,7.66,7.73,7007935.00
05/12/2017,7.80,7.80,7.55,7.55,11405036.08
06/12/2017,7.58,7.63,7.49,7.49,24582066.01
07/12/2017,7.49,7.57,6.94,7.07,43822758.00
08/12/2017,7.09,7.21,6.87,7.07,16903477.00
11/12/2017,7.16,7.19,6.96,6.97,7323251.00
12/12/2017,6.97,7.02,6.89,6.89,6827875.00
13/12/2017,7.05,7.24,7.02,7.20,20111820.00
14/12/2017,7.20,7.35,7.11,7.26,8109206.00
15/12/2017,7.32,7.32,7.13,7.19,12669041.00
18/12/2017,7.27,7.31,7.17,7.24,6141885.00
19/12/2017,7.26,7.26,7.10,7.15,8782145.00
20/12/2017,7.19,7.25,7.11,7.13,9105976.00
21/12/2017,7.18,7.41,7.13,7.29,8701002.00
22/12/2017,7.29,7.34,7.20,7.34,13420342.00
26/12/2017,7.39,7.44,7.34,7.41,5615996.00
27/12/2017,7.44,7.46,7.31,7.39,5704203.00
28/12/2017,7.44,7.51,7.37,7.51,13209407.00
02/01/2018,7.53,7.56,7.43,7.50,12189619.00
03/01/2018,7.51,7.59,7.46,7.49,13016758.00
04/01/2018,7.52,7.81,7.52,7.68,17998262.03
05/01/2018,7.69,7.85,7.69,7.85,9455460.06
08/01/2018,7.87,7.87,7.68,7.84,8187770.00
09/01/2018,7.83,7.87,7.70,7.82,7559746.00
10/01/2018,7.81,8.01,7.81,7.97,13076981.16
11/01/2018,8.01,8.17,7.89,8.16,18325110.99
12/01/2018,8.06,8.06,7.68,7.72,32853644.18
15/01/2018,7.72,7.82,7.68,7.82,7876551.02
