date,open,high,low,close,vol
18/12/2009,5.97,6.06,5.89,6.06,21383919.00
21/12/2009,6.11,6.23,6.04,6.04,25770558.00
22/12/2009,6.07,6.26,6.07,6.17,24984561.00
23/12/2009,6.17,6.27,6.06,6.08,8506968.00
28/12/2009,6.24,6.24,6.07,6.10,8014111.00
29/12/2009,6.12,6.22,6.11,6.16,7611002.00
30/12/2009,6.09,6.24,6.09,6.23,11369618.00
04/01/2010,6.25,6.28,6.12,6.27,14473106.00
05/01/2010,6.25,6.39,6.23,6.35,35419672.00
06/01/2010,6.33,6.64,6.30,6.56,54926715.00
07/01/2010,6.53,6.61,6.49,6.50,15314242.00
08/01/2010,6.53,6.61,6.49,6.50,17302357.00
11/01/2010,6.53,6.59,6.49,6.56,19729199.00
12/01/2010,6.47,6.59,6.38,6.56,37715913.00
13/01/2010,6.59,6.60,6.41,6.47,67693782.00
14/01/2010,6.43,6.75,6.43,6.50,36520793.00
15/01/2010,6.50,6.64,6.45,6.45,21407696.00
18/01/2010,6.49,6.59,6.44,6.48,10819601.00
19/01/2010,6.48,6.93,6.48,6.88,41791343.00
20/01/2010,6.75,6.94,6.67,6.91,28333314.00
21/01/2010,6.97,6.97,6.69,6.75,37618240.00
22/01/2010,6.72,6.72,6.31,6.41,67017621.00
26/01/2010,6.37,6.37,6.15,6.25,40167641.00
27/01/2010,6.22,6.48,6.19,6.36,46629847.00
28/01/2010,6.42,6.49,6.24,6.37,51456558.00
29/01/2010,6.43,6.48,6.17,6.29,26521891.00
01/02/2010,6.27,6.48,6.25,6.39,35621793.00
02/02/2010,6.41,6.48,6.27,6.33,29006583.00
03/02/2010,6.30,6.47,6.23,6.31,22805530.00
04/02/2010,6.25,6.38,5.97,6.05,32156878.00
05/02/2010,6.05,6.19,5.77,5.94,49167197.00
08/02/2010,6.02,6.05,5.82,5.89,48500173.00
09/02/2010,5.99,6.03,5.92,5.99,61808316.00
10/02/2010,5.99,6.09,5.81,5.90,44643087.00
11/02/2010,5.88,6.07,5.84,6.00,45782761.00
12/02/2010,5.98,6.05,5.88,5.89,14914653.00
17/02/2010,5.95,6.04,5.68,5.94,40289106.00
18/02/2010,5.89,5.98,5.89,5.95,25256700.00
19/02/2010,5.92,6.14,5.92,6.13,76802403.00
22/02/2010,6.20,6.23,6.05,6.09,25784239.00
23/02/2010,6.01,6.04,5.89,5.96,30661069.00
24/02/2010,5.92,6.02,5.90,5.96,20511216.00
25/02/2010,5.87,5.87,5.73,5.86,62289247.00
