date,open,high,low,close,vol
18/12/2009,12.52,12.96,12.52,12.92,55494181.00
21/12/2009,13.00,13.42,12.92,13.09,33624520.00
22/12/2009,13.25,13.33,12.95,12.95,33906628.00
23/12/2009,12.97,13.07,12.58,12.64,26697240.00
28/12/2009,12.86,13.02,12.78,13.00,18920759.00
29/12/2009,13.03,13.16,12.95,13.06,10107347.00
30/12/2009,12.89,13.47,12.89,13.47,26798547.00
04/01/2010,13.23,13.92,13.18,13.71,21197509.00
05/01/2010,13.81,14.43,13.81,14.07,33560698.00
06/01/2010,14.01,14.35,13.83,14.23,22990234.00
07/01/2010,14.14,14.71,13.93,14.71,22882476.00
08/01/2010,14.70,14.71,14.20,14.23,18204253.00
11/01/2010,14.18,14.26,13.66,14.20,35054758.00
12/01/2010,13.89,14.34,13.78,14.32,22075565.00
13/01/2010,14.34,14.63,14.18,14.49,18574911.00
14/01/2010,14.40,14.46,14.02,14.12,18063154.00
15/01/2010,13.84,14.17,13.59,13.94,16668402.00
18/01/2010,13.99,14.18,13.57,13.57,12330427.00
19/01/2010,13.51,14.19,13.46,14.09,14959206.00
20/01/2010,13.73,13.89,13.28,13.48,20614037.00
21/01/2010,13.55,13.56,12.72,12.72,33135138.00
22/01/2010,12.72,12.86,12.36,12.62,37768483.00
26/01/2010,12.47,13.23,12.33,13.23,25371025.00
27/01/2010,13.15,13.20,12.67,13.17,23281495.00
28/01/2010,13.17,13.30,12.71,12.72,21822531.00
29/01/2010,13.55,14.26,13.00,13.16,108610334.00
01/02/2010,13.23,13.87,12.80,13.59,41740344.00
02/02/2010,13.51,13.90,13.34,13.78,25179182.00
03/02/2010,13.66,14.12,13.58,14.01,21506086.00
04/02/2010,13.87,13.94,13.23,13.31,45818595.00
05/02/2010,13.31,13.59,13.00,13.53,38632940.00
08/02/2010,13.53,14.51,13.31,13.96,49038825.00
09/02/2010,14.15,14.28,13.94,13.95,24263867.00
10/02/2010,13.94,13.94,13.47,13.51,28966058.00
11/02/2010,13.17,13.49,13.06,13.42,32675215.00
12/02/2010,13.14,13.34,12.82,13.00,21895114.00
17/02/2010,13.37,13.51,13.10,13.11,27525915.00
18/02/2010,13.11,13.23,12.90,12.93,20267446.00
19/02/2010,12.93,13.02,12.74,12.78,19957534.00
22/02/2010,12.89,13.25,12.86,13.19,21445307.00
23/02/2010,13.12,13.32,12.95,13.06,18584485.00
24/02/2010,13.17,13.32,13.01,13.18,16555374.00
25/02/2010,13.03,13.25,12.91,13.03,22318860.00
26/02/2010,13.04,13.14,12.89,13.03,13514230.00
01/03/2010,13.19,13.43,13.06,13.35,12360457.00
02/03/2010,13.34,13.69,13.34,13.45,19889696.00
03/03/2010,13.51,13.81,13.31,13.31,25804800.00
04/03/2010,13.33,13.56,12.95,12.95,21954372.00
05/03/2010,13.17,13.42,13.11,13.23,17762584.00
08/03/2010,13.28,13.41,12.98,13.17,13047106.00
09/03/2010,13.17,13.61,13.05,13.40,19088792.00
10/03/2010,13.51,13.65,13.29,13.59,17359070.00
11/03/2010,13.56,13.66,13.38,13.61,10468178.00
12/03/2010,13.57,13.62,13.37,13.45,7449907.00
15/03/2010,13.34,13.55,13.33,13.53,7522559.00
16/03/2010,13.42,13.78,13.42,13.65,9215519.00
17/03/2010,13.73,13.88,13.56,13.60,12261398.00
18/03/2010,13.65,13.72,13.45,13.51,8848972.00
19/03/2010,13.58,13.62,13.19,13.26,7774777.00
22/03/2010,13.17,13.47,13.11,13.35,8427252.00
23/03/2010,13.32,13.43,13.14,13.38,7151415.00
24/03/2010,13.23,13.34,12.88,12.88,14832182.00
25/03/2010,12.92,12.95,12.34,12.39,38777518.00
26/03/2010,12.41,12.64,12.39,12.61,15228976.00
29/03/2010,12.61,12.88,12.61,12.83,12494781.00
30/03/2010,12.91,13.21,12.76,13.16,22133042.00
31/03/2010,13.14,13.72,13.02,13.72,41265236.00
01/04/2010,13.72,13.81,13.30,13.37,15014608.00
05/04/2010,13.56,13.56,13.30,13.45,19544242.00
06/04/2010,13.34,13.72,13.24,13.40,13196237.00
07/04/2010,13.35,13.60,13.25,13.34,21364301.00
08/04/2010,13.39,13.69,13.32,13.34,27667338.00
09/04/2010,13.40,13.48,13.11,13.28,13085809.00
12/04/2010,13.18,13.50,13.18,13.34,15259691.00
13/04/2010,13.28,13.67,13.25,13.51,19278561.00
14/04/2010,13.44,13.78,13.37,13.65,21206308.00
15/04/2010,13.65,13.65,13.34,13.44,12384562.00
16/04/2010,13.34,13.56,13.23,13.39,14306127.00
19/04/2010,13.51,13.51,13.17,13.34,12509888.00
20/04/2010,13.36,13.49,13.25,13.39,11568184.00
22/04/2010,13.23,13.35,13.06,13.23,11221180.00
23/04/2010,13.19,13.39,13.19,13.33,12372690.00
26/04/2010,13.33,13.69,13.33,13.62,21613202.00
27/04/2010,13.51,13.74,13.35,13.46,20028239.00
28/04/2010,13.59,13.86,13.46,13.65,22331674.00
29/04/2010,13.71,14.36,13.57,14.35,31389366.00
30/04/2010,14.23,14.39,13.73,14.11,30797747.00
03/05/2010,14.02,14.12,13.71,14.06,20241150.00
04/05/2010,13.85,14.13,13.56,13.80,17938921.00
05/05/2010,13.60,13.90,13.60,13.65,18895805.00
06/05/2010,13.65,13.78,12.61,13.07,33176517.00
07/05/2010,13.03,13.57,12.98,13.18,21923885.00
10/05/2010,13.41,13.99,13.40,13.64,17942355.00
11/05/2010,13.57,13.96,13.40,13.52,24557591.00
12/05/2010,13.53,14.10,13.53,13.96,16257652.00
13/05/2010,13.96,13.96,13.67,13.69,14785242.00
14/05/2010,13.65,13.69,13.18,13.19,18310680.00
17/05/2010,13.20,13.24,12.81,13.14,30659722.00
18/05/2010,13.30,13.43,12.69,12.69,20982248.00
19/05/2010,12.69,12.83,12.19,12.32,16344371.00
20/05/2010,12.06,12.06,11.59,11.71,24333323.00
21/05/2010,11.78,12.40,11.63,12.40,27903754.00
24/05/2010,12.26,12.46,12.15,12.29,4892251.00
25/05/2010,11.85,11.95,11.64,11.79,34620191.00
26/05/2010,12.12,12.54,11.97,12.01,53893336.00
27/05/2010,12.30,12.47,12.26,12.32,30900119.00
28/05/2010,12.32,12.34,12.15,12.21,26083327.00
31/05/2010,12.21,12.43,12.21,12.35,13186229.00
01/06/2010,12.07,12.88,12.04,12.49,16039604.00
02/06/2010,12.57,12.97,12.49,12.77,12766443.00
04/06/2010,12.47,12.64,12.26,12.32,18301714.00
07/06/2010,12.30,12.87,12.30,12.57,17909030.00
08/06/2010,12.61,12.86,12.57,12.74,26800392.00
09/06/2010,12.86,12.88,12.58,12.66,12217137.00
10/06/2010,12.69,12.97,12.65,12.94,22820025.00
11/06/2010,12.80,13.14,12.74,13.11,11558079.00
14/06/2010,13.12,13.36,13.01,13.31,10940222.00
15/06/2010,13.34,13.75,13.17,13.56,15121222.00
16/06/2010,13.53,13.65,13.27,13.65,24829509.00
17/06/2010,13.56,13.84,13.35,13.75,24300933.00
18/06/2010,13.65,14.37,13.65,14.37,29073255.00
21/06/2010,14.22,14.37,13.89,14.05,18614828.00
22/06/2010,13.81,14.42,13.81,14.15,22674668.00
23/06/2010,13.99,14.18,13.84,14.17,17783302.00
24/06/2010,13.96,14.11,13.77,14.04,11994080.00
25/06/2010,14.04,14.52,14.00,14.49,12507345.00
28/06/2010,14.52,14.54,14.27,14.27,9409230.00
29/06/2010,14.08,14.38,13.98,14.21,19093950.00
30/06/2010,14.07,14.55,13.84,13.87,21551704.00
01/07/2010,13.98,13.98,13.59,13.70,16001480.00
02/07/2010,13.63,13.98,13.63,13.76,15551693.00
05/07/2010,13.76,13.84,13.65,13.76,5944610.00
06/07/2010,13.87,14.32,13.71,14.01,11079018.00
07/07/2010,14.03,14.52,13.93,14.29,17599799.00
08/07/2010,14.28,14.30,13.81,13.87,15505071.00
12/07/2010,13.87,14.09,13.59,13.69,8053181.00
13/07/2010,13.76,13.97,13.68,13.79,12437786.00
14/07/2010,13.80,13.98,13.65,13.65,8007453.00
15/07/2010,13.71,13.71,13.46,13.53,17589603.00
16/07/2010,13.59,13.64,13.26,13.31,11569291.00
19/07/2010,13.28,13.53,13.16,13.34,20576624.00
20/07/2010,13.35,13.92,13.23,13.84,21835123.00
21/07/2010,13.65,13.77,13.51,13.56,22473157.00
22/07/2010,13.75,14.03,13.72,13.94,11943689.00
23/07/2010,13.90,14.19,13.81,13.98,21528303.00
26/07/2010,13.93,14.18,13.87,14.15,8390402.00
27/07/2010,14.18,14.69,14.17,14.52,20883651.00
28/07/2010,14.60,14.75,14.38,14.49,21342393.00
29/07/2010,14.69,14.86,14.28,14.86,17615120.00
30/07/2010,14.66,15.45,14.66,15.29,22237663.00
02/08/2010,15.56,15.75,14.85,15.00,19654228.00
03/08/2010,15.04,15.07,14.44,14.55,14616846.00
04/08/2010,14.51,14.56,14.24,14.34,19689465.00
05/08/2010,14.22,14.85,14.21,14.79,17214166.00
06/08/2010,14.74,14.81,14.43,14.66,15162589.00
09/08/2010,14.72,14.77,14.45,14.49,12181387.00
10/08/2010,14.29,14.60,14.10,14.49,10137340.00
11/08/2010,14.29,14.64,14.29,14.56,14570401.00
12/08/2010,14.39,14.59,14.10,14.38,15343268.00
13/08/2010,14.29,14.68,14.28,14.47,14136120.00
16/08/2010,14.45,14.81,14.38,14.42,12521373.00
17/08/2010,14.49,14.71,14.41,14.51,10090734.00
18/08/2010,14.56,14.89,14.49,14.89,16734629.00
19/08/2010,14.99,15.20,14.60,15.16,13064451.00
20/08/2010,14.99,15.33,14.91,15.33,9968174.00
23/08/2010,15.24,15.33,14.85,14.85,7943869.00
24/08/2010,14.56,15.21,14.56,14.96,10320595.00
25/08/2010,14.79,14.91,14.34,14.39,16031935.00
26/08/2010,14.40,14.72,14.19,14.25,26242686.00
27/08/2010,14.25,14.68,14.04,14.68,42221734.00
30/08/2010,14.59,14.82,14.33,14.64,27248416.00
31/08/2010,14.67,14.76,14.25,14.44,47994925.00
01/09/2010,14.44,14.71,14.32,14.60,21782692.00
02/09/2010,14.56,14.67,14.21,14.23,12104364.00
03/09/2010,14.39,14.41,13.93,13.93,23170423.00
06/09/2010,13.97,14.10,13.94,14.05,1981802.00
08/09/2010,14.05,14.05,13.69,14.03,19293356.00
09/09/2010,14.14,14.41,14.14,14.37,29500959.00
10/09/2010,14.36,14.42,14.15,14.42,12969437.00
13/09/2010,14.45,14.58,14.39,14.45,10427204.00
14/09/2010,14.39,14.71,14.37,14.63,25877410.00
15/09/2010,14.58,14.99,14.46,14.94,14420074.00
16/09/2010,14.88,14.98,14.66,14.73,7002646.00
17/09/2010,14.65,14.75,14.28,14.34,8610561.00
20/09/2010,14.37,14.69,14.15,14.25,11755699.00
21/09/2010,14.35,14.36,14.10,14.31,17060174.00
22/09/2010,14.25,14.59,14.21,14.39,36645799.00
23/09/2010,14.39,14.47,14.21,14.39,31523655.00
24/09/2010,14.41,14.45,13.72,14.32,25912387.00
27/09/2010,14.37,14.37,14.07,14.14,14742168.00
28/09/2010,14.19,14.26,14.00,14.08,11073625.00
29/09/2010,14.13,14.18,13.90,13.90,19236027.00
30/09/2010,14.00,14.37,13.91,14.31,34343201.00
01/10/2010,14.31,14.70,14.31,14.69,18274474.00
04/10/2010,14.59,15.09,14.59,15.05,33018850.00
05/10/2010,15.07,15.74,15.07,15.66,41530693.00
06/10/2010,15.55,15.89,15.42,15.72,37567805.00
07/10/2010,15.72,15.84,15.40,15.55,33682315.00
08/10/2010,15.49,15.96,15.46,15.96,16702801.00
11/10/2010,16.06,16.36,16.06,16.35,13226311.00
13/10/2010,16.57,17.19,16.06,16.80,71666059.00
14/10/2010,17.01,17.01,16.35,16.66,36005186.00
15/10/2010,16.57,17.12,16.54,17.12,37111262.00
18/10/2010,17.02,17.02,16.36,16.40,23625222.00
19/10/2010,16.09,16.43,15.67,16.35,32513942.00
20/10/2010,16.35,16.35,15.89,16.24,13803727.00
21/10/2010,16.37,16.37,15.64,16.01,21315813.00
22/10/2010,16.02,16.02,15.36,15.50,32267598.00
25/10/2010,15.69,15.85,15.21,15.55,14798886.00
26/10/2010,15.55,16.15,15.07,16.15,28221829.00
27/10/2010,15.97,15.97,15.57,15.64,8613104.00
28/10/2010,15.89,15.89,15.27,15.33,14124959.00
29/10/2010,15.44,15.62,14.93,15.30,25830887.00
01/11/2010,15.25,15.84,15.20,15.44,9425451.00
03/11/2010,15.55,16.01,15.37,16.01,11431458.00
04/11/2010,16.12,16.21,15.72,15.72,13235970.00
05/11/2010,15.80,15.88,15.64,15.72,13782832.00
08/11/2010,15.71,15.84,15.40,15.72,17384875.00
09/11/2010,15.82,15.82,15.33,15.64,19499353.00
10/11/2010,15.50,16.12,15.49,15.62,17164600.00
11/11/2010,15.61,15.84,15.42,15.84,7536522.00
12/11/2010,15.67,15.84,15.47,15.65,7470883.00
16/11/2010,15.50,15.74,15.38,15.74,11148299.00
17/11/2010,15.80,16.42,15.51,16.05,15911394.00
18/11/2010,16.27,16.41,16.06,16.31,17871870.00
19/11/2010,16.26,16.68,16.17,16.61,14188359.00
22/11/2010,16.79,16.79,16.02,16.35,10926944.00
23/11/2010,16.09,16.56,15.93,16.17,18923408.00
24/11/2010,16.13,16.66,16.13,16.49,13799994.00
25/11/2010,16.38,16.59,16.24,16.34,4195642.00
26/11/2010,16.29,16.39,15.83,16.13,11447175.00
29/11/2010,15.97,16.76,15.73,16.12,26992115.00
30/11/2010,16.11,16.71,15.94,16.29,36747237.00
01/12/2010,16.61,16.73,16.22,16.22,17631279.00
02/12/2010,16.32,16.42,16.00,16.22,15625124.00
03/12/2010,16.22,16.62,16.03,16.56,19649355.00
06/12/2010,16.57,16.57,16.09,16.17,25623934.00
07/12/2010,16.37,16.40,15.99,15.99,10141087.00
08/12/2010,15.99,16.17,15.75,16.17,10763455.00
09/12/2010,16.07,16.16,15.62,15.85,8876458.00
10/12/2010,15.88,16.14,15.68,15.97,11979841.00
13/12/2010,16.02,16.10,15.67,15.94,12583039.00
14/12/2010,15.81,16.11,15.72,15.93,15370839.00
15/12/2010,15.93,16.05,15.67,15.87,23709234.00
16/12/2010,15.88,15.97,15.64,15.64,15575812.00
17/12/2010,15.64,15.76,15.56,15.69,21072294.00
20/12/2010,15.76,15.83,15.57,15.83,16485381.00
21/12/2010,15.80,15.83,15.30,15.30,21887845.00
22/12/2010,15.26,15.41,14.95,15.03,34208547.00
23/12/2010,15.19,15.37,15.11,15.23,13272548.00
27/12/2010,15.04,15.18,14.95,14.95,13329219.00
28/12/2010,15.02,15.32,14.97,15.26,18358231.00
29/12/2010,15.32,15.49,15.21,15.32,14539787.00
30/12/2010,15.32,15.48,15.17,15.32,40205280.00
03/01/2011,15.79,15.80,15.09,15.23,24575092.00
04/01/2011,15.32,16.35,15.25,16.17,92571590.00
05/01/2011,16.10,16.77,16.09,16.64,47451710.00
06/01/2011,16.66,16.99,16.47,16.76,56127996.00
07/01/2011,16.80,16.94,16.71,16.90,15647522.00
10/01/2011,16.75,16.85,16.34,16.51,16052983.00
11/01/2011,16.96,17.16,16.52,16.56,46521513.00
12/01/2011,16.73,16.96,16.58,16.93,17736945.00
13/01/2011,16.99,17.08,16.76,16.96,18239754.00
14/01/2011,16.90,17.16,16.76,16.93,99253720.00
17/01/2011,16.85,16.85,16.63,16.81,8375349.00
18/01/2011,16.97,17.02,16.88,16.93,48925363.00
19/01/2011,17.13,17.17,16.76,16.79,11638934.00
20/01/2011,16.79,17.15,16.76,16.99,22442163.00
21/01/2011,16.99,17.05,16.69,16.71,8709313.00
24/01/2011,16.71,17.07,16.71,17.07,9002259.00
26/01/2011,16.94,17.05,16.69,16.77,12086246.00
27/01/2011,16.85,16.85,16.45,16.55,9858829.00
28/01/2011,16.46,16.53,15.95,16.05,20374500.00
31/01/2011,16.00,16.27,15.89,16.15,13400173.00
01/02/2011,16.14,16.32,15.82,16.17,12847558.00
02/02/2011,16.11,16.30,15.70,15.70,13986407.00
03/02/2011,15.70,16.14,15.49,16.14,11020163.00
04/02/2011,16.05,16.42,15.92,15.94,25611770.00
07/02/2011,15.93,16.30,15.92,16.23,9100483.00
08/02/2011,16.00,16.38,16.00,16.22,12094070.00
09/02/2011,16.05,16.05,15.61,15.71,17890888.00
10/02/2011,15.62,15.83,15.46,15.59,9487373.00
11/02/2011,15.45,16.33,15.45,16.17,27023007.00
14/02/2011,16.05,16.10,15.67,16.07,20093066.00
15/02/2011,16.07,16.08,15.74,15.96,14886522.00
16/02/2011,15.94,16.34,15.74,16.34,17792011.00
17/02/2011,16.28,16.39,16.04,16.31,14051382.00
18/02/2011,16.17,16.58,16.08,16.16,23178387.00
21/02/2011,16.14,16.14,15.79,15.82,13519588.00
22/02/2011,15.68,15.93,15.33,15.43,24051252.00
23/02/2011,15.51,15.74,15.24,15.45,23443791.00
24/02/2011,15.40,15.65,15.40,15.58,22362950.00
25/02/2011,15.88,15.88,15.34,15.37,14855202.00
28/02/2011,15.37,15.49,15.25,15.49,12266528.00
01/03/2011,15.53,15.56,15.07,15.17,14341705.00
02/03/2011,15.20,15.70,15.11,15.70,17684146.00
03/03/2011,15.74,15.82,15.49,15.66,15300114.00
04/03/2011,15.66,15.82,15.41,15.80,13344117.00
09/03/2011,15.76,15.91,15.61,15.83,6341822.00
10/03/2011,15.78,16.00,15.76,15.97,17611954.00
11/03/2011,15.97,16.17,15.81,16.17,16841974.00
14/03/2011,16.06,16.23,15.95,16.17,17157047.00
15/03/2011,15.87,16.49,15.87,16.31,45988885.00
16/03/2011,16.39,16.48,15.83,16.17,81925757.00
17/03/2011,16.28,16.37,15.77,15.85,19828616.00
18/03/2011,15.93,16.21,15.89,15.99,23751304.00
21/03/2011,16.17,16.25,15.84,15.88,14531847.00
22/03/2011,15.88,16.14,15.88,16.14,25726564.00
23/03/2011,16.01,16.14,15.84,15.90,43956630.00
24/03/2011,15.92,16.22,15.92,16.18,15456207.00
25/03/2011,16.27,16.82,16.18,16.70,47033552.00
28/03/2011,16.73,16.96,16.48,16.56,15825912.00
29/03/2011,16.55,17.19,16.55,17.19,19290815.00
30/03/2011,17.18,18.33,17.18,17.91,50902028.00
31/03/2011,17.99,18.43,17.41,17.64,53027924.00
01/04/2011,17.59,18.27,17.58,18.16,34397671.00
04/04/2011,18.31,18.31,18.02,18.14,14151809.00
05/04/2011,17.98,18.29,17.91,18.09,16546479.00
06/04/2011,18.17,18.17,17.58,17.67,24384881.00
07/04/2011,17.62,17.69,17.37,17.53,16767254.00
08/04/2011,17.47,17.58,17.20,17.50,28885483.00
11/04/2011,17.47,17.69,17.19,17.24,24493949.00
