date,open,high,low,close,vol
18/12/2009,4.54,4.56,4.45,4.50,60189621.00
21/12/2009,4.53,4.68,4.53,4.57,49733479.00
22/12/2009,4.60,4.62,4.55,4.58,47099300.00
23/12/2009,4.60,4.66,4.57,4.66,55620111.00
28/12/2009,4.66,4.76,4.66,4.72,51037932.00
29/12/2009,4.75,4.78,4.65,4.66,27719884.00
30/12/2009,4.66,4.76,4.62,4.76,26638378.00
04/01/2010,4.76,4.91,4.72,4.91,61363322.00
05/01/2010,4.89,4.92,4.80,4.87,34140196.00
06/01/2010,4.85,4.89,4.81,4.86,80448292.00
07/01/2010,4.82,5.04,4.81,4.98,143282376.00
08/01/2010,4.99,5.08,4.91,4.91,67666332.00
11/01/2010,4.92,4.98,4.77,4.85,40047346.00
12/01/2010,4.79,4.80,4.66,4.70,71699395.00
13/01/2010,4.71,4.76,4.59,4.64,70825114.00
14/01/2010,4.67,4.71,4.63,4.71,33276058.00
15/01/2010,4.72,4.72,4.60,4.71,33086027.00
18/01/2010,4.71,4.77,4.71,4.76,17147956.00
19/01/2010,4.71,4.75,4.67,4.69,24665871.00
20/01/2010,4.66,4.66,4.52,4.55,51452098.00
21/01/2010,4.54,4.61,4.47,4.58,59402974.00
22/01/2010,4.51,4.79,4.50,4.79,90380953.00
26/01/2010,4.69,4.86,4.62,4.75,45384888.00
27/01/2010,4.71,4.76,4.66,4.69,49025927.00
28/01/2010,4.71,4.75,4.67,4.71,27122852.00
29/01/2010,4.72,4.79,4.59,4.66,53300987.00
01/02/2010,4.66,4.67,4.60,4.64,40797067.00
02/02/2010,4.68,4.74,4.63,4.70,44810564.00
03/02/2010,4.69,4.85,4.69,4.85,59459677.00
04/02/2010,4.84,4.84,4.65,4.66,54320185.00
05/02/2010,4.60,4.69,4.34,4.48,119917110.00
08/02/2010,4.55,4.57,4.33,4.35,41698081.00
09/02/2010,4.41,4.44,4.35,4.42,40518305.00
10/02/2010,4.44,4.46,4.33,4.38,28834217.00
11/02/2010,4.38,4.43,4.36,4.42,12120917.00
12/02/2010,4.38,4.41,4.30,4.36,44168034.00
17/02/2010,4.41,4.43,4.25,4.32,168326827.00
18/02/2010,4.32,4.47,4.30,4.47,53099411.00
19/02/2010,4.44,4.48,4.39,4.43,36624117.00
22/02/2010,4.44,4.46,4.35,4.44,99039960.00
23/02/2010,4.42,4.45,4.38,4.44,36620903.00
24/02/2010,4.43,4.46,4.37,4.44,27621971.00
25/02/2010,4.37,4.38,4.30,4.35,52364730.00
26/02/2010,4.35,4.39,4.33,4.39,37716318.00
01/03/2010,4.39,4.57,4.39,4.53,68718443.00
02/03/2010,4.49,4.58,4.49,4.57,49740676.00
03/03/2010,4.58,4.59,4.49,4.50,62817581.00
04/03/2010,4.52,4.56,4.47,4.56,41524236.00
05/03/2010,4.62,4.65,4.58,4.63,52264654.00
08/03/2010,4.60,4.66,4.55,4.62,29935673.00
09/03/2010,4.58,4.65,4.55,4.62,49681436.00
10/03/2010,4.64,4.68,4.62,4.64,41242749.00
11/03/2010,4.64,4.72,4.62,4.68,32962408.00
12/03/2010,4.72,4.72,4.62,4.63,34204817.00
15/03/2010,4.67,4.70,4.56,4.57,47382039.00
16/03/2010,4.62,4.77,4.60,4.77,74798964.00
17/03/2010,4.75,4.82,4.73,4.76,23666824.00
18/03/2010,4.73,5.18,4.73,5.12,190361223.00
19/03/2010,5.11,5.38,4.99,5.38,157253046.00
22/03/2010,5.28,5.47,5.27,5.47,68565191.00
23/03/2010,5.44,5.51,5.32,5.44,58537574.00
