date,open,high,low,close,vol
18/12/2009,5.72,5.77,5.54,5.54,62237565.00
21/12/2009,5.59,5.70,5.52,5.53,39925109.00
22/12/2009,5.59,5.75,5.50,5.56,56509347.00
23/12/2009,5.57,5.64,5.46,5.53,31958111.00
28/12/2009,5.52,5.63,5.52,5.63,41590333.00
29/12/2009,5.66,5.73,5.64,5.73,22495473.00
30/12/2009,5.70,5.79,5.60,5.79,28845247.00
04/01/2010,5.79,5.81,5.73,5.74,40915050.00
05/01/2010,5.77,5.83,5.75,5.83,52584554.00
06/01/2010,5.85,5.86,5.68,5.72,59342661.00
07/01/2010,5.72,5.78,5.64,5.67,38116481.00
08/01/2010,5.68,5.70,5.58,5.66,33410632.00
11/01/2010,5.71,5.72,5.62,5.66,31652418.00
12/01/2010,5.58,5.69,5.55,5.68,53188170.00
13/01/2010,5.69,5.70,5.59,5.70,44856523.00
14/01/2010,5.70,5.71,5.55,5.57,38839321.00
15/01/2010,5.55,5.60,5.43,5.47,42519911.00
18/01/2010,5.49,5.50,5.36,5.36,38394843.00
19/01/2010,5.34,5.47,5.31,5.47,51655425.00
20/01/2010,5.44,5.44,5.35,5.40,59758892.00
21/01/2010,5.41,5.47,5.35,5.41,74208077.00
22/01/2010,5.37,5.46,5.36,5.38,42071940.00
26/01/2010,5.34,5.62,5.31,5.62,72128368.00
27/01/2010,5.59,5.67,5.52,5.64,71265022.00
28/01/2010,5.64,5.68,5.51,5.67,58114451.00
29/01/2010,5.71,5.83,5.67,5.74,66278182.00
01/02/2010,5.75,5.83,5.68,5.68,51818528.00
02/02/2010,5.71,5.75,5.58,5.60,45681288.00
03/02/2010,5.60,5.61,5.51,5.53,36496441.00
04/02/2010,5.52,5.52,5.33,5.33,43469681.00
05/02/2010,5.31,5.45,5.18,5.45,62693184.00
08/02/2010,5.47,5.52,5.41,5.47,36916048.00
09/02/2010,5.53,5.61,5.48,5.56,39825149.00
10/02/2010,5.52,5.60,5.46,5.56,29055770.00
11/02/2010,5.53,5.70,5.49,5.70,29877879.00
12/02/2010,5.62,5.70,5.57,5.62,38999982.00
17/02/2010,5.66,5.66,5.53,5.62,41391880.00
18/02/2010,5.62,5.65,5.56,5.64,31606220.00
19/02/2010,5.59,5.64,5.47,5.52,47467355.00
22/02/2010,5.53,5.57,5.42,5.44,32911228.00
23/02/2010,5.43,5.45,5.34,5.38,35064697.00
24/02/2010,5.39,5.39,5.29,5.36,32746368.00
25/02/2010,5.30,5.49,5.26,5.49,49436546.00
26/02/2010,5.46,5.48,5.34,5.44,57275158.00
01/03/2010,5.47,5.50,5.41,5.49,19837846.00
02/03/2010,5.48,5.53,5.43,5.44,31074393.00
03/03/2010,5.46,5.58,5.46,5.58,54025353.00
04/03/2010,5.58,5.62,5.50,5.57,21375459.00
05/03/2010,5.61,5.63,5.56,5.63,25882558.00
08/03/2010,5.58,5.62,5.53,5.56,27116432.00
09/03/2010,5.51,5.63,5.51,5.58,47905319.00
10/03/2010,5.58,5.65,5.57,5.59,28338562.00
11/03/2010,5.58,5.60,5.53,5.55,22611082.00
