date,open,high,low,close,vol
18/12/2009,1.72,1.77,1.71,1.77,9638886.00
21/12/2009,1.81,1.81,1.76,1.80,2478532.00
22/12/2009,1.80,1.85,1.80,1.82,4592661.00
23/12/2009,1.85,1.87,1.83,1.86,2422995.00
28/12/2009,1.87,1.87,1.79,1.85,1089822.00
29/12/2009,1.82,1.88,1.81,1.83,3069310.00
30/12/2009,1.85,1.85,1.78,1.85,2511253.00
04/01/2010,1.85,1.89,1.84,1.89,1634128.00
05/01/2010,1.89,1.92,1.85,1.92,594403.00
06/01/2010,1.86,2.00,1.86,1.96,3506602.00
07/01/2010,1.97,2.00,1.95,1.97,3487594.00
08/01/2010,2.00,2.03,1.95,1.99,3445808.00
11/01/2010,1.99,2.02,1.94,1.94,1150538.00
12/01/2010,1.95,2.00,1.94,2.00,980851.00
13/01/2010,2.00,2.07,1.99,2.06,2657015.00
14/01/2010,2.07,2.09,2.03,2.04,1077647.00
15/01/2010,2.03,2.05,2.02,2.04,994152.00
18/01/2010,2.04,2.04,1.99,2.04,122126.00
19/01/2010,2.00,2.05,2.00,2.05,573229.00
20/01/2010,2.02,2.04,1.98,2.04,720955.00
21/01/2010,2.05,2.05,1.95,2.00,797861.00
22/01/2010,2.00,2.06,2.00,2.04,3126058.00
26/01/2010,2.04,2.05,1.96,2.05,1196146.00
27/01/2010,2.02,2.03,1.98,2.01,1019536.00
28/01/2010,2.05,2.05,1.96,1.96,2000657.00
29/01/2010,2.00,2.00,1.94,1.96,1186488.00
01/02/2010,1.98,2.00,1.92,1.92,426527.00
02/02/2010,1.91,1.92,1.89,1.92,346368.00
03/02/2010,1.91,1.97,1.91,1.94,314145.00
04/02/2010,1.93,1.93,1.85,1.90,915335.00
05/02/2010,1.85,1.87,1.82,1.87,542249.00
08/02/2010,1.92,1.92,1.90,1.90,22220.00
09/02/2010,1.92,1.93,1.89,1.92,2158210.00
10/02/2010,1.93,1.95,1.92,1.95,52650.00
11/02/2010,1.94,1.97,1.89,1.97,399272.00
12/02/2010,1.96,1.96,1.93,1.93,24548.00
17/02/2010,1.89,1.96,1.89,1.94,119148.00
18/02/2010,1.90,1.94,1.90,1.94,1899139.00
19/02/2010,1.93,1.95,1.90,1.95,298282.00
22/02/2010,1.93,1.95,1.93,1.95,79510.00
23/02/2010,1.92,1.95,1.90,1.93,287078.00
24/02/2010,1.94,1.94,1.88,1.92,134295.00
25/02/2010,1.88,1.90,1.83,1.87,1104214.00
26/02/2010,1.93,1.93,1.85,1.91,240923.00
01/03/2010,1.90,1.95,1.90,1.93,329721.00
02/03/2010,1.92,1.96,1.90,1.95,5621857.00
03/03/2010,1.97,1.99,1.93,1.94,1084187.00
04/03/2010,1.95,1.95,1.91,1.92,1955941.00
05/03/2010,1.91,1.98,1.91,1.94,2353552.00
08/03/2010,1.94,1.95,1.93,1.94,56702.00
09/03/2010,1.90,1.94,1.89,1.93,433200.00
10/03/2010,1.86,1.91,1.85,1.86,3403335.00
11/03/2010,1.85,1.87,1.84,1.87,959353.00
12/03/2010,1.87,1.94,1.84,1.89,2621375.00
15/03/2010,1.89,1.92,1.80,1.80,889791.00
16/03/2010,1.85,1.85,1.80,1.82,2650927.00
17/03/2010,1.86,1.86,1.84,1.85,1555583.00
18/03/2010,1.86,1.86,1.83,1.85,171056.00
19/03/2010,1.86,1.86,1.83,1.86,1190643.00
22/03/2010,1.82,1.86,1.81,1.85,491038.00
23/03/2010,1.85,1.85,1.82,1.83,190970.00
24/03/2010,1.83,1.83,1.79,1.79,2643129.00
25/03/2010,1.80,1.83,1.79,1.83,1166131.00
26/03/2010,1.85,1.85,1.78,1.78,1279975.00
29/03/2010,1.78,1.79,1.73,1.77,1981247.00
30/03/2010,1.74,1.74,1.71,1.71,1348988.00
31/03/2010,1.71,1.74,1.70,1.70,777725.00
01/04/2010,1.70,1.73,1.70,1.73,901841.00
05/04/2010,1.71,1.74,1.69,1.69,930343.00
06/04/2010,1.69,1.69,1.65,1.66,1277812.00
07/04/2010,1.69,1.72,1.65,1.67,759782.00
08/04/2010,1.67,1.67,1.63,1.66,464948.00
09/04/2010,1.65,1.69,1.64,1.69,818564.00
12/04/2010,1.73,1.73,1.63,1.63,1641035.00
13/04/2010,1.66,1.70,1.64,1.65,2383840.00
14/04/2010,1.69,1.73,1.66,1.72,4712278.00
15/04/2010,1.73,1.79,1.72,1.74,3733995.00
16/04/2010,1.77,1.77,1.69,1.71,3234171.00
19/04/2010,1.69,1.73,1.67,1.73,1471775.00
20/04/2010,1.76,1.76,1.68,1.68,2412529.00
22/04/2010,1.71,1.73,1.65,1.69,997048.00
23/04/2010,1.70,1.70,1.67,1.70,553984.00
26/04/2010,1.66,1.69,1.66,1.66,2358632.00
27/04/2010,1.66,1.66,1.64,1.64,1180048.00
28/04/2010,1.63,1.66,1.57,1.66,457383.00
29/04/2010,1.68,1.69,1.63,1.67,608339.00
30/04/2010,1.70,1.73,1.63,1.68,1767613.00
03/05/2010,1.67,1.70,1.62,1.66,650387.00
04/05/2010,1.66,1.70,1.61,1.61,1366938.00
05/05/2010,1.62,1.66,1.50,1.56,1633849.00
06/05/2010,1.60,1.60,1.45,1.49,2647470.00
07/05/2010,1.55,1.56,1.44,1.47,1278990.00
10/05/2010,1.47,1.58,1.47,1.49,990867.00
11/05/2010,1.49,1.51,1.45,1.46,568950.00
12/05/2010,1.49,1.54,1.46,1.46,3710876.00
13/05/2010,1.49,1.49,1.38,1.43,3051363.00
14/05/2010,1.47,1.47,1.37,1.37,3981862.00
17/05/2010,1.36,1.42,1.34,1.42,2411169.00
18/05/2010,1.46,1.49,1.37,1.41,999764.00
19/05/2010,1.40,1.44,1.34,1.35,1164165.00
20/05/2010,1.37,1.37,1.31,1.32,1652762.00
21/05/2010,1.42,1.43,1.28,1.39,1506846.00
24/05/2010,1.39,1.43,1.35,1.43,2979560.00
25/05/2010,1.38,1.43,1.38,1.42,2162846.00
26/05/2010,1.46,1.47,1.41,1.44,1542967.00
27/05/2010,1.46,1.56,1.39,1.52,2390351.00
28/05/2010,1.54,1.56,1.49,1.52,865070.00
31/05/2010,1.55,1.61,1.47,1.53,858249.00
01/06/2010,1.53,1.64,1.49,1.53,845672.00
02/06/2010,1.54,1.57,1.47,1.51,1248759.00
04/06/2010,1.51,1.51,1.49,1.51,89479.00
07/06/2010,1.53,1.55,1.50,1.51,144321.00
08/06/2010,1.55,1.55,1.50,1.51,713722.00
09/06/2010,1.54,1.54,1.49,1.51,267509.00
10/06/2010,1.51,1.51,1.49,1.51,263845.00
11/06/2010,1.53,1.61,1.49,1.52,1172454.00
14/06/2010,1.52,1.52,1.48,1.51,624055.00
15/06/2010,1.49,1.53,1.49,1.49,2898807.00
16/06/2010,1.49,1.49,1.46,1.46,1371583.00
17/06/2010,1.49,1.52,1.44,1.44,462753.00
18/06/2010,1.46,1.46,1.43,1.44,705045.00
21/06/2010,1.44,1.50,1.42,1.43,2193049.00
22/06/2010,1.43,1.43,1.39,1.41,508352.00
23/06/2010,1.41,1.45,1.39,1.39,1128233.00
24/06/2010,1.41,1.45,1.39,1.41,1542315.00
25/06/2010,1.41,1.43,1.38,1.39,665201.00
28/06/2010,1.38,1.40,1.35,1.38,1263936.00
29/06/2010,1.38,1.40,1.34,1.38,1215855.00
30/06/2010,1.38,1.38,1.34,1.37,1061501.00
01/07/2010,1.35,1.38,1.35,1.36,1740326.00
02/07/2010,1.38,1.38,1.36,1.36,1687671.00
05/07/2010,1.35,1.38,1.35,1.38,115731.00
06/07/2010,1.39,1.40,1.38,1.38,2883924.00
07/07/2010,1.37,1.39,1.34,1.38,859001.00
08/07/2010,1.39,1.39,1.37,1.37,1182314.00
12/07/2010,1.37,1.38,1.35,1.35,101001.00
13/07/2010,1.35,1.38,1.34,1.37,389037.00
14/07/2010,1.37,1.38,1.34,1.34,522002.00
15/07/2010,1.36,1.37,1.34,1.37,208213.00
16/07/2010,1.37,1.38,1.35,1.37,143365.00
19/07/2010,1.37,1.37,1.36,1.37,572819.00
20/07/2010,1.37,1.37,1.36,1.37,37340.00
21/07/2010,1.36,1.36,1.34,1.36,245125.00
22/07/2010,1.39,1.52,1.39,1.50,15504745.00
23/07/2010,1.51,1.58,1.49,1.55,2080461.00
26/07/2010,1.55,1.55,1.52,1.52,496843.00
27/07/2010,1.54,1.55,1.44,1.47,2026752.00
28/07/2010,1.47,1.48,1.45,1.48,804470.00
29/07/2010,1.48,1.50,1.45,1.47,228290.00
30/07/2010,1.45,1.47,1.45,1.45,769657.00
02/08/2010,1.46,1.47,1.43,1.45,1755702.00
03/08/2010,1.47,1.47,1.42,1.44,3227317.00
04/08/2010,1.44,1.44,1.40,1.41,1198503.00
05/08/2010,1.44,1.44,1.38,1.39,6792206.00
06/08/2010,1.41,1.42,1.36,1.36,3607765.00
09/08/2010,1.38,1.38,1.35,1.35,1559363.00
10/08/2010,1.35,1.35,1.31,1.32,4139490.00
11/08/2010,1.32,1.32,1.29,1.29,1268747.00
12/08/2010,1.30,1.39,1.29,1.33,15230985.00
13/08/2010,1.37,1.37,1.32,1.33,3145731.00
16/08/2010,1.32,1.36,1.32,1.36,1146707.00
17/08/2010,1.37,1.44,1.36,1.43,1550734.00
18/08/2010,1.42,1.44,1.38,1.43,1939534.00
19/08/2010,1.43,1.46,1.43,1.44,3152392.00
20/08/2010,1.44,1.46,1.43,1.44,776801.00
23/08/2010,1.46,1.46,1.41,1.42,1010387.00
24/08/2010,1.39,1.41,1.39,1.41,2774731.00
25/08/2010,1.41,1.46,1.41,1.43,3012550.00
26/08/2010,1.43,1.44,1.38,1.38,1587944.00
27/08/2010,1.38,1.41,1.36,1.38,1220177.00
30/08/2010,1.39,1.42,1.36,1.40,494537.00
31/08/2010,1.41,1.46,1.39,1.46,1189586.00
01/09/2010,1.46,1.46,1.41,1.43,1675564.00
02/09/2010,1.45,1.46,1.42,1.46,824178.00
03/09/2010,1.46,1.47,1.45,1.46,2237275.00
06/09/2010,1.46,1.47,1.44,1.46,179585.00
08/09/2010,1.46,1.47,1.44,1.47,808002.00
09/09/2010,1.47,1.47,1.46,1.47,500328.00
10/09/2010,1.47,1.57,1.47,1.55,4176681.00
13/09/2010,1.55,1.59,1.54,1.55,1269396.00
14/09/2010,1.55,1.58,1.54,1.58,594697.00
15/09/2010,1.59,1.59,1.56,1.58,1841611.00
16/09/2010,1.57,1.63,1.56,1.61,1503462.00
17/09/2010,1.58,1.66,1.58,1.63,2238420.00
20/09/2010,1.64,1.67,1.62,1.66,1167735.00
21/09/2010,1.66,1.68,1.63,1.67,2637863.00
22/09/2010,1.66,1.67,1.61,1.63,1696017.00
23/09/2010,1.65,1.65,1.57,1.59,3860617.00
24/09/2010,1.62,1.67,1.54,1.56,2781870.00
27/09/2010,1.58,1.62,1.55,1.58,6587765.00
28/09/2010,1.60,1.62,1.54,1.54,3964063.00
29/09/2010,1.50,1.56,1.50,1.52,3066398.00
30/09/2010,1.56,1.56,1.52,1.54,478824.00
01/10/2010,1.54,1.61,1.52,1.59,2087904.00
04/10/2010,1.59,1.63,1.59,1.61,397139.00
05/10/2010,1.63,1.66,1.61,1.65,1546102.00
06/10/2010,1.66,1.72,1.64,1.66,5261454.00
07/10/2010,1.65,1.71,1.62,1.68,1689388.00
08/10/2010,1.71,1.76,1.68,1.73,6652084.00
11/10/2010,1.73,1.75,1.73,1.75,3593396.00
13/10/2010,1.74,1.83,1.74,1.79,3805996.00
