date,open,high,low,close,vol
18/12/2009,12.11,12.12,11.78,11.96,15059968.00
21/12/2009,12.06,12.31,11.77,11.77,15272517.00
22/12/2009,11.77,12.18,11.77,12.18,21629167.00
23/12/2009,12.20,12.22,11.96,11.96,11225185.00
28/12/2009,12.04,12.18,11.96,11.98,9002159.00
29/12/2009,12.12,12.12,11.91,11.97,6198219.00
30/12/2009,12.06,12.14,11.81,11.98,37531140.00
04/01/2010,12.10,12.38,12.09,12.38,10729580.00
05/01/2010,12.38,12.47,12.23,12.23,15194032.00
06/01/2010,12.28,12.48,12.26,12.31,14136915.00
07/01/2010,12.33,12.33,12.16,12.16,11377028.00
08/01/2010,12.15,12.50,12.06,12.31,14891607.00
11/01/2010,12.41,12.63,12.32,12.60,20270926.00
12/01/2010,12.40,12.82,12.32,12.68,17738182.00
13/01/2010,12.82,12.84,12.56,12.62,14080709.00
14/01/2010,12.51,12.67,12.51,12.56,11481640.00
15/01/2010,12.38,12.58,12.34,12.39,11742704.00
18/01/2010,12.48,12.48,12.18,12.21,3807879.00
19/01/2010,12.12,12.47,12.10,12.29,14406423.00
20/01/2010,12.21,12.34,12.07,12.31,17161592.00
21/01/2010,12.31,12.35,12.11,12.11,11640635.00
22/01/2010,12.16,12.43,12.09,12.31,17887726.00
26/01/2010,12.14,12.52,12.11,12.24,13564970.00
27/01/2010,12.30,12.48,12.14,12.32,17563017.00
28/01/2010,12.35,12.44,12.27,12.27,15921059.00
29/01/2010,12.39,12.54,12.29,12.30,20903387.00
01/02/2010,12.31,12.55,12.28,12.48,14939289.00
02/02/2010,12.57,12.61,12.34,12.34,16262698.00
03/02/2010,12.48,12.55,12.19,12.47,19486169.00
04/02/2010,12.34,12.49,12.25,12.28,19592041.00
05/02/2010,12.28,12.46,11.96,12.12,17837939.00
08/02/2010,12.12,12.43,12.06,12.38,13796601.00
09/02/2010,12.55,12.60,12.38,12.41,18920591.00
10/02/2010,12.41,12.82,12.35,12.72,18860016.00
11/02/2010,12.72,12.88,12.49,12.65,20047172.00
12/02/2010,12.52,12.99,12.52,12.86,21221172.00
17/02/2010,13.02,13.26,12.95,12.95,14895937.00
18/02/2010,12.89,13.10,12.79,13.02,13268268.00
19/02/2010,13.06,13.06,12.77,12.77,13931103.00
22/02/2010,12.85,13.00,12.66,12.75,11899185.00
23/02/2010,12.78,12.89,12.63,12.67,15705915.00
24/02/2010,12.92,12.92,12.55,12.58,12078385.00
25/02/2010,12.41,12.63,12.38,12.50,23069618.00
26/02/2010,12.51,12.70,12.44,12.60,15005390.00
01/03/2010,12.67,12.98,12.66,12.92,12626269.00
02/03/2010,12.99,13.13,12.96,13.05,27717308.00
03/03/2010,13.05,13.09,12.82,12.82,26614205.00
04/03/2010,12.92,12.97,12.69,12.70,17987304.00
05/03/2010,12.96,12.97,12.78,12.90,15979535.00
08/03/2010,12.92,12.94,12.75,12.75,24653021.00
09/03/2010,12.63,12.92,12.47,12.86,20530960.00
10/03/2010,12.78,13.02,12.69,12.69,27246196.00
11/03/2010,12.71,12.83,12.67,12.67,20958133.00
12/03/2010,12.80,12.80,12.62,12.62,13183062.00
15/03/2010,12.57,12.74,12.57,12.67,15720585.00
16/03/2010,12.67,12.86,12.67,12.76,8453014.00
17/03/2010,12.86,13.07,12.79,13.02,19062589.00
18/03/2010,13.02,13.10,12.76,12.76,14296644.00
19/03/2010,12.86,12.97,12.67,12.70,8411835.00
22/03/2010,12.69,13.07,12.64,12.98,22080789.00
23/03/2010,13.02,13.05,12.79,12.88,18828632.00
24/03/2010,12.77,12.98,12.64,12.64,11522427.00
25/03/2010,12.81,12.82,12.56,12.56,12579098.00
26/03/2010,12.67,12.78,12.59,12.66,6939908.00
