date,open,high,low,close,vol
18/12/2009,24.72,24.72,24.21,24.34,19183139.00
21/12/2009,24.34,25.17,24.34,24.87,22930543.00
22/12/2009,24.94,25.10,24.06,24.67,32624196.00
23/12/2009,24.59,24.59,24.07,24.59,31523845.00
28/12/2009,24.82,24.82,23.99,24.14,15112236.00
29/12/2009,24.54,24.54,23.95,23.95,32347972.00
30/12/2009,24.14,24.30,23.81,24.17,29597124.00
04/01/2010,24.27,24.96,24.20,24.96,13911682.00
05/01/2010,25.08,25.29,24.70,24.99,15241913.00
06/01/2010,24.99,25.59,24.68,25.10,17431304.00
07/01/2010,25.06,25.17,24.74,24.86,21856054.00
08/01/2010,25.00,25.21,24.14,24.96,22211592.00
11/01/2010,25.17,25.45,25.00,25.35,21235371.00
12/01/2010,24.93,25.89,24.93,25.85,24577555.00
13/01/2010,25.68,25.81,25.16,25.37,30083948.00
14/01/2010,25.02,25.38,24.80,24.97,13960525.00
15/01/2010,24.34,24.99,24.34,24.60,12911987.00
18/01/2010,24.73,25.12,24.34,24.42,6421951.00
19/01/2010,24.25,24.78,24.20,24.78,14167111.00
20/01/2010,24.44,24.67,23.75,24.34,31112505.00
21/01/2010,24.04,24.63,23.93,24.27,24178790.00
22/01/2010,24.45,24.67,23.89,24.34,11591279.00
26/01/2010,23.95,24.89,23.95,24.82,19038442.00
27/01/2010,24.57,25.11,24.27,24.78,33533228.00
28/01/2010,24.67,25.11,24.35,24.90,31043919.00
29/01/2010,25.15,25.90,24.48,25.15,32009769.00
01/02/2010,25.15,25.59,25.06,25.29,18967181.00
02/02/2010,25.29,25.66,25.06,25.06,24542914.00
03/02/2010,24.99,25.18,24.74,24.76,15201002.00
04/02/2010,24.76,24.76,24.22,24.33,18747022.00
05/02/2010,24.23,24.74,24.07,24.30,35335072.00
08/02/2010,24.31,24.65,24.12,24.44,11767567.00
09/02/2010,24.49,25.42,24.49,25.06,21894414.00
10/02/2010,25.06,25.47,24.85,25.47,15567822.00
11/02/2010,25.51,25.95,25.06,25.94,16642759.00
12/02/2010,25.90,26.10,25.48,25.84,18857156.00
17/02/2010,25.93,26.38,25.63,25.77,18803388.00
18/02/2010,25.96,25.96,25.24,25.24,24793982.00
19/02/2010,25.29,25.42,24.83,24.93,17612499.00
22/02/2010,25.24,25.27,24.46,24.46,24279074.00
23/02/2010,24.65,24.65,24.15,24.27,33344727.00
24/02/2010,24.36,24.37,23.82,23.85,37793838.00
25/02/2010,23.86,24.32,23.53,24.14,42177881.00
26/02/2010,24.52,24.61,23.75,24.01,29316408.00
01/03/2010,24.26,24.61,24.00,24.52,18399570.00
02/03/2010,24.47,24.85,24.47,24.79,18117214.00
03/03/2010,24.79,25.11,24.53,24.73,25866952.00
04/03/2010,24.86,24.97,24.39,24.79,17018947.00
05/03/2010,25.09,25.09,24.81,24.97,19460945.00
08/03/2010,25.08,25.08,24.50,24.57,16189117.00
09/03/2010,24.46,25.37,24.15,24.93,29122655.00
10/03/2010,25.29,25.29,24.80,24.86,11916704.00
11/03/2010,24.86,25.15,24.78,24.98,9685711.00
12/03/2010,25.19,25.29,24.80,24.80,11730657.00
15/03/2010,24.64,24.99,24.59,24.86,8044033.00
16/03/2010,24.67,25.11,24.65,24.86,12186135.00
17/03/2010,24.61,25.25,24.61,25.14,13329201.00
18/03/2010,24.98,25.16,24.60,24.74,18757956.00
19/03/2010,24.80,25.02,24.25,24.47,14735916.00
22/03/2010,24.24,24.83,24.24,24.57,19003648.00
23/03/2010,24.31,24.53,24.08,24.53,27624590.00
24/03/2010,24.29,24.33,24.03,24.19,27658120.00
25/03/2010,24.40,24.40,23.82,23.88,24259497.00
26/03/2010,23.88,24.20,23.76,24.14,10651168.00
29/03/2010,24.14,24.36,24.11,24.18,9799886.00
30/03/2010,24.31,24.31,23.98,23.98,16329104.00
31/03/2010,24.01,24.13,23.56,23.76,20393332.00
01/04/2010,24.07,24.18,23.82,23.95,14789513.00
05/04/2010,24.11,24.33,23.95,24.23,14669472.00
06/04/2010,23.98,24.22,23.95,24.19,14760108.00
07/04/2010,24.27,24.27,23.77,24.01,18462491.00
08/04/2010,23.99,24.14,23.63,23.78,31968822.00
09/04/2010,23.99,23.99,23.49,23.51,15302996.00
12/04/2010,23.45,23.61,22.97,23.23,14405224.00
13/04/2010,23.33,23.72,23.10,23.61,22320968.00
14/04/2010,23.56,24.06,23.40,24.03,19570968.00
15/04/2010,23.78,23.78,23.24,23.29,29409237.00
16/04/2010,23.27,23.37,22.91,22.97,21702082.00
19/04/2010,22.99,23.23,22.75,22.90,22325365.00
20/04/2010,23.25,23.25,22.69,22.74,28251087.00
22/04/2010,22.54,23.19,22.54,23.07,31017517.00
23/04/2010,22.90,23.32,22.90,23.29,18867951.00
26/04/2010,23.17,23.64,23.17,23.36,43810310.00
27/04/2010,23.48,23.52,22.99,23.13,28800904.00
28/04/2010,23.50,23.55,23.05,23.11,36709503.00
29/04/2010,23.28,23.54,23.07,23.44,18130608.00
30/04/2010,23.25,23.47,23.14,23.31,27459088.00
03/05/2010,23.38,23.68,23.05,23.51,22196421.00
04/05/2010,23.01,23.67,23.00,23.13,24242733.00
05/05/2010,22.99,23.34,22.64,23.17,19789147.00
06/05/2010,23.25,23.36,22.22,22.98,42154523.00
07/05/2010,22.85,23.54,22.45,23.38,46712285.00
10/05/2010,23.61,24.09,23.61,24.07,27917934.00
11/05/2010,23.90,24.07,23.49,23.64,24018924.00
12/05/2010,23.64,23.77,23.38,23.61,30688980.00
13/05/2010,23.44,23.44,22.87,23.05,29781627.00
14/05/2010,23.05,23.05,22.25,22.46,21205910.00
17/05/2010,22.64,22.94,22.33,22.94,15131566.00
18/05/2010,22.97,23.27,22.43,22.47,14514847.00
19/05/2010,22.66,23.15,22.66,23.01,33160605.00
20/05/2010,22.90,22.90,22.24,22.26,32477685.00
21/05/2010,22.26,22.45,21.97,22.44,27011637.00
24/05/2010,22.22,22.52,21.83,22.39,14071099.00
25/05/2010,21.88,22.19,21.74,21.93,20808583.00
26/05/2010,21.94,22.51,21.73,21.73,15886628.00
27/05/2010,21.80,22.38,21.73,22.03,32060000.00
28/05/2010,21.71,22.17,21.71,22.00,16914744.00
31/05/2010,22.32,22.32,21.90,22.13,7394238.00
01/06/2010,21.60,22.13,21.60,21.73,15241366.00
02/06/2010,21.81,21.93,21.34,21.86,18671501.00
04/06/2010,21.96,22.40,21.58,22.19,23269834.00
07/06/2010,21.95,22.59,21.95,22.59,20706921.00
08/06/2010,22.45,22.57,22.02,22.21,18680734.00
09/06/2010,22.32,22.47,21.93,21.93,23029987.00
10/06/2010,22.05,22.26,21.94,22.01,16044385.00
11/06/2010,21.74,22.19,21.37,22.06,38342907.00
14/06/2010,22.22,22.22,21.82,21.90,12361687.00
15/06/2010,21.99,22.03,21.64,21.97,25095298.00
16/06/2010,21.86,22.06,21.70,22.06,22002365.00
17/06/2010,22.06,22.57,21.94,22.40,25648624.00
18/06/2010,22.20,22.59,21.98,22.59,26705956.00
21/06/2010,22.57,22.69,22.46,22.65,20762795.00
22/06/2010,22.65,22.98,22.65,22.71,37982607.00
23/06/2010,22.70,22.91,22.49,22.71,19141590.00
24/06/2010,22.65,23.35,22.49,23.28,34479547.00
25/06/2010,22.98,23.40,22.98,23.34,8195588.00
28/06/2010,23.48,23.72,23.46,23.54,11004176.00
29/06/2010,23.44,24.09,23.19,24.09,42058953.00
30/06/2010,24.60,25.41,24.30,24.50,84539532.00
01/07/2010,24.04,24.35,23.73,23.74,30595607.00
02/07/2010,23.78,24.69,23.73,24.41,36782892.00
05/07/2010,24.06,24.59,24.06,24.36,9279283.00
06/07/2010,25.01,25.16,24.34,25.12,15882164.00
07/07/2010,25.31,25.35,24.76,24.76,35046501.00
08/07/2010,24.86,25.03,24.27,24.43,24806863.00
12/07/2010,24.44,24.72,23.87,24.17,18654954.00
13/07/2010,24.27,24.81,24.24,24.69,20040807.00
14/07/2010,24.34,24.63,24.08,24.36,19582573.00
15/07/2010,24.22,24.67,24.10,24.56,15430352.00
16/07/2010,24.34,24.69,24.09,24.23,14056444.00
19/07/2010,24.50,24.50,24.19,24.27,13639914.00
