date,open,high,low,close,vol
20/07/2017,14.50,14.58,13.92,14.45,509619074.00
21/07/2017,14.59,14.62,14.42,14.54,67691545.00
24/07/2017,14.59,14.74,14.54,14.69,72964819.00
25/07/2017,14.65,14.93,14.55,14.93,89930797.00
26/07/2017,14.98,14.99,14.64,14.64,139737789.00
27/07/2017,14.72,14.78,14.59,14.68,36944420.00
28/07/2017,14.68,14.72,14.50,14.54,41555576.00
31/07/2017,14.54,14.83,14.49,14.68,77458472.00
01/08/2017,14.75,14.92,14.65,14.79,35452217.00
02/08/2017,14.79,14.86,14.69,14.80,22706128.00
03/08/2017,14.77,14.86,14.64,14.79,40460046.00
04/08/2017,14.79,14.84,14.29,14.29,118631724.00
07/08/2017,14.45,14.48,13.99,14.25,50253800.00
08/08/2017,14.25,14.34,14.06,14.18,38790345.00
09/08/2017,14.21,14.22,13.83,14.00,51824843.00
10/08/2017,14.01,14.08,13.67,14.05,44927153.00
11/08/2017,14.19,14.77,14.19,14.73,91862006.00
14/08/2017,14.78,14.78,14.58,14.64,32751252.00
15/08/2017,14.62,14.72,14.48,14.70,21689101.00
16/08/2017,14.70,14.71,14.46,14.62,26227845.00
17/08/2017,14.62,14.62,14.40,14.44,89199058.00
18/08/2017,14.53,14.54,14.28,14.35,20292306.00
21/08/2017,14.35,14.39,13.89,14.11,21490704.00
22/08/2017,14.21,14.36,14.01,14.01,39316285.00
23/08/2017,14.13,14.50,14.00,14.45,15606856.00
24/08/2017,14.45,14.92,14.45,14.92,33203814.00
25/08/2017,14.88,15.00,14.64,14.95,28238116.00
28/08/2017,15.39,15.84,15.32,15.59,128597239.03
29/08/2017,15.59,16.22,15.51,15.93,112398818.07
30/08/2017,16.00,16.24,15.51,15.51,90638311.99
31/08/2017,15.13,15.37,14.89,15.32,143091975.00
01/09/2017,15.47,15.70,15.32,15.35,52009190.01
04/09/2017,15.39,15.80,15.39,15.61,29760769.00
05/09/2017,15.73,15.84,15.49,15.59,60323850.19
06/09/2017,15.78,15.78,15.32,15.66,31936872.00
08/09/2017,15.56,15.84,15.48,15.74,41732413.09
11/09/2017,15.84,16.36,15.75,16.19,94092419.98
12/09/2017,16.02,16.32,15.90,16.10,22042231.10
13/09/2017,16.11,16.18,15.92,15.98,19472234.94
14/09/2017,15.98,16.14,15.74,15.95,13208891.00
15/09/2017,15.90,16.14,15.81,16.14,51156374.00
18/09/2017,16.18,16.29,15.77,16.29,58189763.99
