date,open,high,low,close,vol
18/12/2009,14.98,15.43,14.98,15.25,18637455.00
21/12/2009,15.38,15.52,14.82,14.82,28654632.00
22/12/2009,15.12,15.81,15.02,15.81,27163840.00
23/12/2009,15.83,16.33,15.57,16.11,27925719.00
28/12/2009,16.10,16.73,16.04,16.59,20752011.00
29/12/2009,16.59,16.99,16.45,16.99,21217920.00
30/12/2009,16.89,17.40,16.85,17.40,24115035.00
04/01/2010,17.30,17.40,16.82,17.33,24491608.00
05/01/2010,17.42,17.59,16.91,17.34,51795182.00
06/01/2010,17.21,17.40,16.70,16.84,46946728.00
07/01/2010,16.62,16.69,15.53,15.95,173819618.00
08/01/2010,15.97,16.50,15.50,16.09,155976513.00
11/01/2010,16.45,16.48,15.95,16.14,42015136.00
12/01/2010,16.08,16.45,15.53,15.80,43006726.00
13/01/2010,16.06,16.09,15.52,15.67,47069872.00
14/01/2010,15.70,16.12,15.66,16.04,32516568.00
15/01/2010,15.95,16.11,15.68,15.93,29807225.00
18/01/2010,15.93,16.10,15.84,15.85,10818162.00
19/01/2010,15.74,15.99,15.68,15.99,18559627.00
20/01/2010,15.87,15.91,15.29,15.42,20287922.00
21/01/2010,15.42,15.51,14.64,14.85,17166207.00
22/01/2010,14.75,15.63,14.39,15.57,33606378.00
26/01/2010,15.44,15.55,14.79,15.38,33069540.00
27/01/2010,15.30,15.39,14.79,15.21,23038696.00
28/01/2010,15.30,15.51,14.64,14.82,22880780.00
29/01/2010,14.95,15.13,14.48,14.48,22598990.00
01/02/2010,15.29,16.35,15.29,16.03,96031457.00
02/02/2010,16.31,16.57,15.79,15.91,60620898.00
03/02/2010,16.00,16.38,15.97,16.21,71874249.00
04/02/2010,16.19,16.33,15.71,15.82,48772825.00
05/02/2010,15.40,15.93,15.13,15.91,55773884.00
08/02/2010,16.14,16.65,16.06,16.65,48591475.00
09/02/2010,16.73,17.16,16.73,17.06,55769141.00
10/02/2010,17.16,17.16,16.45,16.86,52100659.00
11/02/2010,16.79,16.79,16.27,16.47,57080585.00
12/02/2010,16.28,16.59,16.05,16.56,24535513.00
17/02/2010,16.72,17.22,16.50,16.62,27089664.00
18/02/2010,16.62,16.72,16.34,16.72,15279447.00
