date,open,high,low,close,vol
18/12/2009,21.39,22.55,20.98,22.55,16591814.00
21/12/2009,22.58,22.58,21.64,21.99,7187414.00
22/12/2009,22.02,22.35,21.75,21.75,5224486.00
23/12/2009,21.82,22.08,21.60,21.68,3789370.00
28/12/2009,21.75,21.75,21.56,21.56,2766239.00
29/12/2009,21.56,21.75,21.46,21.75,3768555.00
30/12/2009,21.88,21.92,21.64,21.92,7610639.00
04/01/2010,21.92,22.35,21.75,21.75,2586399.00
05/01/2010,21.80,22.34,21.75,21.75,3612515.00
06/01/2010,21.69,21.85,21.56,21.75,4861012.00
07/01/2010,21.75,21.75,20.44,20.44,11100243.00
08/01/2010,19.45,19.91,19.10,19.59,28499353.00
11/01/2010,19.84,19.84,19.25,19.32,10257999.00
12/01/2010,19.50,19.50,19.07,19.12,12082852.00
13/01/2010,19.45,19.45,18.72,18.79,10207244.00
14/01/2010,19.04,19.05,18.46,18.46,15410938.00
15/01/2010,18.46,18.48,17.63,17.63,20096886.00
18/01/2010,17.83,18.10,17.34,17.46,16763630.00
19/01/2010,17.79,17.96,17.21,17.47,35105268.00
20/01/2010,17.47,18.06,17.31,18.06,40436623.00
21/01/2010,18.32,18.41,17.68,18.00,19230299.00
22/01/2010,17.93,17.93,17.42,17.63,19944789.00
26/01/2010,17.37,17.42,17.00,17.14,17467179.00
27/01/2010,17.14,17.29,17.07,17.27,10474945.00
28/01/2010,17.46,17.50,16.82,16.94,19198498.00
29/01/2010,17.10,17.24,16.50,16.81,27666801.00
01/02/2010,17.11,17.13,16.76,16.98,8896938.00
02/02/2010,17.09,17.19,16.98,16.98,10472945.00
03/02/2010,17.07,17.31,17.03,17.23,12442470.00
04/02/2010,17.30,17.52,16.63,16.89,10701349.00
05/02/2010,16.63,17.03,16.58,16.58,10078796.00
08/02/2010,16.74,16.84,16.45,16.45,9902404.00
09/02/2010,16.51,16.68,16.18,16.22,17710364.00
10/02/2010,16.22,16.36,16.09,16.09,10009323.00
11/02/2010,16.28,17.00,16.13,16.73,11827361.00
12/02/2010,16.81,16.81,16.05,16.16,12261606.00
17/02/2010,16.35,17.07,16.33,16.98,8843592.00
18/02/2010,16.94,17.11,16.71,16.78,7039017.00
19/02/2010,16.86,17.03,16.61,16.84,6584188.00
22/02/2010,16.98,17.09,16.74,16.81,4885242.00
23/02/2010,16.77,16.94,16.36,16.58,7923797.00
24/02/2010,16.65,16.70,16.13,16.35,5916105.00
25/02/2010,16.24,16.43,16.07,16.28,3744977.00
26/02/2010,16.38,16.70,16.22,16.68,7246807.00
01/03/2010,16.77,16.77,16.23,16.28,8541069.00
02/03/2010,16.41,16.64,16.27,16.61,12030674.00
03/03/2010,16.65,17.00,16.61,16.68,9813005.00
04/03/2010,16.80,16.92,16.48,16.61,7263138.00
05/03/2010,16.80,16.80,16.48,16.74,11497263.00
08/03/2010,16.78,16.78,16.58,16.61,4983440.00
09/03/2010,16.61,16.92,16.51,16.80,10503590.00
10/03/2010,16.80,17.04,16.66,16.74,7502010.00
11/03/2010,16.65,16.74,16.53,16.71,2338268.00
12/03/2010,16.74,16.80,16.28,16.34,5480696.00
15/03/2010,16.28,16.65,16.24,16.43,9515258.00
16/03/2010,16.47,16.71,16.47,16.71,2582490.00
17/03/2010,16.71,16.80,16.38,16.60,5738986.00
18/03/2010,16.60,16.71,16.35,16.49,3173319.00
19/03/2010,16.65,16.67,16.32,16.67,4718191.00
22/03/2010,16.47,16.80,16.38,16.49,5345336.00
23/03/2010,16.59,16.78,16.38,16.45,2078707.00
24/03/2010,16.47,16.65,16.36,16.48,4496680.00
25/03/2010,16.48,16.64,16.22,16.40,5054464.00
26/03/2010,16.38,16.38,15.99,16.11,6982489.00
29/03/2010,16.40,16.78,16.40,16.55,6113147.00
30/03/2010,16.70,16.81,16.55,16.73,6154171.00
31/03/2010,16.74,16.94,16.48,16.94,8171219.00
01/04/2010,17.27,17.37,17.11,17.17,9528090.00
05/04/2010,17.30,17.38,17.18,17.21,3124302.00
06/04/2010,17.25,17.45,17.15,17.22,5237356.00
07/04/2010,17.38,17.38,17.11,17.17,4847953.00
08/04/2010,17.17,17.34,16.98,17.05,10215187.00
09/04/2010,17.23,17.33,17.04,17.25,3600274.00
12/04/2010,17.21,17.32,17.08,17.11,2878544.00
13/04/2010,17.17,17.24,16.94,17.16,8824367.00
14/04/2010,17.05,17.32,17.05,17.28,3133781.00
15/04/2010,17.08,17.25,17.07,17.18,3007079.00
16/04/2010,17.21,17.34,17.04,17.25,3645851.00
19/04/2010,17.24,17.35,17.06,17.31,6098575.00
20/04/2010,17.31,17.31,17.04,17.24,5667215.00
22/04/2010,16.84,17.18,16.70,17.08,8098396.00
23/04/2010,17.04,17.13,17.00,17.04,5874323.00
26/04/2010,17.08,17.11,16.94,17.04,3444060.00
27/04/2010,17.04,17.28,17.04,17.25,8728911.00
28/04/2010,17.13,17.31,17.08,17.11,9610387.00
29/04/2010,17.18,17.35,17.05,17.05,8331385.00
30/04/2010,17.11,17.23,17.04,17.20,11249803.00
03/05/2010,17.18,17.88,17.18,17.32,18998940.00
04/05/2010,17.31,17.34,16.79,16.98,9471734.00
05/05/2010,16.72,17.44,16.72,17.04,7252652.00
06/05/2010,17.02,17.02,15.92,16.29,8244697.00
07/05/2010,16.43,16.56,15.96,15.96,5724903.00
10/05/2010,16.70,16.70,15.68,15.68,6628374.00
11/05/2010,15.58,16.15,15.51,15.62,5423349.00
12/05/2010,15.95,16.19,15.80,16.19,5495219.00
13/05/2010,16.19,16.61,15.99,16.57,4043829.00
14/05/2010,16.25,16.59,16.13,16.36,4573667.00
17/05/2010,16.36,16.36,15.54,15.54,10065396.00
18/05/2010,15.63,15.80,14.67,14.92,25426387.00
19/05/2010,14.83,15.27,14.60,14.79,15385199.00
20/05/2010,14.59,14.86,14.28,14.45,26203088.00
21/05/2010,14.32,15.54,14.32,15.17,16286090.00
24/05/2010,15.00,15.46,15.00,15.00,7999377.00
25/05/2010,14.86,15.38,14.52,15.35,9292302.00
26/05/2010,15.21,16.12,15.17,16.12,14571801.00
27/05/2010,16.34,16.57,16.03,16.34,7761375.00
28/05/2010,16.19,16.44,16.02,16.02,1988787.00
31/05/2010,16.02,16.43,16.02,16.43,1640501.00
01/06/2010,15.97,16.23,15.97,16.02,3695306.00
02/06/2010,16.08,16.36,15.99,16.32,2706950.00
04/06/2010,16.29,16.29,15.99,16.12,2220062.00
07/06/2010,16.09,16.50,16.02,16.16,4078005.00
08/06/2010,16.09,16.18,15.70,15.99,8055835.00
09/06/2010,16.02,16.26,15.92,15.97,8485177.00
10/06/2010,16.05,16.26,16.02,16.16,6300907.00
11/06/2010,16.16,16.46,16.09,16.16,2991675.00
14/06/2010,16.23,16.36,16.16,16.36,3126868.00
15/06/2010,16.36,16.43,16.26,16.36,2355942.00
16/06/2010,16.31,16.50,16.26,16.36,3045204.00
17/06/2010,16.69,16.69,16.29,16.36,7968372.00
18/06/2010,16.36,16.63,16.29,16.40,2470384.00
21/06/2010,16.40,16.63,16.36,16.61,6698553.00
22/06/2010,16.63,16.98,16.54,16.98,6792142.00
23/06/2010,16.91,17.25,16.70,17.18,11346271.00
24/06/2010,16.98,17.26,16.79,17.23,2292504.00
25/06/2010,17.21,17.39,17.04,17.39,3094306.00
28/06/2010,17.36,17.36,16.79,17.04,5071891.00
29/06/2010,16.90,17.21,16.77,16.91,6102190.00
30/06/2010,16.91,17.10,16.77,17.04,4754358.00
01/07/2010,17.32,17.32,16.61,16.91,3547791.00
02/07/2010,17.23,17.25,16.91,16.91,3248219.00
05/07/2010,16.93,17.36,16.73,16.84,1254859.00
06/07/2010,16.91,17.23,16.91,17.14,3162513.00
07/07/2010,17.14,17.53,17.11,17.32,6891661.00
08/07/2010,17.32,17.34,17.11,17.29,1348092.00
12/07/2010,17.08,17.50,17.08,17.25,13371609.00
13/07/2010,17.46,17.46,16.98,17.32,9152594.00
14/07/2010,17.31,17.46,17.12,17.43,3552904.00
15/07/2010,17.41,17.73,17.26,17.66,8146276.00
16/07/2010,17.66,17.79,17.46,17.57,6044767.00
19/07/2010,17.67,17.67,17.40,17.57,6791550.00
20/07/2010,17.57,17.67,17.25,17.63,4409828.00
21/07/2010,17.64,17.66,17.50,17.57,1650794.00
22/07/2010,17.57,18.02,17.47,17.57,9481142.00
23/07/2010,17.59,17.82,17.50,17.64,8130386.00
26/07/2010,17.87,17.95,17.62,17.81,2084460.00
27/07/2010,17.85,18.06,17.76,18.06,3930271.00
28/07/2010,17.98,17.98,17.74,17.85,434204.00
29/07/2010,17.98,17.98,17.47,17.66,4304438.00
30/07/2010,17.43,17.78,17.43,17.60,6347142.00
02/08/2010,17.60,17.98,17.57,17.57,2640852.00
03/08/2010,17.54,17.60,17.38,17.50,6144529.00
04/08/2010,17.50,17.81,17.46,17.74,1691943.00
05/08/2010,17.75,17.93,17.53,17.57,2470863.00
06/08/2010,17.63,17.77,17.50,17.74,2305953.00
09/08/2010,17.87,17.87,17.45,17.60,9006078.00
10/08/2010,17.43,17.50,17.05,17.25,5977683.00
