date,open,high,low,close,vol
18/12/2009,17.12,17.32,16.54,16.72,477487523.00
21/12/2009,16.95,16.95,16.18,16.18,214201273.00
22/12/2009,16.33,16.51,16.07,16.45,182441185.00
23/12/2009,16.54,16.61,16.33,16.47,124848498.00
28/12/2009,16.62,16.74,16.53,16.57,107651476.00
29/12/2009,16.63,16.72,16.61,16.67,58134971.00
30/12/2009,16.67,16.90,16.50,16.90,70054305.00
04/01/2010,16.90,17.05,16.89,16.96,89283365.00
05/01/2010,16.93,17.34,16.93,17.12,153343875.00
06/01/2010,17.08,17.27,16.96,17.14,139979034.00
07/01/2010,17.11,17.15,16.87,16.96,144375824.00
08/01/2010,17.17,17.52,16.99,17.34,229713312.00
11/01/2010,17.60,17.73,17.57,17.68,131824174.00
12/01/2010,17.50,17.51,17.17,17.36,121604434.00
13/01/2010,17.52,17.83,17.46,17.65,178015770.00
14/01/2010,17.75,17.92,17.70,17.81,114563961.00
15/01/2010,17.44,17.77,17.28,17.43,105879100.00
18/01/2010,17.37,17.61,17.32,17.50,52256488.00
19/01/2010,17.29,17.75,17.29,17.69,61105592.00
20/01/2010,17.44,17.53,16.95,17.26,111128744.00
21/01/2010,17.28,17.35,16.45,16.50,151904191.00
22/01/2010,16.37,16.63,16.10,16.18,186913334.00
26/01/2010,15.94,16.36,15.70,16.25,118866054.00
27/01/2010,16.26,16.42,15.87,15.93,103773215.00
28/01/2010,16.27,16.52,16.02,16.38,108740167.00
29/01/2010,16.51,16.81,16.45,16.60,136992809.00
01/02/2010,16.76,17.17,16.60,16.98,113948611.00
02/02/2010,17.11,17.25,16.85,17.24,83959451.00
03/02/2010,17.17,17.29,16.82,17.20,115193516.00
04/02/2010,17.02,17.17,16.47,16.48,121013293.00
05/02/2010,16.30,16.64,15.92,16.39,156680078.00
08/02/2010,16.39,16.61,16.24,16.41,87357682.00
09/02/2010,16.60,17.02,16.58,16.84,122143394.00
10/02/2010,17.09,17.23,16.84,17.02,163564357.00
11/02/2010,17.05,17.60,16.99,17.50,190476563.00
12/02/2010,17.33,17.44,16.95,17.44,123573025.00
17/02/2010,17.51,17.87,17.50,17.82,103163464.00
18/02/2010,17.74,17.98,17.48,17.98,102970105.00
19/02/2010,17.81,17.94,17.72,17.86,72089851.00
22/02/2010,17.93,17.94,17.46,17.55,115941008.00
23/02/2010,17.50,17.65,17.17,17.34,129011839.00
24/02/2010,17.39,17.50,17.08,17.16,97103639.00
25/02/2010,16.95,17.53,16.89,17.50,136705942.00
26/02/2010,17.81,17.96,17.68,17.85,271045713.00
01/03/2010,18.06,18.23,17.80,18.14,99620715.00
02/03/2010,18.24,18.45,18.14,18.20,151345565.00
03/03/2010,18.20,18.59,18.12,18.27,158936782.00
04/03/2010,18.32,18.47,17.98,18.29,163672051.00
05/03/2010,18.47,18.89,18.44,18.80,179644022.00
08/03/2010,18.92,19.39,18.90,19.28,250914687.00
09/03/2010,19.28,20.46,19.18,20.04,392790352.00
10/03/2010,20.52,20.52,19.97,20.39,244658939.00
11/03/2010,20.25,20.67,20.17,20.58,185039973.00
12/03/2010,20.67,20.73,20.41,20.57,185553454.00
15/03/2010,20.40,20.51,20.22,20.46,95033183.00
16/03/2010,20.55,20.81,20.42,20.69,169411647.00
17/03/2010,20.82,20.88,20.16,20.34,160794138.00
18/03/2010,20.49,20.49,19.78,20.16,159286314.00
19/03/2010,20.37,20.37,19.83,19.95,133965980.00
22/03/2010,19.80,20.09,19.68,19.95,83331465.00
23/03/2010,20.33,20.82,20.19,20.81,184601048.00
24/03/2010,20.62,21.00,20.56,21.00,157991790.00
25/03/2010,20.99,21.20,20.58,20.67,142302626.00
26/03/2010,20.91,21.11,20.65,21.00,124608187.00
29/03/2010,21.13,21.72,21.10,21.72,165444642.00
30/03/2010,21.83,22.18,21.34,21.56,172282707.00
31/03/2010,21.37,21.55,21.25,21.53,114720030.00
01/04/2010,21.80,22.12,21.80,22.12,117503898.00
05/04/2010,22.18,22.32,21.92,22.07,139000133.00
06/04/2010,21.67,22.15,21.60,21.63,134798437.00
07/04/2010,21.72,21.78,20.98,21.20,140908925.00
08/04/2010,21.02,21.60,20.93,21.57,155536551.00
09/04/2010,21.66,21.78,21.38,21.66,100937964.00
12/04/2010,21.60,21.72,21.23,21.42,71664619.00
13/04/2010,21.55,21.73,21.22,21.62,80822530.00
14/04/2010,21.71,21.98,21.38,21.55,102224853.00
15/04/2010,21.43,21.52,21.14,21.19,95466898.00
16/04/2010,21.12,21.29,20.50,20.70,143707493.00
19/04/2010,20.50,20.64,20.11,20.26,137782970.00
