date,open,high,low,close,vol
09/12/2013,13.70,13.77,13.25,13.69,55323167.00
10/12/2013,13.54,14.13,13.54,14.04,12054638.00
11/12/2013,14.07,14.12,13.69,13.91,12271975.00
12/12/2013,14.04,14.04,13.61,13.69,8288591.00
13/12/2013,13.42,13.84,13.42,13.69,4758338.00
16/12/2013,13.63,13.79,13.47,13.47,4982905.00
17/12/2013,13.47,13.47,13.10,13.38,20042864.00
18/12/2013,13.37,13.37,12.99,13.16,7572839.00
19/12/2013,13.23,13.31,12.98,13.28,1216227.00
20/12/2013,13.27,13.37,12.95,13.07,5306056.00
23/12/2013,13.07,13.10,12.54,12.98,10059551.00
26/12/2013,12.98,13.16,12.80,13.16,11052836.00
27/12/2013,13.14,13.38,12.99,13.24,9005595.00
30/12/2013,13.40,13.51,13.16,13.51,9230894.00
02/01/2014,13.55,13.82,13.29,13.82,3873686.00
03/01/2014,13.80,14.04,13.80,14.04,4402507.00
06/01/2014,14.08,14.21,13.86,14.13,15705213.00
07/01/2014,14.14,14.21,14.00,14.13,13218678.00
08/01/2014,14.01,14.10,13.84,13.95,1710443.00
09/01/2014,13.86,14.17,13.83,13.99,1377675.00
10/01/2014,13.99,14.12,13.84,14.07,951767.00
13/01/2014,14.12,14.12,13.84,13.95,1010857.00
14/01/2014,14.07,14.07,13.69,13.77,2394355.00
15/01/2014,13.99,14.13,13.78,13.86,6457827.00
16/01/2014,13.86,13.99,13.40,13.55,1382629.00
17/01/2014,13.69,13.69,13.09,13.16,1977369.00
20/01/2014,13.12,13.24,12.83,13.24,390963.00
21/01/2014,13.63,13.63,13.00,13.05,4124752.00
22/01/2014,13.04,13.23,13.04,13.16,686105.00
23/01/2014,13.07,13.21,12.98,13.13,362753.00
24/01/2014,13.13,13.13,12.94,13.02,3527266.00
27/01/2014,12.64,12.89,12.64,12.89,686744.00
28/01/2014,13.04,13.05,12.60,12.63,18453808.00
29/01/2014,12.63,12.63,12.12,12.27,1138002.00
30/01/2014,12.53,12.63,12.01,12.32,245810.00
31/01/2014,12.41,12.58,12.06,12.58,1986626.00
03/02/2014,12.57,12.57,12.02,12.09,66292.00
04/02/2014,12.09,12.37,12.02,12.27,430715.00
05/02/2014,12.53,12.93,12.13,12.36,3158034.00
06/02/2014,12.44,12.58,12.19,12.36,3424965.00
07/02/2014,12.34,12.34,11.92,12.23,6857987.00
10/02/2014,12.18,12.18,11.57,11.65,6609302.00
11/02/2014,11.78,11.78,11.61,11.70,2218760.00
12/02/2014,11.67,11.82,11.56,11.65,20260960.00
13/02/2014,11.57,12.10,11.46,12.10,6493031.00
14/02/2014,12.01,12.07,11.83,12.02,5797430.00
17/02/2014,12.02,12.16,11.84,11.99,1283342.00
18/02/2014,12.01,12.03,11.37,11.37,2486854.00
19/02/2014,11.42,11.42,10.87,10.96,3761152.00
20/02/2014,10.96,11.05,10.58,10.71,3458632.00
21/02/2014,10.75,11.03,10.60,10.86,2117708.00
24/02/2014,10.77,10.98,10.69,10.86,1662611.00
25/02/2014,10.96,11.04,10.73,11.02,1223483.00
26/02/2014,10.97,11.57,10.87,11.52,2033270.00
27/02/2014,11.62,12.58,11.45,12.58,41737207.00
28/02/2014,12.78,13.24,12.26,12.64,2247388.00
05/03/2014,12.54,12.71,12.30,12.71,556668.00
06/03/2014,12.86,13.23,12.69,13.23,1105955.00
07/03/2014,13.22,13.51,13.13,13.21,933223.00
10/03/2014,13.31,13.31,12.56,12.93,1499076.00
11/03/2014,12.93,12.93,12.57,12.63,1298091.00
12/03/2014,12.54,12.54,12.23,12.32,7612256.00
13/03/2014,12.38,12.78,12.18,12.41,528923.00
14/03/2014,12.26,12.54,12.08,12.54,1428060.00
17/03/2014,12.62,12.62,12.26,12.48,2833887.00
18/03/2014,12.41,12.53,12.27,12.49,6721575.00
19/03/2014,12.44,12.61,12.39,12.61,3842406.00
20/03/2014,12.56,12.56,12.34,12.36,10523767.00
21/03/2014,12.33,12.54,12.29,12.54,14144421.00
24/03/2014,12.53,12.53,12.34,12.36,2197458.00
25/03/2014,12.31,12.51,12.27,12.51,3436696.00
26/03/2014,12.55,12.57,12.32,12.49,4090546.00
27/03/2014,12.44,13.02,12.22,13.02,14842703.00
28/03/2014,13.10,13.50,12.80,13.42,11180671.00
31/03/2014,13.41,13.47,13.27,13.39,2989093.00
01/04/2014,13.38,13.38,13.11,13.33,4312950.00
02/04/2014,13.24,13.60,13.20,13.55,4248919.00
03/04/2014,13.55,14.04,13.49,14.01,4915220.00
04/04/2014,14.13,14.30,13.69,13.86,7327574.00
07/04/2014,13.97,14.11,13.93,14.11,3343734.00
08/04/2014,14.11,14.13,13.69,14.13,3523527.00
09/04/2014,14.04,14.17,13.89,14.13,5446331.00
10/04/2014,14.07,14.39,13.93,14.39,7410644.00
11/04/2014,14.32,14.67,14.13,14.67,4640920.00
14/04/2014,14.61,15.28,14.52,15.23,15155305.00
15/04/2014,15.19,15.45,14.91,15.23,16564171.00
16/04/2014,15.19,15.80,15.08,15.67,30673247.00
17/04/2014,15.67,15.67,14.95,15.44,8857598.00
22/04/2014,15.54,15.80,15.13,15.28,5140144.00
23/04/2014,15.41,15.45,14.95,15.04,11680101.00
24/04/2014,15.10,15.19,14.75,14.83,12011197.00
25/04/2014,14.90,14.92,14.45,14.56,7577153.00
28/04/2014,14.56,14.73,14.27,14.42,5784556.00
29/04/2014,14.44,14.88,14.19,14.54,5927543.00
30/04/2014,14.50,15.00,14.29,14.47,5659425.00
02/05/2014,14.47,14.63,14.37,14.50,4953505.00
05/05/2014,14.50,14.62,14.36,14.45,4741809.00
06/05/2014,14.38,14.38,13.97,13.97,6247042.00
07/05/2014,14.10,14.18,13.61,13.96,11457063.00
08/05/2014,13.96,14.00,13.55,13.65,2687606.00
09/05/2014,13.67,13.67,13.25,13.48,7719579.00
12/05/2014,13.49,13.79,13.11,13.30,3502737.00
13/05/2014,13.31,13.69,13.14,13.64,3189922.00
14/05/2014,13.71,13.84,13.62,13.64,2523842.00
15/05/2014,13.47,13.72,13.47,13.60,678455.00
16/05/2014,13.56,13.56,13.24,13.48,1996732.00
19/05/2014,13.52,13.53,13.22,13.45,1285579.00
20/05/2014,13.57,13.57,13.34,13.43,489300.00
21/05/2014,13.63,13.63,13.46,13.50,131910.00
22/05/2014,13.52,13.82,13.42,13.56,2455392.00
23/05/2014,13.63,13.72,13.32,13.34,1783616.00
26/05/2014,13.43,13.50,12.95,13.18,2314054.00
27/05/2014,13.20,13.20,12.72,12.94,7704840.00
28/05/2014,12.93,12.93,12.51,12.63,4110185.00
29/05/2014,12.67,12.86,12.41,12.86,2553240.00
30/05/2014,12.82,12.99,12.67,12.72,6445505.00
02/06/2014,12.71,12.71,12.45,12.59,3373593.00
03/06/2014,12.65,12.73,12.45,12.68,3334993.00
04/06/2014,12.67,12.67,12.49,12.54,1637504.00
05/06/2014,12.59,12.84,12.50,12.56,4351386.00
06/06/2014,12.84,13.04,12.64,12.77,3714798.00
09/06/2014,12.86,12.93,12.75,12.83,1922587.00
10/06/2014,12.81,12.81,12.54,12.66,8331047.00
11/06/2014,12.70,12.89,12.69,12.86,9412544.00
13/06/2014,12.90,13.06,12.67,12.73,1612775.00
16/06/2014,12.78,12.78,12.59,12.67,9009648.00
17/06/2014,12.75,12.97,12.63,12.78,458946.00
18/06/2014,12.86,12.87,12.63,12.78,751472.00
20/06/2014,12.91,12.91,12.43,12.45,32037356.00
23/06/2014,12.45,12.60,12.45,12.46,628501.00
24/06/2014,12.49,12.54,12.40,12.45,1369002.00
25/06/2014,12.50,12.63,12.13,12.20,1602898.00
26/06/2014,12.25,12.25,11.95,12.14,5449260.00
27/06/2014,12.16,12.16,11.74,11.74,6022758.00
30/06/2014,11.78,11.95,11.51,11.95,2712734.00
01/07/2014,11.94,11.94,11.55,11.65,3134523.00
02/07/2014,11.71,11.85,11.57,11.79,1641400.00
03/07/2014,11.81,11.81,11.56,11.70,1497772.00
04/07/2014,11.74,11.96,11.65,11.96,213060.00
