date,open,high,low,close,vol
18/12/2009,16.64,16.86,16.39,16.70,50722143.00
21/12/2009,16.93,17.03,16.07,16.07,45224673.00
22/12/2009,16.36,16.70,16.02,16.61,82337525.00
23/12/2009,16.77,16.86,16.40,16.73,34056715.00
28/12/2009,16.82,16.93,16.71,16.82,31886112.00
29/12/2009,16.92,17.03,16.84,16.93,42734930.00
30/12/2009,16.93,17.42,16.79,17.42,101049283.00
04/01/2010,17.46,17.46,16.94,17.21,88287610.00
05/01/2010,17.26,17.32,16.97,17.05,95000306.00
06/01/2010,17.00,17.33,16.98,17.07,78951211.00
07/01/2010,16.93,17.27,16.74,16.74,76784903.00
08/01/2010,16.90,17.03,16.61,16.71,50072072.00
11/01/2010,16.90,17.05,16.68,16.88,48948136.00
12/01/2010,16.71,17.15,16.65,17.15,55531266.00
13/01/2010,17.28,17.32,16.78,16.89,52762962.00
14/01/2010,16.89,17.02,16.64,16.73,55799883.00
15/01/2010,16.64,16.81,16.37,16.53,78721654.00
18/01/2010,16.64,16.77,16.25,16.34,48413238.00
19/01/2010,16.22,16.49,16.22,16.33,86141231.00
20/01/2010,16.22,16.22,15.33,15.57,174269833.00
21/01/2010,15.75,15.75,14.97,15.04,76575222.00
22/01/2010,14.94,15.61,14.81,15.18,72572993.00
26/01/2010,15.04,15.52,14.52,15.43,86459184.00
27/01/2010,15.43,15.82,15.42,15.65,94127847.00
28/01/2010,15.92,16.04,15.54,15.75,64708293.00
29/01/2010,15.86,15.97,15.23,15.39,44914092.00
01/02/2010,15.51,16.22,15.40,16.14,58323392.00
02/02/2010,16.22,16.43,16.08,16.43,48068387.00
03/02/2010,16.39,16.45,16.01,16.36,69468732.00
04/02/2010,16.09,16.27,15.11,15.39,96476824.00
05/02/2010,15.08,15.22,14.44,15.01,127224471.00
08/02/2010,15.09,15.60,14.79,15.02,61825494.00
09/02/2010,15.41,15.81,15.19,15.80,72126478.00
10/02/2010,15.85,16.32,15.72,16.15,61360855.00
11/02/2010,16.10,16.45,15.87,16.45,68252209.00
12/02/2010,16.20,16.40,15.81,16.29,60162041.00
17/02/2010,16.29,16.88,16.14,16.81,62093300.00
18/02/2010,16.81,17.14,16.50,17.07,60722421.00
19/02/2010,16.86,17.10,16.79,17.10,64405417.00
22/02/2010,17.20,17.23,16.78,16.91,48908785.00
23/02/2010,16.79,16.93,16.25,16.53,47033950.00
24/02/2010,16.58,16.78,16.26,16.49,32272150.00
25/02/2010,16.03,16.24,15.73,16.17,79048227.00
26/02/2010,16.21,16.25,15.67,16.04,77131566.00
01/03/2010,16.29,16.35,16.07,16.17,54806110.00
02/03/2010,16.25,16.45,16.06,16.12,48841917.00
03/03/2010,16.22,16.56,16.17,16.32,80372917.00
04/03/2010,16.32,16.42,15.92,16.07,42475334.00
05/03/2010,16.36,16.36,15.78,16.03,85733080.00
08/03/2010,15.99,16.03,15.50,15.62,86126805.00
09/03/2010,15.58,15.85,15.53,15.58,134144484.00
10/03/2010,15.68,16.19,15.60,15.99,80513800.00
11/03/2010,15.86,16.44,15.85,16.15,62111208.00
12/03/2010,16.34,16.41,15.94,16.09,47996349.00
15/03/2010,15.95,16.09,15.44,15.75,64415697.00
16/03/2010,15.93,15.97,15.72,15.93,30436823.00
17/03/2010,16.04,16.07,15.53,15.59,53740973.00
18/03/2010,15.74,16.09,15.65,15.81,81157873.00
19/03/2010,15.85,15.96,15.48,15.58,53827507.00
22/03/2010,15.48,15.61,15.16,15.58,45879545.00
23/03/2010,15.75,15.79,15.08,15.33,123753185.00
24/03/2010,15.30,15.58,15.10,15.26,103431532.00
25/03/2010,15.45,15.52,15.10,15.12,60773459.00
26/03/2010,15.48,15.50,14.69,15.01,179362755.00
29/03/2010,15.14,15.14,14.37,14.83,126337963.00
30/03/2010,14.93,15.25,14.58,14.72,136263823.00
31/03/2010,14.64,14.98,14.41,14.98,107757001.00
01/04/2010,15.11,15.52,15.04,15.52,106881847.00
05/04/2010,15.53,15.75,15.39,15.52,62706168.00
06/04/2010,15.36,15.69,15.23,15.27,96961342.00
07/04/2010,15.28,15.50,14.99,15.00,76543496.00
08/04/2010,14.96,15.40,14.80,15.40,64268016.00
09/04/2010,15.36,15.50,15.09,15.13,55404210.00
12/04/2010,15.14,15.38,14.97,15.03,27740709.00
13/04/2010,15.08,15.32,15.01,15.29,44198711.00
14/04/2010,15.23,15.39,15.04,15.28,62012505.00
15/04/2010,15.28,15.28,14.97,15.06,43906743.00
16/04/2010,14.97,15.03,14.50,14.69,52101207.00
19/04/2010,14.58,14.85,14.44,14.69,38522424.00
20/04/2010,14.79,15.18,14.76,14.92,90330209.00
22/04/2010,14.69,15.36,14.59,15.33,67887745.00
23/04/2010,15.26,15.44,14.98,15.05,53945739.00
26/04/2010,15.18,15.24,14.94,15.11,40652458.00
27/04/2010,14.95,15.30,14.59,14.72,72394883.00
28/04/2010,14.94,14.94,14.40,14.69,56521180.00
29/04/2010,14.87,14.94,14.54,14.59,74529158.00
30/04/2010,14.57,15.07,14.54,14.94,93854214.00
03/05/2010,15.24,15.69,15.12,15.65,85700579.00
04/05/2010,15.50,15.54,14.93,15.28,127656889.00
05/05/2010,15.16,15.39,14.85,15.29,81457009.00
06/05/2010,15.24,15.32,13.44,14.59,112193668.00
07/05/2010,14.75,14.83,14.01,14.55,100093347.00
10/05/2010,15.28,15.64,15.07,15.64,56426308.00
11/05/2010,15.27,15.79,15.21,15.37,55039387.00
12/05/2010,15.50,15.72,15.28,15.28,64193438.00
13/05/2010,15.36,15.36,14.85,14.85,68404093.00
14/05/2010,14.63,14.74,13.86,13.90,136227945.00
17/05/2010,13.97,14.16,12.99,13.70,63374629.00
18/05/2010,13.79,13.93,12.81,12.85,94343700.00
19/05/2010,12.58,12.88,12.23,12.63,89173295.00
20/05/2010,12.15,13.61,12.07,13.38,138837173.00
21/05/2010,13.27,14.18,13.14,13.90,102502733.00
24/05/2010,13.81,14.03,13.31,13.54,60134149.00
25/05/2010,13.10,13.18,12.74,13.15,118996594.00
26/05/2010,13.31,13.74,13.14,13.46,81016377.00
27/05/2010,13.83,14.16,13.79,14.09,47690466.00
28/05/2010,14.21,14.47,13.90,14.30,74681901.00
31/05/2010,14.34,14.43,14.21,14.37,27822891.00
01/06/2010,14.05,14.52,13.97,14.03,47345950.00
02/06/2010,14.03,14.74,13.87,14.74,58121035.00
04/06/2010,14.43,14.51,14.01,14.16,48582355.00
07/06/2010,14.12,14.29,13.71,13.79,40452319.00
08/06/2010,13.92,14.13,13.60,14.13,42642866.00
09/06/2010,14.19,14.39,13.57,13.71,63245521.00
10/06/2010,13.89,14.23,13.89,14.19,58427928.00
11/06/2010,14.08,14.61,13.94,14.61,57006799.00
14/06/2010,14.63,15.26,14.39,15.14,112711185.00
15/06/2010,15.20,15.25,14.81,15.17,44676131.00
16/06/2010,15.02,15.11,14.79,14.94,81783051.00
17/06/2010,14.90,15.43,14.85,15.21,71096778.00
18/06/2010,15.17,15.51,15.10,15.29,53722428.00
21/06/2010,15.45,15.55,15.00,15.39,44640980.00
22/06/2010,15.22,15.63,15.22,15.36,96616679.00
23/06/2010,15.44,15.65,15.12,15.57,57056666.00
24/06/2010,15.44,15.76,14.99,14.99,48257383.00
25/06/2010,15.03,15.27,14.94,15.25,22027495.00
28/06/2010,15.26,15.41,15.10,15.15,34639863.00
29/06/2010,14.80,14.90,14.16,14.33,80373107.00
30/06/2010,14.34,14.75,14.20,14.20,48015848.00
01/07/2010,14.29,14.48,13.86,14.12,39516432.00
02/07/2010,14.21,14.27,13.89,14.16,70855432.00
05/07/2010,14.26,14.34,14.05,14.19,18498506.00
06/07/2010,14.46,14.85,14.28,14.45,85770472.00
07/07/2010,14.52,14.96,14.50,14.63,64687376.00
08/07/2010,14.76,14.91,14.42,14.91,59229016.00
12/07/2010,14.91,15.25,14.73,15.07,52949195.00
13/07/2010,15.19,15.43,14.93,15.43,58295946.00
14/07/2010,15.21,15.71,15.13,15.71,65780115.00
15/07/2010,15.68,16.01,15.59,16.01,120274292.00
16/07/2010,15.87,16.01,15.38,15.38,54251309.00
19/07/2010,15.52,16.00,15.44,15.98,107247722.00
20/07/2010,15.94,16.41,15.78,15.90,104567307.00
