date,open,high,low,close,vol
18/12/2009,6.69,6.94,6.68,6.94,156670.00
21/12/2009,6.88,7.06,6.82,7.06,119857.00
22/12/2009,7.05,7.07,6.82,7.07,159790.00
23/12/2009,7.05,7.07,7.05,7.07,50841.00
28/12/2009,7.04,7.04,7.02,7.02,2248.00
29/12/2009,6.91,7.00,6.88,7.00,160619.00
30/12/2009,7.02,7.17,6.88,7.17,170605.00
04/01/2010,7.18,7.22,7.07,7.16,87012.00
05/01/2010,7.25,7.25,7.04,7.13,198866.00
06/01/2010,6.94,7.19,6.94,7.07,120812.00
07/01/2010,7.22,7.22,7.10,7.13,109569.00
08/01/2010,7.13,7.14,7.13,7.14,10270.00
11/01/2010,7.15,7.25,7.07,7.13,61314.00
12/01/2010,7.10,7.10,7.10,7.10,26105.00
13/01/2010,7.10,7.13,7.07,7.07,57753.00
14/01/2010,7.19,7.29,7.19,7.29,274618.00
15/01/2010,7.25,7.31,7.22,7.25,67347.00
18/01/2010,7.29,7.29,7.13,7.24,33432.00
19/01/2010,7.17,7.32,7.14,7.32,187927.00
20/01/2010,7.25,7.46,7.19,7.44,295797.00
21/01/2010,7.25,7.41,7.13,7.14,258059.00
22/01/2010,7.32,7.32,7.32,7.32,1170.00
26/01/2010,7.50,7.50,7.22,7.22,139837.00
27/01/2010,7.22,7.22,7.16,7.19,134075.00
28/01/2010,7.38,7.38,7.13,7.19,77665.00
29/01/2010,7.25,7.25,7.10,7.19,47995.00
01/02/2010,7.13,7.29,7.13,7.24,288027.00
02/02/2010,7.22,7.22,7.13,7.19,25225.00
03/02/2010,7.29,7.29,7.07,7.22,114479.00
04/02/2010,7.22,7.22,6.88,7.10,136661.00
05/02/2010,6.90,7.07,6.69,7.07,204545.00
08/02/2010,7.07,7.18,7.07,7.12,241846.00
09/02/2010,7.13,7.13,6.91,7.00,279215.00
10/02/2010,7.11,7.11,6.88,6.94,26612.00
11/02/2010,7.00,7.00,6.94,7.00,84676.00
12/02/2010,6.92,7.00,6.92,7.00,34390.00
17/02/2010,7.07,7.19,7.07,7.19,56974.00
18/02/2010,7.07,7.12,7.07,7.12,3399.00
