date,open,high,low,close,vol
18/12/2009,7.87,8.04,7.66,7.84,37086886.00
21/12/2009,7.99,8.09,7.89,8.09,15803970.00
22/12/2009,8.10,8.41,8.05,8.41,18919679.00
23/12/2009,8.48,8.53,8.35,8.51,17044481.00
28/12/2009,8.51,8.69,8.41,8.41,14131029.00
29/12/2009,8.41,8.62,8.41,8.59,10693314.00
30/12/2009,8.47,8.80,8.46,8.51,18132924.00
04/01/2010,8.66,8.90,8.57,8.90,19485176.00
05/01/2010,8.88,9.30,8.83,9.30,33208782.00
06/01/2010,9.19,9.69,8.96,9.56,46331106.00
07/01/2010,9.43,9.63,9.20,9.51,18463778.00
08/01/2010,9.50,9.60,9.26,9.53,18851415.00
11/01/2010,9.56,9.74,9.35,9.46,31865687.00
12/01/2010,9.38,9.93,9.26,9.87,41358954.00
13/01/2010,9.93,10.03,9.41,9.45,36934703.00
14/01/2010,9.44,9.57,9.04,9.04,38266630.00
15/01/2010,8.99,9.20,8.88,8.98,27323834.00
18/01/2010,8.99,9.10,8.79,8.79,23887018.00
19/01/2010,8.68,9.12,8.62,8.93,35018321.00
20/01/2010,8.78,8.93,8.46,8.67,36680842.00
21/01/2010,8.73,8.86,8.46,8.70,34790238.00
22/01/2010,8.57,8.93,8.57,8.91,21658071.00
26/01/2010,8.80,8.96,8.62,8.77,22216789.00
27/01/2010,8.83,8.85,8.44,8.58,12427178.00
28/01/2010,8.73,8.78,8.42,8.51,11289090.00
29/01/2010,8.60,8.66,8.47,8.51,17090566.00
01/02/2010,8.55,8.72,8.46,8.67,17875409.00
02/02/2010,8.70,9.04,8.59,9.04,34626891.00
03/02/2010,9.07,9.14,8.88,9.00,21022798.00
04/02/2010,8.91,8.91,7.33,8.45,24196041.00
05/02/2010,8.30,8.75,7.96,8.27,26464523.00
08/02/2010,8.31,8.55,8.31,8.50,14195271.00
09/02/2010,8.57,8.76,8.53,8.70,15160817.00
10/02/2010,8.77,8.87,8.42,8.67,8486418.00
11/02/2010,8.67,8.88,8.60,8.88,11690448.00
12/02/2010,8.88,8.88,8.68,8.72,10710643.00
17/02/2010,8.93,9.19,8.91,9.15,16588724.00
18/02/2010,9.15,9.34,9.00,9.14,19882433.00
19/02/2010,9.04,9.46,9.04,9.34,25223103.00
22/02/2010,9.45,9.45,8.91,9.02,23208407.00
23/02/2010,8.95,9.16,8.95,9.12,19011360.00
24/02/2010,9.25,9.36,8.99,9.15,21048712.00
25/02/2010,9.01,9.36,8.86,9.11,20228643.00
26/02/2010,9.13,9.24,8.90,9.04,22715960.00
01/03/2010,9.18,9.25,9.05,9.24,14826196.00
02/03/2010,9.18,9.37,9.06,9.06,28681413.00
03/03/2010,9.14,9.25,9.05,9.12,20413012.00
04/03/2010,9.17,9.23,8.81,9.17,11304250.00
05/03/2010,9.28,9.28,9.01,9.01,14338859.00
08/03/2010,9.11,9.13,8.78,8.88,14790468.00
09/03/2010,8.80,9.05,8.79,8.96,28799156.00
10/03/2010,8.99,9.12,8.93,9.12,15759524.00
11/03/2010,9.05,9.08,8.88,8.96,13161436.00
12/03/2010,8.99,9.08,8.81,8.88,11713996.00
15/03/2010,8.84,8.88,8.69,8.83,6532296.00
16/03/2010,8.98,8.99,8.74,8.80,7790832.00
17/03/2010,8.85,8.94,8.66,8.78,9047557.00
18/03/2010,8.73,8.78,8.57,8.78,8604024.00
19/03/2010,8.78,8.80,8.65,8.74,15032899.00
22/03/2010,8.63,8.74,8.49,8.62,8906655.00
23/03/2010,8.63,8.68,8.37,8.44,18499057.00
24/03/2010,8.38,8.44,8.21,8.27,24882961.00
25/03/2010,8.35,8.37,8.16,8.28,24884388.00
26/03/2010,8.29,8.34,8.09,8.20,23688774.00
29/03/2010,8.20,8.35,8.12,8.33,10316923.00
30/03/2010,8.35,8.38,8.14,8.15,14951914.00
31/03/2010,8.05,8.09,7.90,8.07,25541248.00
01/04/2010,8.23,8.40,8.12,8.28,38184945.00
05/04/2010,8.38,8.62,8.35,8.36,25152704.00
06/04/2010,8.41,8.69,8.38,8.64,27051276.00
07/04/2010,8.67,8.85,8.48,8.57,34617275.00
08/04/2010,8.58,8.77,8.48,8.73,19296435.00
09/04/2010,8.69,8.86,8.63,8.83,27679927.00
12/04/2010,8.82,8.94,8.62,8.62,15466266.00
13/04/2010,8.62,8.65,8.36,8.61,16345479.00
14/04/2010,8.57,8.75,8.39,8.73,26782008.00
15/04/2010,8.72,8.82,8.59,8.65,18131684.00
16/04/2010,8.53,8.65,8.36,8.46,15398339.00
19/04/2010,8.37,8.62,8.17,8.62,20147075.00
20/04/2010,8.64,8.83,8.57,8.69,15804491.00
22/04/2010,8.56,8.80,8.47,8.69,21906081.00
23/04/2010,8.67,8.75,8.55,8.65,12192171.00
26/04/2010,8.59,8.67,8.42,8.42,12611109.00
27/04/2010,8.39,8.44,8.04,8.16,11305013.00
28/04/2010,8.29,8.33,7.96,7.96,26187358.00
29/04/2010,8.08,8.44,8.04,8.44,30760022.00
30/04/2010,8.38,8.39,8.25,8.36,18434283.00
03/05/2010,8.44,8.48,8.31,8.47,18010623.00
04/05/2010,8.40,8.41,8.04,8.21,28894103.00
05/05/2010,8.04,8.22,7.93,8.05,19096169.00
06/05/2010,8.06,8.29,7.36,8.01,38329285.00
07/05/2010,7.99,8.08,7.80,7.86,33588223.00
10/05/2010,8.24,8.29,8.12,8.28,22334019.00
11/05/2010,8.14,8.26,8.07,8.09,11691831.00
12/05/2010,8.15,8.20,8.09,8.16,36272438.00
13/05/2010,8.13,8.15,8.03,8.13,20311741.00
14/05/2010,8.02,8.08,7.90,7.99,15234065.00
17/05/2010,7.93,8.04,7.73,7.86,14193038.00
18/05/2010,7.91,7.95,7.56,7.68,23241081.00
19/05/2010,7.62,7.75,7.29,7.75,21141068.00
20/05/2010,7.52,7.62,7.31,7.58,16326989.00
21/05/2010,7.47,7.96,7.36,7.96,20888546.00
24/05/2010,7.83,8.05,7.76,8.01,13548486.00
25/05/2010,7.67,7.99,7.62,7.99,18296744.00
26/05/2010,7.94,8.31,7.84,8.31,63311226.00
27/05/2010,8.31,8.36,8.07,8.15,28350660.00
28/05/2010,8.12,8.19,7.98,8.15,14551602.00
31/05/2010,8.03,8.20,8.03,8.20,8306251.00
01/06/2010,8.02,8.15,7.86,7.86,19313082.00
02/06/2010,7.86,8.06,7.75,8.04,31206998.00
04/06/2010,7.89,7.90,7.76,7.76,19721128.00
07/06/2010,7.78,7.93,7.74,7.84,14747671.00
08/06/2010,7.83,7.94,7.74,7.91,6495404.00
09/06/2010,7.91,7.98,7.78,7.80,24966500.00
10/06/2010,7.83,8.03,7.83,7.99,14299454.00
11/06/2010,8.00,8.24,7.90,8.20,10791634.00
14/06/2010,8.26,8.38,8.23,8.28,17363548.00
15/06/2010,8.26,8.35,8.10,8.31,19698549.00
16/06/2010,8.25,8.66,8.12,8.55,26493243.00
17/06/2010,8.58,8.67,8.49,8.67,23029872.00
18/06/2010,8.65,8.90,8.59,8.62,52005596.00
21/06/2010,8.84,8.84,8.47,8.75,13640030.00
22/06/2010,8.68,8.83,8.62,8.67,14903674.00
23/06/2010,8.65,8.77,8.52,8.70,10497607.00
24/06/2010,8.57,8.82,8.57,8.73,14440020.00
25/06/2010,8.72,8.83,8.70,8.82,6254468.00
28/06/2010,8.83,9.03,8.76,8.86,12366725.00
29/06/2010,8.67,8.91,8.67,8.78,28097350.00
30/06/2010,8.73,8.99,8.48,8.62,25435957.00
01/07/2010,8.59,8.99,8.47,8.75,16443123.00
02/07/2010,8.79,9.09,8.74,9.04,18261505.00
05/07/2010,8.96,9.03,8.83,8.91,7167703.00
06/07/2010,8.99,9.36,8.96,9.36,29185376.00
07/07/2010,9.35,9.61,9.18,9.19,17499356.00
08/07/2010,9.13,9.29,8.91,9.01,17187652.00
12/07/2010,9.11,9.30,8.74,8.77,17296323.00
13/07/2010,8.83,8.88,8.68,8.86,17462876.00
14/07/2010,8.88,9.13,8.79,8.88,13687238.00
15/07/2010,8.82,8.99,8.54,8.96,17436101.00
16/07/2010,8.99,9.04,8.80,8.94,11213945.00
19/07/2010,9.00,9.00,8.80,8.88,6687104.00
20/07/2010,8.84,8.99,8.77,8.99,24508353.00
21/07/2010,9.01,9.35,9.01,9.27,27772153.00
22/07/2010,9.37,9.61,9.36,9.60,37210298.00
23/07/2010,9.58,9.62,9.37,9.58,15491615.00
26/07/2010,9.58,9.69,9.44,9.62,10565200.00
27/07/2010,9.70,9.75,9.54,9.75,20323670.00
28/07/2010,9.72,9.77,9.57,9.72,10934231.00
29/07/2010,9.76,9.87,9.65,9.70,13000854.00
30/07/2010,9.54,9.85,9.54,9.70,13381116.00
02/08/2010,9.78,9.85,9.62,9.72,23207751.00
03/08/2010,9.79,9.79,9.60,9.70,11727084.00
04/08/2010,9.65,9.75,9.43,9.75,21292485.00
05/08/2010,9.80,9.81,9.39,9.49,20965501.00
06/08/2010,9.49,9.49,9.12,9.16,18067885.00
09/08/2010,9.22,9.24,8.87,9.01,35081024.00
10/08/2010,8.98,9.23,8.87,9.23,32823481.00
11/08/2010,9.19,9.19,8.96,8.99,20192738.00
12/08/2010,8.96,9.10,8.88,9.01,21287490.00
13/08/2010,9.08,9.08,8.93,9.03,23474929.00
16/08/2010,9.08,9.21,8.93,9.17,10928504.00
17/08/2010,9.20,9.41,9.18,9.41,12485705.00
