date,open,high,low,close,vol
01/04/2010,6.12,6.24,5.99,6.12,78087382.00
05/04/2010,6.12,6.17,6.12,6.13,29330584.00
06/04/2010,6.10,6.14,6.06,6.12,24526130.00
07/04/2010,6.12,6.24,6.09,6.14,24449213.00
08/04/2010,6.15,6.15,6.12,6.12,26549662.00
09/04/2010,6.17,6.17,6.11,6.12,17454518.00
12/04/2010,6.14,6.17,6.10,6.15,17173364.00
13/04/2010,6.15,6.28,6.14,6.28,13515056.00
14/04/2010,6.30,6.41,6.19,6.37,18145869.00
15/04/2010,6.23,6.42,6.23,6.34,7191771.00
16/04/2010,6.37,6.37,6.25,6.25,6055464.00
19/04/2010,6.21,6.35,6.19,6.35,3212855.00
20/04/2010,6.27,6.38,6.23,6.36,7234440.00
22/04/2010,6.35,6.35,6.25,6.32,11196000.00
23/04/2010,6.35,6.36,6.23,6.30,4628027.00
26/04/2010,6.30,6.34,6.28,6.32,6819043.00
27/04/2010,6.28,6.28,6.15,6.15,6719491.00
28/04/2010,6.17,6.28,6.09,6.15,8892916.00
29/04/2010,6.19,6.23,6.12,6.12,2480251.00
30/04/2010,6.12,6.19,6.08,6.19,10793913.00
03/05/2010,6.22,6.41,6.14,6.37,6153903.00
04/05/2010,6.26,6.57,6.19,6.32,17682506.00
05/05/2010,6.32,6.32,6.19,6.25,8531402.00
06/05/2010,6.31,6.31,5.76,6.24,17869721.00
07/05/2010,6.22,6.22,5.86,6.08,7024143.00
10/05/2010,6.26,6.30,6.03,6.12,5461564.00
11/05/2010,6.12,6.14,5.81,5.90,22872220.00
12/05/2010,5.97,6.06,5.93,6.06,15319625.00
13/05/2010,6.11,6.15,6.03,6.12,4625507.00
14/05/2010,6.11,6.12,5.84,5.99,7504594.00
17/05/2010,6.08,6.15,5.85,5.91,3600169.00
18/05/2010,6.02,6.02,5.81,5.86,4814905.00
19/05/2010,5.80,5.96,5.61,5.77,7348656.00
20/05/2010,5.74,5.74,5.33,5.47,10757255.00
21/05/2010,5.50,5.61,5.36,5.61,17718819.00
24/05/2010,5.77,5.77,5.36,5.48,11237878.00
25/05/2010,5.26,5.41,5.26,5.35,7038404.00
26/05/2010,5.41,5.67,5.39,5.47,14100864.00
27/05/2010,5.61,5.76,5.48,5.76,12778208.00
28/05/2010,5.77,5.92,5.56,5.92,3780521.00
