date,open,high,low,close,vol
18/12/2009,9.83,9.94,9.70,9.83,24709716.00
21/12/2009,9.84,9.87,9.66,9.83,25556894.00
22/12/2009,9.74,9.74,9.38,9.39,57173780.00
23/12/2009,9.43,9.47,9.27,9.34,17272365.00
28/12/2009,9.36,9.56,9.32,9.52,14974724.00
29/12/2009,9.56,9.63,9.48,9.56,10881685.00
30/12/2009,9.55,9.62,9.40,9.62,14620961.00
04/01/2010,9.60,9.66,9.56,9.64,15882624.00
05/01/2010,9.58,9.72,9.58,9.72,20828813.00
06/01/2010,9.69,9.77,9.53,9.62,20493024.00
07/01/2010,9.65,9.73,9.60,9.68,9410053.00
08/01/2010,9.65,9.70,9.57,9.60,18640784.00
11/01/2010,9.65,9.68,9.44,9.44,15984176.00
12/01/2010,9.49,9.49,9.32,9.43,29115339.00
13/01/2010,9.47,9.47,9.23,9.34,19172251.00
14/01/2010,9.34,9.44,9.26,9.29,12395531.00
15/01/2010,9.34,9.34,9.08,9.14,11834218.00
18/01/2010,9.16,9.16,9.08,9.16,10336242.00
19/01/2010,9.14,9.22,9.00,9.22,13037737.00
20/01/2010,9.20,9.21,9.01,9.21,10076819.00
21/01/2010,9.26,9.27,9.03,9.21,13467201.00
22/01/2010,9.16,9.28,9.04,9.28,24533715.00
26/01/2010,9.08,9.20,9.06,9.20,14572631.00
27/01/2010,9.08,9.24,9.07,9.14,14165378.00
28/01/2010,9.22,9.22,9.06,9.11,12450529.00
29/01/2010,9.15,9.20,8.96,9.04,14982277.00
01/02/2010,9.08,9.09,8.93,9.05,13504895.00
02/02/2010,9.07,9.14,8.89,8.89,14960608.00
03/02/2010,8.93,8.96,8.88,8.91,16666733.00
04/02/2010,8.91,8.93,8.64,8.73,27758880.00
05/02/2010,8.64,8.86,8.56,8.82,30833907.00
08/02/2010,8.76,8.91,8.71,8.85,18667297.00
09/02/2010,8.86,8.91,8.73,8.80,22128409.00
10/02/2010,8.81,8.88,8.60,8.76,24309804.00
11/02/2010,8.76,9.07,8.68,9.06,15897504.00
12/02/2010,9.02,9.13,8.95,9.11,19705461.00
17/02/2010,9.12,9.27,9.02,9.26,12147971.00
18/02/2010,9.23,9.38,9.16,9.38,20392860.00
19/02/2010,9.28,9.38,9.14,9.32,14359625.00
22/02/2010,9.38,9.40,9.18,9.27,15227466.00
23/02/2010,9.31,9.31,9.00,9.24,20934618.00
24/02/2010,9.31,9.31,9.04,9.22,10785054.00
25/02/2010,9.29,9.34,9.05,9.27,18403221.00
