date,open,high,low,close,vol
18/12/2009,15.95,16.02,15.55,15.87,18526953.00
21/12/2009,15.94,16.07,15.84,15.84,17393891.00
22/12/2009,15.99,16.00,15.52,15.52,44965924.00
23/12/2009,15.61,15.77,15.41,15.65,30082566.00
28/12/2009,15.84,16.23,15.80,16.23,16995970.00
29/12/2009,16.31,16.68,16.31,16.68,11997336.00
30/12/2009,16.46,16.75,16.36,16.61,23452570.00
04/01/2010,16.76,17.44,16.67,17.28,30782403.00
05/01/2010,17.49,17.62,16.92,17.02,25919301.00
06/01/2010,17.05,17.26,16.80,16.80,27970863.00
07/01/2010,16.80,17.18,16.50,17.18,14259643.00
08/01/2010,16.98,17.84,16.76,17.38,23708534.00
11/01/2010,17.69,17.69,17.13,17.31,29397433.00
12/01/2010,17.23,17.23,16.73,17.05,24388820.00
13/01/2010,17.07,17.39,16.65,17.38,35465111.00
14/01/2010,17.54,17.55,16.99,16.99,21842246.00
15/01/2010,16.73,16.94,16.29,16.31,19158442.00
18/01/2010,16.35,16.44,16.09,16.23,17681221.00
19/01/2010,15.87,16.90,15.87,16.80,18105417.00
20/01/2010,16.80,17.12,15.95,16.16,57924310.00
21/01/2010,16.24,16.68,16.08,16.58,50191468.00
22/01/2010,16.66,19.00,16.65,18.43,151304330.00
26/01/2010,18.15,18.43,17.65,18.15,75956890.00
27/01/2010,18.27,18.27,17.31,17.65,54469728.00
28/01/2010,17.65,17.73,17.28,17.54,60677191.00
29/01/2010,17.57,18.26,17.57,18.17,78837086.00
01/02/2010,17.67,18.52,17.53,17.61,52721784.00
02/02/2010,17.66,17.89,17.33,17.38,35141348.00
03/02/2010,17.38,17.53,16.51,16.51,44593336.00
04/02/2010,16.63,16.63,15.51,15.70,49730700.00
05/02/2010,15.38,15.88,15.26,15.51,57079033.00
08/02/2010,15.59,15.82,15.43,15.56,25762577.00
09/02/2010,15.82,16.03,15.61,15.72,27477660.00
10/02/2010,15.75,15.97,15.65,15.87,15242330.00
11/02/2010,15.92,15.97,15.55,15.87,16102020.00
12/02/2010,15.77,15.89,15.45,15.70,16334829.00
17/02/2010,15.85,16.19,15.81,16.04,27910063.00
18/02/2010,15.98,16.14,15.87,16.14,12810151.00
19/02/2010,16.17,16.22,15.54,15.73,31137773.00
22/02/2010,15.73,15.79,15.24,15.43,27244616.00
23/02/2010,15.41,15.46,14.96,14.96,25900998.00
24/02/2010,15.10,15.11,14.71,14.90,19768967.00
25/02/2010,14.71,15.48,14.54,15.34,17375035.00
26/02/2010,15.27,15.48,14.95,15.11,21882277.00
01/03/2010,15.27,15.64,15.27,15.57,10747567.00
02/03/2010,15.59,16.09,15.59,15.93,34855440.00
03/03/2010,16.09,16.14,15.38,15.38,24932657.00
04/03/2010,15.51,15.81,15.33,15.81,18323859.00
05/03/2010,16.05,16.17,15.85,16.07,26269442.00
08/03/2010,16.06,16.14,15.82,16.01,14276772.00
09/03/2010,15.95,16.81,15.89,16.59,38948832.00
10/03/2010,16.69,17.20,16.59,16.80,25335595.00
11/03/2010,16.84,16.93,16.51,16.56,7434085.00
12/03/2010,16.70,16.77,16.25,16.25,22672264.00
15/03/2010,16.19,16.76,16.18,16.60,17446974.00
16/03/2010,16.56,17.11,16.56,17.11,17055646.00
17/03/2010,17.21,17.64,17.14,17.53,25703980.00
18/03/2010,17.64,17.82,17.28,17.64,25247460.00
19/03/2010,17.73,17.77,17.30,17.46,22077628.00
22/03/2010,17.43,17.43,16.90,17.09,48338485.00
23/03/2010,17.10,17.27,16.85,17.03,28588995.00
24/03/2010,16.93,17.08,16.82,16.82,16126564.00
25/03/2010,16.86,17.01,16.63,16.63,17167693.00
26/03/2010,16.66,16.99,16.63,16.81,13851518.00
29/03/2010,16.96,17.50,16.91,17.32,16056434.00
30/03/2010,17.40,17.43,17.11,17.17,21906456.00
31/03/2010,17.13,17.25,16.69,16.78,41076593.00
01/04/2010,16.90,17.35,16.90,17.14,14990745.00
05/04/2010,17.22,17.24,16.75,16.80,18491541.00
06/04/2010,16.84,17.00,16.74,16.74,18235785.00
07/04/2010,16.77,16.94,16.67,16.71,19766924.00
08/04/2010,16.59,16.93,16.56,16.74,16441791.00
09/04/2010,16.84,16.87,16.62,16.64,12007580.00
12/04/2010,16.64,16.79,16.31,16.31,11735245.00
13/04/2010,16.38,16.56,16.27,16.27,12690612.00
14/04/2010,16.33,16.47,16.25,16.40,21384053.00
15/04/2010,16.38,16.50,16.11,16.11,14012726.00
16/04/2010,16.15,16.31,16.10,16.27,9347280.00
19/04/2010,16.21,16.59,16.07,16.17,16895570.00
20/04/2010,16.31,16.52,16.11,16.11,16777670.00
22/04/2010,16.06,16.59,15.98,16.43,20299781.00
23/04/2010,16.33,16.69,16.15,16.48,23773189.00
26/04/2010,16.46,16.64,16.14,16.14,24208874.00
27/04/2010,16.07,16.59,15.86,15.86,27826083.00
28/04/2010,16.12,16.31,16.02,16.04,29877491.00
29/04/2010,16.17,16.22,16.08,16.19,19655077.00
30/04/2010,16.17,16.34,15.90,15.90,20293307.00
03/05/2010,16.39,16.39,15.67,15.89,25663147.00
04/05/2010,15.53,15.81,15.32,15.45,23514525.00
05/05/2010,15.30,15.30,14.82,14.95,25024400.00
06/05/2010,15.05,15.05,13.72,14.55,53913640.00
07/05/2010,14.56,15.22,14.39,14.87,32081231.00
10/05/2010,15.61,15.70,15.39,15.47,20277661.00
11/05/2010,15.19,15.81,15.19,15.22,26204665.00
12/05/2010,15.28,15.74,15.28,15.46,17046466.00
13/05/2010,15.56,15.60,15.39,15.50,20272395.00
14/05/2010,15.49,15.49,14.89,15.05,18032804.00
17/05/2010,15.05,15.32,14.78,15.05,20832942.00
18/05/2010,15.05,15.17,14.22,14.60,32739201.00
19/05/2010,14.71,15.05,14.65,14.75,22096604.00
20/05/2010,14.55,14.82,14.35,14.57,25212227.00
21/05/2010,14.72,14.88,14.15,14.50,35929101.00
24/05/2010,14.45,14.75,14.33,14.71,12848417.00
25/05/2010,14.50,14.75,14.36,14.60,14119659.00
26/05/2010,14.60,14.93,14.41,14.71,20994107.00
27/05/2010,14.78,15.04,14.73,14.80,16492900.00
28/05/2010,14.67,14.98,14.31,14.51,18482922.00
31/05/2010,14.62,14.91,14.51,14.62,12860190.00
01/06/2010,14.56,15.11,14.50,14.67,26850346.00
02/06/2010,14.85,15.00,14.61,14.80,9738777.00
04/06/2010,14.54,14.97,14.54,14.71,23637227.00
07/06/2010,14.62,15.00,14.62,14.74,13312758.00
08/06/2010,14.80,14.90,14.50,14.50,27679595.00
09/06/2010,14.61,14.74,14.45,14.45,24563915.00
10/06/2010,14.47,14.86,14.47,14.86,12580699.00
11/06/2010,14.76,15.19,14.68,15.07,14806776.00
14/06/2010,15.17,15.28,15.06,15.06,12986601.00
15/06/2010,15.18,15.55,15.18,15.40,12396522.00
16/06/2010,15.34,15.92,15.23,15.85,25886675.00
17/06/2010,15.81,16.17,15.81,16.12,23219118.00
18/06/2010,16.04,16.58,16.04,16.11,74205897.00
