date,open,high,low,close,vol
18/12/2009,8.11,8.15,7.96,7.96,12357730.00
21/12/2009,8.04,8.14,8.00,8.02,30890857.00
22/12/2009,8.19,8.19,7.98,8.04,19090375.00
23/12/2009,8.16,8.28,8.08,8.25,16059909.00
28/12/2009,8.29,8.37,8.22,8.28,13225633.00
29/12/2009,8.30,8.35,8.23,8.24,16342052.00
30/12/2009,8.27,8.39,8.24,8.33,44313274.00
04/01/2010,8.39,8.65,8.35,8.65,28903679.00
05/01/2010,8.67,8.70,8.40,8.44,28274334.00
06/01/2010,8.37,8.47,8.28,8.41,46079890.00
07/01/2010,8.39,8.40,8.30,8.30,13877829.00
08/01/2010,8.35,8.36,8.18,8.28,33163987.00
11/01/2010,8.35,8.36,8.23,8.36,18039585.00
12/01/2010,8.32,8.65,8.32,8.64,38866672.00
13/01/2010,8.67,8.72,8.45,8.55,43287614.00
14/01/2010,8.51,8.58,8.41,8.47,25997579.00
15/01/2010,8.42,8.62,8.41,8.55,21441086.00
18/01/2010,8.57,8.60,8.41,8.41,7565601.00
19/01/2010,8.37,8.88,8.37,8.82,38256485.00
20/01/2010,8.85,8.97,8.60,8.72,34410494.00
21/01/2010,8.76,8.91,8.58,8.70,27177481.00
22/01/2010,8.64,8.75,8.57,8.67,18616787.00
26/01/2010,8.58,8.62,8.32,8.62,22747456.00
27/01/2010,8.54,8.61,8.44,8.51,13495821.00
28/01/2010,8.51,8.58,8.37,8.53,15099539.00
29/01/2010,8.62,8.79,8.62,8.75,32021970.00
01/02/2010,8.71,8.76,8.48,8.49,15419907.00
02/02/2010,8.51,8.57,8.41,8.45,27597075.00
03/02/2010,8.48,8.79,8.41,8.67,40216955.00
04/02/2010,8.67,8.71,8.37,8.41,28651803.00
05/02/2010,8.16,8.62,8.16,8.28,36370120.00
08/02/2010,8.34,8.56,8.16,8.44,29941687.00
09/02/2010,8.54,8.62,8.47,8.54,14220873.00
10/02/2010,8.52,8.67,8.43,8.65,14178300.00
11/02/2010,8.64,8.80,8.52,8.78,26501345.00
12/02/2010,8.72,8.80,8.52,8.79,18544458.00
17/02/2010,8.87,8.95,8.72,8.78,22527540.00
18/02/2010,8.71,8.86,8.66,8.79,12878803.00
19/02/2010,8.76,8.80,8.67,8.73,9835850.00
22/02/2010,8.76,8.89,8.70,8.81,19520876.00
23/02/2010,8.76,8.91,8.68,8.70,13490326.00
24/02/2010,8.74,8.82,8.68,8.68,11020935.00
25/02/2010,8.56,8.67,8.51,8.56,14985668.00
26/02/2010,8.56,8.66,8.54,8.59,12072255.00
01/03/2010,8.69,8.79,8.57,8.62,11662478.00
02/03/2010,8.63,8.79,8.63,8.75,15773435.00
03/03/2010,8.78,8.94,8.73,8.78,21736380.00
04/03/2010,8.80,8.87,8.68,8.76,10457575.00
05/03/2010,8.87,8.94,8.72,8.75,19042318.00
08/03/2010,8.74,8.85,8.72,8.75,9787222.00
09/03/2010,8.73,9.02,8.72,8.92,25595167.00
10/03/2010,8.99,9.08,8.91,9.02,19184846.00
11/03/2010,8.94,9.09,8.89,9.09,9112761.00
12/03/2010,9.15,9.15,8.91,8.91,8335902.00
15/03/2010,8.84,8.97,8.84,8.89,26312605.00
16/03/2010,8.82,9.10,8.82,9.05,9953343.00
17/03/2010,9.07,9.10,9.01,9.02,14975847.00
18/03/2010,9.01,9.07,8.95,9.06,12936674.00
19/03/2010,9.07,9.70,8.94,9.46,68144667.00
22/03/2010,9.41,9.52,9.30,9.41,24802059.00
23/03/2010,9.42,9.50,9.29,9.50,13780079.00
24/03/2010,9.38,9.44,9.24,9.36,11818751.00
25/03/2010,9.41,9.41,9.16,9.22,14444020.00
26/03/2010,9.16,9.38,9.10,9.29,22783142.00
29/03/2010,9.32,9.38,9.26,9.34,15156437.00
30/03/2010,9.29,9.30,9.22,9.29,8718246.00
31/03/2010,9.25,9.35,9.15,9.22,21359806.00
01/04/2010,9.30,9.30,9.12,9.12,18471869.00
05/04/2010,9.16,9.18,9.07,9.11,8255245.00
06/04/2010,9.08,9.15,8.98,8.98,11713333.00
07/04/2010,8.99,9.24,8.97,9.24,20440788.00
08/04/2010,9.27,9.34,9.17,9.21,14086934.00
09/04/2010,9.20,9.22,9.07,9.15,46004157.00
12/04/2010,9.12,9.18,9.05,9.06,13081684.00
13/04/2010,9.13,9.26,9.08,9.21,20590613.00
14/04/2010,9.24,9.36,9.15,9.35,25175837.00
15/04/2010,9.32,9.35,9.21,9.22,13057457.00
16/04/2010,9.15,9.21,9.01,9.08,8675448.00
19/04/2010,9.01,9.02,8.76,8.98,19116198.00
20/04/2010,8.98,9.07,8.88,9.01,18549348.00
22/04/2010,8.88,9.15,8.82,9.07,13440652.00
23/04/2010,9.01,9.04,8.92,8.98,12953193.00
26/04/2010,8.98,8.98,8.88,8.94,7545034.00
27/04/2010,8.88,8.96,8.68,8.79,23273713.00
28/04/2010,8.85,8.94,8.68,8.91,22024651.00
29/04/2010,8.88,9.18,8.86,9.11,20629724.00
30/04/2010,9.10,9.24,9.00,9.00,18253237.00
03/05/2010,8.92,9.15,8.91,9.07,10289836.00
04/05/2010,9.00,9.07,8.72,8.95,16971874.00
05/05/2010,8.78,8.92,8.73,8.79,13809092.00
06/05/2010,8.78,9.03,8.54,8.69,31431330.00
07/05/2010,8.83,8.95,8.60,8.77,19890173.00
10/05/2010,8.97,9.23,8.76,8.80,34210156.00
11/05/2010,8.76,8.94,8.70,8.74,11001334.00
12/05/2010,8.74,8.95,8.74,8.90,13375207.00
13/05/2010,8.89,8.92,8.79,8.79,8630050.00
14/05/2010,8.75,8.93,8.70,8.83,20405777.00
17/05/2010,8.75,8.94,8.73,8.80,26440485.00
18/05/2010,8.85,8.92,8.71,8.72,13343560.00
19/05/2010,8.73,8.95,8.67,8.87,27411551.00
20/05/2010,8.80,8.82,8.57,8.57,17367282.00
21/05/2010,8.69,8.80,8.36,8.75,12173792.00
24/05/2010,8.70,8.90,8.64,8.83,9640157.00
25/05/2010,8.60,8.80,8.54,8.70,15299443.00
26/05/2010,8.72,8.91,8.65,8.89,27177116.00
27/05/2010,8.87,9.03,8.78,8.82,18313515.00
28/05/2010,8.88,8.88,8.62,8.65,12598178.00
31/05/2010,8.73,8.74,8.54,8.61,6661245.00
01/06/2010,8.54,8.64,8.40,8.42,7438828.00
02/06/2010,8.33,8.60,8.32,8.54,10693247.00
04/06/2010,8.41,8.50,8.26,8.27,13503297.00
07/06/2010,8.27,8.37,8.18,8.23,11981329.00
08/06/2010,8.26,8.30,8.16,8.24,20590429.00
09/06/2010,8.25,8.41,8.21,8.23,19513825.00
10/06/2010,8.30,8.47,8.28,8.40,7654123.00
11/06/2010,8.40,8.62,8.34,8.62,7219134.00
14/06/2010,8.61,8.70,8.52,8.54,6839452.00
15/06/2010,8.55,8.77,8.54,8.59,13854499.00
16/06/2010,8.56,8.67,8.50,8.60,24519143.00
17/06/2010,8.62,8.73,8.56,8.72,10008406.00
18/06/2010,8.70,8.77,8.61,8.64,10046277.00
21/06/2010,8.77,8.83,8.65,8.74,6413334.00
22/06/2010,8.71,8.92,8.66,8.70,12771397.00
23/06/2010,8.75,8.78,8.67,8.78,10489179.00
24/06/2010,8.70,8.77,8.61,8.64,8824700.00
25/06/2010,8.62,8.81,8.57,8.81,4226895.00
28/06/2010,8.77,8.84,8.68,8.72,2884340.00
29/06/2010,8.61,8.70,8.39,8.43,14819742.00
30/06/2010,8.43,8.51,8.23,8.23,12841776.00
01/07/2010,8.26,8.34,8.03,8.34,12272997.00
02/07/2010,8.34,8.39,8.12,8.17,8308275.00
05/07/2010,8.18,8.38,8.12,8.31,10063686.00
06/07/2010,8.41,8.50,8.06,8.21,18393869.00
07/07/2010,8.25,8.30,8.18,8.25,23009671.00
08/07/2010,8.31,8.34,8.19,8.34,9598635.00
12/07/2010,8.33,8.33,8.17,8.31,6698044.00
13/07/2010,8.30,8.51,8.26,8.46,14636678.00
14/07/2010,8.39,8.60,8.31,8.54,7590520.00
15/07/2010,8.57,8.66,8.41,8.65,14053347.00
16/07/2010,8.59,8.70,8.36,8.39,14387771.00
19/07/2010,8.41,8.58,8.39,8.53,13956446.00
20/07/2010,8.94,9.05,8.71,9.05,46293666.00
21/07/2010,9.06,9.17,8.95,9.01,24943142.00
22/07/2010,9.09,9.25,9.09,9.22,34571677.00
23/07/2010,9.23,9.40,9.08,9.40,12611956.00
26/07/2010,9.38,9.51,9.30,9.51,10199102.00
27/07/2010,9.54,9.57,9.37,9.49,20055418.00
28/07/2010,9.41,9.70,9.41,9.65,14875123.00
29/07/2010,9.67,9.76,9.64,9.76,24809055.00
30/07/2010,9.77,10.28,9.65,10.20,48937760.00
02/08/2010,10.27,10.50,10.27,10.30,43051474.00
03/08/2010,10.25,10.37,9.98,10.34,29149198.00
04/08/2010,10.26,10.54,10.16,10.44,17836040.00
05/08/2010,10.51,10.51,10.33,10.37,19287587.00
06/08/2010,10.28,10.38,10.11,10.32,22330718.00
09/08/2010,10.38,10.41,10.23,10.38,9771842.00
10/08/2010,10.23,10.29,10.15,10.25,21891734.00
11/08/2010,10.17,10.17,9.82,9.82,13042399.00
