date,open,high,low,close,vol
09/02/2011,12.81,13.00,12.53,12.53,146964850.00
10/02/2011,12.46,13.18,12.19,13.16,62497668.00
11/02/2011,13.16,13.27,13.02,13.16,19594861.00
14/02/2011,13.17,13.23,12.82,13.05,27358354.00
15/02/2011,13.02,13.16,12.88,13.16,9931388.00
16/02/2011,13.16,13.36,12.99,13.36,20719623.00
17/02/2011,13.23,13.54,13.16,13.50,17536873.00
18/02/2011,13.45,13.99,13.37,13.99,34329011.00
21/02/2011,13.86,14.87,13.85,14.54,34557339.00
22/02/2011,14.71,15.03,14.71,15.03,43226774.00
23/02/2011,15.23,15.91,15.06,15.43,89365819.00
24/02/2011,15.65,15.65,14.55,14.69,20691162.00
25/02/2011,14.62,14.87,14.24,14.52,12606305.00
28/02/2011,14.54,15.22,14.54,15.02,22159843.00
01/03/2011,15.21,15.21,14.70,15.16,28618236.00
02/03/2011,15.12,15.41,15.10,15.23,14741033.00
03/03/2011,15.23,15.40,14.85,15.03,24712050.00
04/03/2011,15.03,15.23,14.89,14.96,9480580.00
09/03/2011,15.16,15.50,14.76,15.20,7764738.00
10/03/2011,14.98,15.23,14.54,15.13,13616509.00
11/03/2011,14.89,15.13,14.59,14.79,7152393.00
14/03/2011,14.58,14.58,13.61,13.85,44823314.00
15/03/2011,13.77,13.97,13.36,13.92,4858297.00
16/03/2011,14.06,14.33,13.73,14.19,2600774.00
17/03/2011,14.39,14.54,14.22,14.54,2953702.00
18/03/2011,14.70,15.09,14.34,14.89,12807702.00
21/03/2011,14.82,15.20,14.75,14.87,10686672.00
22/03/2011,14.82,15.03,14.62,14.89,9276939.00
23/03/2011,15.05,15.51,14.29,15.41,8960559.00
24/03/2011,15.58,16.27,15.32,15.68,18718707.00
25/03/2011,15.85,16.10,15.57,15.82,16894540.00
28/03/2011,15.82,16.07,15.48,15.58,18991360.00
29/03/2011,15.75,15.85,15.50,15.65,8855309.00
30/03/2011,15.72,16.16,15.65,16.09,9544887.00
31/03/2011,16.16,16.23,15.69,16.06,12003172.00
01/04/2011,16.13,16.55,16.06,16.55,13088715.00
04/04/2011,16.27,17.30,16.27,16.58,12202538.00
05/04/2011,16.89,16.93,16.45,16.48,9981257.00
06/04/2011,16.46,16.61,16.11,16.55,5704566.00
07/04/2011,16.55,16.95,16.28,16.75,3406657.00
08/04/2011,16.83,17.16,16.53,17.10,10603583.00
11/04/2011,17.13,17.31,16.38,16.62,15919766.00
12/04/2011,16.54,16.76,15.79,15.93,5913437.00
13/04/2011,16.08,16.13,15.27,15.44,13120688.00
14/04/2011,15.57,15.73,15.06,15.06,2390791.00
15/04/2011,15.30,16.13,15.10,16.13,2389191.00
18/04/2011,15.46,15.54,15.06,15.23,9186076.00
19/04/2011,15.23,15.58,15.06,15.23,4603135.00
20/04/2011,15.51,15.73,14.93,15.58,7193919.00
25/04/2011,15.85,15.92,15.46,15.58,2088359.00
26/04/2011,15.58,15.72,15.13,15.28,1096578.00
27/04/2011,15.37,15.47,14.60,14.85,7258245.00
28/04/2011,14.62,14.88,14.20,14.54,3020523.00
29/04/2011,14.61,14.89,14.60,14.89,1531976.00
02/05/2011,14.65,14.89,14.26,14.38,9539851.00
03/05/2011,14.51,14.76,13.90,14.13,11637692.00
04/05/2011,14.37,14.37,13.84,13.94,16081645.00
05/05/2011,13.83,14.12,13.16,13.72,3417226.00
06/05/2011,13.86,14.48,13.79,14.13,29414438.00
09/05/2011,14.32,15.11,14.32,15.11,13957342.00
10/05/2011,15.10,15.45,14.62,15.06,5311489.00
11/05/2011,14.96,14.96,14.48,14.72,6733405.00
12/05/2011,14.62,14.86,14.23,14.69,10041694.00
13/05/2011,14.89,14.89,14.24,14.41,11071722.00
16/05/2011,14.21,14.71,14.21,14.48,4516190.00
17/05/2011,14.47,14.47,13.52,13.76,23543161.00
18/05/2011,13.83,13.83,12.92,13.30,18581941.00
19/05/2011,13.20,13.58,13.04,13.16,12591794.00
20/05/2011,13.29,13.51,13.09,13.44,7828670.00
23/05/2011,13.36,13.36,12.78,12.95,9390150.00
24/05/2011,13.16,13.16,12.79,13.02,13964504.00
25/05/2011,13.08,13.09,12.40,12.40,11071528.00
26/05/2011,12.45,12.75,11.92,12.22,9383241.00
27/05/2011,12.46,12.61,12.21,12.57,11502774.00
30/05/2011,12.75,12.75,12.47,12.71,2909737.00
31/05/2011,12.75,13.15,12.75,13.15,12911965.00
01/06/2011,12.96,13.50,12.82,13.15,8608042.00
02/06/2011,13.13,13.36,12.82,13.02,8540745.00
03/06/2011,12.99,13.35,12.96,13.16,5387902.00
06/06/2011,13.36,13.37,12.89,12.98,3173476.00
07/06/2011,13.23,13.27,12.93,13.16,5776710.00
08/06/2011,13.09,13.23,12.75,12.91,5394067.00
09/06/2011,12.91,13.16,12.84,13.16,2269801.00
10/06/2011,13.13,13.29,12.75,12.96,6198187.00
13/06/2011,12.96,12.96,12.64,12.75,1950171.00
14/06/2011,12.92,12.92,12.47,12.47,1698383.00
15/06/2011,12.37,12.44,11.99,12.12,3553003.00
16/06/2011,12.19,12.26,11.79,11.87,7143500.00
17/06/2011,12.05,12.05,11.27,11.27,22642288.00
20/06/2011,11.27,11.27,10.84,10.88,14659729.00
21/06/2011,11.05,11.42,10.84,11.29,30451088.00
22/06/2011,11.42,11.70,11.26,11.69,17015513.00
24/06/2011,11.81,11.81,10.77,11.71,5268058.00
27/06/2011,11.77,11.78,11.42,11.56,5862613.00
28/06/2011,11.50,11.62,11.24,11.36,9598918.00
29/06/2011,11.37,11.70,11.37,11.50,20099539.00
30/06/2011,11.62,11.62,11.13,11.22,15392467.00
01/07/2011,11.26,11.49,11.15,11.22,10108095.00
04/07/2011,11.22,11.56,11.22,11.51,5270471.00
05/07/2011,11.63,12.10,11.62,11.78,11536007.00
06/07/2011,11.64,12.02,11.64,11.85,6105754.00
07/07/2011,11.99,12.39,11.86,12.05,15801941.00
08/07/2011,12.17,12.37,11.88,12.10,17482317.00
11/07/2011,11.85,12.18,11.85,12.01,7333767.00
12/07/2011,11.95,12.80,11.90,12.50,15217906.00
13/07/2011,12.58,13.27,12.58,13.23,13851915.00
14/07/2011,13.13,13.82,12.92,13.30,25505780.00
15/07/2011,13.53,13.64,12.71,13.01,5495301.00
18/07/2011,12.97,12.97,12.47,12.75,9859208.00
19/07/2011,12.84,12.84,12.42,12.65,5500418.00
20/07/2011,12.68,12.82,12.43,12.64,7547362.00
21/07/2011,12.74,13.24,12.67,13.16,7182773.00
22/07/2011,13.42,13.42,12.92,13.16,20272685.00
25/07/2011,13.32,13.32,12.79,12.82,3155706.00
26/07/2011,12.76,13.11,12.39,12.64,5330033.00
27/07/2011,12.54,12.55,12.02,12.19,4214647.00
28/07/2011,12.35,12.35,11.69,11.78,11880985.00
29/07/2011,11.73,12.26,11.43,12.26,4422832.00
01/08/2011,12.26,12.35,11.67,11.88,8987218.00
02/08/2011,11.94,11.94,11.60,11.65,2618184.00
03/08/2011,11.74,11.74,10.95,11.05,9867073.00
04/08/2011,10.98,11.14,9.56,9.98,7248037.00
05/08/2011,10.25,10.53,9.12,9.56,14733312.00
08/08/2011,8.99,9.46,8.38,8.52,15179558.00
09/08/2011,8.61,9.42,8.42,9.42,16393765.00
10/08/2011,9.35,10.32,9.08,9.56,3653951.00
11/08/2011,9.70,10.31,9.70,10.10,8367351.00
12/08/2011,10.11,10.70,10.11,10.60,8351823.00
15/08/2011,10.50,11.29,10.50,10.95,4179638.00
16/08/2011,10.75,10.94,10.32,10.88,6930376.00
17/08/2011,10.95,11.43,10.66,11.29,7357736.00
18/08/2011,10.81,11.04,10.47,10.95,6219567.00
19/08/2011,10.73,11.33,10.56,10.84,3958212.00
22/08/2011,11.11,11.35,10.47,10.47,4010248.00
23/08/2011,10.63,10.85,10.43,10.60,4898375.00
24/08/2011,10.76,11.01,10.40,10.72,4739419.00
25/08/2011,10.70,10.74,10.32,10.63,10336598.00
26/08/2011,10.47,10.60,10.36,10.53,6578552.00
29/08/2011,10.60,10.79,10.53,10.67,8230708.00
30/08/2011,10.70,10.87,10.52,10.67,4763483.00
31/08/2011,10.78,11.05,10.52,11.05,9352139.00
01/09/2011,11.12,11.15,10.79,10.81,5957235.00
02/09/2011,10.80,10.80,10.32,10.45,11027560.00
05/09/2011,10.20,10.23,9.98,10.08,6424966.00
06/09/2011,10.07,10.27,9.66,10.08,9307776.00
08/09/2011,10.25,10.50,10.05,10.10,10602636.00
09/09/2011,10.11,10.20,9.71,10.08,5319191.00
12/09/2011,9.91,10.27,9.78,10.27,3833309.00
13/09/2011,10.29,10.63,10.26,10.53,6879412.00
14/09/2011,10.60,10.74,10.27,10.73,8733136.00
15/09/2011,10.73,10.91,10.55,10.67,16148563.00
16/09/2011,10.75,11.24,10.46,11.15,13193254.00
