date,open,high,low,close,vol
18/12/2009,6.53,6.60,6.43,6.47,6025961.00
21/12/2009,6.48,6.60,6.33,6.33,21361944.00
22/12/2009,6.34,6.48,6.34,6.44,18312918.00
23/12/2009,6.51,6.59,6.39,6.52,6755398.00
28/12/2009,6.52,6.55,6.34,6.46,5826770.00
29/12/2009,6.44,6.55,6.43,6.44,6737413.00
30/12/2009,6.44,6.51,6.42,6.50,3973049.00
04/01/2010,6.50,6.62,6.47,6.54,11730310.00
05/01/2010,6.64,6.74,6.52,6.59,29524574.00
06/01/2010,6.59,6.74,6.59,6.68,19332452.00
07/01/2010,6.63,6.73,6.55,6.73,9651430.00
08/01/2010,6.73,6.82,6.60,6.82,9371161.00
11/01/2010,6.77,6.94,6.71,6.94,9465969.00
12/01/2010,6.89,7.18,6.78,7.17,25576127.00
13/01/2010,7.06,7.11,7.03,7.05,10908028.00
14/01/2010,7.10,7.27,7.02,7.11,13540533.00
15/01/2010,7.15,7.22,7.05,7.15,9879473.00
18/01/2010,7.08,7.23,7.08,7.14,10633128.00
19/01/2010,7.12,7.17,7.02,7.07,8640341.00
20/01/2010,7.03,7.06,6.82,7.01,10372473.00
21/01/2010,6.97,7.07,6.81,6.97,8517626.00
22/01/2010,6.91,7.01,6.83,6.98,9166904.00
26/01/2010,6.98,7.08,6.88,7.02,12358944.00
27/01/2010,6.99,7.04,6.87,6.92,11241407.00
28/01/2010,6.90,6.96,6.82,6.89,11365969.00
29/01/2010,6.89,6.97,6.84,6.85,25685373.00
01/02/2010,6.85,6.92,6.83,6.90,16851962.00
02/02/2010,6.90,6.92,6.75,6.75,7502534.00
03/02/2010,6.80,6.86,6.77,6.77,20185084.00
04/02/2010,6.78,6.82,6.71,6.73,8364389.00
05/02/2010,6.70,6.71,6.50,6.55,9820980.00
08/02/2010,6.59,6.73,6.52,6.73,7207384.00
09/02/2010,6.73,6.76,6.64,6.66,13340724.00
10/02/2010,6.66,6.90,6.65,6.85,9815228.00
11/02/2010,6.85,7.01,6.81,7.01,5140077.00
12/02/2010,6.96,7.00,6.91,6.98,13523333.00
17/02/2010,6.99,7.08,6.97,6.99,6830612.00
18/02/2010,6.99,7.02,6.91,7.00,10942362.00
19/02/2010,6.93,6.97,6.82,6.83,2950182.00
22/02/2010,6.86,6.89,6.79,6.89,8193689.00
23/02/2010,6.83,6.89,6.70,6.78,9525502.00
