date,open,high,low,close,vol
18/12/2009,293.14,297.35,286.81,289.18,6253525.00
21/12/2009,289.84,296.43,287.87,287.87,5352785.00
22/12/2009,291.16,293.79,276.67,285.89,10792356.00
23/12/2009,289.05,293.79,281.15,293.79,8336315.00
28/12/2009,292.61,294.98,287.87,291.03,4893746.00
29/12/2009,291.03,291.03,285.63,288.52,5047898.00
30/12/2009,287.60,297.61,284.57,296.43,9216334.00
04/01/2010,297.61,303.02,297.09,303.02,6545545.00
05/01/2010,304.33,304.33,293.00,298.80,6505046.00
06/01/2010,298.80,302.88,296.30,302.36,6921007.00
07/01/2010,299.85,314.21,297.35,313.56,11273259.00
08/01/2010,316.06,317.25,309.47,316.98,10521179.00
11/01/2010,316.19,320.93,313.56,315.14,5833800.00
12/01/2010,312.90,320.54,307.63,320.54,10317075.00
13/01/2010,322.51,325.68,316.85,320.14,6516206.00
14/01/2010,318.30,322.51,311.45,312.37,4355058.00
15/01/2010,311.05,314.87,309.74,314.87,3855642.00
18/01/2010,312.37,314.48,310.39,312.90,2937475.00
19/01/2010,309.87,309.87,303.28,306.97,11264192.00
20/01/2010,305.65,312.24,300.64,303.02,10219147.00
21/01/2010,309.34,311.58,293.93,293.93,11259410.00
22/01/2010,289.05,302.75,287.87,294.45,8000073.00
26/01/2010,293.93,305.65,288.52,305.65,7804784.00
27/01/2010,306.31,309.87,299.06,306.97,11706322.00
28/01/2010,307.63,309.60,303.02,303.81,4533684.00
29/01/2010,309.08,309.60,291.55,303.68,4323463.00
01/02/2010,308.02,308.94,296.03,308.02,3058968.00
02/02/2010,309.21,315.53,304.73,314.35,13745376.00
03/02/2010,314.61,325.94,311.71,322.78,24273712.00
04/02/2010,322.12,322.12,297.75,320.14,24863450.00
05/02/2010,312.11,324.10,303.94,324.10,14998564.00
08/02/2010,325.28,333.98,322.78,326.73,16647449.00
09/02/2010,330.02,332.00,326.86,328.05,9351130.00
10/02/2010,330.55,330.55,321.46,326.73,3254839.00
11/02/2010,326.73,328.18,322.91,328.18,5315887.00
12/02/2010,324.75,327.13,318.56,323.44,1441466.00
17/02/2010,322.78,329.37,310.53,322.78,6770839.00
18/02/2010,325.41,337.93,316.45,337.14,15883970.00
19/02/2010,337.27,341.35,333.32,339.25,10507487.00
22/02/2010,339.77,355.06,339.77,352.42,34565776.00
23/02/2010,352.95,352.95,340.30,349.13,20400539.00
24/02/2010,347.15,351.76,335.16,350.31,3691323.00
25/02/2010,346.49,348.21,338.32,344.52,11316815.00
26/02/2010,345.18,355.71,339.91,355.06,13071220.00
01/03/2010,355.06,364.81,353.61,359.01,8256260.00
02/03/2010,362.04,366.25,354.40,355.58,16906954.00
03/03/2010,355.71,357.16,347.15,352.42,5700586.00
04/03/2010,352.95,354.40,340.56,340.56,5500275.00
05/03/2010,348.86,348.86,337.27,343.99,11480234.00
08/03/2010,344.12,349.00,338.19,346.23,5248435.00
09/03/2010,343.86,354.40,341.22,350.44,17615143.00
10/03/2010,350.44,358.48,350.31,355.71,13837059.00
11/03/2010,351.76,358.35,351.76,355.58,8408395.00
12/03/2010,355.58,355.71,341.22,342.54,9718473.00
15/03/2010,341.62,341.62,327.65,333.32,12603281.00
16/03/2010,339.91,342.54,329.23,335.95,44747887.00
17/03/2010,335.95,339.77,322.38,322.38,19332634.00
18/03/2010,324.89,327.52,311.98,321.07,25366541.00
19/03/2010,323.04,327.52,312.90,317.64,16504168.00
22/03/2010,314.87,323.70,313.82,323.57,10956643.00
23/03/2010,326.07,326.07,320.80,322.51,3572453.00
24/03/2010,320.93,323.83,316.19,320.14,3255499.00
25/03/2010,322.12,322.78,316.19,321.33,13077617.00
26/03/2010,320.67,320.67,315.01,319.48,2859866.00
29/03/2010,320.28,320.28,314.08,314.87,4204544.00
30/03/2010,315.14,316.19,310.26,314.21,11649232.00
31/03/2010,314.87,314.87,310.39,313.56,8853254.00
01/04/2010,315.66,316.06,303.02,305.65,10321005.00
05/04/2010,306.97,307.10,295.38,296.82,11323735.00
06/04/2010,298.14,303.02,290.76,291.82,8663784.00
07/04/2010,294.32,302.62,292.21,302.62,9084078.00
08/04/2010,300.91,309.21,298.27,303.02,10568523.00
09/04/2010,307.50,309.47,295.90,297.61,7902333.00
12/04/2010,299.20,302.49,296.43,296.43,3185144.00
13/04/2010,297.75,305.91,292.21,301.70,6553408.00
14/04/2010,304.33,312.90,304.20,312.77,16223977.00
15/04/2010,313.69,317.51,303.94,310.66,11671000.00
16/04/2010,308.29,309.34,300.91,306.31,6562310.00
19/04/2010,304.20,304.20,295.11,296.43,8219046.00
20/04/2010,298.93,303.02,295.51,296.43,4456844.00
22/04/2010,295.24,299.06,291.29,293.40,5997032.00
23/04/2010,295.24,301.70,291.16,291.95,7979277.00
26/04/2010,292.61,296.17,288.52,291.16,7377264.00
27/04/2010,287.60,296.30,284.97,289.84,9951578.00
28/04/2010,289.84,292.87,278.25,280.62,13838717.00
29/04/2010,283.12,285.36,272.71,276.01,17983040.00
30/04/2010,276.54,285.76,274.43,283.12,75539272.00
03/05/2010,286.42,291.55,278.25,291.42,17565507.00
04/05/2010,291.03,300.38,284.57,295.77,37361859.00
05/05/2010,293.27,303.02,289.84,298.41,22532058.00
06/05/2010,298.14,300.25,276.67,292.48,14713012.00
07/05/2010,292.48,292.48,276.67,278.64,9829057.00
10/05/2010,296.43,296.56,280.88,289.97,13350797.00
