date,open,high,low,close,vol
18/12/2009,7.02,7.14,6.48,6.63,427137.00
21/12/2009,7.02,7.02,6.76,6.76,53740.00
22/12/2009,6.76,6.76,6.73,6.73,63455.00
23/12/2009,6.73,6.92,6.73,6.92,33820.00
28/12/2009,6.89,6.91,6.88,6.88,24867.00
29/12/2009,6.82,6.82,6.48,6.48,13328478.00
30/12/2009,6.66,6.66,6.49,6.63,69883.00
05/01/2010,6.63,6.76,6.38,6.73,18800.00
06/01/2010,6.73,6.73,6.66,6.66,36825.00
07/01/2010,6.75,6.75,6.75,6.75,5290.00
08/01/2010,6.73,6.73,6.63,6.63,41785.00
11/01/2010,6.66,6.66,6.57,6.57,66260.00
12/01/2010,6.57,6.63,6.41,6.63,78540.00
13/01/2010,6.45,6.51,6.41,6.51,57623.00
14/01/2010,6.59,6.60,6.59,6.60,6205.00
15/01/2010,6.60,6.69,6.60,6.65,82992.00
18/01/2010,6.66,6.71,6.63,6.63,224365.00
19/01/2010,6.76,6.89,6.76,6.86,304537.00
20/01/2010,6.86,6.89,6.51,6.51,36240.00
21/01/2010,6.89,6.89,6.70,6.76,18020.00
22/01/2010,6.70,6.87,6.65,6.66,55608.00
26/01/2010,6.76,6.88,6.76,6.88,3198.00
27/01/2010,6.89,6.89,6.86,6.89,102560.00
28/01/2010,6.89,6.89,6.82,6.84,107220.00
29/01/2010,6.89,6.95,6.86,6.95,76805.00
01/02/2010,6.95,6.96,6.89,6.95,19612.00
02/02/2010,6.94,6.95,6.93,6.94,59877.00
03/02/2010,6.95,6.95,6.89,6.89,76926.00
04/02/2010,6.89,6.89,6.79,6.79,89130.00
05/02/2010,6.82,6.89,6.82,6.89,23655.00
08/02/2010,6.94,6.95,6.94,6.95,16338.00
09/02/2010,6.94,6.95,6.89,6.95,65048.00
10/02/2010,6.95,6.95,6.88,6.94,89845.00
11/02/2010,6.92,7.14,6.92,7.08,38520.00
12/02/2010,7.14,7.14,6.95,7.02,42765.00
18/02/2010,7.02,7.11,6.89,7.11,58515.00
19/02/2010,6.92,7.08,6.86,7.08,34635.00
22/02/2010,6.89,6.95,6.82,6.95,123740.00
23/02/2010,6.95,6.96,6.79,6.96,67306.00
24/02/2010,6.96,6.96,6.96,6.96,1092.00
25/02/2010,7.08,7.08,7.08,7.08,2220.00
26/02/2010,6.95,7.00,6.82,7.00,53035.00
01/03/2010,7.00,7.00,6.95,6.95,12011.00
02/03/2010,6.95,6.95,6.92,6.92,41375.00
03/03/2010,6.92,6.95,6.89,6.95,3316765.00
04/03/2010,6.89,6.95,6.89,6.95,30330.00
05/03/2010,6.89,6.89,6.89,6.89,24840.00
08/03/2010,6.95,6.95,6.89,6.89,46670.00
09/03/2010,6.89,7.02,6.82,7.02,108645.00
10/03/2010,7.02,7.02,6.89,7.02,4380.00
11/03/2010,7.02,7.02,6.90,6.91,180973.00
12/03/2010,6.91,6.91,6.86,6.91,87094.00
15/03/2010,7.13,7.13,7.03,7.06,78200.00
16/03/2010,7.03,7.06,7.00,7.00,45457.00
17/03/2010,7.01,7.01,6.98,7.01,54063.00
18/03/2010,6.98,6.98,6.97,6.97,37670.00
19/03/2010,6.97,6.97,6.94,6.94,37545.00
22/03/2010,6.90,6.90,6.90,6.90,53250.00
23/03/2010,6.87,6.87,6.80,6.80,42150.00
24/03/2010,6.87,6.92,6.74,6.92,340180.00
25/03/2010,6.74,6.77,6.74,6.77,41700.00
26/03/2010,6.77,6.77,6.74,6.74,62600.00
29/03/2010,6.74,6.74,6.67,6.67,273150.00
30/03/2010,6.67,6.67,6.61,6.61,51200.00
31/03/2010,6.61,6.61,6.54,6.54,119580.00
01/04/2010,6.74,7.09,6.54,6.54,106604.00
05/04/2010,6.58,6.58,6.48,6.54,120545.00
06/04/2010,6.58,6.58,6.48,6.48,80250.00
07/04/2010,6.48,6.48,6.48,6.48,22000.00
08/04/2010,6.48,6.48,6.41,6.47,25948.00
09/04/2010,6.48,6.48,6.48,6.48,1000.00
12/04/2010,6.42,6.42,6.41,6.41,44570.00
13/04/2010,6.41,6.41,6.41,6.41,17820.00
14/04/2010,6.41,6.41,6.38,6.38,39500.00
15/04/2010,6.38,6.48,6.38,6.48,24715.00
16/04/2010,6.40,6.40,6.35,6.35,44249.00
19/04/2010,6.34,6.34,6.22,6.22,71583.00
20/04/2010,6.23,6.23,6.16,6.16,66910.00
22/04/2010,6.16,6.16,6.12,6.12,34070.00
23/04/2010,6.41,6.41,6.19,6.19,7745.00
26/04/2010,6.12,6.12,6.06,6.06,196620.00
28/04/2010,6.66,6.66,6.09,6.09,21120.00
29/04/2010,6.10,6.25,6.07,6.25,46548.00
30/04/2010,6.32,6.32,6.32,6.32,331520.00
04/05/2010,6.29,6.29,6.29,6.29,19400.00
06/05/2010,6.48,6.48,5.77,5.77,23864.00
07/05/2010,5.90,5.90,5.64,5.64,89871.00
10/05/2010,6.54,6.54,5.83,5.83,6510.00
11/05/2010,5.83,5.83,5.83,5.83,9000.00
12/05/2010,5.77,5.77,5.64,5.77,34460.00
13/05/2010,5.77,5.77,5.77,5.77,26700.00
14/05/2010,5.77,5.77,5.70,5.70,20370.00
17/05/2010,6.32,6.32,5.59,5.59,27723.00
18/05/2010,5.59,5.59,5.59,5.59,8630.00
19/05/2010,5.70,5.70,5.59,5.59,298520.00
20/05/2010,5.58,5.58,5.58,5.58,861.00
21/05/2010,5.58,5.67,5.58,5.67,52080.00
24/05/2010,5.64,5.64,5.64,5.64,4350.00
25/05/2010,5.83,5.83,5.51,5.51,9850.00
26/05/2010,5.51,5.51,5.51,5.51,8500.00
27/05/2010,5.51,5.51,5.51,5.51,16150.00
28/05/2010,5.51,5.51,5.51,5.51,850.00
