date,open,high,low,close,vol
18/12/2009,1.78,1.78,1.74,1.75,3117197.00
21/12/2009,1.78,1.78,1.74,1.74,475298.00
22/12/2009,1.78,1.78,1.75,1.75,2454602.00
23/12/2009,1.78,1.78,1.75,1.78,3192642.00
28/12/2009,1.79,1.79,1.75,1.76,987945.00
29/12/2009,1.79,1.79,1.76,1.78,1039458.00
30/12/2009,1.78,1.85,1.77,1.85,1480527.00
04/01/2010,1.82,1.88,1.82,1.82,12070488.00
05/01/2010,1.85,1.85,1.79,1.83,12494092.00
06/01/2010,1.84,1.84,1.81,1.81,7583832.00
07/01/2010,1.82,1.82,1.79,1.79,2890220.00
08/01/2010,1.80,1.82,1.78,1.82,8972098.00
11/01/2010,1.83,1.83,1.80,1.81,4900910.00
12/01/2010,1.82,1.82,1.78,1.80,5460002.00
13/01/2010,1.82,1.82,1.78,1.78,3708154.00
14/01/2010,1.78,1.79,1.73,1.73,3985639.00
15/01/2010,1.73,1.76,1.70,1.72,5595460.00
18/01/2010,1.73,1.74,1.72,1.73,4309246.00
19/01/2010,1.74,1.74,1.73,1.73,10054247.00
20/01/2010,1.74,1.74,1.68,1.72,11351363.00
21/01/2010,1.71,1.73,1.66,1.69,15712175.00
22/01/2010,1.69,1.71,1.68,1.70,14620690.00
26/01/2010,1.67,1.76,1.67,1.71,6071177.00
27/01/2010,1.74,1.74,1.70,1.74,1059642.00
28/01/2010,1.75,1.76,1.69,1.71,4862875.00
29/01/2010,1.72,1.74,1.71,1.74,12183472.00
01/02/2010,1.75,1.77,1.73,1.75,8284552.00
02/02/2010,1.76,1.77,1.75,1.77,3462639.00
03/02/2010,1.77,1.78,1.75,1.77,1685041.00
04/02/2010,1.78,1.78,1.73,1.75,1590505.00
05/02/2010,1.73,1.74,1.72,1.74,3660847.00
08/02/2010,1.75,1.76,1.74,1.76,403701.00
09/02/2010,1.76,1.78,1.76,1.76,3218582.00
10/02/2010,1.78,1.78,1.77,1.78,3663849.00
11/02/2010,1.78,1.78,1.76,1.78,1872585.00
12/02/2010,1.76,1.78,1.76,1.78,916133.00
17/02/2010,1.79,1.80,1.76,1.78,4238074.00
18/02/2010,1.79,1.80,1.78,1.80,4075211.00
19/02/2010,1.78,1.80,1.78,1.79,253638.00
22/02/2010,1.80,1.80,1.78,1.79,4073209.00
23/02/2010,1.79,1.79,1.77,1.78,4434421.00
24/02/2010,1.78,1.81,1.77,1.78,3342744.00
25/02/2010,1.77,1.79,1.76,1.78,2435355.00
26/02/2010,1.79,1.80,1.78,1.80,1210600.00
01/03/2010,1.79,1.81,1.79,1.81,1693381.00
02/03/2010,1.82,1.82,1.81,1.81,1192684.00
03/03/2010,1.82,1.82,1.78,1.81,1142665.00
04/03/2010,1.82,1.82,1.78,1.79,818739.00
05/03/2010,1.82,1.82,1.79,1.79,726421.00
08/03/2010,1.79,1.79,1.77,1.77,2362683.00
09/03/2010,1.77,1.78,1.76,1.77,3078034.00
10/03/2010,1.78,1.78,1.75,1.76,1373927.00
11/03/2010,1.76,1.76,1.74,1.76,2998212.00
12/03/2010,1.76,1.76,1.72,1.73,19392402.00
15/03/2010,1.73,1.73,1.72,1.72,5449728.00
16/03/2010,1.76,1.76,1.72,1.73,1113543.00
17/03/2010,1.74,1.74,1.72,1.73,1216362.00
18/03/2010,1.74,1.74,1.72,1.72,879747.00
19/03/2010,1.74,1.74,1.71,1.71,5794482.00
22/03/2010,1.71,1.71,1.69,1.70,2737028.00
23/03/2010,1.74,1.74,1.70,1.72,2295788.00
24/03/2010,1.73,1.73,1.71,1.71,3150861.00
25/03/2010,1.73,1.74,1.71,1.72,9160909.00
26/03/2010,1.73,1.73,1.70,1.71,3765699.00
29/03/2010,1.69,1.69,1.62,1.62,9823197.00
30/03/2010,1.63,1.64,1.62,1.62,4582481.00
31/03/2010,1.62,1.62,1.59,1.60,5607683.00
01/04/2010,1.60,1.61,1.58,1.59,2900281.00
05/04/2010,1.59,1.60,1.57,1.58,2198534.00
06/04/2010,1.59,1.59,1.54,1.56,11054629.00
07/04/2010,1.55,1.55,1.53,1.54,17506777.00
08/04/2010,1.54,1.60,1.54,1.59,3149722.00
09/04/2010,1.59,1.59,1.57,1.58,7199714.00
