date,open,high,low,close,vol
18/12/2009,6.06,6.29,6.02,6.29,7529625.00
21/12/2009,6.29,6.42,6.21,6.21,1101781.00
22/12/2009,6.15,6.28,6.09,6.22,1276733.00
23/12/2009,6.25,6.25,6.06,6.20,931828.00
28/12/2009,6.17,6.35,6.13,6.35,740151.00
29/12/2009,6.36,6.36,6.27,6.32,1614476.00
30/12/2009,6.32,6.55,6.29,6.55,3251024.00
04/01/2010,6.51,6.51,6.21,6.36,1475431.00
05/01/2010,6.36,6.57,6.15,6.23,3974161.00
06/01/2010,6.26,6.32,6.12,6.16,2383565.00
07/01/2010,6.17,6.29,6.00,6.07,2306130.00
08/01/2010,6.10,6.10,5.86,5.96,3253952.00
11/01/2010,6.02,6.12,5.83,5.85,2775488.00
12/01/2010,5.90,5.93,5.83,5.88,3566235.00
13/01/2010,6.20,6.35,6.14,6.32,8296469.00
14/01/2010,6.35,6.36,6.25,6.26,3126761.00
15/01/2010,6.28,6.28,6.10,6.18,1145811.00
18/01/2010,6.20,6.22,5.94,6.07,2687062.00
19/01/2010,6.10,6.25,6.00,6.22,3054737.00
20/01/2010,6.21,6.22,6.02,6.15,2016593.00
21/01/2010,6.06,6.23,5.86,5.86,2148927.00
22/01/2010,5.83,5.96,5.60,5.92,1952819.00
26/01/2010,5.83,5.96,5.73,5.82,2824670.00
27/01/2010,5.86,5.86,5.74,5.76,1871690.00
28/01/2010,5.83,5.90,5.53,5.75,3419000.00
29/01/2010,5.86,5.89,5.76,5.79,1677584.00
01/02/2010,5.86,5.86,5.75,5.75,1442793.00
02/02/2010,5.81,5.81,5.65,5.67,5384431.00
03/02/2010,5.70,5.70,5.56,5.60,3391018.00
04/02/2010,5.60,5.62,5.25,5.29,2069229.00
05/02/2010,5.14,5.14,4.75,4.94,3880252.00
08/02/2010,5.10,5.18,4.94,5.14,2711608.00
09/02/2010,5.21,5.52,5.21,5.43,2907843.00
10/02/2010,5.50,5.56,5.46,5.52,1562107.00
11/02/2010,5.56,5.58,5.37,5.47,883337.00
12/02/2010,5.56,5.56,5.40,5.40,691919.00
17/02/2010,5.44,5.52,5.43,5.50,781750.00
18/02/2010,5.52,5.53,5.46,5.53,1113556.00
19/02/2010,5.40,5.60,5.38,5.55,1070229.00
22/02/2010,5.55,5.57,5.52,5.52,764364.00
23/02/2010,5.53,5.56,5.41,5.56,1934195.00
24/02/2010,5.54,5.65,5.49,5.52,1035294.00
25/02/2010,5.44,5.55,5.38,5.55,1407316.00
26/02/2010,5.56,5.75,5.49,5.75,1691439.00
01/03/2010,5.74,5.89,5.74,5.85,1852003.00
02/03/2010,5.90,6.06,5.66,5.67,1893162.00
03/03/2010,5.68,5.76,5.60,5.63,910604.00
04/03/2010,5.63,5.67,5.46,5.59,1294576.00
05/03/2010,5.57,5.67,5.54,5.62,624771.00
08/03/2010,5.62,5.66,5.53,5.58,631102.00
09/03/2010,5.52,5.67,5.51,5.59,2032178.00
10/03/2010,5.48,5.48,5.28,5.37,5310708.00
11/03/2010,5.37,5.40,5.33,5.36,2454428.00
12/03/2010,5.37,5.37,5.32,5.33,1086197.00
15/03/2010,5.30,5.30,5.16,5.21,1031686.00
16/03/2010,5.21,5.21,5.04,5.13,4372865.00
17/03/2010,5.21,5.21,5.14,5.17,851312.00
18/03/2010,5.17,5.21,5.12,5.20,1338221.00
19/03/2010,5.21,5.28,5.13,5.20,1619771.00
22/03/2010,5.15,5.46,5.12,5.46,2110613.00
23/03/2010,5.46,5.46,5.26,5.37,1045818.00
24/03/2010,5.42,5.42,5.24,5.31,868122.00
25/03/2010,5.34,5.34,5.18,5.20,1650589.00
26/03/2010,5.19,5.35,5.06,5.08,1488255.00
29/03/2010,5.11,5.21,5.00,5.04,1369669.00
30/03/2010,5.24,5.24,5.01,5.06,669556.00
31/03/2010,5.12,5.12,4.96,5.06,898918.00
01/04/2010,5.28,5.28,5.06,5.17,2059510.00
05/04/2010,5.17,5.31,5.17,5.27,3203162.00
06/04/2010,5.30,5.31,5.14,5.24,1016522.00
07/04/2010,5.17,5.20,5.14,5.14,798153.00
08/04/2010,5.14,5.16,4.99,5.16,3145384.00
09/04/2010,5.17,5.20,5.08,5.14,3373226.00
12/04/2010,5.22,5.26,5.03,5.03,2627605.00
13/04/2010,5.09,5.10,4.86,4.88,4801698.00
14/04/2010,4.88,5.06,4.80,4.93,16216650.00
15/04/2010,4.95,4.95,4.86,4.95,11023819.00
16/04/2010,4.92,4.99,4.81,4.93,48853846.00
19/04/2010,4.80,4.86,4.74,4.80,23847960.00
20/04/2010,4.84,4.89,4.74,4.75,21336771.00
22/04/2010,4.73,4.80,4.62,4.78,34069393.00
23/04/2010,4.79,4.80,4.73,4.78,7734733.00
26/04/2010,4.80,4.80,4.72,4.72,6447756.00
27/04/2010,4.70,4.72,4.61,4.70,9860403.00
28/04/2010,4.71,4.74,4.65,4.68,14218889.00
29/04/2010,4.68,4.73,4.68,4.72,6495887.00
30/04/2010,4.69,4.80,4.69,4.77,6171106.00
03/05/2010,4.77,4.95,4.73,4.92,19514170.00
04/05/2010,4.99,5.03,4.70,4.73,15837736.00
05/05/2010,4.72,4.72,4.51,4.63,7534756.00
06/05/2010,4.70,4.72,3.98,4.40,6177515.00
07/05/2010,4.36,4.48,4.16,4.40,4517305.00
10/05/2010,4.50,4.72,4.50,4.71,2096804.00
11/05/2010,4.70,4.95,4.69,4.88,5512596.00
12/05/2010,4.90,4.99,4.81,4.99,6402244.00
13/05/2010,4.95,4.99,4.80,4.86,5243200.00
14/05/2010,4.79,4.79,4.65,4.79,2890942.00
17/05/2010,4.72,4.78,4.57,4.74,2911061.00
18/05/2010,4.80,4.80,4.50,4.52,7696871.00
19/05/2010,4.43,4.45,4.29,4.37,4941870.00
20/05/2010,4.33,4.60,4.10,4.56,11915819.00
21/05/2010,4.55,4.69,4.43,4.62,6183117.00
24/05/2010,4.59,4.64,4.46,4.55,3021186.00
25/05/2010,4.33,4.56,4.28,4.56,3990385.00
26/05/2010,4.51,4.72,4.49,4.55,3939334.00
27/05/2010,4.63,4.86,4.62,4.81,4259507.00
28/05/2010,4.88,5.06,4.78,5.06,10791356.00
31/05/2010,5.08,5.22,5.06,5.19,2749343.00
01/06/2010,5.03,5.26,5.03,5.18,4316827.00
02/06/2010,5.15,5.47,5.15,5.43,3837327.00
04/06/2010,5.36,5.47,5.17,5.42,5980337.00
07/06/2010,5.43,5.50,5.31,5.35,5396173.00
08/06/2010,5.35,5.47,5.30,5.45,6159226.00
09/06/2010,5.47,5.50,5.24,5.31,5950245.00
10/06/2010,5.37,5.38,5.28,5.31,3072135.00
11/06/2010,5.25,5.31,5.17,5.25,6102412.00
14/06/2010,5.29,5.43,5.26,5.29,2624952.00
15/06/2010,5.39,5.51,5.38,5.50,4267388.00
16/06/2010,5.46,5.73,5.31,5.62,5413565.00
17/06/2010,5.63,5.74,5.51,5.66,4545601.00
18/06/2010,5.66,5.66,5.43,5.66,5449752.00
21/06/2010,5.66,5.72,5.60,5.64,9362180.00
22/06/2010,5.52,5.76,5.51,5.66,10982567.00
23/06/2010,5.72,5.72,5.58,5.72,5011505.00
24/06/2010,5.64,5.68,5.52,5.56,1822987.00
25/06/2010,5.58,5.62,5.50,5.60,1375891.00
28/06/2010,5.61,5.64,5.47,5.64,3796099.00
29/06/2010,5.56,5.56,5.27,5.38,8107990.00
30/06/2010,5.25,5.42,5.12,5.28,5870520.00
01/07/2010,5.35,5.35,5.05,5.30,8477805.00
02/07/2010,5.26,5.40,5.18,5.40,19470415.00
05/07/2010,5.35,5.38,5.29,5.35,864672.00
06/07/2010,5.39,5.47,5.37,5.43,1269492.00
07/07/2010,5.40,5.65,5.35,5.62,3703528.00
08/07/2010,5.55,5.80,5.55,5.80,6361763.00
12/07/2010,5.85,5.90,5.78,5.90,3985030.00
13/07/2010,5.94,6.17,5.94,6.16,10258208.00
14/07/2010,6.08,6.46,6.06,6.18,8806930.00
15/07/2010,6.19,6.36,6.02,6.21,8110088.00
16/07/2010,6.21,6.23,6.06,6.14,6413292.00
19/07/2010,6.17,6.24,6.10,6.15,3383727.00
20/07/2010,6.10,6.21,5.91,5.96,4087518.00
21/07/2010,5.98,6.17,5.98,6.13,8048790.00
22/07/2010,6.17,6.25,6.16,6.23,7479969.00
23/07/2010,6.17,6.25,6.16,6.25,5146624.00
26/07/2010,6.28,6.35,6.22,6.28,2808111.00
27/07/2010,6.29,6.35,6.16,6.20,10083017.00
28/07/2010,6.19,6.32,6.15,6.15,3677128.00
29/07/2010,6.28,6.33,6.17,6.29,3794245.00
30/07/2010,6.36,6.55,6.26,6.44,4859509.00
02/08/2010,6.52,6.60,6.42,6.47,13343989.00
03/08/2010,6.45,6.47,6.25,6.25,5765928.00
04/08/2010,6.22,6.29,6.02,6.14,7710341.00
05/08/2010,6.13,6.29,6.12,6.13,3304716.00
06/08/2010,6.21,6.21,6.05,6.09,3696687.00
09/08/2010,6.18,6.18,6.02,6.13,5136302.00
10/08/2010,6.13,6.27,6.13,6.17,3544644.00
11/08/2010,6.20,6.20,6.02,6.12,4350981.00
12/08/2010,6.13,6.13,6.04,6.09,1863511.00
13/08/2010,6.13,6.13,6.07,6.13,1595209.00
16/08/2010,6.17,6.17,6.07,6.12,3152493.00
17/08/2010,6.07,6.24,6.07,6.21,10682114.00
18/08/2010,6.24,6.24,6.11,6.16,6112277.00
19/08/2010,6.21,6.24,6.10,6.24,3471968.00
20/08/2010,6.18,6.24,6.12,6.21,2872004.00
23/08/2010,6.25,6.36,6.25,6.36,3462071.00
24/08/2010,6.28,6.39,6.22,6.36,3775088.00
25/08/2010,6.29,6.41,6.19,6.37,7641159.00
26/08/2010,6.30,6.41,6.23,6.29,15238530.00
27/08/2010,6.29,6.68,6.29,6.55,10974638.00
30/08/2010,6.53,6.55,6.45,6.48,4159481.00
31/08/2010,6.49,6.57,6.41,6.48,5046943.00
01/09/2010,6.61,6.61,6.46,6.58,3459479.00
02/09/2010,6.58,6.58,6.46,6.49,3436583.00
03/09/2010,6.50,6.57,6.45,6.57,7475498.00
06/09/2010,6.60,6.61,6.47,6.60,3128655.00
08/09/2010,6.46,6.59,6.46,6.57,3574064.00
09/09/2010,6.56,6.65,6.54,6.59,4680244.00
10/09/2010,6.60,6.66,6.48,6.53,6583847.00
13/09/2010,6.54,6.64,6.48,6.63,7578524.00
14/09/2010,6.58,7.05,6.58,7.00,12131985.00
15/09/2010,7.00,7.00,6.80,6.88,12627273.00
16/09/2010,6.87,6.99,6.80,6.87,10608727.00
17/09/2010,6.94,7.02,6.78,6.86,8746813.00
20/09/2010,6.87,6.92,6.84,6.84,4997781.00
21/09/2010,6.88,6.89,6.78,6.88,5363024.00
22/09/2010,6.87,6.91,6.81,6.86,3711040.00
23/09/2010,6.85,6.96,6.83,6.88,8624383.00
24/09/2010,6.87,6.90,6.80,6.84,23794921.00
27/09/2010,6.84,6.88,6.65,6.78,7150227.00
28/09/2010,6.75,6.88,6.70,6.88,4858229.00
29/09/2010,6.88,6.94,6.68,6.74,8083782.00
30/09/2010,6.75,6.94,6.69,6.94,9259992.00
01/10/2010,6.93,7.31,6.87,7.29,42858258.00
04/10/2010,7.31,7.47,7.23,7.30,28351233.00
05/10/2010,7.42,7.42,7.18,7.27,27061603.00
06/10/2010,7.27,7.35,7.24,7.35,12014047.00
