date,open,high,low,close,vol
18/12/2009,3.74,3.74,3.62,3.64,4199127.00
21/12/2009,3.65,3.83,3.65,3.79,2250839.00
22/12/2009,3.80,3.87,3.78,3.87,2975574.00
23/12/2009,3.87,3.88,3.81,3.81,738569.00
28/12/2009,3.87,3.92,3.85,3.85,1049005.00
29/12/2009,3.84,3.87,3.83,3.85,1324943.00
30/12/2009,3.86,3.92,3.81,3.92,2182175.00
04/01/2010,3.94,4.01,3.93,3.99,1658883.00
05/01/2010,4.01,4.10,3.99,4.07,5538259.00
06/01/2010,4.10,4.10,3.98,4.04,4116928.00
07/01/2010,4.07,4.09,4.01,4.03,1020319.00
08/01/2010,4.07,4.08,3.99,4.06,4508145.00
11/01/2010,4.06,4.08,3.99,4.06,2770926.00
12/01/2010,4.06,4.06,4.01,4.06,1944169.00
13/01/2010,4.10,4.18,4.03,4.04,3460697.00
14/01/2010,4.15,4.15,4.03,4.04,1495883.00
15/01/2010,4.06,4.06,3.97,4.00,3593315.00
18/01/2010,4.04,4.04,3.92,4.00,1813229.00
19/01/2010,4.00,4.02,3.95,3.97,1556846.00
20/01/2010,3.92,3.98,3.83,3.85,1727911.00
21/01/2010,3.92,3.92,3.74,3.79,2214111.00
22/01/2010,3.74,3.84,3.66,3.76,2038529.00
26/01/2010,3.78,3.85,3.69,3.79,1714306.00
27/01/2010,3.78,3.83,3.70,3.77,1337805.00
28/01/2010,3.87,3.87,3.70,3.71,1631339.00
29/01/2010,3.76,3.86,3.74,3.76,2115202.00
01/02/2010,3.76,3.93,3.73,3.92,1615924.00
02/02/2010,3.94,3.99,3.86,3.86,910986.00
03/02/2010,3.86,3.91,3.83,3.85,373470.00
04/02/2010,3.80,3.81,3.62,3.69,2713961.00
05/02/2010,3.62,3.65,3.41,3.64,2465895.00
08/02/2010,3.74,3.74,3.62,3.66,939856.00
09/02/2010,3.68,3.80,3.66,3.77,819939.00
10/02/2010,3.82,3.86,3.78,3.85,948490.00
