date,open,high,low,close,vol
18/12/2009,6.73,6.74,6.44,6.44,22820466.00
21/12/2009,6.46,6.46,6.18,6.28,19478805.00
22/12/2009,6.35,6.36,6.23,6.32,9798615.00
23/12/2009,6.28,6.39,6.24,6.32,1796829.00
28/12/2009,6.30,6.49,6.28,6.46,4966995.00
29/12/2009,6.39,6.63,6.39,6.57,14791063.00
30/12/2009,6.57,6.71,6.55,6.71,5391264.00
04/01/2010,6.57,6.75,6.57,6.61,4225293.00
05/01/2010,6.64,6.75,6.52,6.57,2483635.00
06/01/2010,6.57,6.92,6.57,6.81,7031466.00
07/01/2010,6.76,6.84,6.61,6.83,7016923.00
08/01/2010,6.69,7.26,6.69,6.97,20280173.00
11/01/2010,7.02,7.11,6.93,7.03,2764946.00
12/01/2010,7.03,7.48,7.02,7.16,7023678.00
13/01/2010,7.16,7.17,7.01,7.17,3047519.00
14/01/2010,7.18,7.47,7.18,7.30,765763.00
15/01/2010,7.32,7.36,7.20,7.20,2666764.00
18/01/2010,7.36,7.36,7.24,7.25,1031922.00
19/01/2010,7.28,7.36,7.24,7.30,1452295.00
20/01/2010,7.30,7.33,7.20,7.21,21386520.00
21/01/2010,7.13,7.30,7.08,7.16,1772358.00
22/01/2010,7.15,7.16,7.08,7.12,6906072.00
26/01/2010,7.12,7.19,7.08,7.08,8378655.00
27/01/2010,7.12,7.12,6.94,7.07,572835.00
28/01/2010,6.99,7.14,6.99,7.12,340731.00
29/01/2010,7.14,7.36,7.11,7.11,3166110.00
01/02/2010,7.11,7.11,6.99,7.01,1340410.00
02/02/2010,6.99,6.99,6.90,6.90,2897977.00
03/02/2010,6.98,7.01,6.88,6.90,591324.00
04/02/2010,6.90,6.97,6.49,6.55,3913039.00
05/02/2010,6.55,6.67,6.28,6.46,3511858.00
08/02/2010,6.48,6.94,6.35,6.53,3900806.00
09/02/2010,6.60,6.81,6.57,6.75,2974180.00
10/02/2010,6.75,7.01,6.75,6.91,4518693.00
11/02/2010,6.92,7.07,6.85,6.85,2985509.00
12/02/2010,6.96,7.00,6.75,6.75,316585.00
17/02/2010,6.99,7.00,6.90,6.94,2343470.00
18/02/2010,6.84,7.30,6.74,7.26,2071136.00
19/02/2010,7.15,7.28,7.15,7.27,3796229.00
22/02/2010,7.12,7.36,7.11,7.21,9915150.00
23/02/2010,7.16,7.24,6.96,7.05,10177088.00
24/02/2010,7.01,7.26,7.01,7.17,554570.00
25/02/2010,7.16,7.16,6.94,7.03,5892997.00
26/02/2010,7.00,7.30,6.98,7.30,321987.00
01/03/2010,7.33,7.34,7.02,7.02,11105450.00
02/03/2010,7.05,7.24,6.90,6.92,1239204.00
03/03/2010,7.12,7.12,6.92,6.94,2009830.00
04/03/2010,7.01,7.06,6.94,6.94,319259.00
05/03/2010,7.04,7.05,6.94,7.03,1117774.00
08/03/2010,7.04,7.10,6.96,7.01,833096.00
09/03/2010,7.07,7.07,6.94,6.95,578439.00
10/03/2010,6.95,7.16,6.92,6.92,4752569.00
11/03/2010,6.88,6.94,6.77,6.94,1518248.00
12/03/2010,6.76,7.02,6.76,6.94,858291.00
15/03/2010,6.75,7.08,6.75,7.01,1925922.00
16/03/2010,6.94,7.29,6.87,6.97,5243027.00
17/03/2010,7.04,7.24,7.04,7.13,2052862.00
18/03/2010,7.06,7.28,7.06,7.23,3793487.00
19/03/2010,7.23,7.23,6.95,7.17,10488169.00
22/03/2010,7.18,7.19,6.97,7.19,579852.00
23/03/2010,7.11,7.28,7.11,7.21,6044426.00
24/03/2010,7.20,7.23,7.05,7.05,2501538.00
25/03/2010,7.12,7.19,7.06,7.14,471795.00
26/03/2010,7.02,7.15,7.02,7.10,473283.00
29/03/2010,7.05,7.17,7.02,7.05,3086558.00
30/03/2010,7.15,7.26,7.05,7.09,1271769.00
31/03/2010,7.22,7.22,6.94,6.94,12074618.00
01/04/2010,6.94,7.10,6.68,6.68,2405641.00
05/04/2010,6.75,6.75,6.50,6.50,5241084.00
06/04/2010,6.57,6.57,6.35,6.35,10487729.00
07/04/2010,6.43,6.50,6.15,6.24,7830603.00
08/04/2010,6.21,6.51,6.17,6.43,3779580.00
09/04/2010,6.50,6.55,6.46,6.53,4386494.00
12/04/2010,6.53,6.57,6.46,6.57,5717973.00
13/04/2010,6.57,6.58,6.45,6.58,9504006.00
14/04/2010,6.59,6.65,6.40,6.57,5675224.00
15/04/2010,6.62,6.62,6.42,6.50,635005.00
16/04/2010,6.55,6.59,6.41,6.50,6251548.00
19/04/2010,6.49,6.59,6.46,6.46,911478.00
20/04/2010,6.40,6.63,6.40,6.57,5868248.00
22/04/2010,6.53,6.57,6.46,6.53,8474339.00
23/04/2010,6.57,6.66,6.36,6.57,4547496.00
26/04/2010,6.57,6.63,6.48,6.57,2341549.00
27/04/2010,6.40,6.59,6.38,6.39,2264845.00
28/04/2010,6.46,6.55,6.39,6.39,769962.00
29/04/2010,6.51,6.55,6.44,6.46,684472.00
30/04/2010,6.36,6.66,6.24,6.47,2273322.00
03/05/2010,6.66,6.66,6.48,6.63,1618092.00
04/05/2010,6.58,6.68,6.48,6.50,2310092.00
05/05/2010,6.47,6.48,6.33,6.42,902687.00
06/05/2010,6.39,6.60,6.21,6.28,1398491.00
07/05/2010,6.24,6.59,6.19,6.19,7296194.00
10/05/2010,6.38,6.58,6.06,6.15,1574038.00
11/05/2010,6.17,6.35,6.06,6.19,1527018.00
12/05/2010,6.21,6.61,6.15,6.26,1438303.00
13/05/2010,6.27,6.53,6.27,6.46,2946608.00
14/05/2010,6.39,6.53,6.39,6.39,13605394.00
17/05/2010,6.38,6.49,6.12,6.30,1458659.00
18/05/2010,6.30,6.49,6.22,6.24,985685.00
19/05/2010,6.24,6.39,6.15,6.21,3259188.00
20/05/2010,6.06,6.21,6.06,6.10,7209459.00
21/05/2010,6.02,6.21,6.02,6.06,2259949.00
24/05/2010,6.18,6.19,6.03,6.03,331173.00
25/05/2010,6.03,6.15,5.84,6.02,892339.00
26/05/2010,6.19,6.21,6.10,6.21,2589733.00
27/05/2010,6.20,6.26,6.14,6.26,8468706.00
28/05/2010,6.28,6.56,6.23,6.51,1093057.00
31/05/2010,6.56,6.57,6.46,6.50,320533.00
01/06/2010,6.56,6.56,6.39,6.39,125539.00
02/06/2010,6.39,6.56,6.39,6.42,1311481.00
04/06/2010,6.31,6.55,6.30,6.55,2546532.00
07/06/2010,6.56,6.78,6.53,6.72,2681943.00
08/06/2010,6.72,7.24,6.72,6.94,3408081.00
09/06/2010,6.92,6.94,6.66,6.66,276006.00
10/06/2010,6.66,6.86,6.66,6.81,561007.00
11/06/2010,6.69,6.83,6.69,6.75,4619141.00
14/06/2010,6.84,6.84,6.64,6.64,501070.00
15/06/2010,6.79,6.84,6.66,6.67,352238.00
16/06/2010,6.68,6.82,6.52,6.61,1045491.00
17/06/2010,6.51,6.80,6.51,6.68,915990.00
18/06/2010,6.73,6.77,6.70,6.70,367526.00
21/06/2010,6.70,6.92,6.53,6.75,1696708.00
22/06/2010,6.91,6.92,6.75,6.86,482205.00
23/06/2010,6.84,7.01,6.76,6.94,1007245.00
24/06/2010,6.97,6.99,6.90,6.94,267709.00
25/06/2010,6.93,7.10,6.93,7.01,184379.00
28/06/2010,7.02,7.19,7.01,7.12,1199626.00
29/06/2010,6.94,7.12,6.94,7.12,1148234.00
30/06/2010,7.10,7.30,7.07,7.30,2868604.00
01/07/2010,7.28,7.30,7.16,7.28,2461561.00
02/07/2010,7.27,7.32,7.27,7.27,1409131.00
05/07/2010,7.30,7.39,7.30,7.30,202147.00
06/07/2010,7.30,7.59,7.30,7.37,978010.00
07/07/2010,7.30,7.66,7.30,7.60,1437603.00
08/07/2010,7.63,7.85,7.63,7.81,4397116.00
12/07/2010,7.81,7.81,7.36,7.37,6130366.00
13/07/2010,7.59,7.63,7.32,7.48,935057.00
14/07/2010,7.31,7.34,7.28,7.30,1442441.00
15/07/2010,7.37,7.41,7.28,7.30,585705.00
16/07/2010,7.32,7.34,7.21,7.30,1775806.00
19/07/2010,7.48,7.56,7.30,7.30,446446.00
20/07/2010,7.31,7.43,7.12,7.30,13221741.00
21/07/2010,7.30,7.40,7.24,7.24,1588428.00
22/07/2010,7.32,7.55,7.30,7.37,7215831.00
23/07/2010,7.39,7.53,7.30,7.31,363885.00
26/07/2010,7.48,7.48,7.30,7.32,94836.00
27/07/2010,7.45,7.45,7.30,7.35,1809489.00
28/07/2010,7.35,7.47,7.12,7.25,885598.00
29/07/2010,7.40,7.46,7.30,7.32,1368649.00
30/07/2010,7.27,7.48,7.25,7.45,1407932.00
02/08/2010,7.37,7.45,7.36,7.36,1697356.00
03/08/2010,7.37,7.41,7.34,7.37,484839.00
04/08/2010,7.36,7.44,7.26,7.26,88012.00
05/08/2010,7.39,7.52,7.39,7.39,830258.00
06/08/2010,7.38,7.66,7.31,7.31,271280.00
09/08/2010,7.40,7.66,7.29,7.45,1215099.00
10/08/2010,7.55,7.67,7.37,7.38,467023.00
11/08/2010,7.48,7.49,7.34,7.35,169029.00
12/08/2010,7.45,7.73,7.45,7.49,343088.00
13/08/2010,7.53,7.90,7.50,7.51,2594254.00
16/08/2010,7.36,7.62,7.35,7.39,824372.00
17/08/2010,7.40,7.56,7.40,7.48,1763151.00
18/08/2010,7.60,7.83,7.58,7.75,474347.00
19/08/2010,7.94,8.51,7.75,8.51,1644210.00
20/08/2010,8.54,8.54,7.97,8.19,1301570.00
23/08/2010,8.19,8.27,7.98,8.01,4695101.00
24/08/2010,8.22,8.22,7.62,7.62,305820.00
25/08/2010,7.63,8.03,7.52,7.94,12192221.00
26/08/2010,7.93,8.12,7.72,7.97,396713.00
27/08/2010,8.04,8.04,7.78,7.97,850379.00
30/08/2010,8.04,8.04,7.72,7.75,3218719.00
31/08/2010,7.72,8.07,7.72,7.94,1448611.00
01/09/2010,8.07,8.19,7.84,7.96,1847456.00
