date,open,high,low,close,vol
18/12/2009,85.99,86.95,84.93,85.50,35877457.00
21/12/2009,87.11,87.87,84.90,85.02,25618067.00
22/12/2009,86.18,87.55,84.54,86.95,66981961.00
23/12/2009,87.71,88.39,86.95,87.30,30593995.00
28/12/2009,87.75,88.07,86.95,87.39,26171084.00
29/12/2009,87.91,88.07,86.95,87.39,19385365.00
30/12/2009,87.11,90.44,86.91,90.44,52924813.00
04/01/2010,90.79,90.79,88.32,89.03,43778094.00
05/01/2010,89.67,89.99,86.72,87.59,47120553.00
06/01/2010,87.43,88.87,86.95,87.71,56558009.00
07/01/2010,87.27,88.07,86.15,86.15,48481313.00
08/01/2010,86.50,86.79,84.22,84.22,46565544.00
11/01/2010,86.43,86.59,82.69,83.74,49638180.00
12/01/2010,83.26,85.60,82.62,85.44,58750731.00
13/01/2010,86.08,86.27,83.90,84.22,35339634.00
14/01/2010,84.54,86.66,83.33,83.65,51747630.00
15/01/2010,83.46,84.77,82.85,84.77,29838595.00
18/01/2010,84.96,86.05,83.65,83.94,24891376.00
19/01/2010,83.90,85.06,83.33,84.54,24527365.00
20/01/2010,83.26,83.39,80.09,81.28,44658617.00
21/01/2010,81.18,82.30,77.82,77.82,41350734.00
22/01/2010,76.99,80.80,76.28,79.42,36246679.00
26/01/2010,77.69,80.16,76.51,79.42,38805548.00
27/01/2010,79.10,80.93,77.72,77.82,39871795.00
28/01/2010,79.74,80.13,77.24,78.94,28876723.00
29/01/2010,79.71,80.06,77.56,78.04,26410878.00
01/02/2010,78.17,81.21,77.85,80.86,26166536.00
02/02/2010,81.66,83.26,81.02,83.26,29024698.00
03/02/2010,83.10,83.23,81.34,83.20,19265368.00
04/02/2010,82.27,82.53,77.63,77.63,45517620.00
05/02/2010,75.23,77.11,73.11,74.33,70521912.00
08/02/2010,75.23,78.49,74.33,77.47,49187055.00
09/02/2010,77.82,80.80,76.22,80.80,93040951.00
10/02/2010,81.02,84.61,79.80,84.54,87881685.00
11/02/2010,84.35,87.11,83.62,86.63,77663641.00
12/02/2010,86.08,86.47,83.90,85.18,24413621.00
17/02/2010,88.00,89.32,86.66,87.81,40005899.00
