date,open,high,low,close,vol
18/12/2009,24.08,24.10,23.50,23.80,116594104.00
21/12/2009,24.21,24.21,23.27,23.27,114148635.00
22/12/2009,23.70,24.44,23.62,24.44,174948264.00
23/12/2009,24.58,24.80,24.37,24.54,79566095.00
28/12/2009,24.78,25.02,24.54,24.61,50545518.00
29/12/2009,24.73,24.90,24.65,24.74,47338972.00
30/12/2009,24.64,24.65,24.49,24.60,77274294.00
04/01/2010,24.73,25.15,24.72,24.99,83657571.00
05/01/2010,25.10,25.47,25.03,25.41,134164315.00
06/01/2010,25.29,25.64,25.20,25.58,135502147.00
07/01/2010,25.41,25.64,24.92,25.00,169893137.00
08/01/2010,25.09,25.22,24.77,24.93,125960751.00
11/01/2010,25.15,25.31,24.90,24.95,116658366.00
12/01/2010,24.66,25.09,24.49,24.77,134459761.00
13/01/2010,24.99,25.11,24.66,24.89,124306019.00
14/01/2010,24.90,25.26,24.77,24.87,105156305.00
15/01/2010,24.60,24.85,24.06,24.35,137923349.00
18/01/2010,24.69,24.69,24.23,24.23,55575031.00
19/01/2010,24.07,24.39,24.04,24.15,105146620.00
20/01/2010,24.09,24.10,23.06,23.30,192394013.00
21/01/2010,23.47,23.54,22.08,22.28,237723715.00
22/01/2010,22.16,22.62,21.69,21.99,193728777.00
26/01/2010,21.81,22.45,21.57,22.18,164231741.00
27/01/2010,22.16,22.33,21.48,21.55,162474349.00
28/01/2010,22.06,22.16,21.20,21.61,195705876.00
29/01/2010,21.84,22.15,21.31,21.39,197522063.00
01/02/2010,21.58,22.08,21.39,21.95,116227233.00
02/02/2010,22.33,22.70,22.07,22.45,188022490.00
03/02/2010,22.50,22.75,22.25,22.39,172759634.00
04/02/2010,22.16,22.20,21.25,21.35,170829686.00
05/02/2010,20.92,21.30,20.18,20.82,173634962.00
08/02/2010,20.89,21.07,20.44,20.51,109666226.00
09/02/2010,20.89,21.30,20.79,20.89,132186025.00
10/02/2010,21.11,21.25,20.69,21.10,106551117.00
11/02/2010,21.16,22.12,21.03,22.12,145205119.00
