date,open,high,low,close,vol
23/04/2018,18.07,20.48,17.97,20.16,790499615.71
24/04/2018,20.60,21.50,20.53,20.53,106576482.00
25/04/2018,20.51,20.80,19.76,19.91,104987923.01
26/04/2018,20.16,20.80,19.66,20.11,115230639.00
27/04/2018,20.35,20.54,19.64,20.54,124191328.00
30/04/2018,20.53,20.53,20.10,20.31,3551221.00
02/05/2018,20.02,20.56,20.02,20.56,45335071.00
03/05/2018,20.46,20.50,20.16,20.31,20594985.00
04/05/2018,20.03,20.37,20.01,20.31,3127329.00
07/05/2018,20.20,21.07,19.87,20.31,4890926.00
08/05/2018,20.16,20.70,20.16,20.41,1871007.00
09/05/2018,20.41,20.69,20.31,20.41,5523090.00
10/05/2018,20.76,20.76,20.40,20.41,107195399.00
11/05/2018,20.41,20.56,20.03,20.56,32271859.00
14/05/2018,20.57,21.10,20.22,20.65,11578832.00
15/05/2018,20.12,20.36,19.91,20.06,45335443.00
16/05/2018,19.77,20.11,19.77,20.11,7044545.00
17/05/2018,20.12,20.65,20.11,20.62,20215465.99
18/05/2018,20.28,21.08,20.28,20.65,24560075.00
21/05/2018,20.70,21.88,20.41,20.90,95796631.00
22/05/2018,20.92,21.62,20.91,21.38,6016403.00
23/05/2018,21.36,22.88,21.36,21.95,48391352.00
24/05/2018,21.61,22.17,20.95,21.90,23613616.00
25/05/2018,22.07,22.07,21.57,21.65,3061581.00
28/05/2018,22.19,22.19,20.65,21.20,6475811.00
29/05/2018,21.19,21.88,20.92,21.41,50477529.00
30/05/2018,21.51,22.35,21.00,21.40,5944896.00
01/06/2018,21.56,22.25,21.23,21.89,17302264.00
04/06/2018,22.28,22.76,21.91,22.10,49684545.00
05/06/2018,22.10,22.20,21.61,21.80,26497518.00
06/06/2018,21.40,22.07,21.40,21.70,65056492.10
07/06/2018,21.43,21.43,20.46,20.81,23336936.00
08/06/2018,21.20,21.79,20.91,21.15,14455832.00
11/06/2018,21.37,21.63,20.98,21.60,5221971.00
12/06/2018,21.77,21.87,21.08,21.61,46205812.00
13/06/2018,21.29,22.28,21.29,22.09,63457424.00
14/06/2018,22.15,23.42,22.12,22.90,35591521.00
15/06/2018,22.91,23.44,21.60,23.09,23378361.00
18/06/2018,22.71,23.54,22.60,23.29,23637727.00
19/06/2018,23.29,23.88,23.02,23.49,33998741.00
20/06/2018,23.89,24.87,23.89,24.14,61322043.00
21/06/2018,24.43,25.46,23.45,23.84,53945864.00
22/06/2018,24.04,24.39,22.66,22.94,43848152.00
25/06/2018,22.82,23.39,22.54,22.97,7703072.00
26/06/2018,22.81,23.05,22.25,22.29,20704930.00
27/06/2018,22.31,23.35,21.75,22.06,18808121.00
28/06/2018,21.90,21.93,21.10,21.60,34656637.00
29/06/2018,21.88,22.11,21.10,21.50,27426145.00
02/07/2018,21.25,21.55,20.96,21.40,10176576.00
03/07/2018,21.20,21.83,21.12,21.40,16689853.00
04/07/2018,21.40,22.38,21.35,22.38,731318.00
05/07/2018,22.22,22.22,21.46,21.97,6093258.00
06/07/2018,21.75,22.18,21.54,21.73,3579827.00
10/07/2018,21.51,22.04,21.46,21.90,6197628.00
11/07/2018,22.04,22.45,21.81,22.28,10365172.00
12/07/2018,22.15,22.99,21.82,22.95,9814303.00
13/07/2018,23.08,24.37,22.89,23.74,5976500.00
16/07/2018,23.49,23.97,23.33,23.89,58528148.00
17/07/2018,23.89,24.12,23.84,23.99,19438703.20
18/07/2018,23.81,24.21,23.80,24.20,12196971.00
19/07/2018,24.43,25.27,24.14,24.54,38218899.00
20/07/2018,25.13,25.64,24.92,25.16,14067945.00
23/07/2018,25.31,25.31,24.66,24.66,14518000.00
24/07/2018,25.02,25.03,23.74,24.39,20326042.00
25/07/2018,24.42,24.64,24.39,24.39,16886034.00
26/07/2018,24.41,24.53,24.13,24.39,76594168.00
27/07/2018,24.49,25.27,24.40,24.59,6668934.00
30/07/2018,25.01,25.03,24.29,24.29,12179976.00
31/07/2018,24.29,24.48,23.04,24.39,19143051.00
01/08/2018,24.45,24.73,23.50,24.39,28734507.00
02/08/2018,24.39,24.84,24.20,24.39,22301757.00
03/08/2018,24.62,24.94,24.40,24.71,2170046.00
06/08/2018,24.89,24.89,24.39,24.39,2294453.00
07/08/2018,24.39,24.56,22.79,23.89,116040235.00
08/08/2018,23.61,23.96,23.49,23.89,14120483.00
09/08/2018,24.18,24.56,23.42,23.89,13518843.00
10/08/2018,24.06,24.09,23.34,23.89,24763308.00
13/08/2018,23.89,24.39,23.89,24.14,1828052.00
14/08/2018,24.06,24.75,23.55,24.14,8127775.00
15/08/2018,23.89,24.93,23.81,24.49,25291784.00
16/08/2018,24.49,25.48,24.31,25.48,34485069.00
17/08/2018,25.48,25.63,25.17,25.51,19002776.00
20/08/2018,25.47,25.80,25.28,25.63,11224092.00
21/08/2018,25.56,25.56,24.21,24.90,21213391.00
22/08/2018,24.82,24.98,24.59,24.79,6468267.00
23/08/2018,24.80,25.10,23.72,23.94,15006519.00
