date,open,high,low,close,vol
18/12/2009,28.31,28.31,27.49,27.90,43247714.00
21/12/2009,28.07,28.52,27.31,27.31,50926417.00
22/12/2009,27.97,28.73,27.49,28.73,66859088.00
23/12/2009,28.99,29.11,28.51,28.98,21648102.00
28/12/2009,29.26,29.50,29.01,29.11,14145062.00
29/12/2009,29.20,29.43,29.17,29.43,18242823.00
30/12/2009,29.32,29.36,29.06,29.21,18355646.00
04/01/2010,29.45,30.08,29.29,29.93,20774753.00
05/01/2010,29.93,30.38,29.87,30.28,44199475.00
06/01/2010,30.12,30.59,30.04,30.59,23438289.00
07/01/2010,30.29,30.55,29.88,29.98,37782349.00
08/01/2010,29.91,30.17,29.71,30.03,35890675.00
11/01/2010,30.50,30.57,30.22,30.54,64189930.00
12/01/2010,30.02,30.54,29.61,30.05,31788270.00
13/01/2010,30.37,30.39,29.68,30.12,23611768.00
14/01/2010,29.92,30.37,29.63,29.80,24114167.00
15/01/2010,29.69,29.74,28.67,29.09,31655354.00
18/01/2010,29.27,29.39,28.95,29.06,15114769.00
19/01/2010,28.83,29.28,28.78,29.20,23566214.00
20/01/2010,28.86,28.95,27.76,28.15,27068779.00
21/01/2010,28.36,28.40,26.70,26.94,48650631.00
22/01/2010,26.85,27.44,26.35,26.73,20543280.00
26/01/2010,26.35,27.21,26.20,27.02,20683808.00
27/01/2010,26.96,27.17,26.04,26.27,20791142.00
28/01/2010,26.86,27.11,25.73,26.18,30042854.00
29/01/2010,26.44,26.80,25.93,26.22,51976962.00
01/02/2010,26.35,26.73,26.02,26.67,28759305.00
02/02/2010,26.97,27.73,26.80,27.44,33112524.00
03/02/2010,27.37,27.77,26.92,27.11,32186648.00
04/02/2010,26.85,26.97,25.87,26.06,35520986.00
05/02/2010,25.57,25.93,24.55,25.17,31698905.00
08/02/2010,25.44,25.64,24.56,24.84,34317764.00
09/02/2010,25.18,25.78,25.02,25.27,27683896.00
10/02/2010,25.56,25.66,24.82,25.39,17778047.00
11/02/2010,25.27,26.79,25.24,26.79,21673780.00
12/02/2010,26.50,26.92,26.29,26.85,15149535.00
17/02/2010,27.16,27.51,26.96,26.98,18971048.00
18/02/2010,26.90,27.43,26.67,27.43,27848776.00
19/02/2010,27.19,27.26,26.84,27.11,26694921.00
22/02/2010,27.30,27.46,27.02,27.25,40935829.00
23/02/2010,27.06,27.26,26.32,26.77,25968682.00
24/02/2010,26.95,27.15,26.31,26.31,29574978.00
25/02/2010,25.91,27.65,25.84,27.52,33826854.00
26/02/2010,27.73,28.03,27.10,27.48,42023523.00
01/03/2010,27.81,28.33,27.49,28.18,21038469.00
02/03/2010,28.34,28.53,27.88,27.88,23570589.00
03/03/2010,28.16,28.44,27.90,27.94,40455929.00
04/03/2010,28.11,28.40,27.83,28.18,26182592.00
05/03/2010,28.61,28.68,28.32,28.44,20827972.00
08/03/2010,28.49,28.81,28.14,28.65,25875161.00
09/03/2010,28.61,29.62,28.59,29.38,41298442.00
10/03/2010,29.62,29.77,29.07,29.41,27456249.00
11/03/2010,29.28,29.49,28.88,28.95,19189876.00
12/03/2010,29.27,29.46,28.44,28.69,14199388.00
15/03/2010,28.41,28.68,28.03,28.36,18776404.00
16/03/2010,28.61,29.44,28.44,29.44,16076661.00
17/03/2010,29.45,29.78,28.93,29.26,19976833.00
18/03/2010,29.26,29.38,28.33,29.05,27376830.00
19/03/2010,29.03,29.25,28.49,28.52,13419679.00
22/03/2010,27.88,28.56,27.77,28.22,18165129.00
23/03/2010,28.15,28.78,27.96,28.25,15081937.00
24/03/2010,27.97,28.37,27.49,27.68,21561473.00
25/03/2010,28.01,28.14,27.27,27.44,19227505.00
26/03/2010,27.59,28.13,27.28,28.13,24030546.00
29/03/2010,28.39,29.41,28.34,29.28,18006820.00
30/03/2010,29.29,29.99,29.29,29.82,29530824.00
31/03/2010,29.62,30.52,29.39,30.52,37575090.00
01/04/2010,30.60,31.21,30.54,31.04,30038216.00
05/04/2010,31.15,31.88,30.96,31.66,38097974.00
06/04/2010,31.69,32.73,31.08,32.45,47604986.00
07/04/2010,32.21,32.73,31.76,32.28,27548143.00
08/04/2010,31.84,33.02,31.81,33.02,31281808.00
09/04/2010,32.77,33.05,32.49,32.57,29563469.00
12/04/2010,32.47,32.65,31.82,31.91,24659050.00
13/04/2010,31.99,32.13,31.46,31.79,19756126.00
14/04/2010,31.92,32.26,31.58,32.25,21327706.00
15/04/2010,32.25,32.26,31.31,31.69,18928353.00
16/04/2010,31.19,31.20,30.36,30.95,25372116.00
19/04/2010,30.64,30.76,29.77,30.03,35617106.00
