date,open,high,low,close,vol
18/12/2009,24.66,24.74,23.42,23.43,42430905.00
21/12/2009,23.98,24.26,23.14,23.38,39769803.00
22/12/2009,23.70,24.50,23.54,24.50,32848331.00
23/12/2009,24.88,25.33,24.34,25.18,52657777.00
28/12/2009,25.28,25.42,24.71,24.79,21467402.00
29/12/2009,24.88,25.02,24.39,24.89,14831561.00
30/12/2009,24.65,25.02,24.56,25.02,30066393.00
04/01/2010,25.23,25.33,25.00,25.23,30357711.00
05/01/2010,25.24,25.31,24.60,25.02,45380611.00
06/01/2010,24.94,25.46,24.94,25.31,41656648.00
07/01/2010,25.04,25.57,24.86,25.57,27703554.00
08/01/2010,25.89,27.05,25.81,26.81,85322472.00
11/01/2010,27.20,27.65,26.69,26.89,54903159.00
12/01/2010,26.39,26.49,25.33,26.38,37331370.00
13/01/2010,26.56,26.67,26.14,26.66,28027942.00
14/01/2010,26.68,26.72,25.71,25.72,41207168.00
15/01/2010,25.52,25.98,24.86,25.13,42968312.00
18/01/2010,25.61,25.62,25.20,25.43,12052410.00
19/01/2010,25.09,25.92,25.02,25.73,23940278.00
20/01/2010,25.46,25.46,24.41,25.13,33303338.00
21/01/2010,24.99,25.01,23.33,23.53,76464397.00
22/01/2010,23.26,23.45,22.22,22.82,53348619.00
26/01/2010,22.59,23.49,21.88,23.25,55123922.00
27/01/2010,23.22,23.60,22.40,22.91,29293133.00
28/01/2010,23.45,23.45,22.51,22.97,31081927.00
29/01/2010,23.19,23.39,22.16,22.16,30921363.00
01/02/2010,22.38,22.53,21.94,21.98,33745622.00
02/02/2010,22.54,23.65,22.45,23.65,34806427.00
03/02/2010,23.92,24.35,22.98,23.22,55098748.00
04/02/2010,23.02,23.02,21.49,22.11,40885677.00
05/02/2010,21.33,22.80,21.01,21.82,53267264.00
08/02/2010,22.39,22.74,21.79,22.35,34172751.00
09/02/2010,22.71,24.04,22.71,23.65,47534777.00
10/02/2010,23.93,24.45,23.68,23.85,71208477.00
11/02/2010,24.08,24.41,23.87,24.13,40040905.00
12/02/2010,23.84,24.22,23.38,24.13,29002644.00
17/02/2010,24.37,24.62,24.30,24.30,22186421.00
18/02/2010,24.30,24.46,23.79,24.22,23675351.00
19/02/2010,24.03,24.19,23.52,23.64,27230778.00
22/02/2010,23.83,23.95,23.09,23.47,39656411.00
23/02/2010,23.28,23.89,22.88,23.28,25794834.00
24/02/2010,23.45,23.60,22.83,22.83,15825343.00
25/02/2010,22.44,22.52,21.85,22.39,43669306.00
26/02/2010,22.62,23.55,22.45,23.55,43833599.00
01/03/2010,23.79,24.22,23.65,24.17,34184809.00
02/03/2010,24.40,24.40,23.59,23.69,20641869.00
03/03/2010,23.95,24.05,23.05,23.22,37788986.00
04/03/2010,23.41,23.58,22.85,23.15,14433710.00
05/03/2010,23.57,23.70,22.50,22.74,35372555.00
08/03/2010,23.17,23.26,22.17,22.43,40902780.00
09/03/2010,22.51,23.00,22.22,22.93,33751161.00
10/03/2010,23.12,23.51,22.98,23.22,21947375.00
11/03/2010,23.25,23.45,23.14,23.39,14801501.00
12/03/2010,23.98,24.17,23.02,23.07,27942966.00
15/03/2010,22.93,23.17,22.45,22.65,19985337.00
16/03/2010,22.69,22.93,22.50,22.57,15485050.00
17/03/2010,22.74,22.83,22.04,22.11,31281326.00
18/03/2010,22.27,22.40,21.91,21.92,22756421.00
19/03/2010,22.06,22.12,21.08,21.25,68973567.00
22/03/2010,21.10,21.68,20.75,21.49,23367588.00
23/03/2010,21.61,21.76,21.12,21.34,21537398.00
24/03/2010,21.29,21.40,20.96,21.30,20951982.00
25/03/2010,21.52,21.92,21.18,21.20,33591156.00
26/03/2010,21.39,21.57,20.96,21.20,33490978.00
29/03/2010,21.39,21.49,21.31,21.44,21489759.00
30/03/2010,21.80,21.89,21.25,21.52,25902197.00
31/03/2010,21.35,22.17,21.32,22.09,33699978.00
01/04/2010,22.17,22.77,22.15,22.58,32278231.00
05/04/2010,22.60,22.94,22.40,22.72,22456929.00
06/04/2010,22.49,22.63,21.99,21.99,70809471.00
07/04/2010,21.99,22.79,21.99,22.71,59952196.00
08/04/2010,22.49,23.73,22.46,23.62,91277284.00
09/04/2010,23.72,23.92,23.13,23.58,41732045.00
12/04/2010,23.48,23.78,23.34,23.58,24480489.00
13/04/2010,23.69,23.69,22.75,22.87,37777340.00
14/04/2010,23.11,23.32,22.68,23.04,29031048.00
15/04/2010,22.98,23.67,22.98,23.56,31063014.00
16/04/2010,23.58,23.58,22.61,22.98,27792319.00
19/04/2010,22.11,22.90,22.11,22.48,27128109.00
20/04/2010,22.66,22.89,22.20,22.57,19943073.00
22/04/2010,22.21,22.87,22.12,22.84,17031139.00
23/04/2010,22.84,22.84,22.49,22.84,22993780.00
26/04/2010,22.80,22.97,22.45,22.59,21238412.00
27/04/2010,22.34,22.55,21.30,21.30,43548226.00
28/04/2010,21.52,22.11,21.13,22.11,40653196.00
29/04/2010,22.28,22.78,22.11,22.45,29617191.00
30/04/2010,22.26,22.89,22.16,22.89,30275618.00
03/05/2010,22.97,23.07,22.52,22.95,29073854.00
04/05/2010,22.59,22.69,21.85,22.57,33860507.00
05/05/2010,22.09,22.93,21.88,22.93,33575078.00
06/05/2010,22.70,23.07,20.71,21.70,58134497.00
07/05/2010,21.55,21.93,20.83,20.99,38067488.00
10/05/2010,22.03,22.34,21.75,22.06,38275172.00
11/05/2010,21.71,22.39,21.41,21.65,29895685.00
