date,open,high,low,close,vol
18/12/2009,1.82,1.93,1.81,1.86,2006871.00
21/12/2009,1.86,1.93,1.86,1.90,207082.00
22/12/2009,1.92,1.94,1.88,1.93,356867.00
23/12/2009,1.93,1.94,1.91,1.93,98222.00
28/12/2009,1.92,1.93,1.89,1.91,2165057.00
29/12/2009,1.91,1.92,1.90,1.90,87494.00
30/12/2009,1.91,1.95,1.86,1.95,724166.00
04/01/2010,1.96,1.96,1.90,1.90,386919.00
05/01/2010,1.93,1.94,1.90,1.93,1413710.00
06/01/2010,1.94,1.95,1.92,1.95,1198881.00
07/01/2010,1.92,1.94,1.90,1.92,1235217.00
08/01/2010,1.92,1.92,1.90,1.92,1436081.00
11/01/2010,1.93,1.95,1.89,1.94,668464.00
12/01/2010,1.94,1.94,1.83,1.83,1189572.00
13/01/2010,1.84,1.90,1.83,1.84,808963.00
14/01/2010,1.86,1.86,1.80,1.80,638399.00
15/01/2010,1.82,1.86,1.81,1.86,1038744.00
18/01/2010,1.87,1.88,1.83,1.88,154447.00
19/01/2010,1.86,1.92,1.84,1.92,640237.00
20/01/2010,1.90,1.93,1.86,1.90,1146890.00
21/01/2010,1.88,1.92,1.82,1.84,812229.00
22/01/2010,1.86,1.86,1.81,1.83,335640.00
26/01/2010,1.83,1.83,1.79,1.80,208956.00
27/01/2010,1.80,1.81,1.71,1.71,616577.00
28/01/2010,1.77,1.77,1.67,1.68,1404892.00
29/01/2010,1.71,1.76,1.69,1.72,879715.00
01/02/2010,1.72,1.77,1.72,1.75,204687.00
02/02/2010,1.76,1.77,1.73,1.74,276804.00
03/02/2010,1.77,1.77,1.76,1.77,93640.00
04/02/2010,1.77,1.77,1.72,1.76,651118.00
05/02/2010,1.75,1.75,1.67,1.67,281096.00
08/02/2010,1.72,1.73,1.68,1.71,274625.00
09/02/2010,1.71,1.73,1.68,1.69,563724.00
10/02/2010,1.73,1.73,1.67,1.67,290039.00
11/02/2010,1.69,1.77,1.69,1.77,211860.00
12/02/2010,1.77,1.82,1.75,1.82,156833.00
17/02/2010,1.80,1.82,1.80,1.80,80025.00
18/02/2010,1.80,1.90,1.80,1.84,1618226.00
19/02/2010,1.88,1.88,1.81,1.81,1499008.00
22/02/2010,1.83,1.84,1.81,1.81,797329.00
23/02/2010,1.83,1.83,1.80,1.81,1932055.00
24/02/2010,1.81,1.83,1.81,1.83,2240637.00
25/02/2010,1.81,1.83,1.80,1.82,1121490.00
26/02/2010,1.82,1.82,1.81,1.82,837989.00
01/03/2010,1.83,1.84,1.82,1.84,902774.00
02/03/2010,1.86,1.88,1.86,1.88,99434.00
03/03/2010,1.87,1.93,1.87,1.93,316361.00
04/03/2010,1.93,2.00,1.93,2.00,1005594.00
05/03/2010,1.96,1.96,1.86,1.88,1519074.00
08/03/2010,1.88,1.93,1.88,1.92,1867131.00
09/03/2010,1.92,1.92,1.84,1.84,559464.00
10/03/2010,1.88,1.88,1.85,1.86,1336540.00
11/03/2010,1.86,1.89,1.86,1.89,66688.00
12/03/2010,1.89,1.89,1.84,1.87,35437.00
15/03/2010,1.84,1.87,1.83,1.83,251835.00
16/03/2010,1.86,1.87,1.83,1.83,513208.00
17/03/2010,1.84,1.87,1.84,1.85,713529.00
18/03/2010,1.86,1.86,1.83,1.83,649667.00
19/03/2010,1.83,1.84,1.82,1.83,608481.00
22/03/2010,1.83,1.83,1.73,1.77,415690.00
23/03/2010,1.78,1.79,1.76,1.79,742738.00
24/03/2010,1.82,1.82,1.75,1.75,2367436.00
25/03/2010,1.74,1.83,1.74,1.81,570570.00
26/03/2010,1.81,1.81,1.77,1.77,49044.00
29/03/2010,1.78,1.83,1.78,1.83,162399.00
30/03/2010,1.83,1.83,1.77,1.77,791581.00
31/03/2010,1.77,1.80,1.75,1.79,780649.00
01/04/2010,1.79,1.79,1.77,1.77,148974.00
05/04/2010,1.79,1.79,1.75,1.75,594381.00
06/04/2010,1.76,1.82,1.69,1.82,1329850.00
07/04/2010,1.79,1.80,1.74,1.76,484868.00
08/04/2010,1.76,1.76,1.72,1.72,591946.00
09/04/2010,1.74,1.74,1.70,1.74,221814.00
12/04/2010,1.73,1.78,1.68,1.75,2022920.00
13/04/2010,1.77,1.77,1.69,1.70,958726.00
14/04/2010,1.73,1.73,1.70,1.70,83770.00
15/04/2010,1.72,1.72,1.68,1.70,246556.00
16/04/2010,1.68,1.71,1.65,1.65,626887.00
19/04/2010,1.63,1.67,1.63,1.66,953736.00
20/04/2010,1.67,1.68,1.62,1.65,839869.00
22/04/2010,1.68,1.68,1.65,1.66,208790.00
23/04/2010,1.66,1.67,1.62,1.65,189899.00
26/04/2010,1.66,1.66,1.62,1.65,167370.00
27/04/2010,1.65,1.65,1.59,1.63,1208273.00
28/04/2010,1.63,1.63,1.59,1.60,149949.00
29/04/2010,1.61,1.62,1.61,1.61,482904.00
30/04/2010,1.60,1.63,1.59,1.59,506670.00
03/05/2010,1.60,1.63,1.59,1.61,828180.00
04/05/2010,1.60,1.62,1.59,1.59,969262.00
05/05/2010,1.59,1.61,1.59,1.60,244726.00
06/05/2010,1.62,1.62,1.55,1.55,1912374.00
07/05/2010,1.55,1.59,1.55,1.59,352789.00
10/05/2010,1.59,1.63,1.59,1.63,1627837.00
11/05/2010,1.61,1.63,1.61,1.62,307425.00
12/05/2010,1.61,1.63,1.61,1.63,319046.00
13/05/2010,1.63,1.63,1.62,1.63,909441.00
14/05/2010,1.59,1.59,1.52,1.56,845798.00
17/05/2010,1.56,1.57,1.54,1.56,321192.00
18/05/2010,1.58,1.58,1.55,1.55,64074.00
19/05/2010,1.52,1.56,1.46,1.56,258878.00
20/05/2010,1.52,1.53,1.49,1.49,317131.00
21/05/2010,1.52,1.53,1.49,1.51,318379.00
24/05/2010,1.52,1.56,1.51,1.51,422228.00
25/05/2010,1.51,1.53,1.44,1.53,584075.00
26/05/2010,1.55,1.55,1.49,1.49,323895.00
27/05/2010,1.50,1.51,1.44,1.51,1219448.00
28/05/2010,1.53,1.53,1.46,1.48,415268.00
31/05/2010,1.50,1.51,1.49,1.49,228140.00
01/06/2010,1.50,1.50,1.49,1.49,116806.00
02/06/2010,1.51,1.55,1.50,1.51,338555.00
04/06/2010,1.52,1.62,1.52,1.53,1112409.00
07/06/2010,1.54,1.56,1.53,1.54,289226.00
08/06/2010,1.55,1.55,1.51,1.52,385941.00
09/06/2010,1.51,1.53,1.49,1.49,419365.00
10/06/2010,1.51,1.51,1.48,1.48,87968.00
11/06/2010,1.50,1.52,1.49,1.52,193101.00
14/06/2010,1.53,1.55,1.53,1.54,135578.00
15/06/2010,1.54,1.56,1.49,1.49,299277.00
16/06/2010,1.52,1.58,1.52,1.57,712641.00
17/06/2010,1.56,1.57,1.55,1.55,2156559.00
18/06/2010,1.55,1.57,1.53,1.53,699506.00
21/06/2010,1.53,1.56,1.53,1.55,289131.00
22/06/2010,1.56,1.56,1.51,1.53,476931.00
23/06/2010,1.55,1.55,1.51,1.54,210104.00
24/06/2010,1.55,1.60,1.53,1.56,578606.00
25/06/2010,1.55,1.57,1.55,1.56,1907732.00
28/06/2010,1.57,1.57,1.53,1.56,1183778.00
29/06/2010,1.55,1.57,1.51,1.57,624479.00
30/06/2010,1.55,1.57,1.55,1.56,415366.00
01/07/2010,1.57,1.57,1.50,1.50,389560.00
02/07/2010,1.51,1.51,1.51,1.51,102750.00
05/07/2010,1.51,1.51,1.49,1.50,59675.00
06/07/2010,1.51,1.51,1.47,1.47,1408327.00
07/07/2010,1.49,1.54,1.48,1.51,1105818.00
08/07/2010,1.55,1.56,1.51,1.53,129366.00
12/07/2010,1.53,1.54,1.51,1.53,2257772.00
13/07/2010,1.52,1.55,1.51,1.54,1230148.00
14/07/2010,1.54,1.57,1.52,1.57,140024.00
15/07/2010,1.59,1.62,1.55,1.62,901731.00
16/07/2010,1.61,1.61,1.52,1.53,561404.00
19/07/2010,1.57,1.57,1.55,1.55,130559.00
20/07/2010,1.55,1.61,1.53,1.61,773261.00
21/07/2010,1.61,1.61,1.55,1.61,1940917.00
22/07/2010,1.61,1.63,1.61,1.63,457879.00
23/07/2010,1.61,1.61,1.58,1.59,415857.00
26/07/2010,1.59,1.59,1.58,1.59,175340.00
27/07/2010,1.59,1.59,1.56,1.57,2893621.00
28/07/2010,1.61,1.61,1.56,1.56,1201199.00
29/07/2010,1.59,1.66,1.57,1.63,748690.00
30/07/2010,1.62,1.66,1.57,1.62,2477525.00
02/08/2010,1.63,1.66,1.63,1.65,732153.00
03/08/2010,1.65,1.66,1.58,1.58,918224.00
04/08/2010,1.63,1.63,1.57,1.60,1309086.00
05/08/2010,1.60,1.60,1.58,1.58,206631.00
06/08/2010,1.57,1.61,1.56,1.61,170306.00
09/08/2010,1.59,1.61,1.57,1.60,191509.00
10/08/2010,1.60,1.60,1.56,1.56,277995.00
11/08/2010,1.57,1.57,1.51,1.51,782572.00
12/08/2010,1.51,1.52,1.49,1.51,435132.00
13/08/2010,1.49,1.51,1.46,1.49,740445.00
16/08/2010,1.50,1.53,1.48,1.53,782744.00
17/08/2010,1.51,1.55,1.51,1.52,349560.00
18/08/2010,1.54,1.56,1.52,1.53,1090641.00
19/08/2010,1.54,1.59,1.51,1.55,457356.00
20/08/2010,1.58,1.58,1.54,1.57,123952.00
23/08/2010,1.57,1.59,1.56,1.56,680675.00
24/08/2010,1.55,1.58,1.52,1.54,1466979.00
25/08/2010,1.56,1.56,1.50,1.53,265405.00
26/08/2010,1.55,1.55,1.49,1.51,901359.00
27/08/2010,1.55,1.55,1.52,1.54,1480225.00
30/08/2010,1.54,1.55,1.49,1.50,833002.00
31/08/2010,1.51,1.54,1.50,1.53,308118.00
01/09/2010,1.50,1.54,1.50,1.54,526151.00
02/09/2010,1.54,1.54,1.52,1.54,399998.00
03/09/2010,1.54,1.54,1.51,1.53,316079.00
06/09/2010,1.54,1.54,1.53,1.54,15190.00
08/09/2010,1.52,1.54,1.51,1.53,218029.00
09/09/2010,1.54,1.62,1.53,1.62,471562.00
10/09/2010,1.59,1.59,1.56,1.56,2390259.00
13/09/2010,1.59,1.61,1.56,1.60,734474.00
14/09/2010,1.57,1.62,1.57,1.62,250787.00
15/09/2010,1.59,1.61,1.58,1.61,922522.00
16/09/2010,1.62,1.62,1.58,1.59,541004.00
17/09/2010,1.58,1.62,1.58,1.61,999192.00
20/09/2010,1.62,1.62,1.60,1.61,289054.00
21/09/2010,1.59,1.65,1.59,1.65,3693300.00
22/09/2010,1.65,1.65,1.63,1.65,1753100.00
23/09/2010,1.64,1.68,1.64,1.67,1107516.00
24/09/2010,1.67,1.71,1.67,1.70,1828457.00
27/09/2010,1.71,1.71,1.67,1.70,204639.00
28/09/2010,1.68,1.75,1.68,1.73,1445074.00
29/09/2010,1.73,1.76,1.72,1.73,714523.00
30/09/2010,1.74,1.76,1.72,1.74,785773.00
01/10/2010,1.72,1.74,1.71,1.74,968183.00
04/10/2010,1.74,1.74,1.71,1.72,695269.00
05/10/2010,1.72,1.75,1.72,1.75,2801432.00
06/10/2010,1.76,1.76,1.73,1.74,296534.00
07/10/2010,1.75,1.79,1.74,1.76,1017270.00
08/10/2010,1.77,1.77,1.75,1.77,520339.00
11/10/2010,1.77,1.82,1.77,1.81,530904.00
13/10/2010,1.81,1.81,1.77,1.79,1959754.00
14/10/2010,1.79,1.79,1.76,1.76,1091458.00
15/10/2010,1.77,1.77,1.72,1.73,586077.00
18/10/2010,1.72,1.76,1.72,1.76,901255.00
19/10/2010,1.74,1.76,1.71,1.76,243995.00
20/10/2010,1.75,1.76,1.72,1.72,1062740.00
21/10/2010,1.75,1.75,1.72,1.73,572759.00
22/10/2010,1.71,1.75,1.71,1.74,572037.00
25/10/2010,1.74,1.74,1.72,1.73,366432.00
26/10/2010,1.72,1.73,1.70,1.72,279563.00
27/10/2010,1.75,1.75,1.71,1.72,434653.00
28/10/2010,1.74,1.75,1.73,1.74,447747.00
29/10/2010,1.76,1.80,1.76,1.80,5328300.00
01/11/2010,1.80,1.86,1.78,1.85,2677440.00
03/11/2010,1.86,1.92,1.86,1.92,943907.00
04/11/2010,1.92,1.98,1.91,1.96,2024301.00
05/11/2010,1.95,1.95,1.86,1.93,1282737.00
08/11/2010,1.92,1.92,1.83,1.84,4674173.00
09/11/2010,1.86,1.86,1.80,1.84,1069610.00
10/11/2010,1.82,1.85,1.82,1.85,1117684.00
11/11/2010,1.85,1.85,1.81,1.82,1037502.00
12/11/2010,1.85,1.90,1.82,1.89,2070523.00
16/11/2010,1.90,1.94,1.85,1.87,1567533.00
17/11/2010,1.87,1.90,1.86,1.90,1514496.00
18/11/2010,1.91,1.95,1.91,1.92,560223.00
19/11/2010,1.92,1.92,1.89,1.92,274060.00
22/11/2010,1.92,1.92,1.89,1.91,3220888.00
23/11/2010,1.93,1.94,1.87,1.89,3435267.00
24/11/2010,1.88,1.94,1.88,1.94,662008.00
25/11/2010,1.93,1.95,1.92,1.93,909742.00
26/11/2010,1.94,1.95,1.92,1.94,239983.00
29/11/2010,1.94,1.94,1.91,1.94,3001586.00
30/11/2010,1.94,1.94,1.91,1.93,1708161.00
01/12/2010,1.95,1.95,1.93,1.94,3434236.00
02/12/2010,1.95,1.95,1.89,1.93,3371963.00
03/12/2010,1.94,1.94,1.88,1.92,698226.00
06/12/2010,1.88,1.94,1.88,1.94,2263202.00
07/12/2010,1.95,1.95,1.91,1.92,925901.00
08/12/2010,1.92,1.94,1.92,1.94,1264428.00
09/12/2010,1.94,1.94,1.92,1.92,379510.00
10/12/2010,1.95,1.95,1.84,1.93,4324479.00
13/12/2010,1.94,1.94,1.85,1.91,1806661.00
14/12/2010,1.91,1.91,1.88,1.88,995810.00
15/12/2010,1.87,1.91,1.83,1.91,3050949.00
16/12/2010,1.91,1.93,1.86,1.89,1589623.00
17/12/2010,1.85,1.91,1.85,1.87,1575816.00
20/12/2010,1.88,1.94,1.87,1.94,1055247.00
21/12/2010,1.94,1.94,1.92,1.94,819085.00
22/12/2010,1.94,1.94,1.85,1.85,1798044.00
23/12/2010,1.89,1.94,1.88,1.88,883352.00
27/12/2010,1.86,1.89,1.85,1.88,1047957.00
