date,open,high,low,close,vol
18/12/2009,6.46,6.56,6.46,6.56,138070.00
21/12/2009,6.51,6.77,6.51,6.77,856182.00
22/12/2009,6.77,7.27,6.67,7.27,1442542.00
23/12/2009,7.17,7.29,7.17,7.29,181273.00
28/12/2009,7.29,7.50,7.17,7.39,885186.00
29/12/2009,7.35,7.60,7.19,7.39,3122035.00
30/12/2009,7.50,7.69,7.00,7.69,2860898.00
04/01/2010,7.92,7.92,7.36,7.36,618911.00
05/01/2010,7.50,7.76,7.50,7.65,467684.00
06/01/2010,7.53,7.64,7.45,7.64,136893.00
07/01/2010,7.61,7.81,7.21,7.40,1287730.00
08/01/2010,7.39,7.39,7.03,7.32,3985664.00
11/01/2010,7.40,7.40,7.32,7.32,3547748.00
12/01/2010,7.30,7.31,6.98,7.29,5535305.00
13/01/2010,7.28,7.28,7.00,7.28,2566227.00
14/01/2010,7.27,7.28,7.27,7.28,2041034.00
15/01/2010,7.27,7.27,7.19,7.19,234735.00
18/01/2010,7.19,7.40,7.19,7.39,2135092.00
19/01/2010,7.39,7.76,7.19,7.76,1560361.00
20/01/2010,7.76,7.76,7.55,7.76,1115765.00
21/01/2010,7.61,7.65,7.52,7.65,87325.00
22/01/2010,7.51,7.71,7.51,7.71,36621.00
26/01/2010,7.81,7.81,7.61,7.71,95887.00
27/01/2010,7.66,7.75,7.61,7.75,354259.00
28/01/2010,7.61,7.71,7.61,7.71,1176752.00
29/01/2010,7.61,7.71,7.61,7.71,251004.00
01/02/2010,7.71,7.76,7.66,7.76,764070.00
02/02/2010,7.71,7.71,7.53,7.69,819336.00
03/02/2010,7.55,7.55,7.09,7.09,112383.00
04/02/2010,7.29,7.29,7.02,7.19,418632.00
05/02/2010,7.20,7.20,6.67,6.93,1704468.00
08/02/2010,6.93,6.93,6.56,6.56,3365786.00
09/02/2010,6.72,6.72,6.47,6.63,863646.00
10/02/2010,6.63,6.63,6.56,6.60,2892203.00
11/02/2010,6.56,6.67,6.56,6.56,157600.00
12/02/2010,6.56,6.66,6.51,6.51,113903.00
17/02/2010,6.27,6.67,6.27,6.67,225803.00
18/02/2010,6.67,6.67,6.66,6.66,1470204.00
19/02/2010,6.67,6.67,6.57,6.67,588563.00
22/02/2010,6.72,6.72,6.72,6.72,6450.00
23/02/2010,6.72,6.98,6.72,6.77,2768986.00
24/02/2010,6.82,6.98,6.82,6.87,891417.00
25/02/2010,6.67,6.87,6.67,6.87,19394.00
26/02/2010,6.72,6.77,6.56,6.62,2142048.00
01/03/2010,6.46,6.72,6.44,6.51,1411561.00
02/03/2010,6.51,6.51,6.31,6.46,2451512.00
03/03/2010,6.46,6.46,6.45,6.45,632080.00
04/03/2010,6.61,6.61,6.41,6.41,105073.00
05/03/2010,6.56,6.56,6.41,6.41,259732.00
08/03/2010,6.41,6.44,6.32,6.41,621129.00
09/03/2010,6.46,6.56,6.46,6.52,2651962.00
10/03/2010,6.62,6.71,6.46,6.53,11087560.00
11/03/2010,6.77,6.88,6.67,6.77,12740268.00
12/03/2010,6.88,6.98,6.57,6.69,7979707.00
15/03/2010,6.72,6.88,6.53,6.53,10327724.00
16/03/2010,6.47,6.76,6.47,6.55,887714.00
17/03/2010,6.77,6.77,6.36,6.49,1941073.00
18/03/2010,6.61,6.61,6.55,6.55,188837.00
19/03/2010,6.56,6.69,6.42,6.45,3684727.00
22/03/2010,6.45,6.45,6.25,6.41,412167.00
23/03/2010,6.66,6.66,6.41,6.41,323414.00
24/03/2010,6.51,6.51,6.04,6.34,4841901.00
25/03/2010,6.46,6.63,6.25,6.30,5540293.00
26/03/2010,6.28,6.36,6.28,6.36,959200.00
