date,open,high,low,close,vol
25/04/2018,27.18,28.76,26.17,28.48,1164266739.40
26/04/2018,28.62,28.87,26.82,27.48,167820150.00
27/04/2018,27.63,28.28,27.14,27.64,78962990.00
30/04/2018,27.49,27.64,27.19,27.29,30753365.00
02/05/2018,26.65,27.59,26.65,26.96,35159011.00
03/05/2018,26.76,27.54,26.45,27.13,64161491.00
04/05/2018,27.31,27.31,26.06,26.40,50928216.00
07/05/2018,26.31,26.65,26.26,26.65,30217484.00
08/05/2018,26.80,26.95,26.45,26.65,25624161.00
09/05/2018,26.65,26.74,26.23,26.55,26853890.00
10/05/2018,26.75,27.28,26.43,26.85,32178483.00
11/05/2018,27.13,27.84,27.12,27.24,48714893.00
14/05/2018,27.53,27.58,26.97,26.97,29019459.00
15/05/2018,27.74,28.72,27.64,28.58,77579038.00
16/05/2018,28.58,29.42,28.18,29.42,51982404.00
17/05/2018,29.61,30.58,29.61,29.91,47488199.00
18/05/2018,29.91,29.91,28.85,29.22,86538285.00
21/05/2018,29.32,30.69,28.62,30.40,57663726.00
22/05/2018,30.40,32.38,30.40,32.33,43874945.00
23/05/2018,32.33,32.33,30.60,32.27,46601516.99
24/05/2018,31.39,31.61,30.03,30.11,76015392.00
25/05/2018,29.92,30.63,29.64,30.59,51529358.00
28/05/2018,30.59,30.59,28.65,29.12,37798346.00
29/05/2018,29.41,29.96,28.48,29.37,15506161.00
30/05/2018,29.71,30.35,28.81,29.61,44221871.00
01/06/2018,30.23,30.59,28.61,29.50,35166560.00
04/06/2018,29.81,30.40,29.23,29.91,27684322.00
05/06/2018,29.71,29.71,28.43,28.89,21148369.00
06/06/2018,28.64,28.80,27.54,28.11,38206267.00
07/06/2018,28.11,28.11,26.50,27.24,45440889.00
08/06/2018,26.88,28.02,26.65,27.29,36656358.00
11/06/2018,27.46,27.88,26.60,27.44,16719976.00
12/06/2018,27.44,28.10,26.99,27.72,16984502.00
13/06/2018,27.75,27.75,26.19,26.39,63632196.00
14/06/2018,26.35,27.04,26.26,26.67,43457050.00
15/06/2018,26.67,26.70,25.32,26.65,31347632.00
18/06/2018,26.65,26.65,25.86,26.04,36826419.00
19/06/2018,26.24,28.02,25.96,27.49,13320522.00
20/06/2018,27.65,28.82,27.54,28.43,12185271.00
21/06/2018,28.13,28.80,27.00,27.84,20954377.00
22/06/2018,27.65,28.82,27.37,28.62,25797499.00
25/06/2018,28.94,29.12,28.43,29.12,79688953.00
26/06/2018,29.19,29.61,28.67,29.24,13553353.00
27/06/2018,29.32,29.86,28.73,29.61,10566517.00
28/06/2018,29.61,29.89,28.77,29.89,83300034.00
29/06/2018,29.47,30.13,28.77,29.50,44030625.00
02/07/2018,29.00,29.31,28.94,29.02,7767142.00
03/07/2018,29.23,29.39,28.29,28.82,12433495.00
04/07/2018,29.21,29.35,28.36,28.91,27973694.00
05/07/2018,28.91,29.09,28.41,28.82,34048139.00
06/07/2018,28.82,28.84,28.18,28.18,66551858.00
10/07/2018,28.36,29.01,28.03,28.39,24287893.00
11/07/2018,28.24,29.07,27.85,28.34,23422597.00
12/07/2018,28.28,29.36,27.76,29.35,20401827.00
13/07/2018,29.36,29.51,28.30,28.45,19437459.00
16/07/2018,28.46,28.99,27.94,28.13,14831588.00
17/07/2018,28.35,28.51,27.76,28.00,12984490.00
18/07/2018,27.94,28.95,27.88,28.95,38099665.00
19/07/2018,28.82,29.17,28.18,28.71,14775435.00
20/07/2018,29.12,29.92,28.83,29.61,32004871.00
23/07/2018,30.00,30.09,29.23,29.54,13022472.00
24/07/2018,29.72,29.90,29.36,29.71,12652623.00
25/07/2018,29.92,30.30,28.31,28.31,57437011.00
26/07/2018,28.36,28.59,26.95,27.15,37597927.00
27/07/2018,27.38,27.84,26.98,27.84,16645849.00
30/07/2018,27.82,27.84,26.90,27.09,25304023.00
31/07/2018,27.38,27.83,26.75,27.80,35799124.00
01/08/2018,27.45,28.32,27.44,28.32,7639385.00
02/08/2018,28.05,28.57,28.05,28.57,5479175.00
03/08/2018,28.57,28.57,28.15,28.28,14750290.00
06/08/2018,28.10,28.16,27.34,27.41,20367630.00
07/08/2018,27.39,27.44,26.67,26.67,17427205.00
08/08/2018,26.89,27.05,25.99,26.55,21773208.00
09/08/2018,26.35,26.67,25.90,26.61,43475478.00
10/08/2018,26.67,27.08,26.34,26.58,14344512.00
13/08/2018,26.60,27.00,26.21,26.65,13004905.00
14/08/2018,26.44,26.44,25.09,26.11,40756336.00
15/08/2018,25.96,26.18,25.66,25.66,55376163.00
16/08/2018,25.72,25.83,24.50,24.78,126548344.00
17/08/2018,24.59,24.59,23.69,24.08,155439667.00
20/08/2018,24.25,24.61,24.18,24.38,31560238.00
21/08/2018,24.14,24.46,23.70,24.13,101837571.00
22/08/2018,23.92,24.83,23.92,24.78,38665117.00
23/08/2018,24.46,25.05,24.23,24.73,9525622.00
24/08/2018,24.97,25.47,24.68,25.38,12503389.00
27/08/2018,25.38,25.76,24.82,25.62,24654701.00
28/08/2018,25.58,25.66,24.90,25.36,23003523.00
29/08/2018,25.51,25.66,24.76,25.08,12339309.00
30/08/2018,25.00,25.56,24.74,25.56,15744727.00
31/08/2018,25.65,25.78,25.25,25.55,22866308.00
03/09/2018,25.54,25.63,24.93,25.16,12217619.00
04/09/2018,25.07,25.08,24.22,24.62,14620249.00
05/09/2018,24.57,25.50,24.54,24.69,7225323.00
06/09/2018,24.99,25.79,24.08,25.01,10585061.00
10/09/2018,25.50,25.86,25.08,25.45,12106873.00
11/09/2018,25.09,25.34,24.76,24.76,18931493.00
12/09/2018,24.68,25.16,24.04,24.59,10030223.00
13/09/2018,24.86,24.89,23.74,24.13,18274498.00
14/09/2018,23.92,24.36,23.49,23.52,19369795.00
17/09/2018,23.60,24.96,23.52,24.77,8335134.00
18/09/2018,25.13,25.40,24.81,25.11,14899226.00
19/09/2018,24.79,25.17,23.18,23.18,36824919.00
20/09/2018,23.39,23.45,22.12,23.00,85236713.00
21/09/2018,22.90,23.99,22.88,23.37,20820385.00
24/09/2018,23.37,23.42,22.03,22.06,56673754.00
25/09/2018,21.73,22.65,20.77,21.54,41103808.00
26/09/2018,21.55,22.41,21.28,21.91,31147277.00
27/09/2018,22.07,23.54,21.93,23.12,42281597.00
28/09/2018,23.12,24.04,22.69,23.69,44118085.00
01/10/2018,23.66,23.66,23.06,23.29,27249137.00
02/10/2018,23.32,23.68,22.91,23.30,27595190.00
03/10/2018,23.79,24.80,23.28,23.74,33717566.00
04/10/2018,23.78,24.31,22.82,23.69,14301700.00
05/10/2018,24.13,24.13,22.70,23.01,25395662.00
08/10/2018,23.21,23.90,23.21,23.44,49779697.00
09/10/2018,23.58,24.18,23.01,23.01,30896338.00
10/10/2018,22.70,24.17,22.66,23.30,10701235.00
11/10/2018,23.28,24.14,23.13,23.89,18524134.00
15/10/2018,24.12,24.57,22.50,24.28,38035244.00
16/10/2018,24.26,25.56,24.04,24.88,36925226.00
17/10/2018,24.70,25.57,24.70,25.25,40079876.00
18/10/2018,25.25,25.88,25.24,25.47,19643358.00
19/10/2018,25.49,25.75,24.52,24.92,15008233.00
22/10/2018,25.12,25.80,25.07,25.16,23992617.00
23/10/2018,25.21,25.66,24.99,25.43,18682108.00
24/10/2018,25.37,25.37,25.02,25.07,31677020.00
25/10/2018,25.13,25.61,24.64,25.61,37721280.00
26/10/2018,25.65,26.30,24.73,25.27,42078485.00
29/10/2018,26.43,26.43,25.34,25.45,13750114.00
30/10/2018,25.50,25.66,24.82,25.13,99569886.00
31/10/2018,25.51,25.82,24.89,25.15,64766747.00
01/11/2018,25.50,26.31,24.99,25.40,22524077.00
05/11/2018,25.55,25.90,24.93,25.74,24592673.00
06/11/2018,25.67,25.94,24.98,25.32,18851464.00
07/11/2018,25.47,26.64,25.47,26.06,29665061.00
