date,open,high,low,close,vol
18/12/2009,6.88,6.88,6.74,6.88,16405700.00
21/12/2009,6.80,6.93,6.76,6.93,3372916.00
22/12/2009,6.93,7.11,6.63,6.81,4993577.00
23/12/2009,6.72,6.97,6.61,6.97,1417184.00
28/12/2009,7.08,7.08,6.80,6.91,580373.00
29/12/2009,6.95,6.95,6.71,6.75,2362670.00
30/12/2009,6.79,6.97,6.70,6.97,4862327.00
04/01/2010,7.12,7.12,6.80,7.00,1285295.00
05/01/2010,7.04,7.04,7.00,7.04,6602375.00
06/01/2010,7.07,7.12,7.00,7.12,12499133.00
07/01/2010,7.32,7.32,7.07,7.12,7698272.00
08/01/2010,7.12,7.24,7.05,7.24,9783647.00
11/01/2010,7.24,7.33,7.24,7.32,4074603.00
12/01/2010,7.32,7.33,7.24,7.33,5938180.00
13/01/2010,7.36,7.83,7.36,7.50,14486552.00
14/01/2010,7.52,7.65,7.50,7.64,5826939.00
15/01/2010,7.81,8.31,7.81,7.93,5575466.00
18/01/2010,8.07,8.23,8.00,8.20,3650443.00
19/01/2010,8.16,8.25,8.05,8.18,2649293.00
20/01/2010,8.15,8.30,8.07,8.19,4110393.00
21/01/2010,8.26,8.26,7.70,8.02,5647576.00
22/01/2010,7.98,7.98,7.82,7.97,1792316.00
26/01/2010,7.83,7.85,7.60,7.68,2043036.00
27/01/2010,7.63,7.83,7.24,7.43,3192535.00
28/01/2010,7.55,7.55,7.07,7.22,3257437.00
29/01/2010,7.43,7.48,7.07,7.31,6335183.00
01/02/2010,7.47,7.76,7.28,7.53,3799988.00
02/02/2010,7.74,8.27,7.69,7.86,11810505.00
03/02/2010,7.89,8.14,7.89,8.07,7403228.00
04/02/2010,8.09,8.09,7.62,7.69,5873500.00
05/02/2010,7.69,7.83,7.26,7.76,6781004.00
08/02/2010,7.87,8.02,7.60,7.67,5475135.00
09/02/2010,7.89,8.16,7.65,8.05,7635731.00
10/02/2010,8.09,8.09,7.70,7.92,6270068.00
11/02/2010,7.95,8.04,7.73,8.02,2005405.00
12/02/2010,8.02,8.02,7.65,7.95,2602807.00
17/02/2010,7.95,8.02,7.74,7.76,2196734.00
18/02/2010,7.73,7.76,7.43,7.64,4639085.00
19/02/2010,7.64,7.94,7.56,7.83,3438415.00
22/02/2010,7.83,7.90,7.58,7.81,2959582.00
23/02/2010,7.83,7.83,7.62,7.79,1932949.00
24/02/2010,7.89,7.89,7.67,7.76,2541169.00
25/02/2010,7.81,7.81,7.56,7.65,3013884.00
26/02/2010,7.65,7.71,7.38,7.71,7605894.00
01/03/2010,7.60,7.70,7.38,7.70,4411276.00
02/03/2010,7.68,7.68,7.53,7.56,2169106.00
03/03/2010,7.60,7.90,7.48,7.90,2855193.00
04/03/2010,7.93,8.02,7.62,7.99,3113930.00
05/03/2010,8.07,8.26,7.73,7.90,7532519.00
08/03/2010,7.90,8.02,7.79,8.00,8295998.00
09/03/2010,7.99,8.19,7.89,8.09,8377489.00
10/03/2010,8.23,8.25,8.12,8.25,14408612.00
11/03/2010,8.11,8.25,8.07,8.23,3603662.00
12/03/2010,8.26,8.43,8.02,8.22,8868111.00
15/03/2010,8.22,8.25,8.05,8.18,9090233.00
16/03/2010,8.25,8.25,8.00,8.20,2168282.00
17/03/2010,8.20,8.41,7.93,8.23,2206756.00
18/03/2010,8.27,8.27,8.04,8.23,3579676.00
19/03/2010,8.26,8.30,8.13,8.21,2382903.00
22/03/2010,8.21,8.21,7.93,8.12,3826880.00
23/03/2010,8.26,8.26,8.05,8.20,6013339.00
24/03/2010,8.19,8.28,8.15,8.26,5746003.00
25/03/2010,8.26,8.30,8.18,8.30,2674876.00
26/03/2010,8.28,8.28,8.11,8.16,5929617.00
29/03/2010,8.26,8.31,8.13,8.13,5645519.00
30/03/2010,8.19,8.30,7.96,8.15,2709875.00
31/03/2010,8.16,8.35,8.14,8.31,5823348.00
01/04/2010,8.40,8.40,8.13,8.30,2493049.00
05/04/2010,8.19,8.40,8.05,8.19,1523024.00
06/04/2010,8.30,8.31,8.13,8.25,4265616.00
07/04/2010,8.35,8.35,8.19,8.26,8466946.00
08/04/2010,8.34,8.34,8.19,8.31,6393465.00
09/04/2010,8.42,8.42,8.19,8.39,7521912.00
12/04/2010,8.31,8.46,8.31,8.45,6127940.00
13/04/2010,8.49,8.65,8.47,8.65,8064016.00
14/04/2010,8.77,9.23,8.73,8.95,9495554.00
15/04/2010,9.02,9.10,8.96,9.08,8513246.00
16/04/2010,9.05,9.11,8.70,8.92,5246796.00
19/04/2010,8.93,8.93,8.78,8.90,2772782.00
20/04/2010,8.89,8.99,8.68,8.79,4052697.00
22/04/2010,8.85,8.85,8.63,8.71,11289736.00
23/04/2010,8.77,8.99,8.68,8.92,3875160.00
26/04/2010,8.89,9.23,8.89,9.23,2381368.00
27/04/2010,9.23,9.34,8.99,9.16,5410372.00
28/04/2010,9.16,9.23,8.92,9.11,4036588.00
29/04/2010,9.24,9.24,8.99,9.08,4092601.00
30/04/2010,9.11,9.35,8.93,9.32,4108202.00
03/05/2010,9.32,9.56,9.29,9.43,4165496.00
04/05/2010,9.46,9.94,8.80,9.35,5654343.00
05/05/2010,9.23,9.25,8.94,9.16,5450644.00
06/05/2010,9.11,9.11,8.63,8.63,6233119.00
07/05/2010,8.68,8.84,8.39,8.46,6779053.00
10/05/2010,8.80,9.37,8.80,9.23,7562993.00
11/05/2010,8.99,9.55,8.99,9.55,7822281.00
12/05/2010,9.56,9.66,9.19,9.66,18601724.00
13/05/2010,9.69,9.69,9.40,9.57,2385073.00
14/05/2010,9.40,9.55,9.20,9.35,3225759.00
17/05/2010,9.37,9.49,9.18,9.30,3496197.00
18/05/2010,9.29,9.29,9.02,9.17,4730271.00
19/05/2010,8.94,9.10,8.58,8.61,13172654.00
20/05/2010,8.58,8.60,8.30,8.34,9690637.00
21/05/2010,8.28,9.30,8.28,9.30,7142304.00
24/05/2010,9.15,9.57,9.02,9.35,7344488.00
25/05/2010,9.28,9.28,8.99,9.11,3242725.00
26/05/2010,9.23,9.42,9.12,9.35,6129467.00
27/05/2010,9.57,9.95,9.37,9.95,6655070.00
28/05/2010,10.03,10.03,9.83,9.97,9298264.00
31/05/2010,9.82,9.87,9.74,9.87,1977804.00
01/06/2010,9.85,10.04,9.63,10.04,8398018.00
02/06/2010,10.02,10.11,9.75,10.10,2546220.00
04/06/2010,9.99,10.10,9.93,10.05,7934484.00
07/06/2010,10.02,10.23,10.02,10.14,13613272.00
08/06/2010,10.26,10.33,10.07,10.31,13358084.00
09/06/2010,10.32,10.47,10.25,10.43,7094563.00
10/06/2010,10.44,10.93,10.44,10.58,7291237.00
11/06/2010,10.59,10.63,10.43,10.55,7935800.00
14/06/2010,10.55,10.73,10.50,10.55,8074284.00
15/06/2010,10.69,10.75,10.57,10.73,4546156.00
16/06/2010,10.68,11.00,10.57,11.00,7929514.00
17/06/2010,11.05,11.16,10.82,11.03,4952223.00
18/06/2010,11.03,11.09,10.91,11.03,8053979.00
21/06/2010,11.03,11.08,10.79,10.82,4398962.00
22/06/2010,10.82,11.05,10.67,10.98,5216932.00
23/06/2010,11.03,11.19,10.97,11.14,8554716.00
24/06/2010,11.18,11.20,10.97,11.06,3110531.00
25/06/2010,11.14,11.14,11.01,11.03,2242521.00
28/06/2010,11.07,11.37,11.01,11.37,6155056.00
29/06/2010,11.26,11.26,11.07,11.22,14350272.00
30/06/2010,11.21,11.36,11.05,11.26,15525194.00
01/07/2010,11.38,11.38,11.09,11.09,5840807.00
02/07/2010,11.09,11.38,10.97,11.26,9218326.00
05/07/2010,11.36,11.43,11.27,11.43,3863201.00
06/07/2010,11.50,11.67,11.50,11.51,4581457.00
07/07/2010,11.67,11.67,11.44,11.44,5396391.00
08/07/2010,11.54,11.58,11.24,11.28,4965999.00
12/07/2010,11.51,11.51,11.01,11.06,10120861.00
13/07/2010,11.23,11.24,10.74,10.86,9272901.00
14/07/2010,10.98,11.38,10.83,11.29,12979487.00
15/07/2010,11.38,11.93,11.35,11.82,8001590.00
16/07/2010,11.98,12.34,11.84,12.27,15329999.00
19/07/2010,12.29,12.89,12.16,12.64,12614268.00
20/07/2010,12.56,12.95,12.56,12.94,10437349.00
21/07/2010,12.99,13.18,12.70,13.03,9562932.00
22/07/2010,13.06,13.40,12.77,12.85,13873233.00
23/07/2010,13.00,13.03,12.59,12.82,4154800.00
26/07/2010,12.94,12.94,12.37,12.38,2700476.00
27/07/2010,12.60,13.05,12.49,12.63,16914751.00
28/07/2010,12.91,12.91,12.65,12.82,19226187.00
29/07/2010,13.31,13.39,13.09,13.39,33222512.00
30/07/2010,13.38,14.31,13.07,14.26,21971565.00
02/08/2010,14.32,14.72,13.84,13.97,14792908.00
03/08/2010,13.81,14.15,13.67,14.15,7234536.00
04/08/2010,14.27,14.30,13.91,13.91,4174180.00
05/08/2010,14.05,14.05,13.31,13.64,11449126.00
06/08/2010,13.65,13.91,13.55,13.81,9193069.00
09/08/2010,13.86,14.39,13.86,14.13,12733418.00
10/08/2010,14.20,14.37,14.10,14.33,14121761.00
11/08/2010,14.13,14.39,13.98,14.27,4350014.00
12/08/2010,14.47,14.47,14.27,14.39,5740166.00
13/08/2010,14.49,14.49,14.31,14.41,5211790.00
16/08/2010,14.49,14.68,14.20,14.39,7945182.00
17/08/2010,14.56,14.56,14.37,14.48,11752929.00
18/08/2010,14.49,14.52,14.39,14.50,5292171.00
19/08/2010,14.52,14.63,14.39,14.49,4974333.00
20/08/2010,14.47,15.14,14.42,14.95,23211340.00
23/08/2010,15.00,15.59,14.90,15.51,12626283.00
24/08/2010,15.48,15.72,15.26,15.63,9833575.00
25/08/2010,15.71,15.94,15.51,15.82,20839244.00
26/08/2010,15.92,15.92,15.63,15.73,8891988.00
27/08/2010,15.94,16.68,15.85,16.58,35378188.00
30/08/2010,16.60,16.87,16.21,16.55,16752977.00
31/08/2010,16.57,16.68,15.90,16.31,28400604.00
01/09/2010,16.26,16.58,16.10,16.45,12332781.00
02/09/2010,16.45,16.45,16.17,16.29,8562138.00
03/09/2010,16.28,16.32,15.24,15.73,28540265.00
06/09/2010,15.69,15.90,14.85,14.85,19441415.00
08/09/2010,14.88,15.60,14.76,15.18,22646924.00
09/09/2010,15.53,16.06,15.44,16.06,25806973.00
10/09/2010,16.18,16.62,16.18,16.45,27214205.00
13/09/2010,16.60,16.72,16.01,16.20,22270695.00
14/09/2010,16.44,16.45,15.90,15.95,15210406.00
15/09/2010,15.99,16.20,15.77,16.18,9189746.00
16/09/2010,16.33,16.64,16.18,16.50,22366157.00
17/09/2010,16.36,16.81,16.33,16.81,23212659.00
20/09/2010,16.90,16.91,16.47,16.86,12375525.00
21/09/2010,16.77,16.86,16.46,16.86,7442200.00
22/09/2010,16.70,16.81,16.52,16.57,13080162.00
23/09/2010,16.61,16.67,16.21,16.52,15962586.00
24/09/2010,16.44,16.93,16.43,16.93,18177675.00
27/09/2010,16.83,17.81,16.81,17.81,24976770.00
28/09/2010,17.74,18.92,17.70,18.39,46601343.00
29/09/2010,18.48,18.51,17.88,18.27,21698813.00
30/09/2010,18.37,18.39,17.57,17.61,26879111.00
01/10/2010,18.12,18.36,17.66,18.35,36176746.00
04/10/2010,18.41,18.75,18.35,18.69,19716893.00
05/10/2010,18.70,18.97,18.51,18.97,37792223.00
06/10/2010,18.97,19.18,18.92,19.16,34912436.00
07/10/2010,19.07,19.23,18.58,19.09,15779297.00
08/10/2010,19.21,19.22,19.13,19.18,16245667.00
11/10/2010,19.17,19.40,19.11,19.40,19921374.00
13/10/2010,19.40,19.93,19.27,19.89,46030314.00
14/10/2010,20.05,21.05,19.84,21.05,32699898.00
15/10/2010,21.24,21.53,20.33,20.81,36465164.00
18/10/2010,20.88,21.13,20.37,20.37,17637252.00
19/10/2010,20.44,20.79,20.09,20.35,19137646.00
20/10/2010,20.15,20.48,20.13,20.20,13725106.00
21/10/2010,20.36,20.68,19.86,20.32,19243476.00
22/10/2010,20.36,20.48,20.13,20.42,8545988.00
25/10/2010,20.25,20.54,20.22,20.32,14167171.00
26/10/2010,20.26,20.52,20.24,20.30,14403391.00
27/10/2010,20.33,20.49,19.11,19.84,14267067.00
28/10/2010,20.03,20.13,19.60,20.08,23033473.00
29/10/2010,20.39,20.39,19.96,20.26,48802634.00
01/11/2010,20.47,20.61,20.34,20.53,15556386.00
03/11/2010,20.76,20.81,20.64,20.66,18475593.00
04/11/2010,20.80,20.95,19.90,20.69,24815735.00
05/11/2010,20.93,20.93,20.37,20.76,18935543.00
08/11/2010,20.76,20.76,20.34,20.69,12100135.00
09/11/2010,20.55,20.66,19.96,20.25,21370931.00
10/11/2010,20.15,20.21,19.60,19.62,20586369.00
11/11/2010,19.63,20.53,19.63,20.43,54733257.00
12/11/2010,20.45,20.45,19.92,20.21,15413176.00
16/11/2010,20.21,20.67,20.03,20.53,26139389.00
17/11/2010,20.47,20.76,20.20,20.73,42601158.00
18/11/2010,21.01,21.33,20.96,21.29,36441705.00
19/11/2010,21.30,21.41,21.13,21.38,25184046.00
22/11/2010,21.41,21.43,20.98,21.43,19922246.00
23/11/2010,21.19,21.38,20.53,21.03,30071934.00
24/11/2010,21.09,22.07,21.09,22.05,47115897.00
25/11/2010,22.14,22.36,21.78,21.92,23713769.00
26/11/2010,21.67,21.77,21.20,21.63,24754934.00
29/11/2010,21.41,21.63,20.90,21.56,42145683.00
30/11/2010,21.77,21.92,21.56,21.91,345805158.00
01/12/2010,21.99,22.07,21.41,21.41,41048538.00
02/12/2010,21.78,21.85,21.04,21.27,43186905.00
03/12/2010,21.19,21.48,20.56,20.87,29595061.00
06/12/2010,20.86,21.05,20.21,20.60,16541094.00
07/12/2010,20.69,21.05,20.51,20.90,20262323.00
08/12/2010,20.77,20.98,20.44,20.69,19380932.00
09/12/2010,20.54,20.96,20.25,20.40,26392457.00
10/12/2010,20.53,20.63,19.16,20.25,26234415.00
13/12/2010,20.07,20.07,19.61,19.92,27024295.00
14/12/2010,19.89,19.89,18.94,19.38,49376913.00
15/12/2010,19.31,19.31,18.58,18.74,61699184.00
16/12/2010,18.87,19.37,18.23,19.37,52925795.00
17/12/2010,19.42,19.74,19.15,19.60,29419218.00
20/12/2010,19.60,19.60,18.82,19.42,10961553.00
21/12/2010,19.36,19.45,18.90,19.22,15701990.00
22/12/2010,19.13,19.35,18.85,19.29,28253158.00
23/12/2010,19.07,19.09,18.82,19.07,20089921.00
27/12/2010,18.98,19.14,18.53,18.81,7906747.00
28/12/2010,18.81,18.81,18.55,18.56,11032223.00
29/12/2010,18.50,19.22,18.49,19.15,28770985.00
30/12/2010,19.33,19.88,18.96,19.73,20414563.00
03/01/2011,20.02,20.54,19.93,20.42,22148491.00
04/01/2011,20.31,20.39,19.38,19.38,24363524.00
05/01/2011,19.47,19.72,19.02,19.39,25106957.00
06/01/2011,19.43,19.43,19.04,19.07,20012445.00
07/01/2011,18.93,19.35,18.86,19.11,14663806.00
10/01/2011,19.05,19.95,18.93,19.95,19119900.00
11/01/2011,19.87,20.05,19.64,19.80,15205607.00
12/01/2011,19.94,20.23,19.74,20.23,25039262.00
13/01/2011,20.17,20.31,19.98,20.08,13992534.00
14/01/2011,20.24,20.80,19.77,20.61,28797255.00
17/01/2011,20.69,20.71,20.32,20.44,14639216.00
18/01/2011,20.45,20.50,20.00,20.24,43189508.00
19/01/2011,20.23,20.44,20.10,20.28,18084305.00
20/01/2011,20.28,20.46,19.95,20.31,7374408.00
21/01/2011,20.45,20.53,20.15,20.53,13422586.00
24/01/2011,20.53,20.61,20.28,20.61,11958085.00
26/01/2011,20.67,20.69,20.12,20.17,37990325.00
27/01/2011,20.22,20.29,19.01,19.01,34693338.00
28/01/2011,19.01,19.15,18.38,18.57,35197104.00
31/01/2011,18.58,18.97,18.49,18.71,23337993.00
01/02/2011,18.88,19.55,18.88,19.55,29149944.00
02/02/2011,19.65,19.66,18.99,19.15,16711546.00
03/02/2011,19.15,19.15,18.45,18.60,12675551.00
04/02/2011,18.63,18.78,17.91,17.91,37325987.00
07/02/2011,18.19,18.27,17.79,17.98,19828556.00
08/02/2011,18.13,18.36,17.88,18.01,24700316.00
09/02/2011,18.17,18.17,17.54,17.74,21126710.00
10/02/2011,17.74,18.09,17.39,17.68,30726421.00
11/02/2011,17.90,18.52,17.39,18.05,14156377.00
14/02/2011,18.22,19.00,18.15,19.00,9988796.00
15/02/2011,19.00,19.25,18.49,19.07,21034360.00
16/02/2011,18.96,19.20,18.71,18.96,13852561.00
17/02/2011,18.89,18.99,18.52,18.63,12064114.00
18/02/2011,18.67,18.99,18.36,18.93,4939093.00
21/02/2011,18.99,19.10,18.16,18.41,7337160.00
22/02/2011,18.27,18.27,17.54,17.54,19786167.00
23/02/2011,17.54,18.02,17.44,17.57,25982018.00
24/02/2011,17.72,17.90,17.19,17.90,19527791.00
25/02/2011,18.09,18.26,17.46,17.61,12900746.00
28/02/2011,17.68,18.16,17.55,18.14,15363064.00
01/03/2011,18.23,18.88,18.15,18.71,26389382.00
02/03/2011,18.63,18.79,18.14,18.46,15770225.00
03/03/2011,18.46,19.47,18.38,19.15,15384147.00
04/03/2011,19.15,19.66,18.80,19.08,28871783.00
09/03/2011,19.29,19.64,18.85,19.64,18283170.00
10/03/2011,19.36,20.23,19.17,19.95,27222240.00
11/03/2011,19.96,20.45,19.96,20.37,19220107.00
14/03/2011,20.37,20.40,19.82,20.10,11358150.00
15/03/2011,19.88,20.81,19.66,20.62,35882755.00
16/03/2011,20.72,21.68,20.61,20.86,54681157.00
17/03/2011,21.01,21.51,20.64,20.64,18784353.00
18/03/2011,20.83,21.26,20.68,20.68,20442980.00
21/03/2011,20.75,21.45,20.72,21.31,21116455.00
22/03/2011,21.48,21.51,21.14,21.48,27932313.00
23/03/2011,21.45,21.56,21.05,21.19,12726622.00
24/03/2011,21.40,21.86,21.13,21.68,40293652.00
25/03/2011,21.80,21.98,21.67,21.92,17383220.00
28/03/2011,21.97,22.00,21.34,21.74,21175271.00
29/03/2011,21.79,21.94,21.58,21.78,10513105.00
30/03/2011,21.92,21.97,21.76,21.97,28865057.00
31/03/2011,21.98,22.00,21.78,21.92,20973101.00
01/04/2011,21.86,22.07,21.78,22.07,25812816.00
04/04/2011,22.07,22.29,22.00,22.00,30136700.00
05/04/2011,22.01,22.29,22.01,22.29,8198377.00
06/04/2011,22.24,22.51,21.93,21.93,21432451.00
07/04/2011,21.75,22.43,21.19,22.43,27153350.00
08/04/2011,22.47,22.60,22.00,22.21,22266512.00
11/04/2011,22.35,23.05,22.24,23.05,62322804.00
12/04/2011,22.93,23.05,22.66,22.73,21919021.00
13/04/2011,22.82,23.36,22.82,23.31,83860310.00
14/04/2011,23.37,23.80,23.12,23.75,34677596.00
15/04/2011,23.67,23.87,23.35,23.73,35442164.00
18/04/2011,23.66,23.66,23.23,23.66,17749415.00
19/04/2011,23.67,23.82,23.45,23.71,16650585.00
20/04/2011,23.88,23.94,23.66,23.94,29773817.00
25/04/2011,23.82,24.63,23.82,24.37,14889229.00
26/04/2011,24.47,24.62,24.00,24.10,29545979.00
27/04/2011,24.05,24.09,23.54,23.93,20984603.00
28/04/2011,23.94,24.07,23.61,23.93,17967151.00
29/04/2011,24.04,25.00,24.04,25.00,61892210.00
02/05/2011,24.97,25.41,24.97,25.33,46686463.00
03/05/2011,25.47,25.48,25.20,25.33,25873090.00
04/05/2011,25.56,25.63,24.60,24.60,30359233.00
05/05/2011,24.52,25.41,24.49,25.26,39494733.00
06/05/2011,25.35,25.63,25.30,25.63,24114989.00
09/05/2011,25.64,26.03,25.64,25.89,37745628.00
10/05/2011,25.89,26.41,25.78,25.92,39085566.00
11/05/2011,26.00,26.34,25.41,25.70,18465390.00
12/05/2011,25.76,26.43,25.42,26.36,36559567.00
13/05/2011,26.43,26.57,26.23,26.52,16767431.00
16/05/2011,26.52,26.62,26.18,26.44,27937842.00
17/05/2011,26.55,26.55,25.64,25.92,32168756.00
18/05/2011,25.96,26.07,24.59,25.59,56803541.00
19/05/2011,25.48,25.80,25.01,25.41,26905023.00
20/05/2011,25.41,25.77,25.15,25.48,27672921.00
23/05/2011,25.40,25.69,24.68,25.00,34590673.00
24/05/2011,25.14,26.11,25.13,26.01,34315639.00
25/05/2011,25.75,26.06,25.62,25.85,18729258.00
26/05/2011,25.84,26.14,25.44,26.07,24328434.00
27/05/2011,25.99,26.29,25.73,25.91,26460739.00
30/05/2011,26.04,26.14,25.43,25.94,7310432.00
31/05/2011,25.94,26.47,25.94,26.47,68407759.00
01/06/2011,26.39,26.77,26.11,26.57,54396946.00
02/06/2011,26.55,26.78,26.00,26.25,31551937.00
03/06/2011,26.11,26.99,25.93,26.85,45377677.00
06/06/2011,27.05,27.10,26.29,26.44,35103970.00
07/06/2011,26.58,26.74,26.29,26.52,21082096.00
08/06/2011,26.40,26.58,26.29,26.57,16941761.00
09/06/2011,26.65,27.00,26.58,26.80,18175631.00
10/06/2011,26.67,26.99,26.45,26.94,20495625.00
13/06/2011,26.94,27.10,26.55,26.97,18325979.00
14/06/2011,27.02,27.16,26.80,27.02,25779633.00
15/06/2011,26.87,27.01,26.50,26.77,22066485.00
16/06/2011,26.80,26.83,25.34,25.48,48115401.00
17/06/2011,25.70,25.74,24.72,24.87,25239038.00
20/06/2011,24.81,25.47,23.95,25.25,39491233.00
21/06/2011,25.54,25.97,24.98,25.70,14846735.00
22/06/2011,25.76,26.32,25.52,26.21,39081203.00
24/06/2011,26.21,26.32,25.55,26.14,10674626.00
27/06/2011,25.95,26.12,25.29,25.70,23582017.00
28/06/2011,25.70,26.19,25.33,26.19,19252854.00
29/06/2011,26.09,26.36,25.80,25.96,13502395.00
30/06/2011,25.96,26.43,25.79,26.43,25355832.00
01/07/2011,26.48,26.48,26.17,26.43,30209066.00
04/07/2011,26.48,26.51,26.23,26.43,10034313.00
05/07/2011,26.34,26.45,25.86,26.25,26655294.00
06/07/2011,26.07,26.11,25.46,25.46,22405803.00
07/07/2011,25.43,25.70,24.80,24.81,46591644.00
08/07/2011,24.77,24.77,24.05,24.37,27967733.00
11/07/2011,24.11,24.74,23.77,24.69,17851063.00
12/07/2011,24.65,25.26,24.55,24.81,13701519.00
13/07/2011,25.14,25.86,24.55,25.33,37111598.00
14/07/2011,25.52,25.67,24.74,25.03,26253604.00
15/07/2011,25.14,25.25,23.81,24.08,41356570.00
18/07/2011,23.76,23.76,22.82,22.82,54281580.00
19/07/2011,23.02,23.10,22.14,22.16,71285472.00
20/07/2011,22.39,23.50,22.24,23.42,47272504.00
21/07/2011,23.56,24.26,23.39,24.04,52418284.00
22/07/2011,23.97,24.42,23.74,24.30,25724645.00
25/07/2011,24.23,24.37,23.70,24.04,15933649.00
26/07/2011,24.08,24.22,23.10,23.97,20456464.00
27/07/2011,23.61,23.85,23.16,23.43,13536198.00
28/07/2011,23.24,24.30,23.21,24.11,35030458.00
29/07/2011,24.08,24.86,23.69,24.47,50798259.00
01/08/2011,24.82,25.20,23.78,23.93,28619749.00
02/08/2011,24.08,24.24,23.19,23.19,18787256.00
03/08/2011,22.97,23.44,22.18,22.71,40424240.00
04/08/2011,22.37,22.64,20.92,21.65,71624384.00
05/08/2011,21.35,22.60,21.35,21.90,71753329.00
08/08/2011,20.73,21.63,19.51,20.62,71325645.00
09/08/2011,20.70,22.23,20.70,22.09,76752619.00
10/08/2011,22.09,22.90,21.72,22.82,51945438.00
11/08/2011,22.74,23.47,22.38,23.27,46384294.00
12/08/2011,23.27,23.46,22.63,23.12,16313292.00
15/08/2011,23.41,23.97,22.84,23.78,62824176.00
16/08/2011,23.52,24.41,23.15,24.41,41867847.00
17/08/2011,24.43,24.75,24.30,24.30,44279342.00
18/08/2011,24.00,24.58,23.31,24.58,27116067.00
19/08/2011,24.59,24.97,23.99,24.66,27249411.00
22/08/2011,24.66,25.17,24.66,24.96,35494401.00
23/08/2011,24.98,25.62,24.70,25.62,53234359.00
24/08/2011,25.40,25.73,24.78,24.99,31232370.00
25/08/2011,25.18,25.18,24.32,24.54,31406390.00
26/08/2011,24.30,24.61,23.86,24.19,25313515.00
29/08/2011,24.20,25.75,24.20,25.47,45462812.00
30/08/2011,25.45,26.06,24.89,25.22,29858214.00
31/08/2011,25.40,25.91,25.40,25.91,40102078.00
01/09/2011,26.19,27.09,26.18,26.28,92897757.00
02/09/2011,26.14,26.87,25.72,26.03,135232969.00
05/09/2011,25.70,25.91,24.82,25.47,33905697.00
06/09/2011,25.03,26.32,24.72,26.18,51426073.00
08/09/2011,26.58,27.46,26.51,27.02,52641396.00
09/09/2011,27.20,27.20,25.77,25.77,61757595.00
12/09/2011,25.21,25.44,24.45,25.24,67309753.00
13/09/2011,25.40,25.76,23.88,24.15,85104720.00
