date,open,high,low,close,vol
18/12/2009,16.88,17.13,16.37,16.37,7222891.00
21/12/2009,16.46,16.59,16.04,16.04,16508785.00
22/12/2009,16.09,16.54,16.00,16.04,18521586.00
23/12/2009,16.28,16.28,15.74,15.95,6758855.00
28/12/2009,15.96,16.50,15.96,16.32,3759101.00
29/12/2009,16.32,16.50,16.09,16.41,7762811.00
30/12/2009,16.40,16.79,16.30,16.79,13933152.00
04/01/2010,16.72,17.30,16.72,17.19,11989062.00
05/01/2010,17.29,17.57,17.15,17.42,22736123.00
06/01/2010,17.57,18.48,17.26,18.10,22936119.00
07/01/2010,18.35,18.84,17.81,18.32,13882878.00
08/01/2010,18.58,19.22,18.48,18.81,18503412.00
11/01/2010,19.00,19.39,18.20,18.51,15368958.00
12/01/2010,18.51,18.51,17.67,17.76,48737922.00
13/01/2010,17.87,18.04,17.42,17.52,24252021.00
14/01/2010,17.59,18.21,17.14,18.21,26294688.00
15/01/2010,18.39,18.45,17.76,18.05,12770216.00
18/01/2010,17.98,18.25,17.51,17.63,10870806.00
19/01/2010,17.55,18.52,17.55,18.17,14732188.00
20/01/2010,18.14,18.88,17.89,18.22,50759815.00
21/01/2010,18.71,19.02,17.80,18.05,18203339.00
22/01/2010,18.05,18.30,17.67,17.97,10798210.00
26/01/2010,17.88,17.88,16.67,17.66,25428746.00
27/01/2010,17.43,18.04,16.96,17.84,22894755.00
28/01/2010,18.13,18.35,17.80,18.26,20514273.00
29/01/2010,18.26,18.60,18.06,18.23,15233463.00
01/02/2010,18.23,19.23,17.93,18.80,17940730.00
02/02/2010,19.05,20.11,18.71,19.98,39257620.00
03/02/2010,19.81,20.32,19.42,20.11,33873184.00
04/02/2010,20.11,20.15,19.41,19.90,29518833.00
05/02/2010,19.32,19.65,18.09,18.38,47964374.00
08/02/2010,18.85,18.85,17.63,18.22,18327375.00
09/02/2010,18.42,19.57,18.42,19.14,24521137.00
10/02/2010,19.49,19.56,18.24,18.47,21976420.00
11/02/2010,18.52,18.71,18.08,18.51,17835091.00
12/02/2010,18.54,18.54,17.66,17.66,11394496.00
17/02/2010,18.05,18.48,17.91,18.30,14465513.00
18/02/2010,18.37,19.01,18.19,18.93,29891236.00
19/02/2010,18.72,19.29,18.46,19.10,24302955.00
22/02/2010,19.33,19.56,19.14,19.23,59506094.00
23/02/2010,18.47,18.89,17.95,18.05,66236725.00
24/02/2010,18.10,18.39,17.42,17.88,37578627.00
25/02/2010,17.63,18.02,17.45,18.02,24512713.00
