date,open,high,low,close,vol
18/12/2009,12.39,13.41,12.39,13.35,11630214.00
21/12/2009,13.35,13.77,13.11,13.34,8007193.00
22/12/2009,13.56,13.77,12.97,13.35,4632941.00
23/12/2009,13.50,13.56,13.46,13.56,1082174.00
28/12/2009,13.47,13.62,13.39,13.45,702997.00
29/12/2009,13.55,13.55,13.35,13.47,1415309.00
30/12/2009,13.54,14.41,13.54,14.41,10328146.00
04/01/2010,14.41,14.53,13.77,13.98,6371171.00
05/01/2010,13.96,14.19,13.61,13.84,10281725.00
06/01/2010,13.57,13.98,13.57,13.77,6708288.00
07/01/2010,13.69,13.73,13.63,13.66,1092014.00
08/01/2010,13.56,13.60,13.40,13.56,1311247.00
11/01/2010,13.56,13.62,13.30,13.34,6667491.00
12/01/2010,13.30,13.30,13.03,13.20,5859247.00
13/01/2010,13.24,13.26,13.05,13.05,2173993.00
14/01/2010,13.07,13.09,12.67,12.67,4098194.00
15/01/2010,12.88,12.88,12.58,12.81,3402350.00
18/01/2010,13.08,13.08,12.88,12.97,911115.00
19/01/2010,13.03,13.05,12.89,12.89,690261.00
20/01/2010,12.89,13.01,12.33,12.86,3318420.00
21/01/2010,13.08,13.08,12.50,12.71,4276141.00
22/01/2010,12.54,12.62,12.35,12.56,1161154.00
26/01/2010,12.52,12.65,12.18,12.65,4079313.00
27/01/2010,12.80,12.80,12.22,12.27,4264031.00
28/01/2010,12.46,12.46,12.18,12.18,905472.00
29/01/2010,12.41,12.41,11.81,12.07,2767165.00
01/02/2010,12.32,12.32,12.16,12.20,6539780.00
02/02/2010,12.45,12.45,12.28,12.29,10733929.00
03/02/2010,12.49,12.72,12.46,12.71,2056126.00
04/02/2010,12.84,12.84,12.33,12.41,5076741.00
05/02/2010,12.41,12.63,12.12,12.29,5278267.00
08/02/2010,12.46,12.46,12.09,12.24,1866168.00
09/02/2010,12.44,12.44,12.19,12.29,6112978.00
10/02/2010,12.46,12.54,12.20,12.29,4371459.00
11/02/2010,12.54,12.54,12.24,12.29,1235364.00
12/02/2010,12.49,12.49,12.28,12.32,1791800.00
17/02/2010,12.71,12.71,12.36,12.49,3987664.00
18/02/2010,12.62,12.63,12.35,12.54,4375268.00
19/02/2010,12.29,12.58,12.29,12.54,2258617.00
22/02/2010,12.39,12.54,12.29,12.39,4099570.00
23/02/2010,12.52,12.52,11.83,11.95,2964178.00
24/02/2010,11.97,12.03,11.69,11.69,6031210.00
25/02/2010,11.76,11.87,11.55,11.87,2639959.00
26/02/2010,11.96,12.13,11.95,12.12,3674877.00
