date,open,high,low,close,vol
31/07/2017,8.54,8.94,8.48,8.85,318090881.00
01/08/2017,8.94,8.97,8.85,8.88,112291163.00
02/08/2017,8.88,8.91,8.79,8.90,32971542.00
03/08/2017,8.84,8.90,8.80,8.87,19786752.00
04/08/2017,8.94,9.05,8.59,8.61,67498036.00
07/08/2017,8.73,8.79,8.61,8.63,46695495.00
08/08/2017,8.70,8.70,8.46,8.51,57129219.00
09/08/2017,8.52,8.55,8.25,8.38,42939981.00
10/08/2017,8.37,8.58,8.33,8.53,18037140.00
11/08/2017,8.58,8.63,8.46,8.58,10544618.00
14/08/2017,8.63,8.63,8.48,8.58,9303644.00
15/08/2017,8.63,8.63,8.55,8.58,15807834.00
16/08/2017,8.58,8.64,8.43,8.61,30961772.00
17/08/2017,8.61,8.62,8.52,8.54,53767128.00
18/08/2017,8.55,8.63,8.46,8.61,71106192.00
21/08/2017,8.61,8.67,8.41,8.65,56377539.00
22/08/2017,8.65,8.67,8.56,8.61,10114654.00
23/08/2017,8.61,8.61,8.45,8.48,14924525.00
24/08/2017,8.54,8.76,8.38,8.76,107923145.00
25/08/2017,8.74,9.00,8.69,9.00,44593145.00
28/08/2017,9.02,9.16,8.91,9.14,52796844.00
29/08/2017,9.12,9.30,8.94,9.12,25854580.00
30/08/2017,9.17,9.18,8.98,9.16,14881768.00
31/08/2017,9.09,9.16,9.03,9.06,5569657.00
01/09/2017,9.07,9.09,8.95,8.99,23373631.00
04/09/2017,9.00,9.11,8.97,9.06,6191809.00
05/09/2017,9.06,9.21,9.04,9.16,58413579.00
06/09/2017,9.22,9.37,9.22,9.30,25919879.00
08/09/2017,9.41,9.61,9.36,9.52,69796849.00
11/09/2017,9.52,9.61,9.46,9.54,28833552.00
12/09/2017,9.54,9.66,9.52,9.52,28266662.00
13/09/2017,9.52,9.56,9.37,9.42,14689830.00
14/09/2017,9.38,9.55,9.38,9.41,12393528.00
15/09/2017,9.40,9.60,9.40,9.59,24824227.00
18/09/2017,9.61,9.70,9.46,9.52,46269989.00
19/09/2017,9.52,9.67,9.45,9.51,5412807.00
20/09/2017,9.57,9.59,9.43,9.44,15607889.00
21/09/2017,9.46,9.55,9.39,9.52,21578985.00
22/09/2017,9.51,9.64,9.45,9.64,9003620.00
25/09/2017,9.64,9.70,9.43,9.47,18922518.00
26/09/2017,9.50,9.54,9.34,9.40,10389265.00
27/09/2017,9.43,9.48,9.25,9.28,9812328.00
28/09/2017,9.32,9.47,9.06,9.19,25995612.00
29/09/2017,9.29,9.29,8.97,9.14,40422234.00
02/10/2017,9.17,9.39,9.14,9.31,23024381.00
03/10/2017,9.30,9.35,9.15,9.29,51004612.00
04/10/2017,9.37,9.37,9.17,9.29,34688736.00
